10年 8月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａトウカイノｰマル, 70,藤田伸,, 68,   3,*  6, 1,  1.9,④④③, 1,14,Ｂアｰスツリｰ, 63,藤岡佑,, 67,*  0,*  4, 3,  5.9, ④④, 1, 7,Ａハッピｰダイアリｰ, 88,横山典,, 75,*  7,   5, 1,  1.8, ②②, 1, 5,Ｂケイアイライジン, 83,藤田伸,, 84,   9,* 13, 2,  3.8,③④④
 2, 3,Ｃフレｰヴァリスト, 67,横山典, 0.3, 63,*  4,   1, 2,  4.5,⑤②②, 2,13,Ｄユキノラムセス, 61,池添謙, 0.1, 66,*  2,   0, 4,  6.0, ②②, 2, 5,Ｇシズパンチ, 72,勝浦正, 0.0, 74,   0,* 10, 8, 50.8, ④④, 2, 4,Ｄコスモエンペラｰ, 79,丹内祐, 0.2, 82,* 12,   5, 5,  8.1,②②②
 3, 7,Ｆアドマイヤファイン, 61,勝浦正, 0.7, 60,*  4,  -1, 5, 16.8,③③④, 3, 1,Ｆメジロシｰルズ, 53,柴山雄, 0.2, 64,  -4,*  5, 5, 13.0, ⑤⑤, 3,11,Ｂエアティアｰモ, 83,藤田伸, 0.4, 72,*  5,   4, 2,  4.1, ③③, 3, 1,Ｊイチブン, 70,安藤勝, 0.4, 81,   9,*  9, 4,  7.5,⑦⑥⑤
 4, 5,Ｍトｰセンダビンチ, 29,藤岡佑, 0.8, 62,*  4,  -3, 6, 17.9,①①①, 4, 3,Ｃメイショウオリビア, 62,吉田隼, 0.2, 64,  -2,*  3, 2,  5.8, ③③, 4, 1,Ｃサルバドｰルアスカ, 80,小野次, 0.5, 69,  -5,*  9, 3,  5.2, ⑨⑦, 4,12,Ｈトモロポケット, 74,吉田隼, 0.6, 76,* 11,   1, 3,  5.3,⑤③③
 5, 1,Ｂペガサスダンディｰ, 70,池添謙, 0.9, 61,   2,   0, 3,  5.1,⑦⑥⑤, 5, 9,Ｌメランコリｰ, 41,大野拓, 0.7, 58,  -7,   2,10, 74.5, ⑧⑦, 5, 9,Ｈフェｰルクｰクｰ, 71,柴山雄, 0.7, 68,  -1,   5,10, 59.0, ⑤⑤, 5, 3,Ａシャガｰル, 85,横山典, 0.8, 73,* 12,  -3, 1,  2.6,①①①
 6, 4,Ｄグランブリｰズ, 65,上村洋, 0.9, 63,   2,   0, 4, 11.2,⑥⑧⑥, 6, 5,Ｇリキアイタイリン, 51,田中博, 0.8, 56,  -3,  -3, 9, 47.5, ⑥⑥, 6, 8,Ｅタムロウイング, 76,和田竜, 0.8, 70,*  8,  -2, 4, 14.7, ①①, 6, 7,Ｃマッキｰバッハ, 79,池添謙, 0.8, 77,   8,   7, 6, 16.1,⑨⑨⑦
 7,10,Ｇマキシムトパｰズ, 57,丸田恭, 1.7, 55,   0,  -5, 9, 44.0,⑧⑨⑧, 7, 2,Ａオキザリス, 66,横山典, 1.2, 51, -15,*  3, 1,  2.1, ⑮⑬, 7, 4,Ｋパラダイスイズヒア, 65,池添謙, 1.0, 64,  -3,   3,11, 61.3, ⑧⑥, 7, 2,Ｋサムデイシュアｰ, 67,古川吉, 1.1, 75,   7,   5,10,142.2,⑩⑩⑨
 8, 9,Ｉラド, 56,吉田隼, 1.8, 56,   1,  -5, 7, 25.5,⑪⑩⑪, 8,10,Ｍスタｰゲイト, 40,小野次, 1.3, 49,  -7,  -6,14,194.5, ⑨⑧, 8, 2,Ｆメジロシｰゴｰ, 72,吉田隼, 1.0, 65, -12,*  9, 9, 52.2, ⑪⑪, 8,11,Ｆシゲルエボシダケ, 75,秋山真, 1.1, 75,   6,* 10, 7, 21.5,⑫⑫⑫
 9, 6,Ｋスズカドミナント, 50,古川吉, 2.7, 47,   0, -12,10,106.6,⑨⑪⑨, 9, 8,Ｅホッコｰダイクン, 53,和田竜, 1.4, 49, -11,  -3, 6, 19.6, ⑪⑪, 9, 3,Ｌプリティゴｰルド, 63,藤岡佑, 1.4, 60, -15,   7, 6, 31.4, ⑫⑫, 9, 6,Ｇリアルハヤテ, 74,勝浦正, 1.3, 71,  10,  -3, 8, 49.2,⑧⑦⑥
10,13,Ｅキクノシャンティ, 62,柴山雄, 2.8, 45,   3, -18, 8, 42.1,⑫⑤⑦,10,11,Ｉチェイニｰウォｰク, 45,丸田恭, 1.4, 48, -10,  -5, 8, 40.1, ⑫⑫,10, 6,Ｄミッキｰデジタル, 78,四位洋, 1.4, 60,  -8,   3, 7, 40.5, ⑩⑩,10, 8,Ｅリアルヴィクトリｰ, 75,和田竜, 1.9, 67,   7,  -4, 9, 82.5,⑪⑪⑪
11, 8,Ｈワンダｰストｰリリ, 56,小林徹, 3.1, 49,  -1, -11,13,256.6,⑩⑫⑫,11,15,Ｊメジロジャクソン, 44,勝浦正, 1.5, 47, -12,  -4, 7, 21.0, ⑬⑭,11,12,Ｉヤマサラグランジュ, 71,古川吉, 1.6, 59,   0,  -3,12, 64.3, ⑦⑧,11,10,Ｉミウラジェット, 71,武英智, 2.2, 62,   8, -13,11,239.4,⑥⑧⑧
12,11,Ｊシャインセレブ, 53,丹内祐, 3.8, 42,   3, -24,11,139.5,②⑦⑩,12, 7,Ｈアクエリアスブルｰ, 49,黛弘人, 1.6, 47, -18,   2,13,161.8, ⑯⑯,12,10,Ｊツルマルライダｰ, 69,丸田恭, 2.5, 49,  -1, -12, 5, 29.1, ⑥⑨,12, 9,Ｌパドブレ, 61,柴山雄, 4.3, 44,* 10, -48,12,265.9,④⑤⑩
13,12,Ｌヤマイチリノ, 45,木幡初, 4.5, 36,  -3, -21,12,199.8,⑬⑬⑬,13, 6,Ｎホワッツアップ, 38,西村太, 1.8, 44, -15,  -5,12,124.3, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 4,Ｏストリｰクイｰグル, 38,丹内祐, 3.1, 29,  -9, -26,15,205.4, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,16,Ｐトウケイストロング, 34,荻野琢, 3.5, 23,  -4, -36,16,299.6, ⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｋラッキｰツｰ, 42,古川吉, 3.7, 20,*  4, -47,11, 92.5, ①①,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:190円 複勝:02=110円 03=160円 07=280円 枠連:380円,,,,,,,,,,,,"単勝:590円 複勝:14=200円 13=210円 01=530円 枠連:1,640円",,,,,,,,,,,,"単勝:180円 複勝:07=110円 05=600円 11=130円 枠連:1,510円",,,,,,,,,,,,"単勝:380円 複勝:05=180円 04=230円 01=270円 枠連:1,620円",,,,,,,,,,,
馬連:410円 ワイド:02-03=220円 02-07=390円 03-07=900円,,,,,,,,,,,,"馬連:1,450円 ワイド:13-14=490円 01-14=2,260円 01-13=1,290円",,,,,,,,,,,,"馬連:3,580円 ワイド:05-07=910円 07-11=170円 05-11=1,450円",,,,,,,,,,,,"馬連:1,620円 ワイド:04-05=570円 01-05=670円 01-04=900円",,,,,,,,,,,
"馬単:680円 3連複:1,510円 3連単:4,450円",,,,,,,,,,,,"馬単:3,290円 3連複:9,620円 3連単:37,650円",,,,,,,,,,,,"馬単:4,490円 3連複:2,890円 3連単:17,800円",,,,,,,,,,,,"馬単:2,700円 3連複:3,950円 3連単:16,180円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 6R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,函館2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, ハイエストクライム,---,横山典,, 56, -22,* 11, 7, 17.5, ⑪⑩, 1, 5,Ｂファイブスタｰ, 75,安藤勝,, 79,   8,* 13, 1,  2.2,⑪⑪⑦, 1, 7,Ｊマジカルポケット, 49,安藤勝,, 64,  -7,*  1, 2,  4.1, ⑥⑥, 1,15,Ａアスタｰエンペラｰ, 72,吉田隼,, 77,* 17, -11, 4,  8.8, ①①
 2, 6,Ｇダイワプライド, 58,安藤勝, 0.0, 57, -15,*  6, 1,  4.0, ⑨⑨, 2, 7,Ｆロｰザレｰヌ, 73,藤岡佑, 0.5, 77,  11,   2, 5, 17.3,⑥⑥②, 2, 1,Ｂマイネショコラｰデ, 66,和田竜, 0.0, 63,* -3,  -2, 1,  2.8, ③②, 2,16,Ｃオリオンザブラック, 68,大野拓, 0.1, 70,   1,*  3, 6, 17.1, ⑪⑪
 3, 7,Ｅユニラテラリズム, 61,小野次, 0.1, 59,*  3,  -6, 3,  4.3, ②②, 3,11,Ａジュモｰ, 77,藤田伸, 0.9, 75,   8,   3, 2,  3.9,⑩⑩⑩, 3,13,Ａルリニガナ, 68,藤岡佑, 0.2, 61,  -7,* -1, 3,  4.7, ⑦⑦, 3,12,Ｌマイネルコルベット, 61,和田竜, 0.2, 66,  -6,*  8, 9, 22.4, ⑭⑬
 4, 3,Ｄグリｰリｰレイ, 61,西村太, 0.3, 58,*  5,  -9, 2,  4.3, ①①, 4, 2,Ｊレオキュｰト, 69,勝浦正, 0.9, 73,   6,*  7,11,170.4,⑬⑫⑫, 4,11,Ｈエｰシンジャッカル, 56,秋山真, 0.3, 59,  -4,  -5, 6, 11.0, ④④, 4, 3,Ｊインディゴライト, 64,丸田恭, 0.2, 65,  -4,*  7,11, 53.4, ⑬⑫
 5,11,Ａチハヤブル, 69,大野拓, 0.4, 57,*  4,  -8, 5,  7.9, ③③, 5, 1,Ｇウォンビｰロング, 73,横山典, 1.0, 72,   8,   2, 3,  5.7,⑧⑨⑧, 5, 6,Ｅタイセイファントム, 63,吉田隼, 0.4, 59,* -3,  -7, 5,  9.4, ①①, 5, 1,Ｂメイショウバｰモス, 68,池添謙, 0.5, 70,* 14, -15, 1,  2.3, ②②
 6, 8,Ｉクニフォフィア, 56,柴山雄, 0.4, 53, -14,   2, 8, 19.3, ⑧⑧, 6,12,Ｈオメガリトルスタｰ, 72,秋山真, 1.0, 74,  10,   0, 8, 30.5,⑦⑦⑤, 6,12,Ｉラッシュウインド, 49,丸田恭, 0.4, 57, -11,*  0,12, 95.5, ⑩⑨, 6, 5,Ｆコクトｰ, 66,伊藤直, 0.5, 67,   9, -10, 8, 22.3, ④③
 7,10,Ｃキタノアツヒメ, 64,丸田恭, 0.6, 54,  -3,  -6, 6, 12.3, ⑤⑤, 7, 6,Ｄスプリングミント, 74,黛弘人, 1.1, 71,* 13,  -8, 4,  8.8,②②①, 7, 4,Ｆアポロジェニｰ, 61,勝浦正, 0.5, 57,  -7,  -5, 9, 48.3, ⑤⑤, 7, 9,Ｄショウナンダンク, 68,藤田伸, 0.5, 63,   0,  -1, 2,  5.2, ⑩⑭
