10年 9月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月 4日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
 9, 7,Ｇプリティスカイ, 37,太宰啓, 1.9, 28, -20, -11, 8, 68.6, ⑩⑩, 9, 5,Ｋシｰアリオス, 48,中村将, 1.5, 53, -22,*  8,11,155.4, ⑪⑪, 9,12,Ｋテラノパンサｰ, 52,石橋守, 0.5, 61,  -5,*  2,15,386.4,⑮⑮⑬, 9, 9,Ｊダブルウェッジ, 74,和田竜, 0.6, 73,   6,   3, 7, 13.7, ⑬⑮
10, 6,Ｉセンタｰスキャン, 21,松山弘, 2.2, 24, -20, -15, 9,197.1, ⑨⑨,10, 9,Ｃキタサンメｰル, 66,野元昭, 1.9, 53,  -2,  -7,10, 76.4, ⑨⑨,10, 3,Ｍアグネスソレイユ, 51,熊沢重, 1.1, 52,*  9, -36, 9, 96.5,①①①,10,12,Ｈゼットカｰク, 77,松山弘, 0.6, 72,   3,*  6,13, 44.1, ⑰⑰
11, 3,Ｊビュｰティカズヨ, 14,中村将, 3.7,  4, -35, -20,11,447.4, ⑪⑪,11, 6,Ｅメイショウトシイエ, 62,酒井学, 2.1, 49, -27,*  7, 7, 29.8, ⑭⑫,11, 9,Ｌトシザノンリｰ, 52,川田将, 1.6, 48,*  6, -36,11,144.9,③③④,11, 2,Ｅタイガｰストｰン, 79,浜中俊, 0.8, 70,   6,   1, 6, 11.1, ⑫⑭
,,,,,,,,,,,,12, 2, タケカエルダ,---,藤岡康, 2.6, 44, -16,  -5,12,182.0, ⑩⑩,12, 8,Ｅプラガｰ, 60,鮫島良, 1.9, 45,  -5, -19, 7, 49.3,⑬⑭⑭,12, 1,Ｎベイリングボｰイ, 72,渡辺薫, 0.8, 71,   5,   2,12, 41.7, ⑯⑬
,,,,,,,,,,,,13, 3, ワンダｰミリアｰド,---,高田潤, 3.8, 29, -28,  -8,13,296.2, ⑬⑭,13,15,Ｉパワｰオブゴｰルド, 54,太宰啓, 2.1, 43,   3, -37,10,133.0,⑤⑥⑪,13,10,Ｑシｰクエスト, 65,松田大, 0.8, 70,   4,   2,16,110.7, ⑮⑫
,,,,,,,,,,,,14,11, メモリｰファイバｰ,---,佐久間, 4.5, 22, -25, -17,14,353.5, ⑫⑬,14, 6,Ｏニシノラヴノット, 43,上野翔, 2.5, 40,*  8, -53,14,317.9,②②⑧,14, 5,Ｌワンダｰクラフティ, 74,小牧太, 0.9, 66,  -1,*  6,15, 88.9, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｎオグリピッコロ, 51,鷹野宏, 2.8, 39,  -7, -25,12,184.9,⑭⑯⑯,15,14,Ｏアルシラｰト, 72,鮫島良, 1.0, 67,   4,   0,17,284.8, ⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｐジョｰエスケイプ, 43,野元昭, 3.2, 33,  -3, -43,16,392.3,⑥⑪⑮,16, 7,Ｉコウエイハｰト, 74,川田将, 1.1, 72,* 17, -14,11, 37.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｐリッカバクシンオ, 70,安藤光, 1.1, 69,* 14, -11,18,327.0, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｒカレンナホホエミ, 53,高倉稜, 1.2, 67,  10,  -8,10, 24.3, ⑦⑩
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,
単勝:180円 複勝:11=110円 02=140円 05=110円 枠連:440円,,,,,,,,,,,,単勝:500円 複勝:04=250円 08=550円 10=280円 枠連:330円,,,,,,,,,,,,単勝:190円 複勝:04=110円 05=220円 10=210円 枠連:770円,,,,,,,,,,,,"単勝:770円 複勝:08=270円 11=550円 03=190円 枠連:3,550円",,,,,,,,,,,
馬連:440円 ワイド:02-11=180円 05-11=150円 02-05=270円,,,,,,,,,,,,"馬連:2,490円 ワイド:04-08=660円 04-10=440円 08-10=960円",,,,,,,,,,,,馬連:890円 ワイド:04-05=360円 04-10=320円 05-10=950円,,,,,,,,,,,,"馬連:6,100円 ワイド:08-11=1,750円 03-08=730円 03-11=1,930円",,,,,,,,,,,
"馬単:770円 3連複:430円 3連単:1,800円",,,,,,,,,,,,"馬単:4,900円 3連複:4,450円 3連単:26,900円",,,,,,,,,,,,"馬単:1,320円 3連複:1,810円 3連単:7,260円",,,,,,,,,,,,"馬単:11,690円 3連複:10,590円 3連単:73,410円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,唐津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｊマイネソルシエｰル,  5,和田竜,, 55, -17,*  4, 8, 68.1,⑤⑧⑦, 1, 8,Ａスナｰクトマホｰク, 66,太宰啓,, 71,*  8,   0, 2,  3.4, ②②, 1,15,Ｏパｰプルスタｰ, 63,高倉稜,, 74,   3,* 13,11, 34.7,⑤⑥⑥, 1,14,Ｃエｰシンカハナモク, 77,川田将,, 79,*  0,* 19, 1,  4.1,②②②
 2, 6,Ｄリリｰファイアｰ, 46,松山弘, 0.2, 46,*-11,  -9, 2,  3.8,①①①, 2,11,Ｃチャツミムスメ, 63,田中克, 0.1, 69,* 10,  -4, 5, 12.6, ①①, 2, 7,Ｉパミｰナ, 69,北村友, 0.0, 76,   3,* 13,12, 55.8,⑥⑤⑤, 2, 2,Ｅタコ, 75,佐藤哲, 0.2, 77,*  1,  16, 2,  4.1,①①①
 3, 5,Ａビｰム, 52,佐藤哲, 0.3, 45, -13,  -8, 3,  4.7,③③③, 3, 7,Ｂユメノカケハシ, 64,浜中俊, 0.2, 67,  -2,*  6, 1,  3.0, ⑦⑦, 3, 8,Ｄキョウエイカルラ, 71,浜中俊, 0.2, 72,*  4,   9, 3,  5.8,②②②, 3, 3,Ａロｰレルレガリス, 80,浜中俊, 0.5, 76,   0,  16, 3,  5.0,④⑤④
 4, 4,Ｃサチノパｰトナｰ, 46,小牧太, 0.5, 45, -14,  -8, 1,  2.0,⑦⑥⑥, 4,12,Ｇオポム, 57,国分恭, 0.4, 65,   2,   0,15,128.8, ⑥⑥, 4, 6,Ｇカスガ, 70,佐藤哲, 0.2, 75,   3,* 14, 9, 32.9,⑩⑦⑦, 4,10,Ｆファイナルパンチ, 75,小牧太, 0.7, 73,  -4,* 20, 6,  9.7,⑫⑫⑫
 5,10,Ｂキョウワオリオン, 51,黒岩悠, 0.5, 45, -15,  -6, 4,  9.8,⑥⑤⑤, 5,10,Ｋユニバｰサルサンド, 53,渡辺薫, 0.7, 61,  -6,*  4,14, 91.9, ⑫⑫, 5,16,Ｅミルフィアタッチ, 70,酒井学, 0.6, 72,   1,  12, 6,  8.6,⑭⑫⑫, 5, 4,Ｄクリスマスキング, 76,北村友, 0.7, 75,  -2,  17, 5,  8.3,⑧⑧⑦
 6, 9,Ｇシゲルカカリチョウ, 33,川島信, 1.0, 39, -12, -17, 5, 15.5,④④④, 6, 2,Ｆヒデノキセキ, 60,松田大, 0.7, 60, -12,*  9, 6, 15.2, ⑮⑮, 6,12,Ｌワンダｰスル, 68,野元昭, 0.6, 71,   3,  10,13, 94.0,⑫⑨⑨, 6, 5,Ｈアキノグロｰブ, 73,酒井学, 0.9, 74,  -3,  17, 7, 14.6,⑪⑪⑩
 7, 2,Ｈマギｰメイ, 29,野元昭, 1.1, 40, -16, -11, 9,105.9,⑧⑦⑧, 7, 9,Ｎシップｰナカヤマ, 51,酒井学, 0.7, 61,   2,  -4,10, 46.8, ⑤⑤, 7, 2,Ｂスプリングミント, 74,佐久間, 0.8, 68,*  5,   3, 2,  4.6,①①①, 7, 6,Ｊキョウジ, 70,松山弘, 1.1, 73,  -2,  15,10, 46.5,⑩⑨⑨
 8, 7,Ｅカシノダンガン, 40,加藤士, 1.2, 34,*-11, -23, 7, 58.1,②②②, 8, 1,Ｄタマモピアス, 63,藤岡康, 0.7, 60,   1,  -3, 4, 10.0, ④④, 8,10,Ｃアマゾネスバイオ, 73,川田将, 0.8, 70,   0,  11, 1,  3.8,⑬⑯⑬, 8,13,Ｂエタｰナルロブロイ, 79,福永祐, 1.2, 69,  -1,  11, 4,  7.4,⑥⑦⑧
 9, 1,Ｆマｰティンジｰン, 38,渡辺薫, 2.1, 29, -18, -22, 6, 20.2,⑨⑨⑨, 9,13,Ｅジュエリｰフラン, 62,福永祐, 0.7, 61,  -2,   0, 3,  5.0, ⑧⑧, 9, 1,Ｈクリムゾンブｰケ, 70,和田竜, 0.9, 70,   1,   9, 4,  7.1,⑪⑪⑪, 9,15,Ｍカンファｰネオ, 68,国分恭, 1.4, 69,  -1,   8,12, 80.0,⑦⑥⑤
10, 3,Ｉシゲルシテンチョウ, 19,飯田祐, 4.2,  4, -23, -44,10,203.3,⑩⑩⑩,10, 4,Ｍグリｰムバイオ, 52,高倉稜, 0.9, 57,  -5,   0,12, 59.0, ⑩⑨,10, 4,Ａワンダｰプリマ, 74,田村太, 0.9, 68,   4,   5, 5,  8.0,④④④,10, 1,Ｋトウカイブラスト, 70,熊沢重, 1.4, 69,*  0,   7,11, 68.7,③③③
,,,,,,,,,,,,11, 6,Ｊクレメンティア, 54,北村友, 0.9, 58,  -7,   3, 9, 37.7, ⑬⑪,11, 5,Ｊピノブラン, 69,国分恭, 1.0, 68,*  4,   3, 7, 21.4,③③③,11, 9,Ｎホッコｰセルベッサ, 67,飯田祐, 1.6, 70,  -6,  16,13,315.2,⑭⑭⑭
,,,,,,,,,,,,12,15,Ｉブルガリアンロｰズ, 55,川田将, 0.9, 58,  -5,   0, 7, 27.3, ⑪⑩,12,13,Ｆサックアクロア, 70,福永祐, 1.4, 64,   3,   2, 8, 25.1,⑦⑧⑧,12, 8,Ｌトシザワイルド, 69,太宰啓, 1.7, 66,  -5,  12, 9, 24.0,⑮⑬⑬
,,,,,,,,,,,,13, 3,Ｈクリｰルサンライズ, 56,幸英明, 1.5, 50, -10,  -3, 8, 37.2, ⑯⑭,13,14,Ｍクリスリリｰ, 64,幸英明, 1.7, 63,   1,   2,10, 33.7,⑮⑬⑯,13,16,Ｉエシス, 72,安藤光, 1.7, 62,*  0,   5,15,410.2,⑤④⑥
,,,,,,,,,,,,14, 5,Ｐショウナンマグナム, 43,石橋守, 1.7, 46, -17,   1,13, 89.7, ⑱⑱,14, 9,Ｋフォルクスオｰパｰ, 69,渡辺薫, 1.8, 63,   1,   1,15,176.2,⑨⑩⑩,14,12,Ｏシｰシャトｰ, 60,黒岩悠, 3.0, 60,  -7,   7,16,584.0,⑯⑯⑮
,,,,,,,,,,,,15,17,Ｏカシノビヨンセ, 45,高野容, 2.2, 41,  -7, -14,18,372.4, ⑭⑯,15,11,Ｎラガｰチェイス, 64,太宰啓, 1.9, 61,   0,   3,16,195.7,⑯⑮⑮,15, 7,Ｇオｰルザワｰルド, 75,和田竜, 5.2, 43,  -3, -20, 8, 23.7,⑨⑩⑪
,,,,,,,,,,,,16,14,Ｌクリノキンバリｰ, 52,高橋亮, 2.3, 41,*  7, -28,11, 50.7, ③③,16, 3,Ｐモンルｰジュ, 58,松山弘, 2.8, 56,   0,  -5,14,101.2,⑧⑭⑭,16,11,Ｐスリｰメガトン, 27,高野容, 5.7, 39,  -6, -18,14,345.2,⑬⑮⑯
,,,,,,,,,,,,17,16, ノｰチラスリング,---,中村将, 2.5, 37, -10, -16,16,276.6, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18, テイエムシｰザｰ,---,佐久間, 2.8, 33,  -1, -29,17,361.2, ⑨⑬,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:1),,,,,,,,,,,
"単勝:6,810円 複勝:08=2,280円 06=170円 05=230円 枠連:6,990円",,,,,,,,,,,,"単勝:340円 複勝:08=130円 11=270円 07=120円 枠連:1,080円",,,,,,,,,,,,"単勝:3,470円 複勝:15=970円 07=1,250円 08=290円 枠連:2,390円",,,,,,,,,,,,単勝:410円 複勝:14=150円 02=160円 03=160円 枠連:570円,,,,,,,,,,,
"馬連:17,610円 ワイド:06-08=3,260円 05-08=2,660円 05-06=350円",,,,,,,,,,,,"馬連:2,770円 ワイド:08-11=740円 07-08=200円 07-11=580円",,,,,,,,,,,,"馬連:120,510円 ワイド:07-15=18,890円 08-15=3,420円 07-08=4,450円",,,,,,,,,,,,馬連:910円 ワイド:02-14=310円 03-14=440円 02-03=430円,,,,,,,,,,,
"馬単:43,340円 3連複:16,080円 3連単:233,220円",,,,,,,,,,,,"馬単:4,250円 3連複:1,770円 3連単:13,370円",,,,,,,,,,,,"馬単:196,600円 3連複:220,040円 3連単:2,465,280円",,,,,,,,,,,,"馬単:1,730円 3連複:1,610円 3連単:7,260円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6, カシノヨウスケ,,高野容,,,,, 2,  4.7,④②①, 1, 9,Ｉメタギャラクシｰ, 56,佐藤哲,, 66,   1,*  3, 5, 13.1,⑪④④, 1, 9,Ｂビッグウィｰク, 79,川田将,, 86,* 11,* 10, 1,  2.1,②②①, 1,14,Ｃトシキャンディ, 73,川田将,, 78,*  7,   3, 6, 10.7, ①①
 2, 1, アイアングリｰン,,林満明,191.5,,,, 4,  6.0,①①②, 2,16,Ａツルマルヤマト, 66,和田竜, 0.1, 66,*  3,   1, 1,  2.5,③③③, 2, 6,Ａマイネルゴルト, 82,幸英明, 0.1, 84,   9,* 12, 2,  3.0,③④④, 2, 5,Ａアルｰリングムｰン, 74,高倉稜, 0.1, 76,  -4,* 13, 1,  3.7, ⑩⑩
 3, 2, メイショウアルグン,,今村康,192.5,,,, 9, 42.0,②④③, 3, 5,Ｅエｰシンポルックス, 63,小牧太, 0.5, 60,   0,   1, 3,  5.0,⑫⑧⑦, 3, 5,Ｅトレイルブレイザｰ, 72,和田竜, 0.4, 81,   9,   7, 3,  6.6,⑥⑤②, 3, 8,Ｂシルクナデシコ, 73,藤岡康, 0.1, 77,   1,*  9, 3,  5.2, ⑥⑥
 4, 4, トｰセンウｰノ,,難波剛,192.6,,,, 1,  2.9,③③④, 4, 8,Ｆシンゼンボｰイ, 60,飯田祐, 0.7, 61,  -3,*  4, 7, 25.8,⑭⑪⑨, 4, 7,Ｄナリタシャトル, 72,太宰啓, 1.1, 72,   9,  -4, 4,  9.5,④③⑤, 4, 1,Ｊクレムリンシチｰ, 67,北村友, 0.2, 75,  -5,* 13, 8, 17.9, ⑬⑫
 5, 3, セフティファンキｰ,,南井大,193.6,,,, 3,  5.0,⑦⑥⑥, 5,10,Ｂテｰオｰジャングル, 65,松田大, 0.7, 63,   0,   0, 4, 10.2,⑧⑨⑧, 5, 4,Ｇクレスコドリｰム, 72,赤木高, 1.4, 70,   7,  -1, 8, 65.8,⑧⑨⑦, 5,12,Ｋテラノチェリｰ, 67,松田大, 0.2, 75,   3,   5,12, 60.7, ⑤⑤
 6, 9, ポｰラシｰクエンス,,金折知,193.7,,,, 5,  8.0,⑥⑤⑤, 6,15,Ｃジパングダマシイ, 64,浜中俊, 1.0, 58,   0,  -3, 2,  3.3,⑥⑦⑤, 6, 2,Ｃウォｰタｰセレネ, 74,酒井学, 1.5, 70,   9,  -5, 6, 20.0,⑤⑥⑥, 6, 9,Ｇビスカヤ, 69,浜中俊, 0.5, 72,*  5,   0, 5, 10.0, ④④
 7,10, テイエムテツワン,,出津孝,195.7,,,,11,156.5,⑨⑨⑧, 7, 4,Ｇシルクマウンテン, 59,田中健, 1.0, 63,   2,  -4,11,127.9,⑤⑤⑥, 7, 8,Ｈホウライブライアン, 70,熊沢重, 2.6, 59,   9, -22, 9,124.1,⑦⑦⑧, 7,17,Ｍワンダｰギャルｰ, 64,田村太, 0.7, 69,  -3,   5,15,223.6, ⑪⑪
 8,11, イナズマアマリリス,,中村将,196.0,,,, 7, 23.2,⑤⑦⑦, 8,14,Ｏサンライズタｰボ, 35,藤岡康, 1.5, 55,*  2, -12,14,221.0,②②②, 8, 1,Ｉウィッシングデュｰ, 70,高倉稜, 2.8, 56,* 12, -33, 7, 28.2,①①③, 8,18,Ｎラブイズモネ, 64,熊沢重, 0.7, 69,   1,   1,13, 75.4, ⑦⑦
 9, 8, プロスペクタス,,加藤士,196.2,,,, 8, 30.6,⑩⑩⑩, 9, 6,Ｄマｰブルドｰン, 63,上野翔, 1.7, 54,  -5,   1, 6, 21.0,⑮⑭⑬, 9, 3,Ｆロｰドアルファｰド, 72,福永祐, 3.2, 54,   8, -28, 5, 14.1,⑨⑧⑨, 9, 3,Ｈニホンピロエリナ, 68,酒井学, 0.7, 68,  -2,   4,10, 34.1, ⑨⑨
10,12, メイショウアサガオ,,植野貴,197.5,,,, 6, 12.3,⑧⑧⑨,10, 3,Ｊダイメイグロリアス, 51,小林久, 2.4, 49,  -3, -10,15,225.8,⑬⑫⑩,,,,,,,,,,,,,10,15,Ｅスペシャルポケット, 70,幸英明, 0.9, 66,*  6,  -7, 2,  4.8, ③③
11, 5, キフジン,,西谷誠,201.8,,,,10,118.3,⑫⑪⑪,11,12,Ｋミチノスパロｰ, 51,松山弘, 2.8, 45,*  2, -23, 8, 39.3,①①①,,,,,,,,,,,,,11,10,Ｌマッキｰビｰナス, 66,野元昭, 0.9, 67,  -3,   3, 9, 29.4, ⑫⑬
,,,,,,,,,,,,12, 1,Ｈアンクルガンバレ, 57,川島信, 4.2, 37,  -7, -17,12,159.7,⑯⑯⑮,,,,,,,,,,,,,12, 4,Ｏエｰシンリバティｰ, 60,小牧太, 1.0, 64, -11,   7,11, 54.0, ⑮⑭
,,,,,,,,,,,,13,11,Ｍメイショウバショウ, 39,石橋守, 4.2, 38,   0, -31,16,283.2,④⑥⑪,,,,,,,,,,,,,13, 7,Ｉエイシンフェアリｰ, 68,和田竜, 1.2, 62,  -1,  -4, 4,  8.8, ⑧⑧
,,,,,,,,,,,,14, 2,Ｐテｰオｰマックス, 29,幸英明, 5.7, 28,  -6, -33,10, 86.4,⑦⑬⑭,,,,,,,,,,,,,14,11,Ｄトロピカルマドンナ, 70,国分恭, 1.3, 61,*  6, -12, 7, 10.9, ②②
,,,,,,,,,,,,15, 7,Ｌマルブツギムレット, 43,高倉稜, 8.3,  6,  -6, -54, 9, 71.4,⑩⑮⑯,,,,,,,,,,,,,15,13,Ｐメイショウサｰバル, 56,高橋亮, 1.4, 60, -13,   5,17,385.8, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｒメイショウタクミ, 42,難波剛, 1.4, 59,  -9,   1,16,345.6, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｆマイネルピリアｰ, 70,松山弘, 1.4, 59, -13,   5,14, 96.0, ⑰⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｑパｰプルミツバチ, 54,赤木高, 1.9, 52, -10,  -4,18,388.6, ⑯⑰
