10年 9月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,760円 3連複:4,640円 3連単:26,370円",,,,,,,,,,,,"馬単:1,530円 3連複:3,710円 3連単:12,090円",,,,,,,,,,,,"馬単:1,480円 3連複:2,930円 3連単:10,090円",,,,,,,,,,,,"馬単:1,300円 3連複:6,370円 3連単:23,440円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国東特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｃメイショウボヌス, 62,高倉稜,, 62,  -3,*  4, 5, 16.5,⑪⑦⑥, 1,10,Ｈブルロック, 62,佐藤哲,, 72,*  3,* 10, 4,  7.1,②②②, 1,10,Ａオウケンマジック, 75,高倉稜,, 71,   8,   3, 1,  4.1,⑧⑥⑥, 1, 5,Ａタムロスカイ, 79,佐藤哲,, 79,  -4,  17, 2,  4.1,⑤⑦⑥
 2, 2,Ａマザｰウェル, 74,藤岡康, 0.0, 63,* -1,   1, 1,  1.4,⑤④③, 2,13,Ｆトウショウセレクト, 64,酒井学, 0.1, 72,*  2,* 10, 3,  6.0,③③③, 2, 9,Ｂマｰブルアロｰ, 75,浜中俊, 0.2, 70,   9,  -1, 5,  9.2,⑥④④, 2,13,Ｂフラッパｰウィング, 75,鮫島良, 0.1, 77,* -2,  13, 4,  8.2,⑥④③
 3,13,Ｆリエｰトフィｰネ, 61,松山弘, 0.3, 61,  -3,   1, 3,  9.5,⑨⑥⑦, 3, 3,Ｅバトルアステア, 64,和田竜, 0.2, 71,*  4,*  7, 1,  3.6,①①①, 3,11,Ｅスマイルミッキｰ, 72,川田将, 0.2, 70,* 10,  -2, 3,  4.9,②②②, 3,16,Ｅメイショウカンパク, 72,川田将, 0.2, 86, -10,* 30, 1,  3.8,⑯⑯⑯
 4, 9,Ｂエリモマｰヴェラス, 64,渡辺薫, 0.5, 62,  -5,*  5,10, 70.2,⑭⑫⑨, 4,16,Ａサｰノ, 68,浜中俊, 1.7, 61,   0,   1, 2,  4.0,⑩⑩⑨, 4, 5,Ｆパｰフェクトバイオ, 70,国分恭, 0.2, 71,* 12,  -4, 4,  8.3,①①①, 4, 4,Ｍメイショウサミット, 64,難波剛, 0.7, 69,* -1,   3,11, 58.1,②②②
 5, 1,Ｇサクセスアイニｰ, 60,北村友, 0.6, 59,  -7,*  4,12,128.7,⑬⑬⑫, 5,11,Ｄピサノアウロｰラ, 65,小牧太, 1.8, 57,   0,  -1, 6, 10.6,⑪⑨⑧, 5,12,Ｈヤマニンフリスキｰ, 68,太宰啓, 0.4, 69,   4,*  7,12, 60.0,⑫⑭⑫, 5, 1,Ｌタガノイノセンス, 64,赤木高, 0.7, 72,  -5,  11, 8, 21.1,⑨⑨⑧
 6,14,Ｄラフェクレｰル, 62,浜中俊, 1.0, 54,* -1,  -9, 2,  6.7,⑫②①, 6, 9,Ｉレジェンドヒｰロｰ, 61,幸英明, 2.0, 60,  -2,   3,13,159.4,⑭⑭⑭, 6, 6,Ｇスタｰサイクル, 70,渡辺薫, 0.4, 70,   7,   3,10, 50.1,⑪⑧⑤, 6,11,Ｆワキノブライアン, 71,小牧太, 0.8, 75,  -9,* 19, 6, 10.4,⑮⑮⑭
 7, 5,Ｅピンクアリエス, 61,川田将, 1.4, 53,  -3,  -7, 6, 39.8,②⑤⑤, 7,15,Ｃナスムネタカ, 65,石橋守, 2.1, 61,  -1,   1, 8, 24.7,⑬⑬⑫, 7, 4,Ｊメイショウスクラム, 68,松田大, 0.4, 70,* 10,  -3,11, 55.1,③③③, 7,14,Ｉサクラシャイニｰ, 69,幸英明, 0.8, 70,* -2,   5, 5,  8.5,⑦⑥⑦
 8,10,Ｋメイショウマナ, 49,安藤光, 1.5, 49,* -1, -11,13,300.1,⑥③②, 8, 1,Ｎテンシノカフェ, 36,中村将, 2.5, 54,   1,  -8,14,239.4,④④④, 8, 2,Ｄエイシンダッシュ, 73,幸英明, 0.4, 70,   5,*  5, 6, 11.4,⑮⑪⑩, 8, 7,Ｎシンボリニｰス, 64,熊沢重, 0.9, 74,  -9,  16,16,307.1,⑭⑭⑪
 9, 4,Ｈトップバゴチャン, 54,和田竜, 2.0, 50,  -4, -11, 8, 63.6,③⑧⑧, 9, 7,Ｊテイエムゴッタマシ, 59,太宰啓, 2.6, 53,   0,  -5,11, 68.5,⑮⑪⑬, 9, 8,Ｋムｰンライトソｰド, 67,松山弘, 0.5, 68,   7,   0, 8, 17.4,⑨⑦⑦, 9, 2,Ｄドリｰムマジシャン, 72,松山弘, 1.0, 66,* -2,   2, 9, 29.6,③⑤④
10, 6,Ｌアグネスラグタイム, 46,幸英明, 2.1, 48,  -5, -11, 7, 48.3,⑧⑩⑬,10, 2,Ｍロｰレルクラシック, 49,赤木高, 2.6, 54,  -1,  -4,12,102.4,⑫⑫⑪,10, 3,Ｃムｰンテンダｰ, 74,小牧太, 0.5, 66,   7,   1, 2,  4.2,⑬⑩⑨,10, 9,Ｇセフティファントム, 69,松田大, 1.2, 68,  -8,   9,15,199.0,⑪⑫⑫
11,16,Ｊプリティｰピュティ, 53,小牧太, 2.6, 41,* -1, -22, 4, 11.3,①①④,11, 8,Ｇドラゴンイチロｰ, 63,飯田祐, 2.8, 52,   1, -11, 7, 13.7,⑥⑤⑤,11, 7,Ｏダテノスイミｰ, 61,和田竜, 1.2, 66,   2,   4,13, 86.1,⑭⑮⑭,11, 6,Ｋモｰレツ, 68,国分恭, 1.4, 63,  -5,   0, 7, 18.1,⑧⑩⑬
12, 7, スズカシャングリラ,---,太宰啓, 2.8, 44,  -4, -16,14,303.0,⑮⑪⑪,12, 6,Ｌシゲルノブツナ, 51,国分恭, 3.0, 52,   1, -10,15,244.6,⑧⑧⑥,12,15,Ｉカリズマクレスト, 68,田中健, 1.3, 66,   7,  -5, 7, 15.5,⑦⑨⑪,12,10,Ｈトップミノル, 69,和田竜, 1.5, 63,  -6,   2,12, 86.9,⑫⑪⑩
13,12,Ｍワンダｰチャｰム, 44,酒井学, 3.1, 42,  -7, -15,15,325.8,⑩⑮⑮,13,14,Ｂメイショウタイシャ, 66,北村友, 3.6, 48,   2, -16, 9, 38.3,⑦⑦⑦,13,14,Ｌメイスンファｰスト, 66,北村友, 1.5, 62,   9, -12, 9, 18.8,④⑤⑧,13,15,Ｏラガｰゴｰルデン, 63,上野翔, 1.6, 61,  -2,  -4,13,106.2,⑩⑧⑨
14, 8,Ｉプロスビｰト, 53,国分恭, 3.6, 38,  -7, -21, 9, 66.7,④⑭⑭,14, 4, ハワイアンドｰン,---,高倉稜, 3.9, 45,  -7,  -6,10, 46.4,⑯⑯⑮,14,13,Ｍクリスタルドア, 65,中村将, 1.5, 61,   5,  -3,14,156.7,⑩⑫⑬,14, 8,Ｊタガノパルムドｰル, 69,藤岡康, 1.6, 57,* -2,  -8, 3,  5.1,④③⑤
15,11,Ｏウインドフォレスト, 43,松田大, 4.1, 36,  -4, -29,11,118.6,⑦⑨⑩,15, 5,Ｋミッキｰプリステン, 56,川田将, 6.1, 31,   1, -38, 5,  7.8,⑤⑥⑩,15, 1,Ｎブイヘネシｰ, 62,安藤光, 3.1, 49,  -2,  -5,16,322.5,⑯⑯⑯,15, 3,Ｃヴァンクリマ, 74,安藤光, 1.6, 61,  -8,   4,10, 43.2,⑬⑬⑮
16, 3,Ｎトワオンワｰド, 44,熊沢重, 5.2, 30, -12, -25,16,448.0,⑯⑯⑯,16,12,Ｏシンシンキエイ, 19,丹内祐, 8.7, 18,  -4, -50,16,335.1,⑨⑮⑯,16,16,Ｐデンコウムサシ, 44,高橋亮, 3.9, 45,   5, -24,15,211.9,⑤⑬⑮,16,12,Ｐサンライズアイ, 37,浜中俊, 2.2, 51,* -1, -20,14,141.5,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,650円 複勝:15=240円 02=110円 13=190円 枠連:370円",,,,,,,,,,,,"単勝:710円 複勝:10=190円 13=200円 03=160円 枠連:1,390円",,,,,,,,,,,,"単勝:410円 複勝:10=180円 09=260円 11=180円 枠連:2,340円",,,,,,,,,,,,単勝:410円 複勝:05=140円 13=220円 16=150円 枠連:720円,,,,,,,,,,,
馬連:710円 ワイド:02-15=290円 13-15=850円 02-13=250円,,,,,,,,,,,,"馬連:2,030円 ワイド:10-13=680円 03-10=420円 03-13=430円",,,,,,,,,,,,"馬連:2,010円 ワイド:09-10=640円 10-11=400円 09-11=690円",,,,,,,,,,,,"馬連:1,490円 ワイド:05-13=530円 05-16=280円 13-16=490円",,,,,,,,,,,
"馬単:2,620円 3連複:1,280円 3連単:12,890円",,,,,,,,,,,,"馬単:4,270円 3連複:2,050円 3連単:14,800円",,,,,,,,,,,,"馬単:3,650円 3連複:2,240円 3連単:15,760円",,,,,,,,,,,,"馬単:2,610円 3連複:1,630円 3連単:9,740円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
