10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,680円 3連複:12,320円 3連単:72,460円",,,,,,,,,,,,"馬単:3,460円 3連複:780円 3連単:8,320円",,,,,,,,,,,,"馬単:420円 3連複:1,820円 3連単:4,310円",,,,,,,,,,,,"馬単:1,940円 3連複:1,840円 3連単:7,320円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京都大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａサトノパンサｰ, 57,和田竜,, 61,   2,* -8, 2,  3.1, ⑨⑧, 1, 9, アルティシムス,---,秋山真,, 61,  -9,*  4, 5,  8.2, ⑩⑧, 1, 7,Ｃシゲルソウウン, 82,川須栄,, 79,   4,* 12, 6, 18.4, ⑧⑦, 1, 2,Ｂメイショウベルｰガ, 88,池添謙,, 93,  19,*  8, 2,  3.5,⑥⑥⑤
 2,15,Ｂレッドデイヴィス, 56,池添謙, 0.7, 52,   5, -23, 1,  2.3, ⑦⑥, 2, 1, ヴォトレメイヤｰ,---,内田博, 0.3, 59,  -4,  -6, 2,  3.8, ⑤④, 2, 3,Ａスリｰサンビｰム, 89,高倉稜, 0.3, 75,   4,   9, 2,  5.1, ⑦⑥, 2, 9,Ａオウケンブルｰスリ, 92,内田博, 0.1, 94,  17,* 11, 1,  3.3,⑨⑨⑨
 3, 2,Ｇアグネスクロｰバｰ, 48,浜中俊, 0.9, 50,   5, -27, 6, 20.8, ⑤③, 3, 2, インタクトラヴ,---,北村友, 0.3, 58,  -3,  -6, 6, 11.3, ⑥⑤, 3,10,Ｂサリエル, 87,内田博, 0.3, 77,   5,   8, 1,  1.7, ④④, 3, 6,Ｈプロヴィナｰジュ, 83,佐藤哲, 0.6, 86,  20,  -5, 4,  6.2,③③③
 4, 6,Ｉセルリアンディンゴ, 39,熊沢重, 1.1, 48,   1, -23,13,199.5, ⑩⑦, 4,11, ダノンフェアリｰ,---,四位洋, 0.4, 58,* -1, -10, 1,  3.7, ④⑥, 4, 8,Ｈミステリアスバイオ, 73,池添謙, 0.5, 75,   2,   9, 8, 23.1, ⑩⑧, 4, 4,Ｅベストメンバｰ, 84,四位洋, 1.0, 84,  20,  -9, 5,  6.9,④④④
 5, 1,Ｆウィズイングレｰス, 49,古川吉, 1.3, 47,   5, -32, 9, 62.7, ④⑤, 5, 6, オｰシャンフリｰト,---,藤田伸, 0.6, 55,* -1, -14, 4,  7.5, ②②, 5, 9,Ｋサンマルチｰフ, 71,藤岡康, 0.7, 74,  -2,* 11,15,230.1, ⑭⑪, 5, 1,Ｆゴｰルデンメイン, 84,太宰啓, 1.0, 83,* 27, -33, 9, 76.9,②②①
 6, 7,Ｌナリタデリゲｰト, 33,幸英明, 1.3, 45,*  8, -35, 3,  7.9, ②②, 6,10, エｰシンギガウイン,---,小牧太, 0.8, 50, -13,* -1, 3,  5.6, ⑬⑫, 6, 6,Ｉセントエドワｰド, 71,和田竜, 0.8, 73,   1,   7,10, 46.4, ⑫⑩, 6,11,Ｇフォゲッタブル, 84,武豊  , 1.1, 84,  19,  -6, 3,  5.6,⑧⑦⑦
