10年 5月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 5月 1日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1900m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 2, 7, ワンダｰルストラｰ,,林満明,196.6,,,, 2,  5.2,⑥⑤⑤, 2, 4,Ｄニホンピロエリナ, 50,酒井学, 0.0, 58, -18,   6, 5, 10.6, ④⑥, 2, 3,Ｆミッキｰチアフル, 75,浜中俊, 0.6, 74,* 18, -12, 4,  5.5, ④③, 2, 2,Ａスエズ, 75,幸英明, 0.0, 72,  -1,* 13, 2,  3.7,⑧⑤⑥
 3,10, クレバｰデュｰク,,植野貴,196.8,,,, 4, 14.0,⑦④④, 3, 9,Ｊチキリユキヒメ, 43,幸英明, 0.0, 60, -20,   8, 7, 23.5, ⑦⑤, 3, 2,Ｃリアルプリンス, 79,岩田康, 0.6, 74,* 18, -12, 3,  5.2, ②②, 3,14,Ｌウインザモチ, 65,高倉稜, 0.2, 69,*  1,   8,14,153.6,②③②
 4,14, キシリトｰル,,高野容,196.8,,,, 6, 28.1,⑤②②, 4, 1,Ａカサノヴァソルト, 63,藤岡佑, 0.1, 58, -19,   6, 1,  3.0, ⑤④, 4, 1,Ｅヤマカツゴｰルド, 75,和田竜, 0.6, 77,  12,   2, 5, 14.3, ⑦⑦, 4, 4,Ｂテｰオｰマグナム, 75,浜中俊, 0.2, 72,  -3,* 15, 8, 23.8,⑩⑨⑦
 5, 3, テイエムモモタロｰ,,佐久間,198.3,,,, 7, 49.0,⑨⑥⑥, 5,14,Ｂアスタｰタイクｰン, 61,藤田伸, 0.1, 60, -26,* 13, 3,  6.5, ⑫⑪, 5, 8,Ａブルｰモｰリシャス, 81,小牧太, 0.7, 76,  12,   2, 2,  4.2, ⑧⑧, 5,11,Ｊアジュディファラオ, 67,藤岡佑, 0.3, 69,*  2,   6, 3,  6.5,④①①
 6,11, ゴｰビハインド,,今村康,198.5,,,, 3,  6.7,⑧⑧⑦, 6, 2,Ｃベルエｰル, 58,太宰啓, 0.2, 53,*-15,  -1, 6, 14.0, ②②, 6,12,Ｋメイショウイチバン, 67,飯田祐, 0.7, 77,   6,* 13, 7, 36.8, ⑫⑪, 6, 5,Ｃファイブスタｰ, 73,岩田康, 0.5, 70,   0,   8, 1,  2.6,⑥⑥⑤
 7,13, ブルｰフォｰチュン,,大江原,198.5,,,,11,111.9,④①①, 7,10,Ｌワカオカミ, 39,ウィリ, 0.3, 56, -22,   7, 9, 30.4, ⑨⑧, 7, 6,Ｇゼンノモナルカ, 72,藤田伸, 1.1, 72,   9,   0,11,130.9, ⑩⑩, 7, 6,Ｇジョｰシンドバッド, 68,和田竜, 0.6, 69,  -3,  12, 6, 13.3,⑨⑩⑪
 8, 4, クリノラブゴｰルド,,山本康,199.3,,,,10, 60.4,⑩⑨⑧, 8, 8,Ｍエｰシンサスケハナ, 38,国分恭, 0.3, 52,*-14,  -5,14, 88.8, ①①, 8, 9,Ｈメイショウマゼラン, 72,酒井学, 1.4, 66,  14, -16, 8, 42.4, ⑥⑤, 8,13,Ｄピエナミッチｰ, 73,藤田伸, 0.7, 69,  -2,  12, 4, 10.0,⑪⑪⑩
 9, 1, ツルマルビビッド,,南井大,200.0,,,, 8, 51.3,⑬⑫⑩, 9,13,Ｅスズカサクセス, 50,武幸四, 0.4, 56, -24,   8,11, 59.5, ⑩⑩, 9, 5,Ｄマルイチシンゲキ, 78,太宰啓, 1.7, 63,  14, -20,10, 89.6, ⑤⑥, 9, 7,Ｍエｰシンクラウニン, 59,酒井学, 0.9, 70,  -3,  12,10, 79.5,⑫⑫⑫
10, 6, カシノダンク,,仲田雅,200.4,,,,12,145.2,⑫⑪⑪,10,15,Ｉハッピｰディレンマ, 44,岩田康, 0.8, 52, -30,*  9, 2,  3.7, ⑭⑬,10, 4,Ｌニホンピロファイブ, 47,渡辺薫, 2.1, 61,  10, -16,12,162.4, ⑨⑨,10,10,Ｅトｰホウライダｰ, 69,太宰啓, 0.9, 65,*  1,   2, 5, 11.2,①②③
11, 5, コンゴウ,,出津孝,201.8,,,,14,167.4,②⑦⑨,11, 7,Ｈスズノブレイヴ, 45,飯田祐, 0.8, 51, -27,   7,10, 30.8, ⑬⑫,11, 7,Ｊジャングルストｰン, 67,藤岡佑, 3.6, 47,   8, -32, 9, 62.9, ⑪⑫,11, 8,Ｉシルクヘラクレス, 68,小坂忠, 1.3, 63,  -2,   5,13,136.1,⑤⑦⑧
12, 9, ニホンピロリッチ,,難波剛,202.6,,,, 9, 54.7,⑪⑬⑬,12, 5, タガノデムジュｰル,---,小牧太, 1.0, 52, -34,* 13,12, 59.9, ⑯⑱,12,10,Ｉウインヴェロシティ, 71,ウィリ, 3.8, 45,  17, -57, 6, 18.6, ③④,12, 9,Ｈアウラスタｰ, 68,小牧太, 1.4, 62,  -4,   7,12, 96.2,⑬⑬⑬
13, 8, アナザｰスタｰ,,小坂忠,204.7,,,,13,167.2,①⑩⑫,13,17, テラフィｰルド,---,和田竜, 1.2, 47, -31,   7, 8, 30.0, ⑰⑮,,,,,,,,,,,,,13,12,Ｋファンドリゲット, 67,国分恭, 1.5, 62,  -2,   3,11, 86.3,⑦⑧⑨
14, 2, リンリンリン,,高田潤,212.6,,,, 5, 14.2,⑭⑭⑭,14,11,Ｋスウィングダンス, 41,高倉稜, 1.3, 42, -20,  -9,17,248.2, ⑥⑦,,,,,,,,,,,,,14, 1,Ｎベｰトｰヴェン, 54,武幸四, 2.2, 62,  -5,   1, 9, 68.8,⑭⑭⑭
,,,,,,,,,,,,15,16,Ｆクニフォフィア, 49,小林徹, 1.5, 43, -30,   0,13, 86.9, ⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 3, オペラゴア,---,浜中俊, 1.5, 44, -31,   3,16,201.0, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 6, ウォｰタｰシャｰプ,---,高橋亮, 1.7, 43, -36,   7,15, 95.5, ⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,18,Ｎビバタイヨｰコウ, 32,岩崎祐, 1.8, 36, -22, -13,18,602.1, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
