10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 2月 6日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3, 3,Ｊジョｰプライド, 49,川田将, 1.3, 61,   0,*  4, 6, 17.6,⑬⑫⑩, 3, 7,Ｏマルティニｰク, 39,小牧太, 0.3, 61, -10,*  1, 5, 10.1, ⑬④, 3,12,Ｄファイナルパンチ, 74,渡辺薫, 0.6, 74,  10,* -4, 7, 30.5,⑨⑩⑩, 3,10,Ａアンダｰカウンタｰ, 93,安藤勝, 0.2, 81,   7,* 13, 2,  4.4, ⑪⑪
 4,13,Ｄダイナミックソング, 60,尾島徹, 1.7, 57,   4,  -6,13,152.6,⑨④④, 4,11,Ｊコスモサイキック, 52,池添謙, 0.5, 58,  -7,  -6, 8, 21.7, ④⑥, 4, 8,Ａマルブツセンタｰ, 77,小牧太, 0.6, 71,  12, -10, 8, 39.0,⑤④⑤, 4,12,Ｈアドマイヤゴルゴ, 87,藤岡佑, 0.3, 83,  10,   9, 7, 15.0, ⑨⑥
 5, 8,Ｅヤマイチジャパン, 58,田嶋翔, 1.7, 57,*  8, -14, 9, 60.3,②②②, 5, 4,Ｇタニノロゼット, 58,川田将, 0.6, 58,  -8,  -5, 4,  7.2, ⑦⑦, 5, 4,Ｃマスタｰソニック, 75,岩田康, 0.7, 71,  10,  -6, 5,  9.4,⑪⑨⑦, 5, 5,Ｃペプチドルビｰ, 91,藤田伸, 0.4, 82,  10,   8, 1,  4.2, ⑧⑧
 6,10,Ｇボストンサプライズ, 57,安藤光, 1.8, 55,   1,  -2, 8, 43.7,⑧⑪⑥, 6, 5,Ｆフラッパｰウィング, 58,藤田伸, 0.9, 52,* -5, -13, 6, 10.4, ②⑤, 6,11,Ｈウインザマキ, 70,石橋守, 0.7, 71,* 13, -14, 4,  7.1,②②②, 6, 6,Ｎコウユｰキズナ, 73,浜中俊, 0.5, 82,  10,   6,10, 29.6, ⑦⑦
 7, 6,Ｃトｰホウカツトップ, 60,浜中俊, 2.0, 57,   2,  -4, 4,  9.9,⑪⑨⑧, 7,10,Ｉアップカｰド, 54,幸英明, 0.9, 53, -10,  -6,11, 67.8, ⑧⑨, 7,10,Ｌトップランナｰ, 68,藤岡佑, 1.0, 69,   8,  -5,10, 47.5,⑫⑪⑪, 7, 3,Ｇガブリン, 87,岩田康, 0.9, 77,   5,   9, 6, 14.9, ⑭⑬
 8, 1,Ｌディｰプハント, 48,柴原央, 2.9, 50,   3, -14, 5, 10.9,⑥⑦⑤, 8, 1,Ｂフライフュｰチャｰ, 59,浜中俊, 1.0, 53, -11,  -5, 3,  6.2, ⑭⑬, 8, 2,Ｎフルボディｰ, 67,安部幸, 1.5, 65,  12, -17,13, 82.1,④⑤④, 8,16,Ｂセントラルコｰスト, 93,川田将, 0.9, 78,  10,   2, 4,  4.9, ⑥⑤
 9, 4,Ｉテｰオｰジャングル, 52,和田竜, 3.0, 49,   3, -15,11, 67.6,⑦⑧⑦, 9,16,Ｌメイショウアカギ, 46,高橋亮, 1.1, 51,  -9,  -9,13,191.0, ⑩⑪, 9, 7,Ｂクリノソｰニャ, 76,ルメｰ, 1.6, 64,* 14, -21, 1,  2.8,①①①, 9,15,Ｉハギノトリオンフォ, 84,小牧太, 1.0, 77,   5,   8,12,128.4, ⑬⑮
10,11,Ｏサヴァラン, 39,岩田康, 4.0, 42,   3, -24, 3,  8.0,⑤⑥⑨,10, 2,Ｈヒデノキセキ, 54,四位洋, 1.1, 50,  -7, -13,10, 45.0, ⑥⑧,10, 9,Ｇホｰクウィンザｰ, 71,池添謙, 1.8, 66,   9, -11, 6, 24.1,⑬⑬⑫,10, 8,Ｋレキシントンシチｰ, 82,尾島徹, 1.1, 76,   5,   8,14,144.5, ⑮⑭
11, 9,Ｋメイケイオｰシャン, 49,渡辺薫, 4.1, 45,  -1, -16,12, 81.8,⑮⑮⑪,11, 6,Ｅベリｰフ, 58,安部幸, 1.4, 49, -12,  -9, 9, 23.7, ⑪⑫,11,13,Ｆシングルショット, 71,藤田伸, 2.0, 62,  10, -18, 3,  4.9,⑦⑧⑨,11,11,Ｅテイエムアクション, 90,和田竜, 1.6, 72,  10,  -4, 5, 12.2, ⑤④
12,16,Ｆビジュアルフライト, 57,安部幸, 4.1, 42,   1, -21,15,236.3,⑫⑩⑭,12,15,Ｋスズカマックス, 46,田島裕, 1.7, 45, -12, -13,12,141.6, ⑫⑯,12, 1,Ｉガッチリガッチリ, 70,浜中俊, 2.1, 64,   6, -10, 9, 41.3,⑮⑮⑭,12, 2,Ｊウォｰタｰオｰレ, 83,幸英明, 1.6, 72,   9,  -1,13,142.8, ⑩⑩
