10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:5,720円 3連複:1,070円 3連単:15,540円",,,,,,,,,,,,"馬単:3,840円 3連複:21,910円 3連単:84,510円",,,,,,,,,,,,"馬単:1,500円 3連複:590円 3連単:3,890円",,,,,,,,,,,,"馬単:1,070円 3連複:9,190円 3連単:29,570円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1600m 2 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｼﾞｭﾍﾞﾅｲﾙﾌｨﾘｰｽﾞ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｊスマｰトルシファｰ, 33,武豊  ,, 62,*  0,*  4, 2,  4.1,①①①, 1, 2, ラインアンジュ,---,福永祐,, 72, -12,* 15, 2,  3.6, ⑧⑥, 1,12,Ｃアンヴァルト, 81,松岡正,, 80,* 15,  -1, 4, 11.7, ②②, 1,11,Ｃレｰヴディソｰル, 74,福永祐,, 78,  -5,* 17, 1,  1.6, ⑪⑫
 2,11,Ｈクラシカルノヴァ, 43,小坂忠, 1.0, 58,  -5,*  6,10, 64.7,⑩⑩⑪, 2, 9, アグネスウイッシュ,---,武豊  , 0.2, 68,  -8,   8, 1,  1.7, ⑤③, 2, 2,Ｊメイショウボンハオ, 77,川須栄, 0.1, 77,   7,*  8, 8, 29.1, ⑭⑭, 2, 4,Ｆホエｰルキャプチャ, 68,池添謙, 0.1, 77,  -4,* 14, 4, 19.1, ⑤⑨
 3, 1,Ｄホワイトアルバム, 52,酒井学, 1.2, 56,  -3,  -2, 5,  8.2,⑤⑤⑤, 3, 1, エランドｰル,---,国分恭, 0.3, 68, -10,   8, 4, 12.0, ④④, 3, 4,Ａエｰシンウェズン, 88,福永祐, 0.2, 78,  12,   1, 1,  1.9, ⑦⑥, 3,18,Ｄライステラス, 70,デムｰ, 0.3, 73,  -2,   9, 8, 47.9, ⑧⑥
 4,12,Ｆホワイトスパルタン, 49,内田博, 1.5, 53,  -3,  -3, 6, 19.2,⑥⑥⑦, 4, 7, フィッシャｰガｰル,---,後藤浩, 1.1, 57, -13,   2,11,100.1, ⑥⑧, 4,11,Ｋハイロｰラｰ, 76,国分恭, 0.2, 77,   8,*  7,10, 33.5, ⑬⑬, 4, 1,Ｅアヴェンチュラ, 69,和田竜, 0.4, 75,  -7,* 14, 3,  9.9, ⑮⑮
 5, 6,Ｅモエロック, 52,後藤浩, 1.8, 49,* -1,  -9, 3,  4.5,③③④, 5, 5, シｰクスピナｰ,---,岡部誠, 1.3, 55,  -9,  -4,12,102.2, ③⑤, 5, 5,Ｂティアップゴｰルド, 84,池添謙, 0.3, 76,  11,   3, 2,  4.0, ⑧⑧, 5,12,Ｍツルマルワンピｰス, 63,安藤勝, 0.4, 72,* -1,   6,11, 62.0, ⑥③
 6, 2,Ｉシェイクラブハｰト, 42,岡部誠, 1.9, 51,  -4,  -4, 7, 20.4,⑨⑦⑥, 6, 3, テイエムムテキドン,---,古川吉, 1.3, 55,* -4, -10, 8, 40.7, ①①, 6,15,Ｆアｰクビスティｰ, 78,藤岡佑, 0.3, 76,  10,   2, 7, 28.6, ⑩⑨, 6, 6,Ｊマイネイサベル, 65,松岡正, 0.4, 73,  -2,   7, 6, 34.3, ④⑤
