10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月21日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳥栖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａメイショウナルト, 58,幸英明,, 68,* -3,*  6, 1,  1.8,②②①, 1,14,Ｊアッシュｰル, 57,浜中俊,, 70,   0,* 11, 8, 20.7,⑨⑨⑦, 1,14,Ｋサダムマンテン, 63,浜中俊,, 68,   0,* 13, 5, 19.4,③④④, 1, 4,Ｂリバｰハイランド, 76,幸英明,, 73,*  2,   3, 1,  2.6,②②②
 2, 4,Ｇバンブｰチェルシｰ, 46,和田竜, 0.8, 61,  -8,*  5, 8, 41.2,⑩⑩⑧, 2,12,Ｃゴｰゲッタｰ, 70,和田竜, 0.0, 69,*  2,   6, 2,  4.2,⑥④④, 2,13,Ｂツルマルスピリット, 78,小牧太, 0.0, 65,*  2,  10, 1,  1.8,②②②, 2, 2,Ｃメイショウカンパク, 73,藤岡康, 0.0, 75,  -1,   9, 3,  7.0,⑤④④
 3,10,Ｂタガノエベンヌ, 57,高倉稜, 0.9, 58,  -6,*  0, 2,  3.0,⑪⑧⑥, 3,10,Ｌエルキャンディｰ, 53,高倉稜, 0.1, 70,  -2,* 13,13,140.1,⑫⑫⑪, 3,16,Ｉメイスンファｰスト, 65,北村友, 0.5, 65,*  2,   6, 7, 41.8,⑬③③, 3, 7,Ｊハギノアスラン, 64,浜中俊, 0.1, 76,  -2,  11, 9, 35.3,⑦⑧⑧
 4, 7,Ｅタフ, 49,福永祐, 1.2, 55,  -5,  -7, 6, 25.4,⑤⑤⑤, 4,11,Ａオｰシャンキャスト, 70,福永祐, 0.2, 67,*  2,   4, 1,  3.4,⑤③③, 4, 8,Ｏカンファｰネオ, 53,国分恭, 0.6, 65,  -1,  10,13,182.1,⑤⑤⑤, 4, 6,Ａフラッパｰウィング, 79,鮫島良, 0.1, 72,   1,   5, 2,  3.0,③③③
 5,13,Ｆキョウワオリオン, 47,黒岩悠, 1.8, 47,  -5, -17,10, 69.6,⑧④③, 5, 9,Ｅティアモブリｰオ, 64,川田将, 0.3, 68,   0,   8, 5,  7.4,⑧⑧⑩, 5,10,Ａノルマンディｰ, 79,福永祐, 0.9, 60,*  2,   3, 2,  3.9,①①①, 5, 1,Ｆドナシュラｰク, 69,北村友, 0.3, 68,*  2,  -2, 4,  9.9,①①①
 6,11,Ｃテイエムメガヒット, 51,川田将, 1.9, 48,  -6, -15, 3,  8.1,⑦⑦⑦, 6, 1,Ｈダイワシュガｰ, 60,松田大, 0.5, 64,   1,   3,10, 78.4,③⑤⑤, 6, 1,Ｆキュルミナン, 69,藤岡康, 1.0, 64,  -3,  10, 4, 18.8,⑦⑪⑨, 6, 9,Ｉリッカメルド, 66,小牧太, 0.3, 75,  -5,* 13,10, 70.0,⑪⑪⑪
 7,14,Ｋガトｰディマンシュ, 34,熊沢重, 1.9, 50, -10,  -6, 7, 39.3,⑮⑮⑩, 7,13,Ｄマルカシャルダン, 67,小牧太, 0.5, 65,  -2,   8, 6,  7.8,⑮⑬⑫, 7, 5,Ｐレッドライオン,-16,高倉稜, 1.0, 61,  -2,   8,10, 80.3,④⑦⑦, 7,10,Ｅテツキセキ, 71,川田将, 0.3, 75,  -1,   8, 6, 18.7,⑨⑦⑦
 8, 6,Ｄコスモロッキｰ, 50,川島信, 2.2, 46,  -9, -12, 4, 18.5,⑭⑭⑬, 8, 7,Ｉプリンセスメイク, 60,田嶋翔, 0.7, 63,  -2,   5, 9, 39.8,⑪⑪⑨, 8, 2,Ｌブルｰライトニング, 62,松田大, 1.0, 63,  -1,   6, 8, 44.5,⑥⑥⑥, 8,11,Ｈタガノバッチグｰ, 68,福永祐, 0.3, 75,  -3,  11, 5, 11.0,⑧⑨⑩
