10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 9,Ｌピｰスフルアｰス, 30,太宰啓, 0.8, 48,  -9,   4, 7, 20.0, ⑥⑤, 4, 5,Ｃデュランダルガイ, 65,浜中俊, 0.9, 57,  -6,  -1, 3,  6.4, ⑤⑤, 4,13,Ｍナムラエアポｰト, 57,熊沢重, 1.2, 73,*  6,   2, 7, 18.1,②②②, 4, 7,Ａスマｰトグリッド, 81,小牧太, 0.5, 70,   8,*-11, 3,  4.2,⑧⑧⑨
 5, 4,Ｅリリｰファイアｰ, 46,福永祐, 0.9, 47,  -9,   3, 4,  5.1, ⑤④, 5,12,Ｂルクｰルダンジェ, 68,福永祐, 0.9, 57,  -7,   0, 2,  3.8, ⑥⑥, 5,10,Ｂグッドカレラ, 75,藤岡康, 1.2, 71,*  5,   3, 4,  5.6,③③③, 5, 5,Ｈテンシノマズル, 74,中村将, 1.1, 67,* 16, -43, 4,  6.4,①①①
 6,11,Ｂアドマイヤネアルコ, 53,藤岡康, 0.9, 52, -13,* 13, 6, 19.8, ⑮⑬, 6, 7,Ｅグランデボス, 62,安藤光, 1.2, 53,  -5,  -5, 5, 14.1, ④④, 6, 7,Ｄエシス, 72,安藤光, 1.3, 69,   1,  11, 8, 31.7,⑦⑦⑦, 6, 1,Ｇエクセルサス, 76,北村友, 1.3, 66,   9, -26, 7, 15.9,⑦⑦⑦
 7,15,Ｇテンシノイツル, 45,中村将, 1.0, 48, -11,   7,10, 79.4, ⑩⑩, 7,13,Ｉサンライズストｰン, 45,北村友, 1.9, 50,  -7,  -7, 7, 37.0, ⑩⑩, 7, 8,Ｌレッドライオン, 59,高倉稜, 1.5, 65,   3,   4,11, 80.3,④④⑤, 7, 9,Ｄロｰドオブザリング, 78,石橋脩, 1.4, 66,* 14, -43, 6, 14.5,③③③
 8, 2,Ａインペリアルピサ, 60,小牧太, 1.0, 47, -12,   7, 3,  5.0, ⑪⑨, 8, 9,Ｋウォｰタｰジャズ, 42,村田一, 2.2, 48, -14,  -2,12,205.2, ⑭⑮, 8, 1,Ｇサクセスシェｰバｰ, 69,飯田祐, 1.8, 71,  -3,* 15, 6, 11.5,⑬⑬⑫, 8, 2,Ｉウィッシングデュｰ, 67,高倉稜, 1.6, 63,   9, -30, 9, 34.5,⑥⑥⑥
 9, 5,Ｋマｰティンジｰン, 32,渡辺薫, 1.0, 44,* -6,  -5,14,210.1, ①①, 9, 3,Ｇイッスンボウシ, 52,高倉稜, 2.4, 43,  -9,  -9,11,172.6, ⑪⑪, 9, 2,Ｉレッドブリッツァｰ, 67,浜中俊, 1.8, 71,  -2,  12,10, 71.4,⑨⑩⑨, 9, 6,Ｆパントクラトｰル, 76,福永祐, 1.9, 63,   9, -33, 1,  3.8,⑨⑨⑧
10,10,Ｃコスモロッキｰ, 51,北村友, 1.0, 47, -10,   4, 9, 45.2, ⑦⑦,10, 4,Ｊクロカミノマイ, 45,荻野要, 3.0, 41,  -7, -16,16,325.7, ⑨⑧,10, 9,Ｊレジェンドヒｰロｰ, 63,太宰啓, 2.3, 68,  -6,* 16,12,100.1,⑯⑯⑯,,,,,,,,,,,,
11, 7,Ｎダンスラナキラ, 26,高倉稜, 1.3, 45, -13,   7,11, 81.9, ⑬⑫,11,10, ディアキングサン,---,和田竜, 3.1, 41, -14,  -9,10,170.5, ⑮⑬,11, 4,Ｅエイユｰブラッサム, 70,国分恭, 2.4, 67,  -1,   6, 5,  9.5,⑩⑨⑩,,,,,,,,,,,,
12,13,Ｆサチノパｰトナｰ, 45,浜中俊, 1.5, 38,* -8,  -8, 5,  9.4, ④⑥,12,14,Ｌメインエンジン, 30,熊沢重, 3.2, 40,* -3, -24,13,208.6, ②②,12, 3,Ｋエｰシンテュポｰン, 60,和田竜, 2.6, 65,  -2,   5, 9, 44.0,⑫⑫⑪,,,,,,,,,,,,
13, 1,Ｏボストンリョウマ, 25,国分恭, 2.3, 33, -14,  -6,12,176.0, ⑭⑪,13,11,Ｈレアミルフィｰユ, 46,小牧太, 3.6, 34,* -2, -29, 6, 21.3, ①①,13,14,Ｆホッコｰセルベッサ, 70,高橋亮, 2.8, 65,  -4,   8,14,237.9,⑭⑭⑬,,,,,,,,,,,,
