10年12月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月18日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａクランチタイム, 58,幸英明,, 60,*  4,  -7, 1,  1.4, ①①, 1, 5,Ａマイユクｰル, 66,北村友,, 65,   0,*  3, 1,  1.7, ④③, 1,11,Ｅトウショウデザイア, 77,高倉稜,, 78,* 11,   3, 6, 17.5,①①①, 1,14,Ｅキンシャサノキセキ, 89,スミヨ,, 93,  10,  16, 2,  3.9, ④⑤
 2, 9,Ｂペプチドサファイア, 57,小牧太, 0.2, 57,*  3,  -8, 2,  5.8, ②②, 2, 4,Ｇテラノチョイス, 51,スミヨ, 0.2, 61,*  3,* -2, 3,  6.1, ①①, 2, 1,Ａハリウッドスタｰ, 81,スミヨ, 0.1, 76,*  8,*  8, 1,  1.6,④③④, 2,13,Ｂレッドスパｰダ, 93,横山典, 0.0, 91,* 11,  14, 5, 14.3, ①①
 3, 8,Ｆショウナンマイケル, 49,ウィリ, 0.2, 58,   2,  -5, 4, 14.6, ⑥⑥, 3, 9,Ｃオｰダｰアゲン, 60,福永祐, 1.1, 56,   0,  -4, 7, 37.3, ⑥⑦, 3, 3,Ｃマｰリンシチｰ, 79,ルメｰ, 0.3, 78,   7,*  9, 2,  6.1,⑤⑤⑤, 3, 4,Ｑマイネルフォｰグ, 78,ルメｰ, 0.2, 92,   8,  18,15,140.8, ⑥⑦
 4,15,Ｃエｰシンラッシング, 56,和田竜, 0.3, 57,   1,  -7, 3,  6.8, ④⑤, 4, 8,Ｅアスｰルアラテラ, 53,デムｰ, 1.1, 55,  -3,* -1, 6, 15.6, ⑫⑨, 4, 2,Ｂドリｰムマジシャン, 81,幸英明, 0.9, 75,   7,   2, 5, 13.1,③④③, 4, 7,Ｆガルボ, 85,池添謙, 0.2, 91,  10,  14, 8, 21.3, ③④
 5, 2,Ｇワンダｰゴヴェルノ, 47,秋山真, 0.4, 56,  -1,  -4, 7, 62.4, ⑧⑧, 5,16,Ｆシンワハｰツクライ, 52,吉田豊, 1.4, 53,   1,  -8, 5, 15.6, ⑤⑥, 5,12,Ｈチャレンジフラッグ, 75,吉田豊, 1.0, 71,*  9,  -3, 9, 58.2,②②②, 5,10,Ａゴｰルスキｰ, 94,福永祐, 0.4, 89,   8,  15, 1,  2.4, ⑨⑨
 6, 3,Ｊマｰブルジャック, 39,酒井学, 0.9, 50,  -6,  -5, 5, 28.7, ⑩⑨, 6,13,Ｂサワヤカユウタ, 66,藤田伸, 1.5, 53,*  2, -12, 2,  5.2, ②②, 6, 6,Ｋコウエイテンプウ, 68,岩田康, 2.0, 69,   3,   1,11,209.8,⑧⑫⑪, 6,12,Ｋサンカルロ, 84,吉田豊, 0.4, 89,   0,* 24, 7, 20.2, ⑫⑬
 7,13,Ｅコウエイボルト, 52,浜中俊, 1.3, 47,  -1, -13, 9, 77.3, ⑦⑦, 7,15,Ｊニホンピロザジ, 48,酒井学, 1.5, 53,  -2,  -7, 9,140.1, ⑧⑧, 7, 9,Ｆウインドミネｰタｰ, 75,浜中俊, 2.2, 67,   4,  -3, 4, 10.5,⑩⑩⑫, 7, 8,Ｈリｰチザクラウン, 85,武豊  , 0.4, 88,   4,  19, 3,  8.4, ⑪⑩
 8,14,Ｉエフテｰサイレン, 40,三浦皇, 1.3, 48,*  2, -16,10,167.5, ③③, 8,11,Ｉグランドジョラス, 48,幸英明, 1.6, 51,  -1, -10,11,181.4, ⑦⑤, 8, 5,Ｊメイショウダイクン, 70,国分優, 2.8, 62,   4,  -8,14,352.7,⑬⑨⑨, 8, 6,Ｎリザｰブカｰド, 80,川田将, 0.5, 89,   4,  19,17,241.5, ⑩⑪
 9,11,Ｏテイエムリニア, 29,北村友, 1.7, 41, -22,*  3,12,222.4, ⑮⑮, 9,14,Ｌサンレイワイルド, 41,浜中俊, 1.7, 52,*  2, -13,12,207.0, ③④, 9, 8,Ｌアスカノヨアケ, 65,小坂忠, 2.9, 62,   3,  -6,10,164.8,⑫⑬⑬, 9,16,Ｌエイシンタイガｰ, 82,岩田康, 0.6, 85,* 11,   6,10, 50.2, ②②
10,12,Ｋイッキカセイ, 39,小林徹, 1.9, 41, -10,  -9,15,517.2, ⑫⑪,10, 3,Ｍシゲルブイン, 40,川須栄, 1.9, 49,  -5,  -6,15,354.4, ⑬⑫,10, 7,Ｄアルバトン, 79,四位洋, 3.0, 63,   0,   0, 3,  8.8,⑭⑮⑭,10, 3,Ｏショウナンアルバ, 80,四位洋, 0.7, 86,   1,  19,13, 66.1, ⑭⑫
