10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 8日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:6,160円 3連複:1,180円 3連単:13,650円",,,,,,,,,,,,"馬単:780円 3連複:2,300円 3連単:9,090円",,,,,,,,,,,,"馬単:2,050円 3連複:850円 3連単:5,080円",,,,,,,,,,,,"馬単:760円 3連複:1,470円 3連単:5,170円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａエｰシンオフクロ, 71,藤岡康,, 68,*  8,   0, 1,  1.7, ①①, 1, 3,Ａサクラティアモ, 64,藤岡康,, 75,*  9,* -3, 3,  8.0, ①①, 1,18,Ｅリッピアピンク, 68,鮫島良,, 74,   6,*  2, 4,  8.3, ⑧⑧, 1, 8,Ａマイネルゴルト, 80,浜中俊,, 83,* -4,  23, 2,  3.4,③③③
 2,10,Ｉアキノロｰレル, 54,北村友, 0.5, 62,  -1,   1,10,101.5, ④⑥, 2,12,Ｆタガノシビル, 56,川田将, 0.5, 66,   4,  -4, 2,  7.3, ⑤⑤, 2, 2,Ｐタイセイフレイヤ, 56,ホワイ, 0.0, 75,   8,*  1, 3,  8.1, ④③, 2, 7,Ｄマコトヴォイジャｰ, 73,ホワイ, 0.0, 82,* -4,  22, 1,  3.2,④④②
 3,14,Ｃマキハタピンナップ, 65,小牧太, 0.6, 60,*  4,  -3, 5, 13.2, ③③, 3, 7,Ｅユメノカケハシ, 59,ホワイ, 0.6, 64,   4,  -6, 1,  1.9, ④④, 3,16,Ｂエトピリカ, 71,松山弘, 0.1, 71,   2,*  5, 6,  9.0, ⑬⑫, 3, 5,Ｃラッキｰポケット, 74,北村友, 0.1, 84,  -7,* 25, 3,  4.6,⑦⑥⑤
 4, 7,Ｆデュｰクビスティｰ, 62,川田将, 0.7, 60,  -4,   2, 4, 11.2, ⑦⑦, 4, 4,Ｊサンレイキャロル, 49,難波剛, 0.8, 58,  -2,* -3,16,273.6, ⑫⑫, 4, 5,Ａアディアフォｰン, 72,小牧太, 0.3, 69,   4,*  1, 1,  3.5, ⑪⑩, 4, 9,Ｂトップサンダｰ, 76,幸英明, 0.2, 78,* -4,  17, 4,  5.3,①①①
 5, 8,Ｊエイチケイパレス, 54,浜中俊, 0.8, 58,  -1,  -2, 3, 10.9, ⑤④, 5, 2,Ｃトップオブザヘヴン, 63,太宰啓, 0.9, 57,  -4,* -2, 4,  9.3, ⑯⑭, 5,12,Ｈミティｰク, 64,佐藤哲, 0.5, 64,   0,*  2,15,100.1, ⑱⑭, 5, 3,Ｅリッカメルド, 70,小牧太, 1.4, 70, -10,  15, 5, 13.0,⑪⑪⑨
 6, 1,Ｄウインガルｰダ, 63,松田大, 0.8, 61,*  7,  -6, 8, 25.2, ②②, 6,10,Ｇメイショウダイアン, 55,飯田祐, 1.0, 58,   1,  -8, 6, 15.4, ⑨⑩, 6, 8,Ｊフェリスホイｰル, 63,福永祐, 0.6, 67,   8,  -7, 8, 11.7, ⑥⑥, 6, 6,Ｈマイネルクロイツ, 66,川島信, 1.7, 64,  -8,   6, 7, 27.9,⑨⑦⑦
 7, 6,Ｌウインドプレンティ, 42,高倉稜, 1.0, 54, -15,*  6,11,241.6, ⑪⑩, 7,13,Ｍブルガリアンロｰズ, 46,高倉稜, 1.0, 57,   2, -10,12, 75.5, ⑥⑥, 7,14,Ｋオｰナｰズアイ, 62,飯田祐, 0.7, 68,   8,  -8,13, 67.2, ⑦⑦, 7,11,Ｉムｰヴ, 62,太宰啓, 1.9, 57,* -4,  -5,11,147.5,②②④
 8, 4,Ｂホクザンアロマ, 67,野元昭, 1.1, 54,  -9,   1, 2,  4.6, ⑨⑧, 8,15,Ｄオポム, 60,国分恭, 1.0, 57,   0,  -7,14,179.0, ⑪⑧, 8,13,Ｑトシキャンディ, 52,幸英明, 0.8, 63,   4,  -6, 9, 19.3, ⑫⑪, 8, 4,Ｊトウショウパンサｰ, 61,佐藤哲, 2.0, 59,  -8,   2, 9, 52.6,⑩⑧⑧
 9, 9,Ｅトウショウパルス, 62,中村将, 1.2, 52, -12,   2, 6, 17.8, ⑩⑪, 9,11,Ｋサトノサクラ, 49,松山弘, 1.1, 57,*  6, -15, 7, 18.4, ③③, 9,10,Ｄニホンピロシュラブ, 68,酒井学, 0.8, 67,* 13, -15, 5,  8.8, ②②, 9, 1,Ｆマジェスティバイオ, 69,鮫島良, 2.3, 56,  -8,  -2, 8, 32.4,⑧⑩⑩
10,11,Ｇクリノキンバリｰ, 59,高橋亮, 1.3, 54,  -1,  -5, 9, 57.3, ⑥⑤,10,17,Ｌデルフィニウム, 47,赤木高, 1.1, 52, -13,*  3, 9, 39.7, ⑰⑰,10,15,Ｎラブイズモネ, 58,熊沢重, 1.0, 60,   1,  -6,11, 57.8, ⑯⑮,10,10,Ｋクオン, 60,熊沢重, 2.7, 50,  -5, -12,10,117.4,⑤⑤⑥
11,12,Ｈクラシックアｰト, 55,福永祐, 1.5, 50,  -5,  -6, 7, 20.6, ⑧⑨,11,14,Ｐコウエイマｰチ, 42,幸英明, 1.3, 52,  -1, -11,10, 59.0, ⑩⑦,11, 1,Ｉオペラセリア, 63,国分恭, 1.0, 60,   4,  -8,16,107.7, ⑩⑬,11, 2,Ｇキングシャｰロット, 67,福永祐, 4.0, 38,  -8, -24, 6, 17.5,⑥⑨⑪
12, 3,Ｋイッスンボウシ, 47,幸英明, 2.7, 36, -19,  -7,12,250.8, ⑫⑫,12,16,Ｏミスズアムｰル, 45,安藤光, 1.6, 48,  -3, -12,17,445.0, ⑭⑮,12, 3,Ｌデンタルマロン, 60,野元昭, 1.1, 60,   5, -11,14, 94.1, ⑨⑨,,,,,,,,,,,,
13, 2,Ｍサンレイルンルン, 34,岩崎祐, 4.0, 22, -26, -14,13,265.0, ⑬⑬,13, 6,Ｎトップココチャン, 46,酒井学, 1.6, 49,   1, -16,15,271.9, ⑦⑪,13, 9,Ｇトクトイムスメ, 64,高倉稜, 1.2, 56,   1,  -9,10, 50.7, ⑮⑯,,,,,,,,,,,,
14,13, カワカミチャレンジ,---,飯田祐, 4.9, 13, -29, -20,14,295.8, ⑭⑭,14, 5,Ｈガイｰヌ, 54,浜中俊, 1.7, 47,  -3, -13, 8, 23.7, ⑬⑬,14, 7,Ｏヴィｰナススマイル, 57,小林久, 1.3, 55,   0,  -8,17,181.9, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,15, 1,Ｉメイショウエポック, 50,高橋亮, 1.7, 46,  -6, -11,11, 71.2, ⑮⑯,15,17,Ｃロｰザペルラ, 70,川須栄, 1.6, 55,* 10, -23, 2,  6.0, ③④,,,,,,,,,,,,
,,,,,,,,,,,,16, 9,Ｂオｰスミアザレア, 63,北村友, 1.8, 50,*  8, -25, 5, 10.4, ②②,16,11,Ｍリネンアカシア, 59,太宰啓, 1.8, 51,   8, -23,18,232.0, ⑤⑤,,,,,,,,,,,,
