10年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 2日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  芝2880m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 4,Ｉレッドオブガバナｰ, 36,村田一, 1.6, 46,   0,  -7,11, 71.4, ⑦⑦, 9, 9, シャコｰムサシ,,宗像徹,201.8,,,, 8, 27.5,⑨⑨⑨, 9,14,Ｅヒシドンネル, 70,吉田豊, 0.8, 66,*  7,  -9, 6, 16.7,②②②, 9,11,Ｊトｰホウカイザｰ, 71,石橋脩, 0.6, 72,  -9,* 15, 9, 30.9, ⑭⑭
10, 9,Ｇナンクルナイサ, 37,田辺裕, 1.9, 43,  -2,  -7, 9, 33.3, ⑩⑩,10, 6, ホクテンミラｰ,,高野和,206.2,,,,10, 96.8,⑩⑩⑩,10,10,Ｊトｰセンウィン, 60,伊藤工, 1.1, 64,   1,  -1, 9, 71.1,⑫⑪⑩,10, 2,Ｆラヴインザダｰク, 75,田中博, 0.8, 69,   4,   0, 4,  6.8, ⑦⑤
11,14,Ｌモリトラヴ, 26,武士沢, 2.3, 37,  -7,  -7,10, 50.3, ⑮⑮,,,,,,,,,,,,,11, 2,Ｆダイワフェズブルｰ, 68,武士沢, 1.4, 60,   1,  -7,11,115.6,⑥⑩⑨,11,15,Ｅケイアイスウォｰド, 76,武士沢, 1.1, 64,  -1,   1,11, 70.2, ⑪⑫
12,12,Ｈエクセレントピｰク, 36,伊藤工, 2.6, 38,*  6, -21, 6, 13.3, ②②,,,,,,,,,,,,,12, 6,Ｎトレノソルｰテ, 52,小野寺, 1.5, 61,  -1,  -2,14,458.9,⑪⑭⑬,12,14,Ｋドリｰムシャドウ, 71,中谷雄, 1.3, 62,  -4,   1,13,261.1, ⑫⑬
13, 7,Ｍベストクラウン, 24,平野優, 3.1, 31,  -7, -14,12,143.8, ⑭⑬,,,,,,,,,,,,,13,11,Ｉセトノジャｰニｰ, 60,小林淳, 1.7, 56,   3, -14,12,215.3,⑧⑧⑦,13,10,Ｃエビスオｰル, 77,江田照, 1.4, 61,* 12, -16, 7, 15.2, ②②
14,11,Ｋコスモアリア, 31,伊藤直, 3.1, 32,  -4, -16,13,157.4, ⑫⑭,,,,,,,,,,,,,14,13,Ｍポルトゥエンセ, 53,内田博, 1.9, 56,   4, -20, 4, 12.6,⑤⑤⑪,14,13,Ｌナチュラルウィン, 71,木幡初, 2.0, 54,   7, -19,12, 81.6, ⑥⑧
15,15,Ｏボｰルドグロｰリ, -8,小野寺, 3.2, 30,  -7, -15,16,479.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 6,Ｐテイエムサウスダン,-12,水口優, 3.7, 26,  -6, -20,15,354.7, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:27,210円 複勝:08=6,360円 01=340円 03=220円 枠連:11,180円",,,,,,,,,,,,単勝:270円 複勝:02=120円 01=130円 04=200円 枠連:430円,,,,,,,,,,,,単勝:170円 複勝:09=110円 12=140円 08=200円 枠連:310円,,,,,,,,,,,,単勝:370円 複勝:05=150円 09=140円 07=730円 枠連:530円,,,,,,,,,,,
"馬連:85,700円 ワイド:01-08=16,970円 03-08=23,530円 01-03=980円",,,,,,,,,,,,馬連:420円 ワイド:01-02=210円 02-04=400円 01-04=560円,,,,,,,,,,,,馬連:320円 ワイド:09-12=140円 08-09=340円 08-12=570円,,,,,,,,,,,,"馬連:580円 ワイド:05-09=260円 05-07=1,970円 07-09=1,850円",,,,,,,,,,,
"馬単:259,170円 3連複:183,290円 3連単:2,297,570円",,,,,,,,,,,,"馬単:780円 3連複:1,070円 3連単:3,740円",,,,,,,,,,,,"馬単:430円 3連複:950円 3連単:2,270円",,,,,,,,,,,,"馬単:1,230円 3連複:6,420円 3連単:24,670円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄスピｰドサクラ, 52,田辺裕,, 49,* -1,  -6, 3,  5.3,①①①, 1, 8, タツミリュウ,---,江田照,, 54,*-15,*  1, 4, 13.1,①①①, 1,12,Ｂドラゴンアルテマ, 75,田辺裕,, 74,*  0,* 15, 3,  4.4,④③②, 1,12,Ｊリビアｰモ, 79,内田博,, 89,  -1,* 20, 1,  3.7,⑧⑧⑧
 2, 7,Ｆトｰセンリョウマ, 42,伊藤工, 0.2, 48,  -4,* -3, 6, 15.6,③④③, 2, 9, ピュアブリｰゼ,---,内田博, 0.3, 53, -19,*  3, 3,  4.7,⑦⑥⑤, 2, 8,Ａカズノロマン, 76,吉田豊, 0.1, 73,  -2,* 19, 2,  3.4,⑦⑦⑥, 2, 9,Ｅキタノリュｰオｰ, 83,伊藤工, 0.2, 86,  -4,* 22, 6, 10.2,⑩⑩⑩
 3, 9,Ｂジョンブルクリス, 55,小林淳, 0.5, 45,* -1, -11, 5, 14.8,②②②, 3, 1, サトノオｰランド,---,後藤浩, 0.6, 46, -18,  -3, 1,  2.2,②④③, 3, 6,Ｅバリアントバイオ, 71,後藤浩, 0.5, 71,  -1,* 14, 5, 19.4,⑤④④, 3,11,Ｍワルキュｰレ, 75,田辺裕, 0.2, 82,   0,  15,11, 53.4,⑦⑦⑦
 4, 1,Ａマイネルバリュｰ, 56,柴田大, 0.7, 45,  -5,  -7, 2,  4.8,⑥⑦⑦, 4, 7, カフェヒミコ,---,柴田善, 0.6, 45,*-17,  -5, 2,  2.8,⑥③④, 4, 9,Ｃケイアイマｰズ, 75,内田博, 1.1, 67,*  1,   5, 1,  2.0,①①①, 4, 3,Ｉユキノハリケｰン, 79,後藤浩, 0.2, 80,*  6,   5, 3,  6.0,①①①
 5, 5,Ｃハッピｰティア, 54,柴田善, 0.8, 43,  -4, -10, 1,  2.2,⑤⑤⑤, 5, 5, コスモアンドリュｰ,---,津村明, 0.9, 42,*-16, -11, 6, 25.8,④②②, 5, 2,Ｇソニックブレｰド, 68,平野優, 1.4, 67,  -4,  11, 9,133.5,⑩⑪⑨, 5, 7,Ａブルｰマｰテル, 84,柴田善, 0.4, 81,   1,  11, 7, 14.4,⑥⑤⑤
 6, 4,Ｅエｰスチョウサン, 44,吉田豊, 0.9, 43,  -6,  -7, 7, 16.7,⑧⑨⑧, 6, 2, ゴｰルドウォッチ,---,木幡初, 1.0, 45, -20,  -3, 8, 56.3,⑨⑨⑧, 6, 7,Ｋシンボリルアｰブル, 56,高橋智, 1.5, 64,  -2,   6,14,476.9,⑪⑥⑤, 6, 6,Ｈマイネルプライゼン, 80,石橋脩, 0.5, 79,   2,   7, 4,  7.6,③④④
 7,12,Ｇバルボア, 37,後藤浩, 0.9, 42,  -4, -11, 4,  7.8,⑦⑥⑥, 7, 4, シャイニｰキセキ,---,吉田豊, 1.0, 43, -21,  -5, 5, 15.9,③⑦⑥, 7,15,Ｆベルモントパッシオ, 71,西田雄, 1.9, 62,*  0,  -1, 6, 26.6,②②③, 7, 4,Ｆカレイジャスミン, 82,木幡初, 0.5, 78,*  3,   5, 8, 17.6,②③③
 8,10,Ｌハｰリｰレｰス, 24,江田照, 1.0, 41,* -3, -16, 9, 74.7,④③④, 8, 6, ムｰンライトリリｰ,---,田辺裕, 1.1, 40, -18,  -8, 7, 31.4,⑤⑤⑦, 8,14,Ｄコスモピグマン, 74,伊藤工, 2.1, 59,  -3,   3, 4, 18.5,⑧⑧⑧, 8, 5,Ｄミクロコスモス, 84,村田一, 0.8, 80,  -6,  17, 2,  4.0,⑪⑪⑪
 9, 2,Ｉフジゴンファノン, 30,菅原隆, 1.0, 42,  -9,* -3,10,110.4,⑩⑪⑩, 9, 3, トノニオマカセ,---,西田雄, 2.6, 20, -21, -26, 9,145.6,⑧⑧⑨, 9, 3,Ｈエミネムシチｰ, 67,水口優, 2.3, 60,  -4,   4,10,265.1,⑬⑫⑩, 9, 8,Ｂダイワルビア, 84,武士沢, 0.8, 74,   0,   5,12, 87.7,⑤⑥⑥
10, 8,Ｊミラクルアイヴァｰ, 29,二本柳, 1.6, 35,  -5, -18,11,151.8,⑨⑧⑨,,,,,,,,,,,,,10,16,Ｉアリゾナアベニュｰ, 65,石橋脩, 2.3, 60,  -1,  -1, 7, 27.8,⑨⑤⑦,10,13,Ｃラルケット, 84,吉田豊, 0.8, 73,*  5,  -1, 5,  8.1,④②②
11, 3,Ｋボンバルドマン, 27,内田博, 1.8, 34,  -8, -17, 8, 18.3,⑪⑩⑪,,,,,,,,,,,,,11, 4,Ｊドリｰムヘリテｰジ, 60,田中博, 2.5, 63,  -6,   7, 8, 66.4,⑯⑮⑬,11,10,Ｋハロｰスピｰド, 75,津村明, 1.0, 79,  -8,  18,13,164.9,⑫⑫⑫
12,11,Ｈシャｰデンフロイデ, 37,小野寺, 3.0, 22,  -9, -31,12,211.8,⑫⑫⑫,,,,,,,,,,,,,12,13,Ｌマルタカディリｰ, 53,小野次, 3.2, 54,  -7,   0,15,517.3,⑮⑯⑭,12, 1,Ｇブルｰデインヒル, 82,田中博, 1.3, 70,  -2,   2, 9, 35.5,⑨⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｎハナノスティｰブ, 48,小林淳, 3.3, 54,  -5,  -3,13,353.5,⑫⑬⑫,13, 2,Ｌアップルサイダｰ, 75,江田照, 1.6, 75, -15,* 21,10, 40.8,⑬⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｐシンビオシス, 43,武士沢, 3.9, 46,  -3, -11,11,312.1,⑥⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｏビッグジョｰ, 47,鈴来直, 6.5, 32,  -5, -30,16,536.9,⑭⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｍクリプトゾｰン, 51,嘉藤貴, 6.7, 33,  -3, -32,12,331.5,③⑩⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:530円 複勝:06=190円 07=300円 09=290円 枠連:1,140円",,,,,,,,,,,,"単勝:1,310円 複勝:08=180円 09=160円 01=110円 枠連:2,040円",,,,,,,,,,,,単勝:440円 複勝:12=210円 08=190円 06=560円 枠連:700円,,,,,,,,,,,,"単勝:370円 複勝:12=160円 09=260円 11=940円 枠連:1,040円",,,,,,,,,,,
"馬連:3,870円 ワイド:06-07=1,210円 06-09=810円 07-09=1,440円",,,,,,,,,,,,"馬連:2,050円 ワイド:08-09=630円 01-08=390円 01-09=270円",,,,,,,,,,,,馬連:760円 ワイド:08-12=290円 06-12=830円 06-08=750円,,,,,,,,,,,,"馬連:1,770円 ワイド:09-12=700円 11-12=2,510円 09-11=3,890円",,,,,,,,,,,
"馬単:6,950円 3連複:10,260円 3連単:78,500円",,,,,,,,,,,,"馬単:5,150円 3連複:1,460円 3連単:15,410円",,,,,,,,,,,,"馬単:1,410円 3連複:2,750円 3連単:12,890円",,,,,,,,,,,,"馬単:3,230円 3連複:25,770円 3連単:102,590円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,習志野特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃウインクロニクル, 64,田辺裕,, 68,   7,  -1, 4,  9.5, ⑤⑤, 1, 5,Ｂヤマニンパソドブル, 76,伊藤工,, 72,   6,*  5, 1,  1.9,⑦⑦⑧, 1, 4,Ｅコスモラピュタ, 79,津村明,, 81,* 10,   0, 4,  5.1,①①①, 1,10,Ｂケイアイクライム, 75,吉田豊,, 73,   4,  10, 1,  2.0, ⑤④
 2,16,Ｄゴｰルインマｰク, 63,柴田大, 0.2, 65,   4,*  0, 3,  4.1, ⑨⑧, 2,13,Ｊモアスマイル, 62,江田照, 0.9, 69,   1,*  7, 8, 45.9,⑭⑬⑫, 2, 5,Ａミッションモｰド, 87,デュプ, 0.1, 80,*  9,   2, 2,  2.9,②②②, 2, 1,Ｇシルクドミニオン, 73,田辺裕, 0.1, 73,   0,* 13, 5, 10.1, ⑨⑦
 3,13,Ｂキャニオンルナ, 65,木幡初, 0.6, 61,   4,  -4, 5, 10.5, ⑧⑦, 3, 4,Ｍベルモントダイヤ, 58,中谷雄, 1.2, 65,*  8, -10,12,137.0,①①①, 3, 1,Ｃタッチミｰノット, 84,吉田豊, 0.2, 80,   8,*  5, 3,  4.5,⑤⑤④, 3, 2,Ｊクルンプホルツ, 65,田中博, 0.2, 74,  -3,* 15, 9, 58.2, ⑪⑩
 4, 9,Ｈブランジェリｰナ, 53,後藤浩, 0.6, 63,*  9,  -8, 1,  3.4, ②②, 4, 1,Ｎヴィトンクイｰン, 57,吉田豊, 1.3, 64,   3,  -1,10, 57.2,⑪⑩⑩, 4, 2,Ｂヒシセンチュリｰ, 87,内田博, 0.2, 80,*  9,   0, 1,  2.7,⑥④③, 4,15,Ｈディパｰチャｰズ, 70,伊藤工, 0.3, 72,*  8,   5, 8, 32.4, ③②
 5, 3,Ｅショウナンライラ, 62,柴田善, 0.6, 63,   8,  -7, 6, 13.3, ④④, 5, 7,Ｃマチカネナツノジン, 70,村田一, 1.4, 64,   7,  -8, 5, 20.9,⑥⑥⑥, 5, 3,Ｆキンショｰオトヒメ, 75,石橋脩, 0.6, 78,   6,*  3, 7, 97.1,⑦⑦⑥, 5,12,Ｅタイキブルｰス, 74,小野寺, 0.4, 71,  -2,* 12, 2,  5.8, ⑫⑫
 6, 2, エンゼルジョｰカｰ,---,伊藤工, 0.9, 55,  -8,*  4, 8, 21.3, ⑫⑫, 6,14,Ｄハエヌキ, 67,柴田善, 1.7, 60,*  7, -12, 7, 44.3,⑤④②, 6, 6,Ｄホクレレ, 82,後藤浩, 1.0, 71,   8,  -7, 6, 19.6,④⑥⑤, 6,14,Ｆフェイクスタｰ, 74,石橋脩, 0.7, 69,* 10,  -2, 4,  8.6, ①①
 7, 4,Ｇライジングタイド, 56,石橋脩, 1.0, 56,  -4,*  0,10, 51.5, ⑪⑪, 7, 6,Ｅカンマビｰド, 66,後藤浩, 1.8, 59,   6, -11, 3,  6.5,③⑤⑤, 7, 7,Ｇセンノカゼ, 67,柴田善, 2.2, 59,*  9, -28, 5, 17.5,③③⑦, 7, 9,Ｄダブルフレｰバｰ, 74,内田博, 0.7, 68,   3,   5, 3,  6.9, ⑥⑥
 8, 8,Ｉリュウシンクイｰン, 50,西田雄, 1.1, 58,   0,  -3, 9, 35.8, ⑩⑩, 8,15,Ｈウィッシュアゲン, 64,小野寺, 1.9, 61,   6, -11, 4, 17.1,⑧⑧⑦,,,,,,,,,,,,, 8, 7,Ａコスモオｰ, 77,津村明, 1.3, 62,   5,  -3, 7, 25.2, ④③
 9, 6,Ｆモノリス, 61,江田照, 1.1, 58,   5,  -8, 7, 16.4, ⑦⑥, 9,10,Ｇセイカミカワ, 65,津村明, 1.9, 60,   1,  -3, 9, 46.4,⑮⑫⑬,,,,,,,,,,,,, 9,13,Ｌヒシソロモン, 63,平野優, 1.3, 63,   0,   3,13,131.3, ⑩⑪
10,12,Ａマレｰネ, 68,内田博, 1.3, 59,*  9, -13, 2,  4.0, ③③,10, 8,Ｉニシノシズル, 63,田辺裕, 2.3, 58,   3,  -9,13,172.2,⑫⑪⑪,,,,,,,,,,,,,10,11,Ｏレオカミカゼ, 55,村田一, 1.4, 62,   2,   0,12,108.5, ⑧⑨
11,15,Ｊエドノコウタロｰ, 47,小野寺, 1.4, 57,*  9, -16,11, 63.1, ①①,11, 9,Ｆロマンシエｰル, 65,石橋脩, 2.3, 60,   4, -11, 6, 37.4,⑨⑨⑨,,,,,,,,,,,,,11, 5,Ｋスプリングルｰシｰ, 65,後藤浩, 1.6, 59,  -4,   4,11,101.0, ⑬⑬
12,11,Ｋショコラティエ, 40,平野優, 2.4, 47,   7, -23,12,111.3, ⑥⑨,12,16,Ａトレノロｰザ, 80,内田博, 2.9, 55,*  8, -23, 2,  3.1,④③③,,,,,,,,,,,,,12, 3,Ｉレグルスハｰト, 65,柴田善, 1.9, 57,  -7,   4,10, 62.6, ⑭⑮
13, 5, レｰヴダルジャン,---,嘉藤貴, 2.9, 40, -14,  -8,15,202.6, ⑮⑮,13,12,Ｋセトウチダイヤ, 61,平野優, 3.1, 53,*  8, -24,11,114.2,②②④,,,,,,,,,,,,,13,16,Ｍカリズマアゲン, 62,武士沢, 2.2, 54,   3,  -8,14,256.1, ⑦⑧
14, 1,Ｌクロｰルアップ, 34,村田一, 3.0, 39, -11, -11,16,326.7, ⑭⑬,14, 2,Ｌミスシドニｰ, 61,西田雄, 3.2, 55,  -1,  -8,16,521.6,⑩⑭⑭,,,,,,,,,,,,,14, 6,Ｃガッテンムスメ, 75,木幡初, 2.2, 55,*  8, -12, 6, 11.3, ②⑤
15,14, ライフタイム,---,武士沢, 3.8, 33, -15, -14,14,192.1, ⑯⑯,15, 3,Ｏオンワｰドフロｰル, 44,菅原隆, 4.1, 48,  -2, -15,14,368.4,⑬⑮⑮,,,,,,,,,,,,,15, 4,Ｎクｰルボｰイズ, 60,江田照, 2.7, 50,  -9,  -1,15,301.6, ⑮⑭
16, 7, エイシンヒット,---,吉田豊, 4.2, 29,  -9, -23,13,164.0, ⑬⑭,16,11,Ｐサンレッドシチｰ, 32,小林淳, 6.0, 37,  -4, -27,15,455.1,⑯⑯⑯,,,,,,,,,,,,,16, 8,Ｐマンガンオトメ, 39,柄崎将, 3.1, 47,  -8,  -5,16,475.8, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:950円 複勝:10=280円 16=160円 13=290円 枠連:510円,,,,,,,,,,,,"単勝:190円 複勝:05=110円 13=660円 04=1,990円 枠連:1,210円",,,,,,,,,,,,単勝:510円 複勝:04=260円 05=190円 枠連:0円,,,,,,,,,,,,単勝:200円 複勝:10=130円 01=230円 02=790円 枠連:550円,,,,,,,,,,,
"馬連:1,960円 ワイド:10-16=650円 10-13=1,490円 13-16=760円",,,,,,,,,,,,"馬連:2,290円 ワイド:05-13=1,060円 04-05=3,300円 04-13=29,170円",,,,,,,,,,,,馬連:810円 ワイド:04-05=290円 01-04=350円 01-05=280円,,,,,,,,,,,,"馬連:800円 ワイド:01-10=370円 02-10=1,490円 01-02=2,510円",,,,,,,,,,,
