10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ゆめ半島千葉国体･千葉大会開催記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:9,910円 3連複:14,500円 3連単:133,130円",,,,,,,,,,,,"馬単:650円 3連複:930円 3連単:2,570円",,,,,,,,,,,,"馬単:730円 3連複:510円 3連単:1,930円",,,,,,,,,,,,"馬単:3,080円 3連複:1,490円 3連単:9,680円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2200m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵ日本賞ｾﾝﾄﾗｲﾄ記念 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｆジャンナ, 38,藤岡佑,, 49,*-17,  -6, 6, 18.6,⑤③③, 1, 9, トｰセンケイトゥｰ,---,横山典,, 56, -22,* 10, 1,  1.7,⑥⑤⑤, 1, 5,Ｂハイタッチクイｰン, 75,丸山元,, 75,*  9,  -2, 2,  3.1,①①①, 1,13,Ｇクォｰクスタｰ, 79,藤岡佑,, 91,  12,* 19, 4,  6.4,⑯⑰⑬
 2, 2,Ｂヴェラシティ, 47,北村宏, 0.0, 52, -20,*  1, 1,  2.2,⑥⑦⑦, 2, 6, メイショウオオゾラ,---,武豊  , 0.0, 52,*-20,   3, 2,  3.7,①①①, 2, 1,Ｃクリノメダリスト, 68,横山典, 0.1, 76,   5,*  7, 3,  8.7,⑤⑥④, 2,15,Ｄヤマニンエルブ, 84,柴山雄, 0.0, 88,* 27, -24, 3,  6.4,①①①
 3, 8,Ｃスピｰドサクラ, 47,田辺裕, 0.1, 48, -18,  -3, 7, 28.5,③④④, 3, 4, アポロゼウス,---,勝浦正, 0.4, 48,*-20,  -2, 3,  5.8,②②②, 3, 6,Ａブレイクナイン, 76,吉田豊, 0.2, 73,   7,   1, 1,  2.7,③④③, 3, 2,Ｅアロマカフェ, 81,武豊  , 0.1, 88,  16,   4, 2,  4.4,④⑤④
 4,11,Ａマイネルリｰプ, 51,津村明, 0.2, 47, -18,  -6, 2,  3.8,⑪⑥⑥, 4, 1, ハッピｰティア,---,戸崎圭, 0.4, 55, -26,* 12, 4, 10.8,⑧⑧⑧, 4,11,Ｉハｰトフルハピネス, 63,北村宏, 0.6, 72,   1,*  7, 6, 16.4,⑨⑨⑩, 4,10,Ｎゲｰムマエストロ, 74,田中勝, 0.2, 88,  12,* 14,11, 40.6,⑮⑬⑭
 5, 7,Ｊカルテット, 33,勝浦正, 0.4, 49, -22,*  1, 9, 45.5,⑫⑫⑫, 5, 3, サンマルヴィエント,---,小林淳, 0.6, 46, -21,  -2, 5, 21.5,③③③, 5,12,Ｄアポロストｰム, 67,西田雄, 0.7, 69,   3,   3, 9, 34.5,⑦⑦⑦, 5,12,Ｈダｰクシャドウ, 79,四位洋, 0.3, 86,  15,   5, 6, 10.5,⑪⑩⑨
 6, 1,Ｇリベラルアｰツ, 38,戸崎圭, 0.5, 52, -27,*  9, 5, 11.9,⑬⑬⑬, 6, 5, トｰセンソニア,---,三浦皇, 1.0, 42, -21,  -7, 6, 31.5,④④④, 6, 8,Ｆメイショウデュｰイ, 64,小島太, 0.7, 69,   7,  -4,10, 35.6,⑥⑤⑥, 6, 4,Ｂミッションモｰド, 84,北村宏, 0.4, 86,  13,   6, 8, 20.6,⑨⑪⑪
 7,12,Ｌサクラオイデ, 29,小野寺, 0.6, 40,*-15, -16,13,425.9,①①①, 7, 2, シングントップガン,---,宮崎北, 1.3, 41, -23,  -6, 8, 66.8,⑤⑥⑥, 7,14,Ｅウォｰボネット, 66,松岡正, 0.9, 70,   0,   6, 5, 12.2,⑪⑩⑨, 7,16,Ｌヤングアットハｰト, 75,藤田伸, 0.5, 85,  13,   6,12, 43.0,⑬⑫⑫
 8, 3,Ｄシルクマイベスト, 45,三浦皇, 0.8, 44, -23,  -5, 3,  6.3,⑨⑪⑩, 8, 8, シノプシス,---,柴田大, 1.4, 44, -27,   2, 7, 52.8,⑨⑨⑨, 8, 2,Ｌドリｰムヘリテｰジ, 59,田中博, 1.1, 67,   1,   0,13,137.5,⑧⑧⑧, 8, 1,Ｉナイスミｰチュｰ, 79,三浦皇, 0.7, 84,  15,  -1,10, 32.8,⑧⑧⑦
 9, 4,Ｈラヴァリｰオステル, 34,吉田隼, 0.9, 40, -21,  -9,12,236.3,⑩⑩⑪, 9, 7, ディアリｰル,---,木幡初, 2.0, 31, -23, -15, 9,126.9,⑦⑦⑦, 9,13,Ｍダッシュアキチャン, 57,大庭和, 1.2, 66,   0,   1,12, 65.9,⑩⑪⑪, 9, 8,Ｊミキノバンジョｰ, 78,太宰啓, 0.9, 80,  17, -11, 7, 14.7,⑤④③
10, 6,Ｉタツフレンチ, 33,丸田恭, 1.2, 34, -20, -16,10,172.1,⑦⑧⑨,,,,,,,,,,,,,10,15,Ｇノｰザンジュン, 64,勝浦正, 1.3, 65,  -3,   5,14,149.1,⑫⑫⑫,10, 7,Ｃベストアンサｰ, 84,吉田隼, 1.1, 80,  11,   5,13, 51.1,⑭⑯⑯
11, 5,Ｋマイネルディビｰノ, 30,松岡正, 1.2, 34, -18, -20, 8, 33.6,④⑤⑤,,,,,,,,,,,,,11,10,Ｊマロノヴィｰナス, 63,戸崎圭, 1.6, 65,  -7,* 10, 4,  9.0,⑮⑮⑮,11,11,Ｋシャイニンアｰサｰ, 77,横山典, 1.3, 77,  12,  -1, 9, 31.1,⑫⑭⑮
12, 9,Ｅトキノエクセレント, 43,江田照, 1.5, 32, -19, -21, 4,  7.5,⑧⑨⑧,,,,,,,,,,,,,12, 4,Ｋシンボリマルセイユ, 61,江田照, 1.6, 58,*  8, -22, 7, 24.0,②②②,12, 5,Ｆフェイルノｰト, 80,松岡正, 1.3, 77,  16, -14, 5,  9.8,⑥⑥⑤
13,13,Ｍアミフジエンブレム, 19,平野優, 1.5, 29,*-16, -29,11,230.3,②②②,,,,,,,,,,,,,13, 7,Ｈトｰセンマリｰン, 64,木幡初, 2.0, 54,*  8, -28, 8, 24.8,④③⑤,13, 9,Ｐファｰストグロｰス, 70,吉田豊, 1.3, 77,  16, -11,15,179.8,⑩⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｏスプリングモナ, 51,郷原洋, 2.1, 57,  -4,  -3,15,239.5,⑬⑬⑬,14, 3,Ａゲシュタルト, 95,池添謙, 1.9, 72,  17, -25, 1,  4.0,③②②
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｎスガノタキオン, 55,中舘英, 2.5, 54,  -5,  -8,11, 55.4,⑭⑭⑭,15, 6,Ｏシルクスチュアｰト, 73,村田一, 1.9, 72,  16, -22,14, 96.5,⑦⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｑガナｰル, 69,戸崎圭, 2.7, 66,  12, -21,17,346.9,⑰⑮⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｍコスモヘレノス, 74,丹内祐, 3.5, 63,  17, -48,16,200.1,②③⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,
