10年12月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9,13,Ｆミキノコモコ, 51,武士沢, 2.2, 45,* 12, -19,11, 84.3, ④④, 9, 5, ドラゴンハンタｰ,,平沢健,197.9,,,, 2,  4.2,⑪⑩⑨,,,,,,,,,,,,, 9, 1,Ｈブルｰマｰテル, 79,江田照, 0.7, 76,   6,   2, 8, 24.3,⑦⑦⑥
10, 2,Ｇリネンムｰド, 44,南田雅, 2.5, 42,* 10, -22, 8, 26.2, ②②,10, 8, ウインレックス,,大江原,198.5,,,, 9, 38.4,③③④,,,,,,,,,,,,,10,13,Ｆエｰシンコンファｰ, 80,伊藤工, 0.7, 73,* 10,  -7, 6, 17.3,③③④
11, 7,Ｊミヤビアザｰレ, 36,伊藤工, 2.8, 34,  -5, -10,14,376.1, ⑮⑭,11,10, スノｰピｰパッド,,蓑島靖,199.6,,,,14,167.3,⑫⑫⑫,,,,,,,,,,,,,11, 8,Ｃマイネルアトレ, 85,津村明, 0.9, 72,   9,  -7, 4,  8.1,⑥④⑤
12, 1,Ｐスズカキュｰト, 11,幸英明, 3.6, 29,  -3, -18,12,187.2, ⑫⑬,12,14, ナイトスズラン,,山本康,199.9,,,, 8, 33.9,⑥⑦⑩,,,,,,,,,,,,,12, 7,Ｌヴィｰヴァヴォドカ, 76,吉田隼, 1.1, 68,* 10, -13,11, 40.4,②②②
13, 3,Ｍヤマノエレガンス, 32,大庭和, 3.9, 28, -20,  -6,13,303.9, ⑯⑯,13, 3, タイラファ,,北沢伸,206.5,,,,13,120.9,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
14,16,Ｄロンスヴォｰ, 52,吉田稔, 3.9, 28,   7, -31, 5, 17.3, ⑤⑦,14,12, ウォｰタｰジャズ,,今村康,211.2,,,,11, 94.8,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15, 4,Ｏラブリｰムｰン, 27,郷原洋, 4.2, 23,  -4, -23,16,494.9, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,Ｉテイエムヒナマツリ, 40,平野優, 4.4, 22,   4, -32,15,407.4, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,
単勝:870円 複勝:15=210円 05=110円 12=320円 枠連:290円,,,,,,,,,,,,"単勝:530円 複勝:04=160円 02=260円 09=140円 枠連:2,350円",,,,,,,,,,,,単勝:120円 複勝:02=100円 04=300円 枠連:0円,,,,,,,,,,,,単勝:250円 複勝:04=130円 03=220円 11=350円 枠連:780円,,,,,,,,,,,
"馬連:750円 ワイド:05-15=320円 12-15=1,300円 05-12=490円",,,,,,,,,,,,"馬連:2,110円 ワイド:02-04=670円 04-09=350円 02-09=520円",,,,,,,,,,,,馬連:490円 ワイド:02-04=180円 02-07=140円 04-07=350円,,,,,,,,,,,,"馬連:880円 ワイド:03-04=400円 04-11=700円 03-11=2,120円",,,,,,,,,,,
"馬単:2,100円 3連複:2,990円 3連単:19,030円",,,,,,,,,,,,"馬単:4,240円 3連複:2,070円 3連単:15,990円",,,,,,,,,,,,"馬単:510円 3連複:430円 3連単:1,260円",,,,,,,,,,,,"馬単:1,500円 3連複:5,230円 3連単:16,980円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｶﾍﾟﾗｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂタイセイクライマｰ, 64,蛯名正,, 59,*  0,*  0, 2,  6.5, ③③, 1,11, レｰザｰバレット,---,横山典,, 61,* -4,*  4, 3,  4.6,③②②, 1,13,Ｃタイセイワイルド, 77,柴田善,, 73,*  2,  12, 4,  7.1,①②②, 1,13,Ａセイクリムズン, 96,幸英明,, 91,  12,  17, 3,  4.4, ⑤⑤
 2, 3,Ａアポロフィオリｰナ, 80,吉田隼, 0.1, 57,*  2,  -3, 1,  1.4, ②②, 2, 5, シンワコクオウ,---,北村宏, 0.7, 56,* -3,  -2, 7, 21.4,①①①, 2, 2,Ｂマスタｰソムリエ, 77,北村宏, 0.0, 75,  -1,* 17, 2,  3.1,⑦⑧⑦, 2,15,Ｋティアップワイルド, 86,石橋脩, 0.0, 90,   9,  20,13, 85.9, ⑨⑨
 3,11,Ｉブラックエスパｰ, 38,伊藤工, 0.4, 53,  -4,  -2, 8,149.1, ⑥⑤, 3, 1, トミケンベッセル,---,幸英明, 1.0, 56,  -5,  -1, 6, 17.2,④⑥③, 3,15,Ｌビュｰティファイン, 64,津村明, 0.1, 72,*  3,   8,11, 60.9,⑭①①, 3, 7,Ｂエノク, 93,浜中俊, 0.2, 89,  11,  16, 5, 10.6, ⑦⑧
 4,14,Ｃブルｰスタｰ, 64,柴田善, 0.5, 52,  -5,  -2, 5, 12.1, ⑧⑥, 4,10, ホワイトアッシュ,---,柴田善, 1.4, 51,  -5,  -4, 2,  3.6,⑤⑦⑧, 4, 7,Ｋウインマリアベｰル, 67,吉田隼, 0.5, 74,   0,  11, 7, 24.3,⑤⑥③, 4, 8,Ｊシルクフォｰチュン, 86,小牧太, 0.3, 87,   4,* 23, 1,  4.1, ⑭⑭
 5, 7,Ｅダイワサンバｰスト, 51,北村宏, 0.6, 50,  -9,*  1, 3,  9.4, ⑩⑧, 5, 3, ミラクルオブレナ,---,浜中俊, 2.3, 47,  -6, -10, 5, 17.1,⑦⑧⑤, 5,16,Ｉディミｰタ, 69,幸英明, 0.5, 75,  -3,* 18,12, 62.8,⑬⑭⑩, 5,14,Ｉマルカベンチャｰ, 86,吉田隼, 0.3, 89,   6,  21, 9, 31.4, ⑬⑬
 6,15,Ｇヨアケ, 40,的場勇, 0.8, 47,*  0, -11, 6, 24.5, ④⑦, 6, 6, カズノキセキ,---,坂井英, 2.8, 43,  -6, -15,10, 51.5,⑩⑨⑩, 6, 3,Ｏスペｰスウォッチ, 56,坂井英, 0.6, 73,  -3,  15,10, 55.2,⑪⑫⑫, 6, 6,Ｅマハｰバリプラム, 90,蛯名正, 0.4, 87,   8,  17, 4,  9.3, ⑪⑪
 7, 4,Ｄニシノオウガイ, 56,三浦皇, 0.9, 47, -10,  -2, 4, 10.8, ⑪⑪, 7, 7, ギャロップタイム,---,木幡初, 2.9, 42,  -4, -18, 8, 32.8,②③④, 7, 8,Ｍスマｰトイｰグル, 64,川田将, 0.6, 74,  -2,  15,13, 97.0,⑫⑪⑬, 7, 9,Ｇスｰニ, 88,川田将, 0.5, 87,  13,  12, 7, 15.3, ④④
 8, 6,Ｆネセサリｰ, 44,坂井英, 0.9, 47, -11,*  0, 7, 49.0, ⑬⑫, 8, 2, ディｰエスハスラｰ,---,石橋脩, 3.4, 40,  -8, -16, 9, 33.8,⑨⑩⑨, 8, 9,Ｆシルクリンカｰン, 73,蛯名正, 0.7, 71,   0,  10, 3,  6.2,⑧⑦⑤, 8,16, ヤサカファイン,---,石崎駿, 0.6, 85,   8,  16, 6, 11.3, ⑩⑦
 9, 9,Ｍジョｰプラチネラ, 36,幸英明, 1.0, 46,  -5,  -8,10,153.7, ⑦④, 9, 4, ジュクセイ,---,蛯名正, 4.2, 34,  -5, -30, 1,  3.4,⑧⑤⑦, 9,12,Ｈジュエルビスティｰ, 73,勝浦正, 0.8, 70,   1,   7, 8, 33.1,⑥④④, 9, 5,Ｌスリｰアベニュｰ, 84,江田照, 0.6, 85,   0,* 23,15,214.8, ⑮⑯
10,10,Ｐサクラメアリ,  3,石橋脩, 1.2, 43, -17,*  1,12,290.8, ⑯⑭,10, 9, コスモバラマン,---,津村明, 4.6, 31,  -5, -32, 4,  4.7,⑥④⑥,10, 6,Ａロトスカイブルｰ, 78,横山典, 1.2, 67,  -1,   8, 1,  3.0,④⑨⑨,10,12,Ｈダイワディライト, 87,北村宏, 0.6, 84,   7,  16, 8, 18.4, ⑫⑫
11, 5,Ｋシャコｰフィｰユ, 37,平野優, 1.8, 35,  -6, -17,14,378.2, ⑨⑨,11, 8, マドラスシチｰ,---,伊藤工, 4.7, 31, -11, -22,11,133.0,⑪⑪⑪,11, 1,Ｎオウシュウベスト, 63,浜中俊, 1.2, 73,  -8,* 21,14,189.9,⑯⑯⑯,11, 1,Ｆビクトリｰテツニｰ, 89,三浦皇, 0.7, 84,  -2,* 24,14, 94.6, ⑯⑮
12,16,Ｈニシノゼｰレ, 39,岩部純, 1.9, 34,  -1, -24,15,391.3, ⑤⑩,,,,,,,,,,,,,12,10,Ｇドリｰムシガｰ, 73,木幡初, 1.5, 64,   0,   1, 6, 14.9,③③⑥,12, 3,Ｃナムラタイタン, 92,熊沢重, 0.9, 84,  11,  10, 2,  4.1, ⑥⑥
13,13,Ｌカムアップロｰズ, 36,木幡初, 2.1, 33, -11, -15, 9,150.2, ⑮⑯,,,,,,,,,,,,,13,14,Ｐジェットメジャｰ, 36,的場勇, 2.0, 68,  -6,  11,15,195.5,⑮⑮⑭,13, 4,Ｎヘッドライナｰ, 79,津村明, 1.0, 82,* 16,   5,11, 45.8, ②②
14, 1,Ｏラインレイジ, 23,石崎駿, 2.1, 31, -12, -16,16,563.9, ⑫⑬,,,,,,,,,,,,,14, 5,Ｄアルファアップル, 76,三浦皇, 2.1, 61,  -2,   1, 9, 54.7,⑩⑩⑪,14, 2,Ｄニシノコンサフォス, 90,勝浦正, 1.1, 81,* 14,   6,12, 47.5, ③③
15, 2,Ｊラブギムレｰ, 37,小野寺, 2.3, 28,*  3, -33,11,248.8, ①①,,,,,,,,,,,,,15,11,Ｊフェアｰムｰラン, 68,小野寺, 2.6, 57,   0,  -6,16,261.8,②⑤⑧,15,10,Ｍアグネスジェダイ, 79,柴山雄, 1.9, 73,  10,   3,16,414.9, ⑧⑩
16,12,Ｎビヨンドザリミット, 34,勝浦正, 2.5, 26, -11, -21,13,308.9, ⑭⑮,,,,,,,,,,,,,16, 4,Ｅユニヴァｰスガイ, 75,石橋脩, 8.8, 23,  -3, -53, 5, 13.3,⑨⑬⑮,16,11, ジｰエスライカｰ,---,坂井英, 2.2, 71,* 17,  -6,10, 38.9, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:90 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:650円 複勝:08=150円 03=110円 11=1,810円 枠連:180円",,,,,,,,,,,,"単勝:460円 複勝:11=190円 05=500円 01=410円 枠連:3,140円",,,,,,,,,,,,"単勝:710円 複勝:13=230円 02=170円 15=1,040円 枠連:1,030円",,,,,,,,,,,,"単勝:440円 複勝:13=180円 15=1,380円 07=320円 枠連:1,760円",,,,,,,,,,,
"馬連:390円 ワイド:03-08=190円 08-11=3,590円 03-11=2,460円",,,,,,,,,,,,"馬連:5,250円 ワイド:05-11=1,480円 01-11=1,220円 01-05=2,500円",,,,,,,,,,,,"馬連:1,050円 ワイド:02-13=460円 13-15=3,870円 02-15=2,490円",,,,,,,,,,,,"馬連:18,610円 ワイド:13-15=3,970円 07-13=700円 07-15=7,840円",,,,,,,,,,,
"馬単:1,400円 3連複:8,960円 3連単:46,230円",,,,,,,,,,,,"馬単:6,410円 3連複:16,050円 3連単:78,630円",,,,,,,,,,,,"馬単:2,520円 3連複:15,910円 3連単:68,350円",,,,,,,,,,,,"馬単:27,170円 3連複:37,030円 3連単:217,490円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  ダ1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,舞浜特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａエｰブポセイドｰン, 64,蛯名正,, 56,*  4, -20, 3,  5.1,②②②, 1, 4, ユウセン,---,蛯名正,, 64,*-14,  11, 4,  6.5,②②②, 1, 7,Ａピｰスエンブレム, 84,三浦皇,, 77,   2,* 16, 1,  2.3,⑨⑨⑨, 1, 5,Ａアラマサロｰズ, 83,勝浦正,, 77,   6,   6, 3,  5.5, ⑧⑥
 2, 5,Ｃサマｰチェリｰ, 58,柴田善, 0.0, 57,  -2,* -9, 6, 15.8,⑫⑪⑦, 2, 8, ファストワｰカｰ,---,横山典, 0.1, 64, -16,* 13, 1,  2.3,③③③, 2, 4,Ｎリコリス, 71,坂井英, 0.0, 77,   2,* 16, 8, 25.6,⑦⑧⑩, 2, 8,Ｂセイコｰライコウ, 82,柴田善, 0.0, 77,  10,   2, 2,  3.9, ⑤⑤
 3,11,Ｆロｰレルソラン, 55,武英智, 0.1, 58,  -6,* -3,12, 78.4,⑯⑮⑮, 3, 5, テルバイク,---,三浦皇, 0.2, 67, -18,* 16, 2,  3.8,④④④, 3,16,Ｌテイクバイストｰム, 72,勝浦正, 0.2, 76,   3,  14, 6, 13.9,⑧⑦④, 3, 3,Ｈレイクエルフ, 74,武士沢, 0.0, 77,   3,   9,11, 35.3, ⑩⑨
 4, 4,Ｅスタｰトセンス, 56,勝浦正, 0.2, 54,   0, -15, 8, 30.5,⑩⑦⑨, 4, 2, フロｰラルホｰル,---,小林淳, 0.6, 52,*-11,  -4, 3,  5.1,①①①, 4,14,Ｄマリアｰジュ, 79,石橋脩, 0.2, 77,   3,  16, 4,  9.9,⑫⑩⑧, 4, 9,Ｆアスタｰエンペラｰ, 75,吉田隼, 0.1, 76,* 12,  -2, 9, 28.3, ①①
 5, 9,Ｈエアジョイント, 52,吉田稔, 0.2, 54,   0, -15, 4,  6.0,⑨⑩⑩, 5, 7, クイｰンセレニティ,---,大庭和, 1.3, 53, -18,   3, 9,115.4,⑧⑦⑥, 5, 5,Ｆベルスリｰブ, 75,横山典, 0.3, 76,   1,* 16, 5, 11.1,⑬⑫⑪, 5, 6,Ｊトップオブピｰコイ, 71,川田将, 0.1, 77,   3,   7, 5, 15.8, ⑪⑪
 6, 3,Ｍコモレビ, 43,津村明, 0.2, 54,*  7, -26, 2,  4.8,①①①, 6, 6, タイソンバロｰズ,---,吉田稔, 1.3, 54, -21,   8, 6, 21.7,⑦⑧⑧, 6, 8,Ｅグレｰスエポナ, 78,柴田善, 0.5, 73,  -1,* 17, 9, 25.7,⑮⑯⑭, 6, 1,Ｉトｰホウカイザｰ, 73,柴山雄, 0.1, 75,  -8,* 18,13, 76.5, ⑭⑫
 7, 7,Ｉレナキックス, 52,三浦皇, 0.3, 54,   1, -19,11, 70.8,⑧⑧⑥, 7, 3, グッドフライト,---,浜中俊, 1.5, 50, -18,  -1, 8, 59.7,⑥⑤⑤, 7, 2,Ｃアｰスマリン, 80,村田一, 0.7, 74,   0,  15,10, 31.8,⑭⑮⑯, 7,10,Ｅヒカルプリンス, 76,北村宏, 0.2, 75,   6,   4, 7, 25.7, ⑨⑩
 8,16,Ｂトｰセンパピヨン, 60,横山典, 0.4, 50,   2, -23, 1,  2.7,④⑤⑤, 8, 9, ゲンパチボロン,---,川田将, 2.2, 40, -18, -12, 5,  9.1,⑤⑥⑦, 8, 9,Ｂアルダントヌイ, 80,川田将, 0.9, 72,*  5,   5, 7, 19.7,②②②, 8,11,Ｇウインバンディエラ, 75,的場勇, 0.2, 74, -12,* 21,10, 29.9, ⑮⑮
 9,15,Ｇマツマエザクラ, 54,伊藤工, 0.4, 52,   2, -22, 5, 14.7,③④④, 9, 1, シャインファルコン,---,幸英明, 6.4, -9, -21, -65, 7, 41.7,⑨⑨⑨, 9,10,Ｈメジロマリアン, 75,幸英明, 1.0, 72,   0,  11,11, 44.9,⑯⑭⑬, 9,12,Ｏコアレスカポｰテ, 65,石橋脩, 0.2, 75,   2,   7,12, 52.0, ⑫⑬
10,12,Ｎオウエイミステリｰ, 34,平野優, 0.5, 51,  -5, -12,16,496.2,⑪⑬⑫,,,,,,,,,,,,,10,13,Ｇエレガントマナｰ, 75,吉田稔, 1.1, 70,   2,  10,13, 74.0,⑪⑬⑫,10,14,Ｄタｰニングポイント, 77,蛯名正, 0.4, 72,* 12,  -6, 4,  6.1, ③③
11, 2,Ｄショウナンサｰジュ, 56,北村宏, 0.6, 50,   3, -26, 7, 20.1,⑥③③,,,,,,,,,,,,,11,11,Ｉホクレレ, 74,北村宏, 1.7, 64,   3,   0,15, 93.6,⑤⑤⑥,11,13,Ｌオモイデサクラ, 70,幸英明, 0.5, 70,  -4,   9, 6, 21.7, ⑬⑭
12,10,Ｋオペラ, 51,川田将, 0.7, 50,  -5, -16, 9, 30.8,⑭⑭⑭,,,,,,,,,,,,,12, 3,Ｋダルニム, 73,柴山雄, 1.8, 64,*  4,  -1, 3,  9.3,③④⑤,12,15,Ｃコウヨウサンデｰ, 81,横山典, 0.6, 69,* 11,  -7, 1,  3.0, ⑥⑦
13, 8,Ｌウインドワｰド, 48,小牧太, 0.8, 49,  -3, -18,10, 55.5,⑬⑫⑪,,,,,,,,,,,,,13, 6,Ｍクリミナルコｰド, 72,蛯名正, 2.1, 62,*  5,  -6, 2,  4.8,①①①,13, 4,Ｍカｰリアンダンス, 70,坂井英, 0.9, 65,   8,  -8,14,162.0, ⑦⑧
14, 1,Ｏティｰケイラビット, 26,吉田隼, 0.8, 47,   0, -24,13, 79.1,⑤⑥⑧,,,,,,,,,,,,,14,12,Ｏアリガタイ, 70,浜中俊, 2.3, 62,*  4,  -6,12, 67.3,④③③,14, 2,Ｎメジロチャンプ, 66,江田照, 1.3, 61,* 12, -17, 8, 26.4, ②②
15, 6,Ｊネコチｰタｰ, 51,江田照, 0.9, 49,  -1, -22,14,172.7,⑦⑨⑬,,,,,,,,,,,,,15, 1,Ｐブラックジョｰク, 60,大庭和, 2.9, 56,   1,  -5,16,129.4,⑩⑪⑮,15, 7,Ｋマイネルオｰクベイ, 70,津村明, 1.9, 52,  10, -23,15,304.6, ④④
16,13,Ｐフジアムｰル,-32,鈴来直, 3.1, 25, -14, -33,15,413.7,⑮⑯⑯,,,,,,,,,,,,,16,15,Ｊベルモントヤマユリ, 73,秋山真, 3.1, 55,*  4, -12,14, 77.5,⑥⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:510円 複勝:14=210円 05=470円 11=1,690円 枠連:3,470円",,,,,,,,,,,,単勝:650円 複勝:04=150円 08=120円 05=140円 枠連:550円,,,,,,,,,,,,単勝:230円 複勝:07=130円 04=620円 16=320円 枠連:810円,,,,,,,,,,,,"単勝:550円 複勝:05=170円 08=170円 03=570円 枠連:1,090円",,,,,,,,,,,
