10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:12,880円 3連複:17,580円 3連単:98,730円",,,,,,,,,,,,"馬単:2,780円 3連複:7,050円 3連単:30,050円",,,,,,,,,,,,"馬単:1,070円 3連複:5,520円 3連単:14,160円",,,,,,,,,,,,"馬単:1,880円 3連複:6,040円 3連単:20,620円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,相模湖特別,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｊデルマバフチャラ, 41,宮崎北,, 57,  -4,* -6,12,112.1, ⑤⑧, 1, 7,Ｂクレバｰクリス, 73,柴田善,, 73,   0,* 11, 2,  3.1, ⑦⑦, 1, 9,Ｏスペシャルハｰト, 66,内田博,, 86,* 20,   1, 8, 24.0, ④④, 1, 9,Ｅトｰセンジョｰダン, 86,内田博,,101,   8,* 21, 2,  3.6,⑥⑦⑥
 2, 7,Ｄマイネルヴィルンガ, 50,松岡正, 0.0, 57,* -2, -10, 3,  5.4, ③③, 2,10,Ｃオメガフレグランス, 71,松岡正, 0.0, 74,  -1,* 14, 3,  4.8, ⑨⑨, 2, 2,Ｃハｰティンハｰト, 79,的場勇, 0.2, 82,* 20,  -2, 5,  7.6, ③③, 2, 3,Ａトゥザグロｰリｰ, 93,武豊  , 0.1, 98,   8,  20, 1,  2.7,④④④
 3, 6,Ｂロイヤルサルｰト, 55,田中勝, 0.2, 54,* -2, -13, 1,  2.8, ②②, 3, 1,Ａマスタｰコｰク, 76,武豊  , 0.1, 72,*  7,   0, 1,  2.9, ①①, 3,17,Ｋサトノジュｰオｰ, 73,北村宏, 0.3, 80,  17,  -1, 7, 20.1, ⑤⑤, 3, 8,Ｊショウナンライジン, 81,吉田豊, 0.2, 98,   7,* 21,14,265.3,⑪⑨⑨
 4, 9,Ａデルマガネｰシャ, 58,西村太, 0.2, 53,  -3, -11, 6, 13.3, ⑦⑥, 4, 4,Ｄビクトリアスバイオ, 70,丸田恭, 0.3, 70,   5,   1, 6, 15.7, ③④, 4, 6,Ｇコウヨウサンデｰ, 75,田中勝, 0.3, 80,  15,   3, 4,  5.7, ⑥⑥, 4, 6,Ｄデストラメンテ, 86,丹内祐, 0.5, 99,   6,* 22,11, 80.6,⑬⑪⑫
 5,10,Ｉベルモントセブン, 42,津村明, 0.2, 53,  -7,* -6, 7, 19.9, ⑩⑨, 5,12,Ｇハエヌキ, 67,田中勝, 0.3, 71,   1,   7, 9, 35.1, ⑥⑥, 4,10,Ｅシャドｰクロス, 78,吉田豊, 0.3, 78,   8,* 12, 6, 13.7, ⑬⑬, 5, 7,Ｇトリビュｰトソング, 85,勝浦正, 0.7, 94,   6,  20, 5, 14.3,⑭⑭⑬
 6,13,Ｇナムラオｰシャン, 43,吉田豊, 0.3, 51,  -7,* -7, 2,  4.5, ⑪⑩, 6, 5,Ｆヴィトンクイｰン, 67,吉田豊, 0.5, 69,  -2,  10, 8, 34.9, ⑧⑧, 6, 7,Ｆシャドウストライプ, 76,丸山元, 0.3, 78,   9,* 10,12, 67.8, ⑪⑪, 6, 5,Ｂサンライズベガ, 92,松岡正, 0.7, 92,   7,  14, 3,  6.2,⑦⑧⑧
