10年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
10, 6,Ｎテイエムアミｰゴ, 43,佐久間, 1.8, 47,  -2,  -6, 9, 42.7, ⑭⑪,10, 1, シゲルソウダンヤク,---,国分恭, 4.0, 20,  -7, -37, 7, 20.9, ⑦⑧,10, 7,Ｂテｰオｰマグナム, 75,ウィリ, 1.4, 61,* 16, -29,10, 16.5,④①①,10,13,Ｐフォゲッタブル, 86,蛯名正, 0.8, 82,  16,  -9, 6, 18.2,⑬⑩⑪
11,10, メイショウグビジン,---,川須栄, 2.4, 42,  -7,  -5,14,148.4, ⑯⑮,11, 4, スｰサンショｰ,---,高倉稜, 5.8,-17, -37, -25,11, 80.8, ⑪⑪,11,12,Ｍクレイジｰドライブ, 67,岩田康, 1.5, 63,  11, -22,11, 18.0,⑧⑦⑨,11, 1,Ｌイコピコ, 88,岩田康, 1.2, 81,  15, -10,11, 46.6,⑩⑬⑬
12,12,Ｌスウィングベル, 47,藤岡佑, 2.6, 43,*  7, -24, 5,  9.4, ③④,,,,,,,,,,,,,12, 8,Ｌガルビスティｰ, 68,川島信, 1.9, 60,   0,* -2, 5,  8.1,⑮⑮⑮,12, 7,Ｊマイネルアンサｰ, 89,川田将, 1.2, 80,  13,  -6,15,183.4,⑯⑯⑯
13, 9,Ｈヒロコファンタジｰ, 52,岩崎祐, 3.1, 41,*  9, -31,10, 67.5, ①①,,,,,,,,,,,,,13, 2,Ｋピサノプリヴェ, 70,池添謙, 2.0, 56,  12, -28, 7, 12.2,⑤⑥⑥,13, 9,Ｏロジユニヴァｰス, 86,安藤勝, 1.2, 80,* 19, -21, 5,  8.9,④③③
14, 1,Ｋカンファｰリニア, 50,池添謙, 4.0, 31,  -3, -23,12, 74.1, ⑬⑭,,,,,,,,,,,,,14, 1,Ｎスマｰトシルエット, 67,川田将, 2.3, 57,   8, -22, 2,  6.5,⑦⑪⑭,14,11,Ｅトップカミング, 94,浜中俊, 1.3, 80,* 19, -19,16,247.8,⑤④⑧
15, 2,Ｍビュｰティペガサス, 46,幸英明, 4.4, 28,  -2, -29,13, 82.5, ⑫⑯,,,,,,,,,,,,,15,10,Ｉパルクエスト, 71,松山弘, 5.3, 42,  14, -60, 6, 10.4,①②⑪,15,16,Ｑアクシオン, 86,藤田伸, 1.5, 77,* 19, -23,10, 46.5,⑨⑦⑤
16, 8,Ｏカロｰラｰ, 27,高倉稜, 5.5, 21,   0, -40,15,179.3, ⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｆセイウンワンダｰ, 93,福永祐, 1.8, 75,  17, -26, 7, 27.4,⑥⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｒマキハタサイボｰグ, 79,太宰啓, 2.6, 69,  15, -28,17,402.8,⑮⑭⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-20 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:96 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:稍重(指数:1),,,,,,,,,,,
単勝:490円 複勝:14=210円 16=260円 04=320円 枠連:570円,,,,,,,,,,,,単勝:290円 複勝:09=130円 10=160円 07=550円 枠連:240円,,,,,,,,,,,,"単勝:510円 複勝:09=190円 15=400円 14=2,220円 枠連:2,180円",,,,,,,,,,,,"単勝:3,780円 複勝:17=710円 08=120円 02=200円 枠連:780円",,,,,,,,,,,
"馬連:2,020円 ワイド:14-16=810円 04-14=1,080円 04-16=1,370円",,,,,,,,,,,,"馬連:580円 ワイド:09-10=270円 07-09=1,340円 07-10=1,710円",,,,,,,,,,,,"馬連:3,380円 ワイド:09-15=1,210円 09-14=11,700円 14-15=14,510円",,,,,,,,,,,,"馬連:5,150円 ワイド:08-17=1,580円 02-17=2,870円 02-08=330円",,,,,,,,,,,
"馬単:3,570円 3連複:5,960円 3連単:34,720円",,,,,,,,,,,,"馬単:1,030円 3連複:4,760円 3連単:17,520円",,,,,,,,,,,,"馬単:6,370円 3連複:104,190円 3連単:302,670円",,,,,,,,,,,,"馬単:16,990円 3連複:7,920円 3連単:77,160円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,和田岬特別,,,,,,,,,,,,皆生特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂブルｰデジャブ, 62,鷹野宏,, 62,* 15, -10, 2,  3.3, ②①, 1,17,Ｃマイネルガヴロシュ, 63,幸英明,, 67,   8, -12, 2,  6.2, ⑪⑧, 1,11,Ａジョｰメテオ, 78,後藤浩,, 79,  12,*  3, 1,  2.9, ⑦⑧, 1,16,Ｈマルブツサクラオｰ, 80,浜中俊,, 83,   9,* 10, 6, 19.2, ⑧⑨
 2, 9,Ｃウインラスタｰ, 61,小坂忠, 0.2, 59,* 13, -10, 5, 18.8, ④③, 2,13,Ｄヘヴンリｰヴォイス, 63,池添謙, 0.0, 68,   6,* -8, 1,  3.9, ⑫⑬, 2, 1,Ｃレジェンドブルｰ, 75,国分恭, 0.3, 77,  13,  -5, 3,  6.2, ⑤④, 2, 5,Ａスティｰルパス, 88,後藤浩, 0.0, 82,* 14,   4, 5, 13.0, ②①
 3, 5,Ｍニホンピロシュラブ, 44,酒井学, 0.3, 59,  10,  -8, 8, 40.6, ⑤⑤, 3, 6,Ａケイビイテルマ, 65,蛯名正, 0.2, 63,   8, -15, 3,  6.3, ⑥⑥, 3, 9,Ｅナリタプラチナ, 73,和田竜, 0.3, 76,  16, -10, 2,  4.0, ③③, 3,11,Ｂワｰルドワイド, 87,小牧太, 0.3, 79,   9,   7, 2,  4.0, ⑩⑧
 4, 2,Ｄオｰルザワｰルド, 60,和田竜, 0.6, 54,   8,  -8, 1,  2.3, ⑨⑦, 4,10,Ｇサトノサウザｰ, 60,岩田康, 0.2, 66,   5,* -9, 6,  8.5, ⑯⑭, 4, 2,Ｇハンタｰキリシマ, 70,野元昭, 0.6, 75,  11,  -2, 8, 35.7, ⑩⑩, 4, 3,Ｇシャア, 80,小坂忠, 0.4, 79,   6,* 12, 4,  6.1, ⑭⑬
 5,16,Ｉエイチケイパレス, 47,後藤浩, 0.6, 49,  -1,*  0, 7, 20.3, ⑮⑫, 5,18,Ｊデンコウアルセウス, 53,浜中俊, 0.4, 62,*  9, -21,17,185.1, ③③, 5,10,Ｈアドマイヤツバサ, 69,岩田康, 0.6, 73,  16, -15, 4,  6.9, ②②, 5,12,Ｆメイショウトリノ, 82,横山典, 0.5, 78,* 14,  -1, 1,  3.5, ③③
 6, 4,Ｆポｰトクラシック, 50,柴田善, 0.8, 48,   1,* -4,12, 87.5, ⑬⑭, 6,14,Ｂスタｰダムオｰラ, 63,柴田善, 0.5, 60,   6, -16, 4,  6.6, ⑩⑫, 6, 6,Ｄブルｰモｰリシャス, 75,小牧太, 0.8, 72,  14, -10, 5,  8.5, ⑥⑥, 6,14,Ｉグリッタｰエルフ, 79,酒井学, 0.8, 77,   7,   5,10, 32.1, ⑪⑪
 7,13,Ａホッコｰイェｰガｰ, 67,高倉稜, 1.0, 50,   9, -13, 3,  6.2, ⑥⑥, 7, 1,Ｉモｰガンルフェイ, 53,福永祐, 0.7, 60,   8, -22, 7,  8.6, ④④, 7, 5,Ｂキャニオンブラウン, 76,松田大, 1.0, 70,  12, -12, 7, 15.2, ⑨⑦, 7,15,Ｏケイアイブリザｰド, 65,和田竜, 0.9, 76,  11,  -1, 9, 30.2, ⑤⑥
 8,15,Ｏコンフィデンシャル, 27,浜中俊, 1.4, 44,   2, -10,13,127.5, ⑫⑪, 8, 7,Ｏアッシュｰル, 47,川須栄, 0.7, 60,   2,*-10,14,103.5, ⑮⑯, 8, 3,Ｆナミダガキラリ, 72,蛯名正, 1.4, 64,  10, -15, 6, 11.0, ⑧⑨, 8, 9,Ｋファルネｰゼ, 77,岩田康, 1.3, 71,   4,   5, 7, 21.4, ⑮⑭
 9,14,Ｈサンレイラヴ, 48,難波剛, 1.6, 43,   4, -13,10, 61.3, ⑪⑨, 9, 2,Ｍブレｰドランナｰ, 48,川田将, 0.8, 59,   6, -19,13, 69.7, ⑨⑪, 9, 7,Ｊガッチリガッチリ, 63,幸英明, 1.8, 62,  11, -19,11, 93.6, ⑪⑪, 9, 6,Ｍピエナエイム, 76,幸英明, 1.4, 71,   9,  -2,13, 78.4, ⑨⑩
10,11,Ｎメイショウクオｰレ, 43,幸英明, 1.6, 44,   8, -17, 6, 19.6, ⑧⑧,10,11,Ｈダンスオブザムｰン, 59,松田大, 0.8, 58,   8, -24, 8, 18.0, ⑭⑨,10, 4,Ｉジャングルストｰン, 65,高倉稜, 1.8, 61,  13, -25,10, 69.7, ④⑤,10,13,Ｐスマｰトリｰズン, 65,国分恭, 1.4, 72,* 13,  -7,16,166.4, ④④
11, 3, ファルセットコｰド,---,赤木高, 1.8, 43,   6, -15,15,225.9, ⑩⑩,11, 9, シルクランスロット,---,北村友, 0.8, 59,   2, -12, 9, 42.9, ⑰⑰,11, 8,Ｋマルブツジャンボ, 58,浜中俊, 3.3, 49,* 28, -79, 9, 41.2, ①①,11, 2,Ｊリフレックス, 78,福永祐, 1.7, 67,   5,  -1,14, 85.7, ⑫⑫
12, 7,Ｋロｰレルイグザルト, 46,松山弘, 2.2, 41,  12, -27,11, 70.7, ③④,12, 4,Ｆメイショウアカギ, 61,高橋亮, 0.8, 59,   6, -19,11, 58.7, ⑧⑩,,,,,,,,,,,,,12, 7,Ｄビヨンドマックス, 84,柴田善, 1.7, 68,  11,  -7,11, 63.0, ⑦⑦
13,12,Ｊコパノヒコサチ, 47,蛯名正, 2.3, 37,  -2, -13,14,153.2, ⑭⑮,13,12,Ｎイカイカブラウン, 48,高倉稜, 1.2, 54,   3, -21,15,124.5, ⑬⑮,,,,,,,,,,,,,13, 1,Ｃトｰセンピングス, 86,上野翔, 1.9, 67,  11,  -9, 3,  5.1, ⑥⑤
14, 8,Ｌウィズインチｰフ, 45,高野容, 2.7, 34,  -9, -10,16,424.9, ⑯⑯,14, 8,Ｐシャイニｰサンデｰ, 46,赤木高, 1.5, 51,  -1, -15,16,169.1, ⑱⑱,,,,,,,,,,,,,14, 4,Ｅコンフォｰコ, 82,蛯名正, 2.0, 64,  -4,*  9, 8, 21.8, ⑯⑯
15, 1,Ｅタイセイグリッタｰ, 59,小牧太, 2.8, 32,   5, -25, 4, 10.8, ⑦⑬,15,16,Ｌテイエムファイヤｰ, 51,田嶋翔, 1.7, 49,*  9, -38,12, 68.0, ⑦⑦,,,,,,,,,,,,,15,10,Ｌベルモントゴラッソ, 76,藤田伸, 2.6, 60,   4,  -7,15,105.4, ⑬⑮
16, 6,Ｇスズカスパイカｰ, 48,川須栄, 2.9, 35,* 14, -35, 9, 59.6, ①②,16, 5,Ｅアルアラビアン, 63,藤田伸, 1.7, 50,* 10, -41, 5,  8.3, ①①,,,,,,,,,,,,,16, 8,Ｎトシザユカ, 74,池添謙, 2.9, 59,* 13, -21,12, 73.2, ①②
,,,,,,,,,,,,17, 3,Ｑシルクマウンテン, 43,田中健, 2.4, 44,   8, -46,18,197.4, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15,Ｋホウショウマツエ, 52,ウィリ, 3.4, 37,*  9, -64,10, 51.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-4),,,,,,,,,,,
"単勝:330円 複勝:10=190円 09=400円 05=1,070円 枠連:2,610円",,,,,,,,,,,,単勝:620円 複勝:17=180円 13=170円 06=170円 枠連:640円,,,,,,,,,,,,単勝:290円 複勝:11=130円 01=170円 09=130円 枠連:610円,,,,,,,,,,,,"単勝:1,920円 複勝:16=460円 05=360円 11=170円 枠連:5,530円",,,,,,,,,,,
"馬連:2,480円 ワイド:09-10=890円 05-10=2,310円 05-09=8,180円",,,,,,,,,,,,"馬連:1,250円 ワイド:13-17=450円 06-17=650円 06-13=480円",,,,,,,,,,,,馬連:780円 ワイド:01-11=280円 09-11=250円 01-09=370円,,,,,,,,,,,,"馬連:12,950円 ワイド:05-16=3,670円 11-16=1,150円 05-11=1,120円",,,,,,,,,,,
"馬単:3,900円 3連複:28,790円 3連単:103,270円",,,,,,,,,,,,"馬単:2,730円 3連複:2,400円 3連単:13,550円",,,,,,,,,,,,"馬単:1,340円 3連複:980円 3連単:4,250円",,,,,,,,,,,,"馬単:23,110円 3連複:14,370円 3連単:142,360円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,垂水ｽﾃｰｸｽ,,,,,,,,,,,,阪神ﾄﾞﾘｰﾑﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃオリエンタルコｰル, 65,酒井学,, 75,   6,*  3, 7, 14.5,⑦⑧③, 1, 9,Ａトｰホウシンバル, 81,後藤浩,, 83,* 13,  -1, 2,  5.5, ①①, 1, 4,Ｂアドマイヤメジャｰ, 89,川田将,, 88,  13,*  4, 1,  1.7,⑩⑨⑨, 1, 5,Ｊアグネスナチュラル, 71,池添謙,, 74,* 10,  -8, 6, 14.4, ③②
 2, 9,Ｆツルマルヤマト, 53,和田竜, 0.3, 70,*  7,  -4, 6, 13.0,②②①, 2,18,Ｉリバｰハイランド, 71,幸英明, 0.2, 80,* 11,  -3, 7, 12.3, ②②, 2, 2,Ｅダイレクトキャッチ, 82,蛯名正, 0.4, 80,  14,  -6, 9, 62.8,⑧⑦⑤, 2,14,Ｂグッドルッキング, 81,太宰啓, 0.0, 71,   5,* -2, 2,  5.9, ⑨⑧
 3,12,Ａイｰグル, 68,鮫島良, 0.4, 70,*  6,* -3, 2,  3.5,⑥④⑤, 3,17,Ｇアンティフリｰズ, 71,高倉稜, 0.3, 75,   5,*  4, 4,  9.4, ⑪⑨, 3, 1,Ａミッキｰペトラ, 92,ウィリ, 0.4, 80,* 16, -13, 2,  4.9,②②②, 3, 2,Ｅマイネルカリバｰン, 73,和田竜, 0.0, 73,*  9,  -7, 5,  8.2, ②④
 4,13,Ｂガラパ, 67,ウィリ, 0.4, 68,*  7,  -5, 1,  3.1,③③②, 4, 8,Ｂシャルマンレｰヌ, 78,佐藤哲, 0.4, 75,   9,  -3, 3,  6.0, ③③, 4,10,Ｃナリタクリスタル, 86,福永祐, 0.5, 81,  14,  -6, 3,  5.4,⑦⑧⑦, 4,11,Ｋショウナンカッサイ, 71,幸英明, 0.1, 72,   8,  -6, 8, 29.0, ⑤⑤
 5,16,Ｄテイエムゴッタマシ, 55,太宰啓, 1.0, 65,   5,  -4,13,104.2,⑯⑨④, 5, 4,Ｄピｰスピｰス, 72,飯田祐, 0.4, 76,   5,*  3, 1,  4.8, ⑧⑧, 5,11,Ｈキングストリｰト, 80,岩田康, 0.6, 81,  11,* -2, 4, 11.0,⑨⑩⑩, 5,12,Ｆメイショウロｰラン, 73,飯田祐, 0.3, 66,   2,  -4, 7, 23.6, ⑪⑪
 6,14,Ｈハギノスピリッツ, 50,幸英明, 1.9, 58,   5, -15, 8, 24.1,⑤⑦⑦, 6,10,Ｅビスカヤ, 72,浜中俊, 0.4, 77,   9,  -2,12, 32.6, ④④, 6, 9,Ｆマイネルアトレ, 81,国分恭, 0.7, 79,  15, -13, 7, 38.1,⑥⑤④, 6, 7,Ｇリｰチコンセンサス, 73,藤田伸, 0.4, 67,   6,  -9, 4,  8.0, ⑥⑥
 7,10,Ｉシｰセラピス, 49,大下智, 2.2, 57,   1,  -9,16,267.2,⑮⑬⑫, 7, 6,Ｍドリｰムロｰズ, 64,川田将, 0.8, 69,  -2,*  6, 9, 21.5, ⑭⑮, 7, 6,Ｄシゲルタック, 84,安藤勝, 1.1, 74,* 16, -23, 5, 17.4,④③③, 7,10,Ｌニホンピロシェリｰ, 71,酒井学, 0.4, 65,   4,  -7,14, 85.7, ⑩⑩
 8, 8,Ｇシンゼンボｰイ, 52,飯田祐, 2.4, 56,   2, -12,12, 97.3,⑫⑩⑧, 8,12,Ｊエトピリカ, 67,松山弘, 0.8, 71,   9,  -8,10, 23.8, ⑤⑤, 8, 5,Ｌマサライト, 77,小牧太, 1.3, 72,  14, -19,10, 80.8,③④⑧, 8, 8,Ｃスプリングサンダｰ, 76,福永祐, 0.4, 67,   8, -10, 3,  6.4, ④③
 9, 5,Ｊトウカイイｰグル, 49,高倉稜, 3.0, 51,   2, -17,10, 54.6,⑭⑫⑪, 9,15,Ｃプレザントブリｰズ, 74,ウィリ, 1.1, 67,   5,  -6, 8, 13.3, ⑩⑦, 9,12,Ｊマルカハンニバル, 77,鮫島良, 1.3, 72,* 18, -28,11,170.2,①①①, 9, 6,Ｈカレンナサクラ, 71,蛯名正, 0.5, 61,  -6,*  1, 9, 46.5, ⑮⑫
10,15, ナリタエスケイプ,---,田島裕, 4.5, 42,*  6, -38, 4,  8.4,⑧⑤⑥,10,14,Ｒドナシュラｰク, 47,岩田康, 1.1, 68,   5,  -5, 5,  9.9, ⑨⑩,10, 3,Ｉピエナグッドラック, 80,太宰啓, 1.4, 73,  10, -10,12,196.9,⑪⑪⑪,10,16,Ｉラベ, 71,赤木高, 0.8, 58,  -4,  -4,12, 64.4, ⑫⑭
11, 1,Ｌネヴァウィキャン, 47,川須栄, 4.8, 41,  -4, -22,11, 70.0,⑩⑯⑯,11, 5,Ｈダンツミラション, 71,国分恭, 1.1, 66,   1,  -1, 6, 11.2, ⑬⑫,11, 7,Ｇザサンデｰフサイチ, 80,藤田伸, 2.2, 64,  15, -35, 6, 22.8,⑤⑥⑥,11, 1,Ｎコスモイライザ, 63,国分恭, 0.8, 61,   5, -13,11, 62.1, ⑧⑦
12, 3,Ｅタイムリｰプ, 55,浜中俊, 5.3, 40,  -1, -29, 9, 30.1,⑪⑭⑭,12,13,Ｐアグネスセブン, 58,蛯名正, 1.2, 66,   7, -10,11, 27.9, ⑥⑥,12, 8,Ｋエテルノ, 77,北村友, 3.0, 59,   9, -33, 8, 50.8,⑫⑫⑫,12, 3,Ｏステラｰホｰプ, 63,北村友, 0.8, 58,  -7,* -1,13, 70.5, ⑬⑬
13, 2,Ｍジョｰエスケイプ, 41,赤木高, 5.6, 36,  -3, -31,14,151.7,⑬⑮⑮,13,16,Ｆハイフィｰルド, 72,太宰啓, 1.3, 64,   1,  -4,14, 37.3, ⑮⑬,,,,,,,,,,,,,13, 4,Ａエｰシンヴァｰゴウ, 93,岩田康, 1.0, 62,* 11, -22, 1,  2.7, ①①
14, 6, タカノスペシャル,---,藤田伸, 5.7, 36,   4, -46, 3,  6.7,④⑥⑩,14, 7,Ｎウィズインライアン, 62,川須栄, 1.9, 57,   1, -11,16, 95.4, ⑫⑭,,,,,,,,,,,,,14,13,Ｐメッサｰシュミット, 61,川島信, 1.3, 52,  -8,  -7,10, 60.5, ⑭⑮
