10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 小倉記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:20,220円 3連複:24,190円 3連単:241,860円",,,,,,,,,,,,"馬単:1,980円 3連複:1,800円 3連単:9,050円",,,,,,,,,,,,"馬単:580円 3連複:590円 3連単:1,850円",,,,,,,,,,,,"馬単:21,410円 3連複:15,830円 3連単:124,130円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 5R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,若戸特別,,,,,,,,,,,,筑紫特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｈモスカｰトロｰザ, 55,安藤勝,, 65,  -9,*  7, 1,  2.3,⑦⑧⑤, 1, 1,Ｈワンダｰビｰナス, 53,松田大,, 73,*  1,*  6, 3,  7.6, ①①, 1, 1,Ｃサンマルエミネム, 73,野元昭,, 78,  -5,  23, 6, 13.6,③②②, 1, 8,Ｇエナジｰハｰト, 66,川田将,, 74,*  4,   6, 6, 13.1, ①①
 2, 3,Ａロｰザディアマント, 70,北村友, 0.1, 67, -12,* 13, 2,  3.4,⑬⑭⑫, 2, 8,Ｂルクｰルダンジェ, 61,高倉稜, 0.0, 71,*  0,*  7, 1,  2.1, ③②, 2, 2,Ｊテイエムシバスキｰ, 66,赤木高, 0.0, 69,*  0,   7, 8, 22.6,①①①, 2, 4,Ｃシルクナデシコ, 71,藤岡康, 0.1, 73,  -3,* 13, 4,  9.1, ⑧⑧
 3, 5,Ｅヴィクトリｰスタｰ, 58,岩田康, 0.1, 64,  -9,   6, 5, 13.3,⑩⑥⑦, 3,13,Ａツルマルホクト, 61,酒井学, 0.9, 62,  -8,   5, 2,  7.2, ⑦⑥, 3,10,Ａラインドリｰム, 77,幸英明, 0.1, 77,  -5,  22, 1,  3.3,④④④, 3, 1,Ｂビスカヤ, 72,浜中俊, 0.2, 72,   2,   7, 8, 21.9, ⑤③
 4, 7,Ｂダンテスク, 69,佐藤哲, 0.2, 58,  -7,   1, 3,  5.7,④⑤④, 4,12,Ｅマリンバラッド, 57,川須栄, 1.0, 60,  -6,   2, 8, 18.2, ⑥⑦, 4, 8,Ｂタムロスカイ, 74,岩田康, 0.2, 78,  -8,* 24, 3,  5.2,⑦⑥⑥, 4, 7,Ａヴィクトリｰマｰチ, 73,岩田康, 0.3, 70,   1,   5, 1,  2.6, ⑥④
 4,14,Ｌマイネマオ, 46,松岡正, 0.2, 62,  -9,   5, 8, 33.0,⑨⑨⑥, 5, 2,Ｉポｰトクラシック, 53,柴田善, 1.1, 57, -13,*  6,10, 27.5, ⑨⑨, 5, 9,Ｋミヤコトップガン, 65,福永祐, 0.4, 74,  -5,  18, 2,  4.7,②③③, 5, 6,Ｆフェブスカイ, 67,幸英明, 0.4, 69,  -9,* 14, 7, 17.8, ⑭⑬
 6, 8,Ｄソｰラｰセイル, 60,国分恭, 0.4, 60,  -9,   3, 7, 31.7,⑮⑩⑨, 6, 7,Ｇカシノアレグロ, 55,川田将, 1.1, 60,  -5,   1,11, 34.4, ⑤⑤, 6,12,Ｇスｰパｰオｰビット, 69,藤岡康, 0.5, 77,  -9,* 26, 4,  6.0,⑪⑨⑨, 6,11,Ｅマルセイユシチｰ, 69,佐藤哲, 0.4, 67,   0,   5, 5, 11.9, ⑦⑦
 7,10,Ｎツィンクルブｰケ, 42,藤岡康, 0.6, 57, -10,   1,14,148.9,⑪⑫⑩, 7, 3,Ｄミｰヒチャラサン, 58,岩田康, 1.3, 59,  -2,  -2, 7, 15.2, ④③, 7, 5,Ｌセイピｰシｰズ, 60,安藤光, 0.6, 73, -10,  23,12, 81.9,⑩⑦⑧, 7, 9,Ｄエイシンフェアリｰ, 70,和田竜, 0.4, 69,*  4,   1, 2,  4.2, ②②
