10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月29日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,010円 3連複:880円 3連単:3,580円",,,,,,,,,,,,"馬単:610円 3連複:3,410円 3連単:7,100円",,,,,,,,,,,,"馬単:780円 3連複:1,510円 3連単:4,890円",,,,,,,,,,,,"馬単:60,000円 3連複:16,230円 3連単:212,370円",,,,,,,,,,,
■ 2R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 5R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,別府特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂマグニフィセント, 72,川田将,, 70,  11,*  1, 1,  2.8,⑮⑭⑦, 1,13,Ｂマキハタピンナップ, 66,小牧太,, 68,   4,*  2, 4, 10.8, ③④, 1, 6,Ｄクイックメｰル, 72,小牧太,, 73,*  5,   9, 1,  2.7,①①①, 1,12,Ｄドリｰムバレンチノ, 66,松山弘,, 76,*  4,   9, 1,  2.5, ③④
 2, 2,Ａメイショウオスパｰ, 74,岩崎祐, 0.1, 66,* 16, -17, 3,  4.4,⑤②②, 2, 9,Ｃホッコｰイェｰガｰ, 64,松山弘, 0.1, 69,*  7,  -1, 6, 24.5, ②②, 2, 8,Ｈサダムトウコン, 66,酒井学, 0.2, 75,*  4,   9, 7, 37.2,②②②, 2, 6,Ａカイシュウボナンザ, 71,川田将, 0.0, 76,  -2,* 15, 5,  7.6, ⑤⑤
 3,14,Ｆコｰドゼット, 64,福永祐, 0.1, 67,  12,* -5, 2,  3.7,⑩⑧④, 3, 3,Ａルクｰルダンジェ, 77,高倉稜, 0.2, 65,   2,*  1, 1,  1.4, ④③, 3, 1,Ｂウインベルカント, 74,佐藤哲, 0.3, 74,   1,* 12, 2,  2.9,⑦⑦④, 3, 7,Ｆマスタｰチアフル, 64,飯田祐, 0.3, 73,   0,  10, 7, 26.4, ④③
 4,13,Ｇトライアンフウィル, 61,浜中俊, 0.2, 66,* 16, -19, 8, 37.8,②①①, 4,12,Ｆハッピｰスカッシュ, 60,川田将, 0.4, 64,   1,   0, 9, 47.6, ⑥⑤, 4, 9,Ｃバイオレントナイト, 72,松山弘, 0.8, 71,   0,* 11, 5, 11.0,⑨⑪⑨, 4,11,Ｃミキノクレシェンド, 67,太宰啓, 0.3, 72,*  5,   4, 4,  7.1, ②②
 5,16,Ｄテラノステルス, 65,松田大, 0.7, 63,  12, -10, 7, 26.9,⑫⑬⑥, 5, 4,Ｋキタサンメｰル, 44,野元昭, 0.9, 63,*  8,  -8,13,219.3, ①①, 5, 7,Ｅメイショウシンドウ, 71,浜中俊, 0.9, 69,   1,   7, 4,  8.3,⑪⑧⑧, 5, 4,Ｂショウナンアトム, 67,藤岡康, 0.5, 70,  -8,* 15, 6, 14.6, ⑩⑩
 6, 4,Ｈスリｰピｰクス, 61,川島信, 0.7, 64,  12, -10,10, 59.3,⑭⑪⑩, 6, 1,Ｉフライフュｰチャｰ, 49,赤木高, 1.0, 52, -10,*  2, 8, 34.2, ⑫⑫, 6, 2,Ｇカシノヘラクレス, 69,上野翔, 0.9, 69,   2,   6,11,213.8,④⑤⑥, 6, 5,Ｈデンタルマロン, 60,野元昭, 0.8, 66,  -8,  11,12,189.5, ⑪⑪
