10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,彦島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:530円 3連複:1,350円 3連単:4,720円",,,,,,,,,,,,"馬単:7,940円 3連複:31,260円 3連単:133,000円",,,,,,,,,,,,"馬単:1,640円 3連複:4,600円 3連単:19,860円",,,,,,,,,,,,"馬単:3,410円 3連複:2,950円 3連単:18,020円",,,,,,,,,,,
■ 2R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾎﾟｰﾂ報知杯雲仙特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａキョウエイバサラ, 72,川島信,, 60,   1,*  7, 2,  2.9, ⑤④, 1, 4,Ｄシセイハヤテ, 70,丸田恭,, 76,   6,*  8, 3,  7.1, ⑥③, 1,11,Ｋマイネルグｰト, 69,丹内祐,, 78,*  8,   2, 5, 11.6,②②②, 1, 2,Ｇドリｰムバレンチノ, 75,松山弘,, 86,  -1,* 22, 3,  6.4, ⑤⑤
 2, 1,Ｂニシノショｰタイム, 67,西田雄, 0.2, 60,* 10,  -1, 1,  1.9, ①①, 2, 8,Ｈアドマイヤサｰフ, 68,上村洋, 0.0, 77,   4,*  9, 4, 10.8, ⑦⑥, 2,18,Ｄセイカカリンバ, 74,中舘英, 0.0, 78,*  9,   0, 9, 28.1,①①①, 2,14,Ｆヒカルジョディｰ, 75,北村友, 0.2, 83,*  6,  13, 4,  9.8, ②②
 3, 6,Ｅエンジンゼンカイ, 52,黛弘人, 0.4, 58,*  8,  -1, 8, 45.1, ②②, 3, 6,Ｌメタリック, 64,柴田大, 0.2, 75,* 11,   0,12, 50.7, ②②, 3, 2,Ｆエｰシングレｰソロ, 73,藤岡康, 0.2, 78,   4,*  9, 4,  7.8,⑩⑫⑩, 3, 3,Ｂエｰシンシｰクルｰ, 81,丸山元, 0.2, 82,*  6,  13, 1,  3.0, ①①
 4,10,Ｃシゲルカイチョウ, 61,松山弘, 0.5, 55,  -4,*  5, 4,  9.5, ⑧⑥, 4, 7,Ｇコスモピアチュｰレ, 69,丹内祐, 0.4, 72,   0,*  8, 7, 12.4, ⑩⑩, 4, 3,Ａカワキタライジン, 75,真島正, 0.2, 79,   5,* 10,12, 37.0,⑭⑮⑫, 4, 5,Ｋアｰリｰデイズ, 71,藤岡康, 0.4, 81,  -2,  18,11, 36.6, ⑦⑥
 5, 4,Ｇゴｰルデンアタック, 48,丸山元, 0.5, 54,  -7,*  8, 5, 20.4, ⑨⑧, 5,13,Ｏアイビｰフォｰルド, 62,北村友, 0.4, 72,  -2,* 10,10, 33.8, ⑭⑫, 5, 1,Ｈビコｰペグｰ, 71,西田雄, 0.2, 74,*  7,   2,15, 88.5,③④③, 5, 9,Ｊニホンピログッデン, 73,上村洋, 0.4, 81,   2,  14, 5, 11.1, ④④
 6, 3,Ｄリアライズブレイク, 55,中舘英, 0.8, 52,   1,  -1, 3,  7.8, ④③, 6, 1,Ｒディナルアルプス, 58,田辺裕, 0.6, 68,* 11,  -5, 9, 33.0, ①①, 6, 8,Ｎカネスアドラシオン, 67,丸田恭, 0.2, 75,*  7,   3,14, 46.3,⑤⑥④, 6, 4,Ｃキヲウエタオトコ, 79,丸田恭, 0.5, 78,*  3,  12, 7, 18.1, ③③
