10年11月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月21日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
 9,11,Ｃマンボダンサｰ, 52,鮫島良, 3.4, 46,  -6, -10, 4,  6.9,⑬⑮⑫, 9,12,Ａコマンドパワｰ, 57,赤木高, 1.3, 45,* 10, -25, 3,  6.2,④③③, 9,11,Ｂアテンボｰイ, 75,西田雄, 0.9, 68,   4,   0, 8, 22.2,⑪⑨⑨, 8, 7,Ｇペプチドサクシｰド, 59,武英智, 0.7, 60,   4,  -5,12, 39.6, ④④
10,12,Ｌグレイドケイ, 33,江田照, 3.4, 45,  -1, -19, 3,  6.8,⑧⑨⑧,10, 3,Ｈシｰイズエンジェル, 44,宮崎北, 1.3, 47,   7, -21, 8, 52.4,⑥⑥⑥,10, 9,Ｇセイピｰシｰズ, 69,安藤光, 1.0, 66,   4,  -5,10, 30.6,⑥⑦⑦, 9,15,Ｈフィジｰクルｰズ, 57,大野拓, 0.9, 58,   3,  -6, 9, 28.0, ⑥⑦
11, 6,Ｆアップルジャック, 49,吉田隼, 3.5, 47,  -5, -12, 6, 13.1,⑦⑫⑪,11, 5,Ｌサクラオイデ, 33,小野寺, 2.2, 38,   2, -21,13,191.6,⑭⑭⑭,11, 8,Ｌカネスアドラシオン, 65,丸田恭, 1.4, 62,*  5, -14, 9, 27.2,①①①,10,16,Ｋサカジロキング, 53,野元昭, 0.9, 58,  -1,  -3, 6, 14.4, ⑩⑥
12,14,Ｉフジマサフロｰラ, 46,小野寺, 3.5, 43,  -2, -19,14,186.9,⑤⑧⑩,12, 8,Ｍヒダノエリｰ, 33,西田雄, 2.8, 32,   5, -36,14,225.9,⑨⑨⑪,12,14,Ｊヒビケジンダイコ, 67,石橋脩, 1.8, 61,*  5, -18, 2,  4.2,③③③,11, 1,Ｌジョウショｰツヨシ, 52,鮫島良, 1.0, 56,  -7,   1,10, 30.7, ⑮⑮
13, 1,Ｏバルチクリッジ, 19,平野優, 4.0, 42,  -6, -15, 7, 17.8,⑭⑬⑬,13, 6,Ｋハｰリｰレｰス, 36,江田照, 2.8, 33,   3, -34, 9,123.8,⑪⑪⑫,13, 7,Ｎレｰザｰブレイド, 37,武英智, 2.0, 59,*  5, -21,12, 84.7,②②②,12, 4,Ｊラバｰフロｰ, 54,村田一, 1.0, 57,   0,  -5,11, 38.1, ⑦⑧
14,13,Ｍサファリレット, 27,西田雄, 5.0, 40,  -4, -22,15,189.7,⑮⑭⑮,14,10,Ｎデルマヴィシュヌ, 31,中谷雄, 2.9, 31,   7, -43,12,179.0,⑦⑦⑨,14, 4,Ｍニシノマルス, 60,太宰啓, 3.3, 52,   0, -18,14,114.9,⑭⑭⑭,13, 9,Ｃピルケンハンマｰ, 65,荻野琢, 1.2, 53,  -1,  -8, 4, 11.2, ⑨⑩
15, 5,Ｎアレルヤトウブ, 23,田辺裕, 6.5, 26,  -4, -39,12,103.1,⑪⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｎリアライズナラック, 34,中舘英, 1.8, 46,*  9, -25,14, 61.6, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8, カミノヌヴォｰ,---,高橋悠, 2.4, 37, -21,  -4,16, 87.0, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
"単勝:7,530円 複勝:02=1,490円 10=180円 09=530円 枠連:1,020円",,,,,,,,,,,,"単勝:1,580円 複勝:13=690円 07=4,940円 11=490円 枠連:16,140円",,,,,,,,,,,,"単勝:1,030円 複勝:05=320円 10=180円 06=980円 枠連:1,840円",,,,,,,,,,,,"単勝:1,410円 複勝:05=390円 13=480円 10=640円 枠連:620円",,,,,,,,,,,
"馬連:11,190円 ワイド:02-10=3,060円 02-09=10,190円 09-10=1,160円",,,,,,,,,,,,"馬連:81,190円 ワイド:07-13=12,420円 11-13=1,310円 07-11=11,690円",,,,,,,,,,,,"馬連:2,530円 ワイド:05-10=860円 05-06=5,240円 06-10=2,840円",,,,,,,,,,,,"馬連:9,420円 ワイド:05-13=2,580円 05-10=3,930円 10-13=4,970円",,,,,,,,,,,
"馬単:33,930円 3連複:42,820円 3連単:352,340円",,,,,,,,,,,,"馬単:197,200円 3連複:224,990円 3連単:1,736,380円",,,,,,,,,,,,"馬単:7,190円 3連複:33,390円 3連単:147,560円",,,,,,,,,,,,"馬単:21,900円 3連複:74,440円 3連単:412,230円",,,,,,,,,,,
■ 2R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島放送賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａグルｰオン, 79,柴山雄,, 75,* 10,   7, 1,  1.5,④③②, 1,15,Ｍシンコｰプリンス, 63,田中克,, 76,   9,*  1, 9, 20.8, ⑦⑤, 1,11,Ａエクレウス, 73,西田雄,, 71,*  4,   9, 1,  4.1, ③③, 1, 7,Ａヒラボクワイルド, 87,中舘英,, 83,* 10,  19, 1,  2.2,②②②
 2, 6,Ｎニシノシャイナｰ, 61,的場勇, 0.5, 74,   9,   5,11, 73.6,③④③, 2, 1,Ａボンジュｰルメロン, 74,丸山元, 0.2, 70,   6,*  1, 1,  2.8, ⑧⑥, 2,10,Ｄドリｰムピｰチ, 70,平野優, 0.2, 69,  -2,* 11, 8, 15.9, ⑨⑧, 2, 9,Ｂメダリアビｰト, 83,丸山元, 0.0, 84,*  9,* 21, 3,  7.4,⑤④③
 3, 4,Ｆアグネスフリｰダム, 71,太宰啓, 0.6, 71,* 10,   2, 7, 30.1,②②①, 3, 5,Ｉコスモピアチュｰレ, 67,丹内祐, 0.3, 70,   5,*  1, 6, 15.2, ⑨⑫, 3,16,Ｋシセイハヤテ, 60,丸田恭, 0.3, 68,   0,   9,12, 47.1, ⑦⑨, 3,13,Ｆアグネスアンカｰ, 78,的場勇, 0.9, 81,   6,  17, 5, 10.1,⑪⑪⑨
 4,11,Ｅドラゴンソニック, 73,吉田隼, 0.7, 73,   7,* 10, 2,  5.4,⑬⑪⑩, 4, 9,Ｃプリティガｰル, 70,小島太, 0.3, 73,* 11,  -6,12, 35.0, ④④, 4,13,Ｃキルシュバウム, 73,江田照, 0.3, 69,*  5,   4, 5,  7.9, ①①, 4,14,Ｅヴェラブランカ, 79,吉田隼, 0.9, 78,   8,  15, 2,  5.0,⑨⑧⑥
 5,13,Ｋスマｰトイｰグル, 63,江田照, 1.1, 69,   8,   2,13,134.8,⑤⑤⑤, 5,12,Ｌフラワｰウィンド, 63,池崎祐, 0.3, 70,   5,*  1,14,117.4, ⑩⑨, 5, 7,Ｅバンダムレクス, 70,柴山雄, 0.3, 69,   1,   8, 2,  5.7, ⑥⑤, 5,10,Ｌセレナプレジｰル, 74,江田照, 1.1, 76,   8,  12, 7, 15.5,⑥⑥④
 6, 5,Ｇメイショウデジレ, 71,小島太, 1.2, 68,   9,   0,10, 51.3,⑥⑥⑥, 6,16,Ｋベストブルｰム, 66,宮崎北, 0.4, 74,* 14,  -9, 3,  6.9, ②②, 6,15,Ｊコルドバ, 63,吉田隼, 0.4, 67,*  3,   3, 9, 19.1, ②②, 6,12,Ｎアｰスマリン, 69,村田一, 1.1, 78,   1,* 25,13,122.3,⑮⑮⑭
 7,10,Ｌシルクマッドネス, 63,田中健, 1.3, 70,   6,*  9, 9, 50.6,⑭⑫⑫, 7, 2,Ｆデイズオブメモリｰ, 67,田中健, 0.5, 68,   4,   0, 8, 17.1, ⑫⑪, 7, 6,Ｆクリンゲルベルガｰ, 69,田中健, 0.6, 65,  -7,* 12, 3,  7.2, ⑮⑮, 7, 2,Ｍサンレイハスラｰ, 73,小野寺, 1.2, 76,   3,* 21,14,148.3,⑭⑬⑬
 8, 8,Ｂシゲルアサマヤマ, 77,国分優, 1.3, 68,   9,  -1, 5, 18.9,⑨⑦④, 8,13,Ｅイサミチェリｰ, 68,国分優, 0.5, 67,   4,   0, 2,  6.6, ⑮⑭, 8,12,Ｍナガレボシイチバン, 57,大野拓, 0.6, 65,  -3,   8,11, 28.1, ⑫⑫, 8, 4,Ｃヒカリコｰズウェｰ, 80,小林徹, 1.3, 76,   5,  16, 6, 14.3,⑫⑫⑫
 9,14,Ｏスプリングナイル, 59,田辺裕, 1.4, 68,   8,   1,16,301.9,⑪⑨⑦, 9, 3,Ｐデｰトマスタｰ, 50,千葉直, 0.5, 69,   9,  -6,16,162.6, ⑤⑦, 8, 8,Ｌネレイス, 60,中舘英, 0.6, 66, -11,* 15, 7, 11.2, ⑯⑯, 9, 6,Ｇスナｰクツバサ, 78,石橋脩, 1.8, 70,* 10,   3, 8, 30.7,①①①
10,15,Ｄシャドウブルｰス, 73,丸山元, 1.5, 67,   7,   2, 3, 12.6,⑩⑩⑧,10, 4,Ｊルアｰズストリｰト, 66,荻野琢, 0.6, 66,   5,  -3, 5,  9.5, ⑪⑩,10, 1,Ｈヴィｰヴァサルｰテ, 67,菅原勲, 0.7, 63,   1,   2, 6, 10.4, ⑤④,10, 3,Ｈドラゴンアルテマ, 78,田辺裕, 1.9, 69,   6,   8, 4,  9.6,⑩⑨⑧
11, 1,Ｈエアカサミラ, 70,石橋脩, 1.5, 67,   8,   0, 6, 24.1,⑦⑧⑨,11,11,Ｇロイヤルロｰド, 67,平野優, 0.6, 64,   2,  -1, 7, 15.3, ⑬⑬,11, 3,Ｏサスケハナ, 47,田辺裕, 0.7, 63,  -7,  10,14, 89.4, ⑬⑩,11,11,Ｉエイブルベガ, 77,平野優, 2.3, 67,   8,   3, 9, 44.9,⑧⑦⑤
12,12,Ｉメルシｰエイタイム, 67,小野寺, 1.7, 66,   4,* 10,12,109.0,⑯⑭⑬,12,10,Ｈラムタムタガｰ, 67,大下智, 0.9, 61,   4,  -6,11, 25.2, ⑭⑮,12, 4,Ｉアｰモンドケｰキ, 64,松山弘, 0.7, 63,  -4,   7,13, 69.4, ⑩⑪,12,15,Ｏワンダｰティンバｰ, 65,柴山雄, 2.4, 67,   2,  12,15,168.6,⑬⑭⑮
13, 9,Ｍブルｰアンビシャス, 62,西村太, 3.9, 54,   5, -13, 8, 33.4,⑫⑬⑭,13, 6,Ｄヤマニンアストレア, 69,西村太, 1.0, 59,  -2,  -2,10, 21.3, ⑯⑯,13, 9,Ｂエステｰラブ, 73,丸山元, 0.7, 63,  -4,   8, 4,  7.4, ⑪⑬,13, 1,Ｋコスモフォｰス, 76,丹内祐, 2.9, 63,   6,   0,11, 45.0,⑦⑩⑪
14,16,Ｐアンテリジェンス, 42,松山弘, 3.9, 56,   2,  -4,14,167.5,⑮⑯⑮,14,14,Ｎショウナンナックル, 60,松山弘, 1.3, 59,   9, -16,15,151.4, ⑥⑧,14, 5,Ｇマッキｰビｰナス, 67,野元昭, 0.8, 63,  -7,   9,10, 21.8, ⑭⑭,14, 5,Ｄペガサスキングビｰ, 80,太宰啓, 3.0, 61,   8,  -3,12, 64.7,④⑤⑩
15, 3,Ｊホッカイアラカティ, 65,武英智, 4.0, 54,* 10, -25,15,189.8,①①⑪,15, 8,Ｂシンボリアニマｰト, 70,水口優, 1.5, 58,* 14, -24, 4,  8.9, ①①,15, 2,Ｐシェアアプロｰズ, 28,安藤光, 0.9, 61,  -1,   3,15,106.0, ⑧⑥,15, 8,Ｊハクバドウジ, 77,大野拓, 3.0, 59,*  9,  -5,10, 45.0,③③⑦
16, 2,Ｃバガボンド, 74,中舘英, 5.5, 47,   4, -22, 4, 13.7,⑧⑮⑯,16, 7,Ｏクラリン, 52,黛弘人, 1.7, 55,  11, -22,13, 57.4, ③③,16,14,Ｎスプリングプラハ, 52,宮崎北, 2.7, 38,   2, -25,16,211.1, ④⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:1),,,,,,,,,,,
"単勝:150円 複勝:07=110円 06=1,230円 04=550円 枠連:2,030円",,,,,,,,,,,,"単勝:2,080円 複勝:15=460円 01=150円 05=400円 枠連:550円",,,,,,,,,,,,単勝:410円 複勝:11=180円 10=390円 16=950円 枠連:930円,,,,,,,,,,,,単勝:220円 複勝:07=120円 09=180円 13=260円 枠連:530円,,,,,,,,,,,
"馬連:4,260円 ワイド:06-07=1,670円 04-07=570円 04-06=12,730円",,,,,,,,,,,,"馬連:3,640円 ワイド:01-15=1,240円 05-15=4,370円 01-05=710円",,,,,,,,,,,,"馬連:2,750円 ワイド:10-11=1,060円 11-16=3,380円 10-16=4,980円",,,,,,,,,,,,馬連:670円 ワイド:07-09=270円 07-13=460円 09-13=910円,,,,,,,,,,,
"馬単:4,980円 3連複:16,270円 3連単:61,860円",,,,,,,,,,,,"馬単:9,040円 3連複:14,280円 3連単:110,560円",,,,,,,,,,,,"馬単:4,820円 3連複:36,990円 3連単:169,480円",,,,,,,,,,,,"馬単:990円 3連複:1,860円 3連単:5,820円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊達特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａメイショウヤワラ, 72,鮫島良,, 68,*  0,  10, 1,  1.7,①①①, 1, 5,Ｅユメノキズナ, 72,丸田恭,, 70,   8,   3, 1,  3.4, ⑥④, 1, 8,Ｉビッグジャンパｰ, 69,大野拓,, 72,   0,* 14, 5, 10.9,⑦⑥④, 1,16,Ｃテイエムシバスキｰ, 76,赤木高,, 77,* -8,  21, 6, 10.4,①①①
 2, 3,Ｂビクトリアスバイオ, 71,丸田恭, 0.0, 68,  -1,* 13, 3,  7.7,③③③, 2,16,Ｉケイアイカミｰリア, 67,吉田隼, 0.0, 74,* 12,   0, 9, 37.8, ④③, 2,15,Ｅドリｰムシガｰ, 71,丸田恭, 0.2, 69,*  1,   9, 9, 20.4,②②②, 2, 8,Ｍマイヨｰル, 70,丹内祐, 0.0, 79,* -8,  22, 7, 15.8,②②②
 3, 1,Ｃディミｰタ, 71,大野拓, 0.4, 66,  -2,* 12, 5, 16.9,⑦⑦⑦, 3, 8,Ｄクリスリリｰ, 72,鮫島良, 0.1, 67,  -1,* 11,12, 81.0, ⑭⑬, 3,13,Ｈスタｰノｰブルマン, 69,丹内祐, 0.2, 70,*  1,   8, 3,  6.9,①①①, 3, 9,Ｄエｰブチェアマン, 76,田辺裕, 0.1, 82, -12,* 31, 3,  7.9,⑩⑫⑨
 4, 8,Ｇフラッテロｰザ, 66,丸山元, 0.6, 64,* -1,   6, 2,  7.1,②②②, 4, 6,Ｃディアイリス, 72,江田照, 0.3, 68,   6,   3, 6, 16.6, ⑪⑦, 4,10,Ｂユニヴァｰスガイ, 75,石橋脩, 0.3, 71,  -1,* 11, 2,  5.5,⑭⑨⑦, 4, 2,Ｂアｰバンウィナｰ, 77,丸田恭, 0.3, 82, -13,* 32, 4,  8.1,⑮⑮⑬
 5,10,Ｋバイブレイションズ, 63,江田照, 0.7, 65,  -2,   9,11, 57.9,⑨⑧⑧, 5, 9,Ｊオンワｰドセジｰル, 64,加藤士, 0.4, 67,   7,   1,11, 67.2, ⑩⑧, 5, 6,Ｇシルクリンカｰン, 70,松山弘, 0.3, 74,  -1,* 13, 4,  9.7,⑥⑪⑨, 5,12,Ｇエバｰシャイニング, 71,吉田隼, 0.3, 75,*-10,  20, 1,  4.0,⑤④④
 6, 2,Ｉフロｰラルウインド, 66,吉田隼, 0.7, 67,  -4,* 12,12, 71.3,⑩⑩⑩, 6,13,Ｆカインドオブブルｰ, 71,国分優, 0.5, 66,   7,  -1, 7, 24.9, ⑨⑥, 6, 9,Ｃレッドシャドウ, 73,国分優, 0.5, 69,  -1,   9, 6, 14.7,⑧⑦⑧, 6,10,Ａバウンシングライト, 78,中舘英, 0.5, 77, -12,  23, 2,  4.9,⑪⑪⑭
 7, 6,Ｄゴシップガｰル, 68,西村太, 0.9, 65,  -5,* 12, 8, 26.0,⑫⑭⑬, 7,15,Ｌプレミアムカラｰ, 64,水口優, 0.5, 65,   6,   1,14,133.2, ⑫⑫, 7, 4,Ｌシベリアンファクト, 64,西田雄, 0.6, 69,  -1,  10,14, 94.3,⑫⑬⑫, 6, 3,Ｐメジロクリントン, 62,黛弘人, 0.5, 78, -14,  27,16,148.1,⑫⑬⑮
 8, 4,Ｅオメガリトルスタｰ, 68,松山弘, 0.9, 65,  -1,   7, 4, 11.9,⑥⑥⑤, 8, 7,Ｈトゥインクルスノｰ, 67,宮崎北, 0.8, 61,   3,   1,10, 41.1, ⑬⑩, 8, 3,Ａサクセスヒュｰゴｰ, 78,的場勇, 0.6, 72,  -2,  10, 1,  2.5,⑩⑫⑪, 8, 6,Ｆアイアイレインボｰ, 73,江田照, 0.5, 78, -14,  26, 9, 17.8,⑬⑭⑫
 9,12,Ｈヴィッテリア, 66,平野優, 1.2, 64,  -4,  11,10, 26.5,⑬⑬⑪, 9,14,Ｐオタカラムスメ, 43,田辺裕, 1.0, 59,  -1,   4,13, 88.6, ⑯⑮, 9, 2,Ｆセイカプレスト, 70,丸山元, 0.7, 69,  -2,* 12, 8, 20.1,⑬⑭⑬, 9,13,Ｏドミネｰタｰ, 63,菅原勲, 0.6, 74, -12,  22,11, 28.7,⑥⑩⑧
10,15,Ｆフェリスクイｰン, 66,丹内祐, 1.8, 56,  -2,  -2,14,141.2,⑤⑤④,10, 2,Ｍケイエスシンアカリ, 58,太宰啓, 1.2, 62,* 12, -11,15,175.5, ②②,10, 1,Ｊウエスタンブラボｰ, 68,中舘英, 1.4, 63,  -1,   4, 7, 18.1,⑨⑩⑩,10,15,Ｌトｰセンペトリュス, 70,上村洋, 0.6, 73,*-10,  18,10, 21.6,⑦⑤⑤
11,14,Ｏスプリングモナ, 50,宮崎北, 2.4, 53,  -6,   2,15,297.2,⑮⑮⑮,11, 4,Ｂナカヤママニッシュ, 74,平野優, 1.5, 59,* 11, -12, 3,  3.9, ③⑤,11,12,Ｋケイアイブル, 65,村田一, 1.4, 62,*  1,   0,15,121.7,③③⑤,11, 7,Ｋネオヴェリｰブル, 71,石橋脩, 0.7, 74, -12,  20,13, 51.7,⑧⑧⑪
12,13,Ｊキョウワレジｰナ, 65,太宰啓, 2.7, 49,  -4,  -5,13, 76.9,⑪⑫⑭,12, 3,Ｇサンデｰロｰズ, 70,中舘英, 1.6, 57,  10, -11, 4,  9.0, ⑤⑨,12,14,Ｍリキアイクロフネ, 59,田辺裕, 1.8, 59,*  0,  -3,11, 39.5,⑤④⑥,12, 5,Ｉキングウェｰルズ, 71,丸山元, 0.7, 79, -16,* 32, 8, 15.9,⑯⑯⑯
13, 9,Ｌアルファアンジュ, 63,石橋脩, 2.7, 50,  -2,  -8, 7, 25.0,⑭⑨⑨,13,11,Ｏマンガンオトメ, 47,柄崎将, 1.7, 53,   0,  -3,16,390.4, ⑮⑯,13, 5,Ｎケンブリッジシｰザ, 51,太宰啓, 1.8, 58,  -1,  -2,10, 35.5,④⑤③,13,11,Ｊスプリングアルタ, 71,宮崎北, 0.8, 73, -12,  19,12, 32.5,⑨⑨⑦
