10年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝3100m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9, 8,Ｋセイルアゲン, 35,江田照, 1.6, 47, -13,   0,10,111.3, ⑫⑫, 9, 7, エヒテンヴィｰゼ,,江田勇,212.1,,,,13,190.5,⑥⑧⑧, 9, 2,Ｎディアブリッジ, 58,吉田豊, 1.4, 61,  -4,   2,10, 56.1, ⑧⑦, 9, 4,Ｂマコトギャラクシｰ, 84,北村宏, 1.2, 71,   9,  -3, 3, 10.1,⑦⑦⑦
10, 3,Ｈゴｰルドファイタｰ, 42,吉田豊, 2.2, 40,  -7, -12, 9, 50.3, ⑧⑧,10,12, エアリｰズ,,北沢伸,212.9,,,, 7, 21.5,⑩⑩⑩,10, 9,Ｍアトムスパンカｰ, 60,江田照, 1.6, 60,  -6,   3,14,218.6, ⑫⑫,10,11,Ｊアルファオリオン, 78,三浦皇, 1.2, 72,   9,  -2,14, 99.4,⑧⑧⑧
11, 4,Ｌプルｰフオブライフ, 34,北村宏, 2.3, 38,* -3, -20, 6, 11.3, ②②,,,,,,,,,,,,,11, 3,Ｌベルモントダイヤ, 61,中谷雄, 1.8, 57,*  7, -16, 7, 19.6, ①①,11,14,Ｃオリオンザアルファ, 82,田辺裕, 1.2, 71,   6,   4, 9, 31.9,⑫⑭⑯
12,10,Ｉリネンカフェ, 41,柴山雄, 4.6, 22, -12, -27,13,186.7, ⑪⑪,,,,,,,,,,,,,12,10,Ｇモルフェキセキ, 66,柴山雄, 2.2, 54,  -7,  -2,12,107.1, ⑬⑬,12, 2,Ｎヒロノキョウシュウ, 72,小林淳, 1.2, 72,   7,   2,16,302.3,⑬⑯⑭
13, 6,Ｍチグサ, 29,田辺裕, 5.2, 18, -14, -29,11,144.5, ⑬⑬,,,,,,,,,,,,,13, 4,Ｏロｰズエンジェル, 52,石神深, 3.1, 48,   1, -19,13,208.4, ③④,13,12,Ｌマイネルパルティア, 75,柴田大, 1.6, 69,  10,  -9,15,291.7,②③④
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｉメジロイングリッド, 65,津村明, 4.6, 36,  -3, -25, 6, 14.8, ⑦⑨,14, 1,Ｋナムラビスマルク, 77,柴田善, 2.2, 65,   8,  -9,12, 73.5,⑩⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｏビレッジペガサス, 71,江田照, 2.6, 63,   9, -15, 4, 14.7,⑥⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｐイチエイクリッパｰ, 70,田中博, 3.0, 61,* 11, -23,13, 78.1,①②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:410円 複勝:13=210円 12=270円 02=740円 枠連:2,190円",,,,,,,,,,,,"単勝:640円 複勝:04=210円 03=180円 08=230円 枠連:1,230円",,,,,,,,,,,,"単勝:470円 複勝:06=170円 05=170円 08=1,200円 枠連:880円",,,,,,,,,,,,"単勝:160円 複勝:08=110円 07=430円 05=180円 枠連:1,650円",,,,,,,,,,,
"馬連:2,150円 ワイド:12-13=720円 02-13=1,510円 02-12=2,180円",,,,,,,,,,,,"馬連:1,300円 ワイド:03-04=460円 04-08=760円 03-08=620円",,,,,,,,,,,,"馬連:790円 ワイド:05-06=340円 06-08=2,860円 05-08=3,470円",,,,,,,,,,,,"馬連:1,470円 ワイド:07-08=640円 05-08=230円 05-07=2,080円",,,,,,,,,,,
"馬単:3,840円 3連複:14,450円 3連単:60,830円",,,,,,,,,,,,"馬単:2,770円 3連複:2,930円 3連単:16,450円",,,,,,,,,,,,"馬単:1,630円 3連複:11,630円 3連単:45,100円",,,,,,,,,,,,"馬単:2,010円 3連複:3,160円 3連単:12,530円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝1600m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇホッコｰガンバ, 41,武英智,, 54,* -2,*  0, 2,  4.4, ①①, 1,11, オメガブレイン,---,三浦皇,, 61, -18,*  7, 1,  2.2, ⑨⑨, 1, 5,Ｅナイトフッド, 72,吉田豊,, 78,   5,* 12, 6, 19.5, ⑨⑨, 1, 4,Ｈエｰシンリタｰンズ, 80,後藤浩,, 90,*  8,* 18, 3,  5.5, ③③
 2,11,Ｊクリｰルマグナム, 36,村田一, 0.2, 53,* -3,*  0, 6, 24.1, ②②, 2, 8, ワンモアチャンス,---,津村明, 0.1, 59, -20,*  7, 8, 39.2, ⑭⑪, 2, 2,Ｊユｰスフル, 65,北村宏, 0.2, 76,   8,   7, 8, 44.1, ⑥⑥, 2, 2,Ｄレディアルバロｰザ, 82,津村明, 0.4, 86,   6,  15, 5,  7.6, ④④
 3,16,Ｆリアライズブレイク, 41,三浦皇, 0.3, 53,* -3,*  0, 4, 11.0, ⑤④, 3, 5, ネオウｰリボｰ,---,内田博, 0.1, 60, -21,*  8, 2,  4.3, ⑬⑬, 3, 7,Ｇポワンカレ, 71,柴田善, 0.2, 76,   8,   6, 3,  8.1, ⑤⑤, 3, 1,Ｏラフレッシュブルｰ, 77,江田照, 0.5, 87,   4,* 19,16,226.1, ⑩⑩
 4, 1,Ａスガノテシオ, 60,内田博, 0.5, 52,* -3,  -2, 3,  4.9, ③③, 4, 3, アｰバンアスリｰト,---,伊藤工, 0.4, 55, -20,   3,11, 46.2, ⑪⑫, 4, 9,Ｄキングスリｰジョン, 76,後藤浩, 0.3, 75,   7,   7, 5, 14.2, ⑦⑦, 4, 3,Ｇトゥニｰポｰト, 81,村田一, 0.5, 84,*  9,   9, 7, 13.6, ②②
 5, 3,Ｂニシノジャブラニ, 55,北村宏, 0.7, 48,  -4,  -2, 1,  2.0, ④⑤, 5, 6, ラブミｰダン,---,田中博, 0.5, 51,*-15,  -6,10, 44.8, ②②, 5, 6,Ａチャンピオンハｰレ, 77,蛯名正, 0.4, 75,   9,   3, 2,  8.0, ④③, 5, 5,Ｂカウアイレｰン, 84,蛯名正, 0.6, 84,   6,  12, 1,  3.3, ⑤⑤
 6,10,Ｅサンマルヴィエント, 43,小林淳, 1.1, 48,  -5,  -3, 8, 48.9, ⑧⑧, 6,17, フェイクグロｰリｰ,---,後藤浩, 0.5, 51, -16,  -4, 6, 22.7, ⑥⑥, 6, 1,Ｂエフティレガシｰ, 77,柴山雄, 0.5, 75,   4,* 11, 7, 25.7, ⑩⑩, 6,14,Ｊソｰマジック, 79,三浦皇, 0.7, 83,   6,  10, 4,  7.3, ⑥⑥
 7, 9,Ｈスペｰスウォｰク, 38,田辺裕, 1.6, 43,  -7,  -4,10, 72.9, ⑪⑨, 7,16, リンゴット,---,勝浦正, 0.6, 49,*-15,  -7, 7, 34.3, ⑤⑤, 7, 3,Ｃロトスカイブルｰ, 77,内田博, 0.9, 72,  11,  -4, 1,  1.4, ②②, 7,11,Ｅラドラｰダ, 82,北村宏, 0.7, 85,   2,* 18, 2,  4.6, ⑭⑫
 8, 2,Ｉティアップブレイズ, 37,江田照, 1.7, 43,  -5,  -9,11, 81.4, ⑦⑦, 8, 1, エフティレフア,---,蛯名正, 0.8, 48, -18,  -5, 3,  5.1, ⑦⑦, 8, 8,Ｆユウキハングリｰ, 72,郷原洋, 1.6, 66,* 14, -16, 4, 12.4, ①①, 8, 8,Ｌメイショウシオギリ, 78,難波剛, 0.9, 81,   5,  10,14,152.2, ⑦⑦
 9, 8,Ｃクリｰンメタボ, 49,後藤浩, 2.0, 39,  -7,  -8, 5, 12.9, ⑨⑩, 9, 7, オｰガニックライフ,---,小林淳, 1.0, 46,*-14, -11,17,229.7, ③④, 9,10,Ｉサトノホクト, 66,三浦皇, 1.9, 65,   9, -10, 9, 55.3, ③④, 9, 9,Ｆカレイジャスミン, 81,吉田豊, 0.9, 77,* 12,  -3,13,134.2, ①①
10,12,Ｎアイティキング, 24,柴山雄, 2.2, 40, -15,*  3,15,272.1, ⑬⑮,10,10, マックススパイス,---,村田一, 1.1, 44, -18,  -9,12, 56.1, ⑧⑧,10, 4,Ｈキングオバマ, 68,伊藤工, 2.5, 60,   5,  -9,10,117.7, ⑧⑧,10,13,Ａロッソトウショウ, 84,武英智, 0.9, 83,  -1,* 21,17,320.3, ⑰⑰
11, 4,Ｌモンフォｰル, 33,大庭和, 2.3, 36,  -8,  -9,12,176.2, ⑩⑪,11, 4, ミラクルレインボｰ,---,柴田善, 1.1, 47, -25,   0, 5, 19.8, ⑯⑯,,,,,,,,,,,,,11, 7,Ｎミオリチャン, 77,勝浦正, 1.1, 80,   3,  13, 9, 42.6, ⑫⑬
12,14,Ｄスリｰスプリント, 44,津村明, 2.7, 35, -10, -10,14,238.7, ⑭⑬,12,15, ジェルフォｰ,---,北村宏, 1.3, 45, -23,  -3,13, 72.8, ⑮⑮,,,,,,,,,,,,,12,10,Ｍワルキュｰレ, 78,柴山雄, 1.3, 76,   3,   8,11,110.5, ⑪⑪
13,15,Ｏフジマサエンパイア, 21,勝浦正, 2.9, 33,  -4, -21,13,223.1, ⑥⑥,13,12, ナガタノナナチャン,---,高橋智, 1.5, 40, -22,  -9,15,160.9, ⑫⑭,,,,,,,,,,,,,13,15,Ｃデリキットピｰス, 83,柴田善, 1.3, 76,   5,   4, 6, 10.2, ⑧⑧
14, 7,Ｋリキテンスタイン, 34,伊藤工, 3.2, 33, -14,  -7, 7, 37.6, ⑮⑭,14, 9, ラブギムレｰ,---,田辺裕, 1.6, 35,*-15, -21,14,129.8, ④③,,,,,,,,,,,,,14,12,Ｉダｰクエンジェル, 79,内田博, 1.4, 78,   0,  12, 8, 29.3, ⑯⑯
15, 6,Ｐコスモビュｰティｰ, -6,柴田大, 3.3, 35, -18,  -1,16,298.4, ⑯⑯,15, 2, デラセｰラ,---,吉田豊, 1.7, 34,*-13, -24, 4,  9.5, ①①,,,,,,,,,,,,,15, 6,Ｋフレンチノワｰル, 79,田辺裕, 1.5, 73,   1,   9,10, 85.1, ⑮⑮
16,13,Ｍベルモントスコッチ, 27,田中博, 3.4, 33,  -9, -17, 9, 60.8, ⑫⑫,16,14, ケイアイカミノコエ,---,柴山雄, 2.3, 28, -19, -24, 9, 44.3, ⑩⑩,,,,,,,,,,,,,16,17,Ｐマルティンスタｰク, 76,郷原洋, 1.5, 74,   5,   2,15,163.6, ⑨⑨
,,,,,,,,,,,,17,13, フレンドチャンス,---,江田照, 2.5, 30, -24, -18,16,175.7, ⑰⑰,,,,,,,,,,,,,17,18,Ｑダイメイザバリヤル, 73,田中博, 1.8, 74,  -3,  11,12,130.8, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｒトｰセンウィッチ, 58,小林淳, 2.4, 64,   1,  -5,18,499.7, ⑬⑭
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,
"単勝:440円 複勝:05=220円 11=750円 16=370円 枠連:5,990円",,,,,,,,,,,,"単勝:220円 複勝:11=120円 08=780円 05=150円 枠連:4,360円",,,,,,,,,,,,"単勝:1,950円 複勝:05=1,200円 02=1,860円 07=600円 枠連:24,000円",,,,,,,,,,,,"単勝:550円 複勝:04=240円 02=300円 01=5,270円 枠連:1,340円",,,,,,,,,,,
"馬連:5,400円 ワイド:05-11=1,570円 05-16=1,040円 11-16=2,720円",,,,,,,,,,,,"馬連:5,040円 ワイド:08-11=1,580円 05-11=240円 05-08=2,260円",,,,,,,,,,,,"馬連:26,810円 ワイド:02-05=5,010円 05-07=2,050円 02-07=3,150円",,,,,,,,,,,,"馬連:1,720円 ワイド:02-04=570円 01-04=14,430円 01-02=18,610円",,,,,,,,,,,
"馬単:9,350円 3連複:15,410円 3連単:68,060円",,,,,,,,,,,,"馬単:6,580円 3連複:5,990円 3連単:43,110円",,,,,,,,,,,,"馬単:73,100円 3連複:36,580円 3連単:569,510円",,,,,,,,,,,,"馬単:3,130円 3連複:134,810円 3連単:527,280円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,百日草特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂヴァルナビスティｰ, 56,勝浦正,, 56,* -9,   2, 5,  8.4,②③③, 1, 1, バンスタンウォルツ,---,北村宏,, 59,*-13,*  1, 2,  4.1,①①①, 1, 3,Ｅディｰプサウンド, 58,後藤浩,, 71,   2,* 13, 1,  2.3,③③③, 1, 8,Ｆスティルゴｰルド, 74,蛯名正,, 83,*  1,  12, 5, 10.3, ①①
 2, 6,Ｇコンチネンタル, 47,江田照, 0.0, 55,* -7,  -4, 3,  5.1,①①①, 2, 9, タングルジャングル,---,内田博, 0.6, 54,*-13,  -6, 5, 11.7,④③③, 2, 7,Ｃナカヤマナイト, 65,柴田善, 0.4, 69,   0,* 13, 3,  3.8,⑥⑤④, 2, 4,Ａニｰマルオトメ, 92,後藤浩, 0.1, 83,  -4,* 16, 1,  1.7, ④⑤
 3,13,Ｃケミカルチェンジ, 52,蛯名正, 0.2, 56, -11,*  3, 1,  3.5,⑧⑦⑨, 3,11, コスモインナビット,---,柴山雄, 0.8, 49, -14,  -8, 8, 26.2,⑦⑦④, 3, 9,Ｂマイネルメダリスト, 65,蛯名正, 0.8, 61,*  4,  -3, 5, 12.0,②②②, 3, 3,Ｈクリｰルトルネｰド, 70,内田博, 0.4, 80,* -1,   9, 3,  7.4, ③③
 4, 8,Ｉフジゴンファノン, 41,伊藤工, 0.2, 57, -11,*  4, 8, 51.5,⑤⑥⑧, 4, 5, カリビアンスタッド,---,柴田善, 0.9, 49, -14,  -8, 7, 18.4,⑤④⑤, 4, 6,Ａミレニアルドリｰム, 73,三浦皇, 0.8, 65,  -2,  10, 2,  3.7,⑤⑥⑥, 4, 7,Ｇタケショウオｰジ, 74,三浦皇, 0.4, 82,  -3,  14, 4,  8.6, ⑦⑦
 5,15,Ａジンオンザロック, 64,柴田善, 0.4, 53, -11,  -1, 4,  6.3,⑥④⑤, 5,10, ケットシｰ,---,後藤浩, 0.9, 49, -16,  -6, 3,  5.2,⑥⑥⑦, 5, 8,Ｈタイセイマテンロウ, 52,北村宏, 1.3, 56,*  5, -12, 6, 18.8,①①①, 5, 2,Ｂサクラネクスト, 84,吉田豊, 0.4, 82,  -5,* 17, 2,  4.9, ⑧⑧
 6, 3,Ｄテンベアハｰト, 52,内田博, 0.5, 55, -11,   1, 2,  3.7,⑨⑧⑦, 6, 8, ホッコｰブレｰヴ,---,田中博, 1.0, 51, -17,  -5,10,142.7,⑪⑩⑩, 6, 2, トミケンヴァｰスト,---,田辺裕, 1.5, 56,  -4,   4,10,145.7,⑧⑧⑧, 6, 1,Ｃサニｰラブカフェ, 77,柴田善, 0.6, 77,  -4,  10, 6, 29.2, ⑥⑥
 7, 2,Ｋメジロマツヒメ, 40,村田一, 0.5, 51,* -9,  -4,12,155.7,④⑤④, 7, 6, ダイワクレバｰ,---,蛯名正, 1.3, 43, -14, -14, 4,  6.0,③⑤⑥, 7, 4,Ｉジャンナ, 49,吉田豊, 1.6, 55,  -3,   1, 8, 91.4,⑨⑨⑦, 7, 6,Ｅエスユｰグランド, 75,小林淳, 0.8, 73,* -1,   2, 8, 61.2, ②②
 8,14,Ｊコスモソユｰズ, 41,柴山雄, 0.8, 47, -11,  -7,10,135.5,⑪⑩⑥, 8, 3, ライジングエｰス,---,三浦皇, 1.3, 46, -17,  -9, 6, 11.8,⑧⑧⑨, 8, 5,Ｄウエスタンベッラ, 64,内田博, 1.6, 56,   0,  -5, 4,  9.9,④④⑤, 8, 9,Ｄニホンピロキリバス, 76,村田一, 0.9, 72,  -2,   4, 7, 47.0, ⑤④
 9,16,Ｍロｰズオブメイ, 35,小林淳, 0.8, 56, -15,*  7,15,242.8,⑯⑮⑯, 9, 2, イグアス,---,津村明, 2.0, 37, -17, -18, 1,  2.8,⑨⑨⑧, 9, 1,Ｆオズフェスト, 55,柴山雄, 1.9, 54,  -7,   5, 7, 81.5,⑩⑩⑩, 9, 5,Ｉカツヨトワイニング, 64,大庭和, 0.9, 77,  -7,  14, 9, 67.1, ⑨⑨
10, 4,Ｆマイネルインバネス, 48,津村明, 0.8, 53, -15,*  3, 9,130.6,⑫⑪⑭,10, 4, トｰセンナイト,---,田辺裕, 2.6, 26,*-13, -35, 9, 48.6,②②②,10,10,Ｇパティオ, 53,鈴来直, 2.5, 47,  -4,  -9, 9,131.7,⑦⑦⑨,,,,,,,,,,,,
11, 5,Ｐバシリクス, 28,田辺裕, 0.8, 51, -13,   2,11,145.6,⑮⑫⑪,11, 7, マイネルブエロ,---,伊藤工, 7.0,-17, -34, -56,11,200.6,⑩⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
12, 7,Ｏテオブロマ, 30,田中博, 0.8, 53, -13,   1,13,158.2,⑦⑨⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11,Ｈメジロミョウジン, 41,吉田豊, 0.9, 43,* -8, -14, 7, 19.6,③②②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,Ｅリベラルアｰツ, 51,後藤浩, 1.1, 46, -12,  -5, 6,  9.0,⑬⑯⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｌハヤブサミラクル, 38,北村宏, 1.5, 43, -13,  -9,14,171.8,⑭⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｎダイメイパックマン, 31,小林久, 1.6, 42, -15,  -8,16,322.0,⑩⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,
"単勝:840円 複勝:01=270円 06=180円 13=170円 枠連:2,330円",,,,,,,,,,,,"単勝:410円 複勝:01=170円 09=370円 11=490円 枠連:3,020円",,,,,,,,,,,,単勝:230円 複勝:03=110円 07=130円 09=220円 枠連:330円,,,,,,,,,,,,"単勝:1,030円 複勝:08=240円 04=110円 03=180円 枠連:710円",,,,,,,,,,,
"馬連:2,210円 ワイド:01-06=720円 01-13=770円 06-13=480円",,,,,,,,,,,,"馬連:2,660円 ワイド:01-09=870円 01-11=1,150円 09-11=2,820円",,,,,,,,,,,,馬連:400円 ワイド:03-07=210円 03-09=410円 07-09=450円,,,,,,,,,,,,馬連:820円 ワイド:04-08=330円 03-08=670円 03-04=230円,,,,,,,,,,,
