10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 5,Ｂヨイチクロｰン, 64,丸田恭, 0.9, 59,  -1,   0, 6, 19.0,⑧⑨⑨, 7,11,Ｇカトルズメテオ, 60,木幡初, 1.5, 58,   4,  -7, 9, 45.3,⑬④③, 7, 6,Ｄスイｰトバイカル, 72,吉田隼, 2.2, 67,  10, -19, 6, 19.0,⑦⑥⑦, 7, 1,Ｌナリタシｰズン, 56,上村洋, 1.7, 60,  -1,   9,10, 66.3,⑥⑥⑥
 8,11,Ｉエミネンスグリｰズ, 58,丸山元, 1.1, 59,  -1,   1, 9, 65.5,⑪⑩⑩, 8, 7,Ｅアドマイヤファイン, 60,勝浦正, 1.8, 56,   2,  -6, 3,  5.8,⑧⑨⑩, 8, 1,Ｃウインシュｰルマン, 73,安藤勝, 2.7, 66,* 12, -29, 2,  3.2,②③③, 8, 5,Ｆメイショウシャイン, 70,藤田伸, 1.7, 59,  -2,  10, 6, 11.0,⑦⑦⑧
 9, 8,Ｅモンスティル, 61,大野拓, 1.1, 55,   2,  -6,10, 84.4,③③④, 9, 8,Ｉミッドナイトクロス, 54,横山典, 2.1, 53,   4, -12, 6, 16.5,⑤⑥⑧, 9, 2,Ａファｰトゥム, 78,丹内祐, 3.0, 64,  11, -31,10, 64.1,④⑤⑤, 9,12,Ｈネオギャラクシｰ, 65,古川吉, 2.0, 57,  -6,  13, 7, 15.4,⑬⑫⑩
10, 4,Ｋダイワエルモｰサ, 26,横山典, 1.1, 58,  -2,*  3, 4, 11.1,⑩⑪⑪,10, 3,Ｈシゲルナガマサ, 59,藤岡佑, 2.9, 51,   3, -16,11, 76.5,⑦⑧⑨,10,10,Ｅサンリヴァル, 70,横山典, 4.3, 54,   6, -34, 1,  3.1,⑧⑩⑩,10,10,Ｍチェリｰブランデｰ, 53,丸田恭, 2.7, 53,  -2,   4,11, 90.1,⑫⑨⑨
11, 3,Ｊジャトゥチンタ, 41,荻野琢, 2.4, 50,   0, -12,11,197.8,⑥⑧⑧,11, 4,Ｋアクアオｰラ, 50,ホワイ, 3.7, 44,*  5, -27, 8, 29.9,②②④,,,,,,,,,,,,,11,11,Ｉコウセイベイビｰ, 64,黛弘人, 2.7, 53,  -4,   7,12,113.3,⑩⑩⑪
,,,,,,,,,,,,12, 1,Ｍクリノオスカｰ, 31,荻野琢, 8.9, 18,  -5, -52,12,252.4,⑥⑫⑫,,,,,,,,,,,,,12, 7,Ｊクリノサンデｰママ, 63,荻野琢, 4.9, 38,  -4, -12, 8, 25.8,⑧⑪⑫
,,,,,,,,,,,,13,13,Ｌウエスタンサクラ, 38,西村太, 9.6,  2,  -7, -57,13,393.0,⑩⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
