10年12月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
13, 7,Ｎラヴァリｰオステル, 38,村田一, 1.2, 45,  -5,* -5,15,165.7,⑱⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｊタイキブリリアント, 73,北村宏, 1.3, 65,* 16, -21, 8, 17.9,②②②
14, 9,Ｌクリｰンメタボ, 43,大庭和, 1.2, 45,  -5,  -6,10, 58.3,⑯⑰⑱,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｎカツヨトワイニング, 72,大庭和, 1.5, 66,   2,   1,16,165.9,⑫⑮⑮
15, 2,Ｄシャトルベクタｰ, 59,伊藤工, 1.3, 42,*  1, -23,14,112.5,④④④,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｅネコパンチ, 77,後藤浩, 1.7, 62,   7, -11,11, 45.2,⑪⑫⑭
16,15,Ｊケンタッキｰツヨシ, 51,三浦皇, 1.3, 45,  -2, -12, 8, 23.5,⑭⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｌメジロチャンプ, 73,石橋脩, 1.8, 61,* 16, -28,13, 67.2,③①①
17,13,Ｏグラッドフォンテン, 38,平野優, 1.8, 38,   0, -26,18,550.2,⑨⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,14,Ｇアントウェルペン, 53,蛯名正, 1.9, 36,*  3, -33, 3,  5.5,③③③,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
単勝:350円 複勝:10=150円 04=260円 01=210円 枠連:620円,,,,,,,,,,,,"単勝:240円 複勝:02=120円 08=230円 11=180円 枠連:1,270円",,,,,,,,,,,,単勝:340円 複勝:02=150円 09=410円 07=130円 枠連:630円,,,,,,,,,,,,単勝:290円 複勝:07=140円 02=190円 04=260円 枠連:550円,,,,,,,,,,,
"馬連:1,860円 ワイド:04-10=720円 01-10=340円 01-04=580円",,,,,,,,,,,,"馬連:1,090円 ワイド:02-08=440円 02-11=330円 08-11=940円",,,,,,,,,,,,"馬連:5,740円 ワイド:02-09=1,530円 02-07=200円 07-09=1,200円",,,,,,,,,,,,馬連:750円 ワイド:02-07=350円 04-07=660円 02-04=950円,,,,,,,,,,,
"馬単:3,070円 3連複:2,320円 3連単:12,590円",,,,,,,,,,,,"馬単:1,580円 3連複:2,800円 3連単:10,700円",,,,,,,,,,,,"馬単:9,500円 3連複:4,440円 3連単:39,860円",,,,,,,,,,,,"馬単:1,320円 3連複:2,550円 3連単:8,440円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
