10年 7月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 9, 5,Ｇセイバリｰ, 44,田辺裕, 2.0, 37,  -6, -13, 9, 30.9, ⑨⑩, 9, 5, スズカダｰク,,大江原,190.0,,,, 6, 14.2,②②②, 9,16,Ｈメジロバラク, 56,吉田豊, 0.7, 62,  -5,   2, 9, 20.1, ⑫⑫, 9, 2,Ｆマイネルオベリスク, 79,津村明, 2.8, 55,* 12, -20, 7, 23.4,①①①
10,13,Ｌコスモサンドリヨン, 32,田中博, 2.0, 39,  -8, -10, 3, 12.5, ⑫⑬,10, 1, ゴｰストライタｰ,,水出大,190.4,,,,13,171.6,③⑧⑧,10,12,Ｋセトウチロッキｰ, 45,田中博, 1.3, 55, -11,   0,11, 68.6, ⑯⑮,10,11,Ａジャンバルジャン, 83,中舘英, 3.0, 56,  11, -18, 4,  9.1,⑥⑥⑥
11, 8,Ｅラグランダム, 46,中舘英, 2.3, 35,  -3, -20, 6, 15.7, ⑧⑧,11,10, シルクパナシア,,五十嵐,191.1,,,, 5, 12.4,⑫⑫⑪,11, 8, ヒカルアスピレイト,---,伊藤工, 1.3, 55, -10,   0,13,179.8, ⑮⑯,11,10,Ｊセイウンロデム, 65,武士沢, 5.5, 39,   6, -31,10,162.4,⑧⑩⑪
12,14,Ｂトウカイギアｰ, 54,小野寺, 2.5, 33,*  2, -28, 4, 13.1, ④③,12, 8, コスモスペシャリｰ,,平沢健,198.2,,,,11, 97.0,⑬⑬⑬,12, 2,Ｎマジックウインド, 33,郷原洋, 1.5, 53,  -7,  -6,15,355.4, ⑬⑭,,,,,,,,,,,,
13, 9,Ｎマハリクマハリタ, 19,伊藤直, 3.0, 26, -10, -22,14,327.9, ⑬⑫,13,14, トミケンシャルム,,穂苅寿,207.9,,,,12,170.8,⑭⑭⑭,13, 1, サトノジェット,---,北村宏, 1.7, 50,  -5, -13, 3,  9.6, ⑧⑩,,,,,,,,,,,,
14,11,Ｍメイビｰサムタイム, 31,柴田大, 3.2, 23,  -6, -29,13,229.8, ⑩⑪,,,,,,,,,,,,,14,14,Ｌグラスグロｰリｰ, 42,大江原, 2.3, 44, -12, -12,17,561.0, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｇコスモマザｰボｰド, 57,津村明, 2.9, 37,  -5, -28,10, 56.8, ⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｍチャｰミｰベル, 41,柴田大, 3.1, 34,  -2, -33,16,469.5, ④⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｏミリオンダンサｰ,  9,小島太, 3.6, 28,* -1, -41,14,255.6, ③④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,
単勝:170円 複勝:01=110円 03=150円 06=270円 枠連:470円,,,,,,,,,,,,"単勝:1,570円 複勝:07=350円 04=640円 06=120円 枠連:14,970円",,,,,,,,,,,,"単勝:1,560円 複勝:06=230円 17=130円 07=110円 枠連:1,030円",,,,,,,,,,,,"単勝:530円 複勝:04=190円 05=540円 03=170円 枠連:7,730円",,,,,,,,,,,
馬連:720円 ワイド:01-03=310円 01-06=430円 03-06=960円,,,,,,,,,,,,"馬連:25,220円 ワイド:04-07=4,630円 06-07=530円 04-06=1,470円",,,,,,,,,,,,"馬連:3,180円 ワイド:06-17=690円 06-07=420円 07-17=180円",,,,,,,,,,,,"馬連:7,430円 ワイド:04-05=1,870円 03-04=450円 03-05=1,740円",,,,,,,,,,,
"馬単:1,040円 3連複:2,150円 3連単:6,660円",,,,,,,,,,,,"馬単:59,550円 3連複:12,300円 3連単:144,330円",,,,,,,,,,,,"馬単:8,290円 3連複:1,430円 3連単:19,460円",,,,,,,,,,,,"馬単:12,040円 3連複:9,800円 3連単:60,210円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,日本海ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｈスズヨタキオン, 58,柴田善,, 68,  -2,*  7, 6, 10.6,⑬⑬⑬, 1, 3, リｰサムポイント,---,内田博,, 60,  -5,* -1, 4,  6.1, ⑪⑪, 1,12,Ｆケｰジｰアメリカン, 69,伊藤工,, 67,  -2,* 12, 9, 37.9, ⑨⑨, 1, 4,Ａスリｰオリオン, 84,内田博,, 89,* -2,* 24, 1,  2.5,③③③
 2,12,Ｅリトルジュン, 63,内田博, 0.0, 67,*  2,* -4, 2,  4.6,④⑤⑤, 2,13, マイネルメダリスト,---,田中博, 0.5, 52,  -2, -15, 9, 29.5, ⑥⑧, 2, 5,Ａエイコオミリオン, 75,中舘英, 0.1, 70,*  9,   2, 2,  4.5, ③③, 2, 1,Ｅアサティスボｰイ, 82,江田照, 0.3, 85,  -4,  21, 2,  6.1,④④④
 3,14,Ｄデザｰトチャｰム, 63,北村宏, 0.4, 63,  -1,* -3, 7, 15.1,⑪⑪⑪, 3, 5, ファストカラｰ,---,北村宏, 0.6, 51,  -2, -16, 6,  9.5, ⑦⑥, 3, 8,Ｃスペシャルハｰト, 71,内田博, 0.2, 71,* 12,  -3, 1,  2.0, ①①, 3, 3,Ｆシングライクバｰド, 80,石橋脩, 0.4, 87,  -6,* 25, 5,  9.0,⑨⑨⑨
 4,13,Ｂクサナギノツルギ, 64,田中博, 0.5, 62,   1,  -7, 5,  8.8,⑫⑩⑨, 4,12, コントルアタック,---,松岡正, 0.8, 49,* -1, -22, 7, 17.5, ④④, 4,14,Ｄシルクファルシオン, 71,北村宏, 0.5, 62,  -5,* 10, 6, 11.3, ⑫⑫, 4, 5,Ｄライオングラス, 83,北村宏, 0.4, 85,  -4,  22, 7, 18.7,⑥⑥⑥
 5,15,Ｊエリン, 57,草野太, 0.5, 60,   1,  -9, 8, 37.6,⑨⑦⑥, 5,11, ケｰジｰスペシャル,---,吉田豊, 0.8, 49,  -8,* -8,10, 33.7, ⑭⑭, 5,13,Ｇサウスジャック, 68,西田雄, 0.6, 68,* 12,  -5, 8, 36.5, ②②, 5,10,Ｈスノｰクラッシャｰ, 80,松岡正, 0.5, 87,  -5,* 26, 3,  7.0,⑪⑪⑪
 6,18,Ｆグｰテデロワ, 61,松岡正, 0.7, 58,*  2, -15, 3,  5.0,⑤③③, 6,17, トｰアクリスタル,---,小林淳, 1.0, 47,  -4, -19,11, 46.2, ⑨⑨, 6, 7,Ｊシセイオウジ, 63,石橋脩, 1.0, 60,   0,   2, 7, 30.6, ⑧⑧, 6, 9,Ｋニュｰビギニング, 75,吉田豊, 0.6, 82,  -5,  21, 9, 22.4,⑦⑦⑦
 7,17,Ｍブロンドペタル, 47,武士沢, 0.8, 56,*  2, -18,12, 87.8,②②②, 7,18, ヒｰルゼアハｰツ,---,津村明, 1.0, 47,  -6, -13, 2,  5.3, ⑫⑫, 7, 6,Ｋジャｰジデスマイル, 62,宮崎北, 1.1, 58,  -7,*  8,10,118.5, ⑬⑬, 7, 8,Ｂドットコム, 84,蛯名正, 0.7, 81,  -5,  19,10, 25.2,⑩⑧⑧
 8, 6,Ｉバトルオヤユビヒメ, 57,平野優, 0.8, 59,   1, -12,10, 65.5,⑧⑨⑧, 8,16, ノワｰルシャルマン,---,石橋脩, 1.0, 48,  -2, -22, 5,  6.4, ⑧⑦, 8, 9,Ｅドクトルジバゴ, 70,柴田善, 1.2, 58,   3,  -3, 3,  8.7, ⑥⑥, 8, 2,Ｌロｰレルベルロｰド, 74,中舘英, 0.7, 78,* -3,  12,11, 26.2,②②②
 9, 1,Ｌハルランマン, 49,伊藤工, 0.9, 57,*  2, -16, 9, 40.7,③④④, 9,15, スリｰケインズ,---,平野優, 1.2, 46,  -9,*-10,15, 86.1, ⑮⑮, 9, 3,Ｂマルタシュンプウ, 72,江田照, 1.3, 58,   5,  -6, 4,  9.5, ⑤⑤, 9, 7,Ｉドリｰムキュｰブ, 78,武士沢, 0.7, 75,* -1,   9, 6, 12.2,①①①
10, 8,Ｃフェアリｰナカヤマ, 64,津村明, 0.9, 58,  -2,  -9, 4,  6.5,⑩⑫⑫,10, 7, ザキャッチ,---,田辺裕, 1.3, 42,* -1, -29, 8, 26.0, ③③,10,15,Ｈボストンレッド, 63,津村明, 1.4, 57,   7,  -9,11,194.1, ④④,10, 6,Ｃドリｰムノクタｰン, 84,津村明, 0.8, 77,  -4,  14, 4,  8.8,⑤⑤⑤
11, 7,Ａオンマイマインド, 69,蛯名正, 1.0, 54,*  3, -22, 1,  3.4,①①①,11, 6, ニチリンヒカリ,---,武士沢, 1.9, 38, -12, -15,18,201.1, ⑰⑰,11, 2,Ｌクｰルボｰイズ, 61,田辺裕, 1.4, 56,   0,  -2,15,404.5, ⑦⑦,11,11,Ｊロｰドキャニオン, 77,小林淳, 1.1, 77,  -5,  15,12, 54.4,⑧⑩⑩
12, 2,Ｋジェイケイオペラ, 53,小野寺, 1.1, 57,  -6,* -1,14,122.2,⑯⑮⑭,12,14, マイネシェリｰ,---,柴田大, 2.1, 36,  -8, -27,16,100.4, ⑬⑬,12, 4,Ｏスズカジェネラル, 52,田中博, 1.5, 55,  -5,   2,12,207.4, ⑪⑪,12,12,Ｇアヴェンティｰノ, 80,柴田善, 1.5, 75,  -8,  17, 8, 20.8,⑫⑫⑫
13, 4,Ｎエニイサンデｰ, 46,江田照, 1.2, 56,   1, -17,15,217.8,⑦⑧⑩,13, 4, アポロセラヴィ,---,伊藤工, 2.5, 34,  -4, -38,14, 67.7, ⑩⑩,13,10,Ｍリンドブルム, 61,吉田豊, 1.6, 53,  -2,  -2, 5, 10.4, ⑩⑩,,,,,,,,,,,,
14,11,Ｒトゥリパｰノ, 29,菅原隆, 2.1, 47,  -8, -12,18,342.7,⑭⑯⑯,14, 8, エｰシンディｰバ,---,柴田善, 2.7, 31,*  2, -55, 3,  5.8, ①①,14,11,Ｎメイシｰズパレｰド, 53,小野寺, 1.9, 50,  -9,   2,13,239.5, ⑭⑭,,,,,,,,,,,,
15, 3,Ｑアイギス, 30,西田雄, 3.4, 35,  -6, -35,17,295.5,⑮⑭⑮,15, 1, チンドンヤ,---,蛯名正, 2.9, 29, -12, -30,13, 51.4, ⑯⑯,15, 1,Ｉヴォイジャｰ, 63,武士沢, 7.4, -8, -28, -28,14,279.5, ⑮⑮,,,,,,,,,,,,
16,10,Ｇアカシナホリン, 59,石橋脩, 3.4, 38,*  2, -52,13,119.7,⑥⑥⑦,16, 2, グロリアスハイヤｰ,---,大庭和, 2.9, 30, -15, -22,17,187.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
17, 9,Ｐカオルコウバイ, 35,吉田豊, 6.5,  5, -23, -36,11, 82.7,⑱⑱⑱,17, 9, モンテビギン,---,中舘英, 3.1, 31,* -1, -56, 1,  4.9, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,
18, 5,Ｏマリエッタ, 37,大庭和, 8.4,-16, -21, -67,16,293.9,⑰⑰⑰,18,10, アシヤサルタン,---,江田照, 3.8, 12,*  1, -68,12, 47.7, ②②,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,060円 複勝:16=320円 12=180円 14=430円 枠連:760円",,,,,,,,,,,,"単勝:610円 複勝:03=240円 13=660円 05=340円 枠連:5,170円",,,,,,,,,,,,"単勝:3,790円 複勝:12=540円 05=160円 08=110円 枠連:3,440円",,,,,,,,,,,,単勝:250円 複勝:04=130円 01=150円 03=240円 枠連:660円,,,,,,,,,,,
"馬連:2,410円 ワイド:12-16=850円 14-16=1,860円 12-14=1,100円",,,,,,,,,,,,"馬連:11,990円 ワイド:03-13=2,930円 03-05=1,010円 05-13=4,100円",,,,,,,,,,,,"馬連:8,990円 ワイド:05-12=1,830円 08-12=1,120円 05-08=230円",,,,,,,,,,,,馬連:640円 ワイド:01-04=230円 03-04=480円 01-03=630円,,,,,,,,,,,
"馬単:5,790円 3連複:8,700円 3連単:51,870円",,,,,,,,,,,,"馬単:19,980円 3連複:35,000円 3連単:181,740円",,,,,,,,,,,,"馬単:24,520円 3連複:4,170円 3連単:65,980円",,,,,,,,,,,,"馬単:1,090円 3連複:1,760円 3連単:6,260円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  芝1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,尖閣湾特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａワルトユニヴァｰス, 69,田辺裕,, 66,* -3,*  9, 1,  3.0,①①①, 1, 3, カトルズタッチ,---,柴田善,, 44,*-14,  -9, 3,  5.2,   , 1, 6,Ａカリバｰン, 79,蛯名正,, 84,  12,* 10, 1,  4.3, ⑩⑩, 1,17,Ｄセイコｰライコウ, 72,柴田善,, 74,   2,*  8, 2,  4.0, ⑨⑨
 2, 5,Ｈリュウシンドラゴン, 57,江田照, 0.9, 60,* -3,   2, 9, 70.1,②②②, 2, 5, コスモアパッチ,---,伊藤工, 0.2, 42, -25,  -5, 5,  6.4,   , 2, 7,Ｃネヴァｰフェイド, 75,松岡正, 0.3, 80,  15,   0, 2,  5.5, ⑤⑤, 2, 5,Ａスパラｰト, 76,蛯名正, 0.1, 74,* 16,  -6, 1,  3.5, ①①
 3, 7,Ｄチャンピオンハｰレ, 63,内田博, 1.1, 61,  -6,   5, 2,  3.4,⑧⑧⑧, 3, 2, ブレスマイハｰト,---,内田博, 0.4, 40, -22,  -9, 1,  2.9,   , 3,13,Ｊゴｰルドケｰ, 69,田辺裕, 0.5, 75,* 16,  -6,11, 35.1, ③③, 3,15,Ｇフィｰルザファン, 68,吉田豊, 0.3, 70,   3,   3, 6, 14.8, ⑧⑧
 4, 4,Ｉサトノイｰグル, 57,北村宏, 1.3, 56,* -4,   0, 7, 17.7,④③③, 4, 4, ビヨンドザリミット,---,松岡正, 1.1, 28,*-14, -24, 7, 26.4,   , 4, 4,Ｑジョｰレオｰネ, 56,石橋脩, 0.6, 77,* 16,  -9,16,161.0, ②②, 4, 9,Ｂソルプリマベラ, 74,国分優, 0.4, 70,   6,  -1, 3,  4.7, ⑤⑤
 5, 1,Ｂレップウ, 67,津村明, 1.4, 57,  -6,   5, 3,  4.7,⑪⑨⑨, 5, 8, バライロｰ,---,田中博, 1.1, 26,*-14, -24, 2,  3.7,   , 5, 2,Ｂケｰジｰカチボシ, 76,西田雄, 0.7, 75,  13,  -3, 8, 17.0, ⑨⑦, 5,14,Ｏパワｰショウ, 56,内田博, 0.4, 70,  -6,* 10,11, 35.2, ⑯⑯
 6, 9,Ｆブライトベイ, 62,蛯名正, 1.7, 56,  -5,  -2, 6, 17.6,⑥⑤⑥, 6, 6, クｰルココ,---,北村宏, 1.3, 32, -59,*  3, 4,  5.8,   , 6, 5,Ｋロックバルｰン, 68,内田博, 0.7, 76,  13,  -4, 9, 17.5, ⑦⑧, 6, 3,Ｋクインズプレイヤｰ, 62,郷原洋, 0.5, 69,  -1,   4,13, 64.0, ⑩⑩
 7, 2,Ｋティアランドｰル, 54,中谷雄, 1.7, 56,  -6,  -1,12,189.4,⑦⑦⑤, 7, 7, チャｰミングロック,---,石橋脩, 1.5, 21, -26, -23, 9, 79.0,   , 7,12,Ｄエクスプレスワン, 75,柴田善, 0.8, 72,  13,  -6, 7, 11.6, ⑧⑨, 7,16,Ｃメイクユｰハッピｰ, 72,田辺裕, 0.5, 67,   5,  -2, 5, 10.6, ⑥⑥
 8,15,Ｃダイビングキャッチ, 65,吉田豊, 1.7, 56,  -8,   6, 5, 10.5,⑫⑫⑪, 8, 1, サファリレット,---,田辺裕, 1.7, 18, -26, -23, 8, 49.7,   , 8,16,Ｈトｰセンフリｰジア, 70,武士沢, 0.9, 72,  10,  -2,10, 31.0, ⑬⑪, 8,12,Ｊリリアｰレ, 65,津村明, 0.7, 65,  -2,   2, 8, 27.2, ⑭⑭
 9,13,Ｊマイネアイｰダ, 56,大庭和, 2.0, 54, -11,*  8,11,184.8,⑬⑬⑬, 9, 9, フェニックスカラｰ,---,西田雄, 2.5,  4, -37, -28, 6, 20.7,   , 9,15,Ｉヒカルルｰキｰ, 69,伊藤工, 1.0, 73,  10,  -1, 3,  6.5, ⑪⑫, 9,11,Ｉフラッシュバット, 66,西田雄, 0.7, 66,  -1,   1,14, 68.5, ⑫⑪
10, 8,Ｇチャｰミングキラｰ, 60,伊藤工, 2.1, 53,  -8,   2, 8, 57.9,⑩⑪⑩,,,,,,,,,,,,,10,14,Ｎオルレアンノオトメ, 65,柴田大, 1.0, 72,  14, -10,13,103.4, ⑥⑥,10, 6,Ｐセトウチダイヤ, 49,大庭和, 0.7, 67,   4,  -2, 9, 29.5, ⑦⑦
11,11, トリプルタヤス,---,石橋脩, 3.0, 46,* -4, -15,13,202.6,③④④,,,,,,,,,,,,,11,17,Ｆマックスストレイン, 73,小林淳, 1.4, 69,   9,  -4,12, 49.5, ⑭⑭,11, 2,Ｅロイヤルロｰド, 70,松岡正, 0.8, 64,  -6,   5, 4,  8.4, ⑮⑮
12,14, モンテムｰン,---,柴田善, 4.3, 36,  -5, -25, 4,  6.8,⑤⑥⑦,,,,,,,,,,,,,12, 1,Ｅトｰセンオｰパス, 73,北村宏, 1.5, 67,  15, -17, 5,  8.1, ④④,12,13,Ｈシャイニｰカフェ, 66,武士沢, 1.0, 62,  -1,  -3,12, 47.9, ⑪⑬
13,12,Ｌオｰシャンメルヘン, 42,西田雄, 4.8, 36,  -8, -24,14,265.1,⑨⑩⑫,,,,,,,,,,,,,13, 3,Ｍタイフｰンルビｰ, 66,吉田豊, 1.6, 63,* 19, -28, 6,  9.4, ①①,13, 4,Ｎクリプトゾｰン, 56,嘉藤貴, 1.0, 63,  -2,  -1,15,211.1, ⑬⑫
14,10,Ｍグッドカンパニｰ, 36,田中博, 7.8, 20, -20, -26,10,108.3,⑭⑭⑭,,,,,,,,,,,,,14, 8,Ｏトｰセンマルゴｰ, 64,大庭和, 2.2, 60,   6, -12,15,117.8, ⑮⑮,14,10,Ｍエリモシｰド, 58,中舘英, 1.2, 60,   9, -15, 7, 24.0, ④③
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｌリリｰザサン, 66,平野優, 2.5, 57,   6, -15,17,231.0, ⑯⑯,15, 8,Ｑザバトルメイトル, 43,宮崎北, 1.5, 57,   9, -18,16,229.0, ③④
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｇタニノエポレット, 73,中舘英, 2.5, 58,   9, -21, 4,  7.1, ⑫⑬,16, 7,Ｆコイクレナイ, 69,田中博, 1.6, 54,* 11, -22,10, 32.1, ②②
,,,,,,,,,,,,,,,,,,,,,,,,17, 9,Ｐシュンドルゴナ, 59,田中博, 2.6, 57,   3, -12,14,103.9, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
