10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,安芸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｌケンブリッジシｰザ, 41,国分恭,, 60,* -4,   3, 8, 40.8, ①①, 1,14,Ａウインドミネｰタｰ, 69,浜中俊,, 70,*  7,*  2, 1,  2.0,④③②, 1,14,Ｇウインブシドウ, 69,藤岡康,, 77,* 13,   1, 7, 17.6,①①①, 1, 9,Ｆパントクラトｰル, 72,鮫島良,, 83,  13,* -1, 6,  8.9,⑪⑨⑧
 2,10,Ｃディｰプハント, 60,岩田康, 0.0, 62,  -8,*  9, 3,  5.2, ⑦⑦, 2,10,Ｅニシノバスタｰ, 64,川須栄, 1.1, 62,   5,  -3, 4,  9.7,⑩⑫⑨, 2, 7,Ｂロｰドイノセント, 77,川田将, 0.3, 74,* 12,  -1, 2,  5.4,②②②, 2, 3,Ｃテンシノマズル, 77,中村将, 1.0, 75,  14, -17, 1,  3.6,⑤⑥⑤
 3,14,Ｈサヴァラン, 53,北村友, 0.2, 59,* -4,   2, 7, 30.5, ②②, 3,12,Ｋキョウワキングダム, 51,飯田祐, 1.1, 62,   6,  -6, 7, 25.5,③⑤⑦, 3, 4,Ｌヴァルナ, 66,国分恭, 0.4, 75,   9,*  4,13,181.8,⑪⑬⑦, 3, 4,Ｅラッキｰポケット, 72,岩田康, 1.1, 74,* 15, -23, 5,  6.4,①①①
 4,12,Ｆスプリングオスロ, 58,川須栄, 0.3, 58,  -6,   5, 9, 43.7, ④⑤, 4,13,Ｂメイショウトシイエ, 67,池添謙, 1.1, 62,*  7,  -6, 2,  4.5,⑥⑥③, 4,12,Ｄトランソニック, 73,鮫島良, 0.5, 74,  10,   1, 4, 12.8,⑩⑧⑥, 4, 7,Ａトップサンダｰ, 82,和田竜, 1.2, 73,* 15, -23, 3,  5.8,③④③
 5,15, エリモマｰヴェラス,---,小牧太, 0.7, 57, -11,*  8, 6, 29.1, ⑬⑬, 5, 4,Ｊテｰオｰジャングル, 54,松山弘, 1.1, 63,*  7,  -7, 9, 49.4,⑤④⑥, 5, 6,Ｆエイユｰブラッサム, 70,松山弘, 0.8, 72,   9,   1,10, 51.3,⑫⑪⑩, 5, 8,Ｇサンマルエミネム, 69,野元昭, 1.4, 71,  13, -20, 8, 25.1,⑦⑦⑥
 6, 9,Ａトｰホウカツトップ, 63,幸英明, 0.8, 55,  -7,   1, 2,  5.0, ⑥⑥, 6, 8, メイショウタイシャ,---,北村友, 1.6, 61,   2,* -2,10, 59.1,⑬⑬⑬, 6, 8,Ｊリザウンドエコウ, 67,小坂忠, 0.8, 71,   8,*  3,11,144.8,⑬⑫⑪, 6, 6,Ｈアグネスハイヤｰ, 68,川田将, 3.2, 62,  13, -43, 7, 21.9,⑧⑧⑨
 7, 6,Ｂペガサスダンディｰ, 61,高倉稜, 1.2, 51,  -5,  -5, 4,  5.3, ③③, 7, 7,Ｄゼットフジ, 65,高倉稜, 1.6, 59,   4,  -7, 8, 41.2,⑪⑪⑪, 7, 2,Ｍアキノフライ, 63,川須栄, 0.9, 70,   9,  -1,12,146.0,⑨⑨⑨, 7,10,Ｋハイドランジア, 56,太宰啓, 3.8, 59,  14, -59, 9, 58.1,②②②
