10年10月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,15,16,Ｎミシュランシチｰ, 56,松田大, 2.0, 59,   3,  -6,15,184.3, ⑭⑮,15,16,Ｎセルリアンレッド, 65,渡辺薫, 1.7, 64,  -1,  -4,10, 90.4, ⑭⑮,15,15,Ｍザザ, 71,川田将, 1.4, 67,  -5,   3, 9, 20.8, ⑮⑬
,,,,,,,,,,,,16, 3,Ｐサンレイフレンド, 37,岩崎祐, 2.1, 60,* 12, -19,10, 60.4, ①①,16, 8,Ｍゴシップガｰル, 65,藤岡康, 1.9, 63,  -5,   3,16,149.9, ⑰⑯,16,13,Ｄマッキｰコバルト, 76,野元昭, 1.4, 66,   4,  -5, 8, 18.7, ④④
,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｒデアモント, 52,畑端省, 1.9, 63,  -7,   5,18,660.8, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｑプリティｰピュティ, 52,吉田稔, 2.5, 52,*  5, -25,13,119.0, ①①,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
単勝:210円 複勝:03=110円 04=230円 05=680円 枠連:460円,,,,,,,,,,,,"単勝:840円 複勝:08=230円 10=150円 11=290円 枠連:1,220円",,,,,,,,,,,,単勝:240円 複勝:04=130円 01=170円 14=300円 枠連:640円,,,,,,,,,,,,"単勝:780円 複勝:01=260円 14=190円 16=460円 枠連:1,710円",,,,,,,,,,,
"馬連:580円 ワイド:03-04=300円 03-05=1,140円 04-05=1,770円",,,,,,,,,,,,"馬連:1,340円 ワイド:08-10=540円 08-11=1,310円 10-11=620円",,,,,,,,,,,,"馬連:680円 ワイド:01-04=310円 04-14=690円 01-14=1,220円",,,,,,,,,,,,"馬連:2,250円 ワイド:01-14=940円 01-16=1,920円 14-16=1,640円",,,,,,,,,,,
"馬単:880円 3連複:3,980円 3連単:9,930円",,,,,,,,,,,,"馬単:3,230円 3連複:3,100円 3連単:24,790円",,,,,,,,,,,,"馬単:1,000円 3連複:2,500円 3連単:8,260円",,,,,,,,,,,,"馬単:4,470円 3連複:9,460円 3連単:58,270円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 6R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ききょうｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃジャポニズム, 62,和田竜,, 75,*  7,*  3, 1,  2.1,①①①, 1,12,Ｉモｰレツ, 66,国分恭,, 81,* 16,  -6, 7, 15.9,①②②, 1, 1,Ｇオｰスミイｰジｰ, 59,渡辺薫,, 74,*-14,  15, 4, 11.2, ①①, 1,13,Ｆダスタップ, 71,熊沢重,, 73,   1,   6, 5,  9.7, ⑤⑥
 2, 6,Ｈワイルドジョイ, 48,佐藤哲, 1.4, 68,   2,*  2, 5, 12.5,⑦⑤⑤, 2, 3,Ｂアドマイヤセナ, 80,小牧太, 0.4, 79,   8,* 13, 2,  2.8,⑩⑩⑦, 2,10,Ｅスカラブレイ, 60,福永祐, 0.3, 72, -19,* 19, 2,  3.1, ⑦⑥, 2,14,Ｂイチオカ, 74,福永祐, 0.0, 71,  -8,* 14, 4,  9.0, ⑭⑪
