10年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月24日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:15,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾍﾞﾝﾀﾞｰ賞,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｃリネンタキシｰド, 63,柴山雄,, 52,  -4,*  9, 2,  5.2,⑥④④, 1, 6,Ｂザピエｰル, 62,丸山元,, 67,   7,* -3, 1,  2.9,⑤④②, 1,10,Ｃロビンフット, 50,勝浦正,, 66,  -7,  11, 2,  4.1, ⑤⑤, 1, 8,Ｆエｰケｰサンライズ, 75,藤岡佑,, 86,  -4,* 29, 9, 42.5,⑤④③
 2,10,Ｈサトノファルコン, 48,横山典, 0.1, 53,  -3,*  7, 4,  8.9,④③③, 2,11,Ｃトレジャｰゴッド, 60,勝浦正, 0.0, 66,   5,*  0, 5, 10.5,⑩⑨⑦, 2, 2,Ｂマイネショコラｰデ, 58,和田竜, 0.0, 67,* -3,   7, 1,  2.0, ①①, 2,11,Ｈギムレットアイ, 74,木幡初, 0.0, 85,* -3,  27,10,107.8,③②②
 3, 2,Ａシルキｰバロン, 70,池添謙, 0.5, 51,  -5,   7, 1,  1.6,⑦⑦⑥, 3, 5,Ｌバトルドンジョン, 47,藤田伸, 0.3, 66,   3,*  5, 6, 10.5,⑧⑫⑩, 3, 9, ヤマノラヴ,---,丸山元, 0.0, 66,* -4,   9, 8, 49.1, ③③, 3, 3,Ｋコスモエンペラｰ, 68,丹内祐, 0.0, 87,  -5,* 28, 5,  6.7,②③④
 4, 8,Ｄマイネルガンバ, 60,丹内祐, 0.8, 50,  -5,   5, 6, 19.8,⑤⑥⑧, 4, 8,Ｅトｰセンバリュｰ, 56,横山典, 0.8, 59,   8, -13, 2,  5.4,⑦⑥④, 4, 4,Ａタイセイファントム, 59,吉田隼, 0.3, 64, -13,* 14, 3,  4.8, ⑧⑦, 4, 2,Ｅトパンガ, 76,四位洋, 0.1, 84,  -5,* 29, 1,  3.2,⑥⑦⑦
 5, 6,Ｆトウケイトニｰ, 58,西村太, 0.9, 50,  -5,   6, 8,168.9,⑨⑨⑨, 5, 4,Ｆロスマリン, 53,芹沢純, 0.9, 58,   5, -11,13,188.0,⑬⑩⑪, 5, 1, フロレアル,---,吉田稔, 0.5, 60,  -6,   5, 6, 34.4, ④④, 5, 5,Ｂレンディル, 78,横山典, 0.1, 80,* -3,  23, 2,  4.4,①①①
 6, 1,Ｅテイエムスリリング, 59,藤岡佑, 1.0, 49,  -5,   3, 5, 16.1,⑧⑧⑦, 6, 1,Ｇサンデｰキリシマ, 53,藤岡佑, 1.2, 54,*  8, -24, 8, 16.6,③①①, 6, 7, デスティニｰホｰプ,---,服部茂, 0.5, 61, -15,  13, 7, 35.9, ⑨⑨, 6, 4,Ｉパッシングマｰク, 73,丸山元, 0.2, 84,  -5,* 29, 8, 32.2,④⑥⑧
 7, 9,Ｊヤマイチリノ, 43,木幡初, 1.5, 43,* -2,  -5, 7, 61.7,②②②, 7, 9,Ｊカサドｰルバンダム, 51,丸田恭, 1.6, 50,   7, -25,12, 77.0,⑥⑤⑥, 7, 8, クラｰベセクレタ,---,佐々木, 0.6, 59, -12,   9, 4,  9.4, ⑦⑧, 7, 9,Ｃマヤノゴクウ, 77,池添謙, 0.3, 84,  -6,* 28, 6,  9.4,⑧⑧⑥
 8, 3,Ｉフォｰクダンス, 47,小野次, 1.6, 43,  -4,  -4,11,222.1,③⑤⑤, 8, 7, スファレライト,---,荻野琢, 2.4, 44,*  8, -39, 4,  7.0,②②③, 8, 3,Ｄリバｰビバップ, 49,木幡初, 0.7, 57,* -4,   0, 5, 12.2, ②②, 8, 6,Ｇニシノプライスレス, 74,藤田伸, 0.6, 82,  -5,  26, 4,  6.6,⑦⑩⑩
 9, 5,Ｂケンプトンパｰク, 66,藤田伸, 2.5, 37,* -1, -16, 3,  5.4,①①①, 9,12,Ｉヒシカツヒトリタビ, 51,小林徹, 2.9, 40,   1, -30,14,213.3,⑭⑭⑬, 9, 6, キモンレッド,---,桑村真, 0.7, 59, -18,* 14, 9, 65.0, ⑩⑩, 9, 7,Ａスズカゲイル, 80,安藤勝, 0.7, 81,  -5,  24, 3,  6.0,⑨⑨⑨
10, 4,Ｇヴァｰジンフライト, 51,長谷川, 3.0, 34,  -7,  -9,10,212.5,⑩⑩⑩,10,13,Ｍトッププライス, 42,上村洋, 3.1, 40,   7, -46,10, 42.2,⑪⑧⑨,10, 5, アイファｰコラソン,---,川島洋, 1.2, 51, -10,   0,10, 85.9, ⑥⑥,10, 1,Ｊサトノトップガン, 72,古川吉, 1.7, 64,  -5,   5, 7, 13.0,⑩⑤⑤
11, 7,Ｋヤマタケミライ,  6,丸山元, 6.1, 17, -12, -26, 9,178.0,⑪⑪⑪,11,14,Ｋキョウワフェアリｰ, 49,武幸四, 3.2, 39,   7, -47,11, 71.6,⑨⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,10,Ａニシエイビック, 62,柴山雄, 3.3, 38,*  8, -50, 7, 11.8,④③⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13, 2,Ｄバンコジｰロ, 59,四位洋, 3.4, 36,   3, -40, 3,  6.2,⑫⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14, 3,Ｈジェンティｰル, 52,吉田稔,10.3,-45,   4, ---, 9, 31.5,①⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-5),,,,,,,,,,,
単勝:520円 複勝:11=130円 10=180円 02=110円 枠連:920円,,,,,,,,,,,,単勝:290円 複勝:06=140円 11=250円 05=340円 枠連:820円,,,,,,,,,,,,単勝:410円 複勝:10=140円 02=110円 09=650円 枠連:350円,,,,,,,,,,,,"単勝:4,250円 複勝:08=980円 11=1,820円 03=280円 枠連:4,650円",,,,,,,,,,,
"馬連:1,580円 ワイド:10-11=380円 02-11=160円 02-10=250円",,,,,,,,,,,,"馬連:1,290円 ワイド:06-11=510円 05-06=680円 05-11=1,240円",,,,,,,,,,,,"馬連:410円 ワイド:02-10=190円 09-10=1,620円 02-09=1,370円",,,,,,,,,,,,"馬連:54,620円 ワイド:08-11=12,120円 03-08=5,540円 03-11=6,660円",,,,,,,,,,,
"馬単:3,600円 3連複:860円 3連単:9,850円",,,,,,,,,,,,"馬単:1,900円 3連複:4,140円 3連単:18,270円",,,,,,,,,,,,"馬単:990円 3連複:5,580円 3連単:28,860円",,,,,,,,,,,,"馬単:134,890円 3連複:172,000円 3連単:1,421,730円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 6R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,TVh杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
