10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-29,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,高千穂特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｃバトルキクヒメ, 63,太宰啓,, 66,* -9,  11, 2,  5.3,④③③, 1, 1,Ｃアサクサミツボシ, 64,国分恭,, 65,   4,* -3, 4,  6.1,⑩⑦⑥, 1,12,Ｂマイプラｰナ, 76,小牧太,, 75,*  7,*  6, 1,  2.7, ②②, 1,12,Ａミキノバンジョｰ, 79,太宰啓,, 76,  -4,* 18, 1,  2.3,⑦⑥④
 2,15,Ｂフェアリｰレイ, 64,藤岡康, 0.0, 66,* -8,   9, 1,  3.9,②②②, 2,13,Ｌキョウジ, 55,松山弘, 0.1, 66,   2,*  1, 9, 26.3,⑫⑬⑭, 2, 8,Ｌエイシンマロニエ, 57,岩田康, 0.4, 72,*  7,   1, 6, 14.7, ①①, 2, 3,Ｂリバｰハイランド, 76,幸英明, 0.1, 73,* -3,  12, 2,  4.1,③②②
 3,12,Ｅリエｰトフィｰネ, 61,和田竜, 0.0, 69,* -9,* 12, 3,  6.0,③④⑤, 3, 4,Ａグランドチャペル, 66,岩田康, 0.3, 64,   2,* -3, 3,  5.9,⑭⑪⑨, 3,10,Ａデュｰクワンダｰ, 78,福永祐, 0.5, 69,   1,*  5, 2,  3.5, ⑧⑤, 3, 1,Ｄタガノバッチグｰ, 72,松山弘, 0.6, 67,  -4,   9, 7, 14.5,②④⑤
 4,10,Ｄクレバｰオペラ, 62,高倉稜, 0.1, 67, -10,* 12, 4,  7.3,⑩⑦⑥, 4,10,Ｂジパングダマシイ, 65,浜中俊, 0.4, 61,*  6, -11, 2,  5.0,④④③, 4, 1,Ｆサマｰラグｰン, 66,松山弘, 0.7, 68,   5,   1, 7, 18.0, ③③, 4, 2,Ｆドナシュラｰク, 67,北村友, 0.6, 67,* -1,   4, 4,  9.2,①①①
 5,17,Ｏスイｰトテン, 43,鮫島良, 0.3, 66, -12,* 13,12, 57.5,⑬⑬⑨, 5, 6,Ｊドラゴンイチロｰ, 55,飯田祐, 0.5, 60,   5,  -9,14,111.6,⑥⑤⑤, 5, 3,Ｍウインライラ, 54,浜中俊, 0.8, 67,   4,   1,10, 28.2, ⑥⑥, 5,10,Ｅロｰズリパブリック, 68,小牧太, 0.7, 69,  -5,  11, 3,  6.5,⑪⑩⑧
 6, 1,Ｇファイヤｰビｰトル, 56,松田大, 0.3, 66, -10,  11,10, 23.5,⑤⑨⑧, 6, 8,Ｄバトルアステア, 64,和田竜, 0.5, 61,*  8, -16, 1,  2.9,①①①, 6, 2,Ｅシゲルシゲザネ, 68,幸英明, 0.8, 66,   2,   2, 3,  8.2, ⑦⑦, 5, 7,Ｃホｰクウィンザｰ, 72,国分恭, 0.7, 70,  -5,  11, 5, 12.4,⑧⑨⑦
 7, 8,Ｊラクスクライン, 53,川須栄, 0.3, 64, -11,   9, 9, 21.2,⑮⑧⑦, 7,16,Ｈサマｰベニング, 57,川須栄, 1.1, 55,*  7, -19, 7, 20.6,③②②, 7, 7,Ｄメイショウマレンゴ, 72,高倉稜, 0.9, 64,  -5,*  5, 4,  9.2, ⑪⑪, 7,11,Ｉラガｰゴｰルデン, 59,上野翔, 0.7, 67,* -2,   5,10, 47.4,④③③
 8,13,Ｉスナｰクリボン, 54,幸英明, 0.6, 59,* -9,   2, 5,  8.3,⑧⑤④, 8, 3,Ｇゼットフジ, 61,熊沢重, 1.1, 60,   1,  -8,11, 81.1,⑯⑭⑫, 8,13,Ｉヤッパリツヨカッタ, 63,川田将, 1.4, 61,   5,  -6,11, 52.1, ④④, 8, 5,Ｋゴシップガｰル, 57,藤岡康, 0.9, 68,  -8,  13,11,122.3,⑫⑪⑪
 9, 7,Ｈアタヴィズムマイル, 56,松山弘, 0.7, 55,* -8,  -2, 8, 16.5,①①①, 9,12,Ｅマヤラブソング, 63,酒井学, 1.4, 56,   5, -16, 6, 16.5,⑤⑥⑦, 9,11,Ｋワイドヒリュウ, 59,石橋守, 1.4, 62,  -2,  -1, 5, 10.6, ⑩⑫, 9, 8,Ｇスペｰスオｰバｰ, 65,佐藤哲, 1.0, 62,  -4,   4,12,148.6,⑥⑤⑥
10, 6,Ｆピンクアリエス, 57,川田将, 0.7, 62, -12,   8, 7, 13.6,⑫⑫⑪,10,15, イノセントリｰサム,---,川田将, 1.5, 54,   3, -15,13,101.8,⑨⑨⑩,10, 4,Ｃシゲルコイヒメ, 73,太宰啓, 1.5, 59,  -2,  -2, 8, 24.3, ⑨⑨,10, 4,Ｊメイショウタフ, 58,和田竜, 1.5, 57,  -6,  -1, 6, 13.4,⑨⑧⑩
