10年 1月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 1月23日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
 9, 1,Ｋボｰンストｰン, 51,吉田稔, 2.5, 48,  -5, -11, 6, 26.1,④⑤⑤, 9, 8,Ｆリヒタｰ, 64,大江原, 0.5, 57,  -8,   5,14,165.9, ⑫⑩, 9, 9,Ｋスｰパｰミノル, 63,荻野琢, 1.5, 66,   5,  -7,11, 75.3,⑮⑬⑬, 9,10, モエレシノノメ,---,丸田恭, 0.9, 56,   4, -15,12, 80.2, ⑥⑤
10,12,Ｊラビットラヴソング, 52,的場勇, 2.7, 45,  -8,  -7, 9, 35.3,⑮⑬⑫,10,11,Ｎトクトイムスメ, 57,吉田稔, 0.7, 55, -14,*  7,12, 95.7, ⑯⑯,10,13,Ｉタガノアルデバラン, 64,上野翔, 1.6, 63,   9, -18, 6, 18.7,⑧⑥⑦,10,11,Ｉセイインディア, 58,安藤光, 1.1, 56,*  8, -21,11, 47.4, ③③
11, 7,Ｄピンクジャスミン, 56,古川吉, 2.8, 47,  -5, -13, 7, 27.4,⑤⑥⑨,11, 2,Ｇフェバリットガｰル, 62,太宰啓, 0.9, 55,  -3,  -1, 7, 19.3, ⑧⑥,11, 6,Ｍスズカケ, 60,黛弘人, 1.6, 63,   6, -12,10, 58.6,⑨⑪⑨,11, 1,Ｌデンコウワン, 46,北村友, 1.1, 53,  -6,  -6, 6, 15.0, ⑬⑪
12, 5,Ｉフジマサオｰシャン, 52,石橋脩, 3.0, 46,* -4, -17, 8, 33.2,②②④,12, 3,Ｉキタサンハナミチ, 60,宮崎北, 0.9, 52, -15,*  6, 8, 44.2, ⑮⑮,12, 2,Ｏシングアゲン, 53,大江原, 2.0, 60,   2, -11,12,103.6,⑯⑭⑯,12,15,Ｈアイファｰマｰチス, 58,国分恭, 1.2, 55,*  8, -23,14,156.3, ④④
13,10,Ｃシャイニｰブラック, 56,荻野琢, 3.2, 47,  -9,  -9,13, 93.3,⑩⑮⑮,13,10,Ｊウェｰブガｰル, 60,岩部純, 1.0, 53,  -8,   1,13,161.2, ⑬⑫,13, 4,Ｃヴェルザンディ, 79,丸山元, 2.0, 59,* 10, -26, 1,  3.5,③④⑥,13, 9,Ｃフィｰルザファン, 63,田辺裕, 1.3, 52,   4, -19, 5, 12.9, ⑤⑦
14,11,Ｏブランドアロｰ, 15,船曳文, 3.8, 41,  -9, -14,15,237.9,⑬⑭⑬,14,12,Ｏテイエムフラメンコ, 55,中舘英, 1.1, 54,*  8, -10, 9, 48.4, ②②,14,16,Ｇテｰオｰカンブリア, 64,田中健, 2.0, 58,* 10, -28, 8, 35.2,②③③,14, 2, メモリｰキャップ,---,倉地学, 1.6, 47, -11,  -9,15,267.6, ⑮⑮
15, 9,Ｍゴｰルデンブロンド, 43,嘉藤貴, 4.2, 38,  -7, -20,14,181.9,⑨⑫⑭,15, 7,Ｐメイショウセラヴィ, 54,古川吉, 1.3, 51,  -2,  -5,15,236.0, ⑦⑨,15, 8,Ｆメイショウデュｰイ, 65,小島太, 2.1, 58,   6, -21, 5, 11.3,⑦⑨⑪,15, 4,Ｇディガジェ, 59,中舘英, 1.7, 50,* 10, -32, 4,  8.1, ①①
,,,,,,,,,,,,16,13,Ｍレインボｰアｰチ, 58,田中健, 1.6, 47,  -5,  -7,16,501.9, ⑩⑬,16, 5,Ｎグラティテュｰド, 57,草野太, 2.4, 57,   4, -17,16,424.7,⑭⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,
"単勝:140円 複勝:14=110円 04=630円 13=240円 枠連:1,220円",,,,,,,,,,,,単勝:360円 複勝:01=170円 15=190円 16=250円 枠連:490円,,,,,,,,,,,,単勝:370円 複勝:01=140円 07=170円 03=450円 枠連:530円,,,,,,,,,,,,単勝:620円 複勝:03=220円 14=160円 07=370円 枠連:830円,,,,,,,,,,,
"馬連:2,260円 ワイド:04-14=920円 13-14=320円 04-13=2,670円",,,,,,,,,,,,"馬連:1,010円 ワイド:01-15=440円 01-16=740円 15-16=810円",,,,,,,,,,,,"馬連:710円 ワイド:01-07=290円 01-03=1,060円 03-07=1,130円",,,,,,,,,,,,"馬連:910円 ワイド:03-14=440円 03-07=1,270円 07-14=790円",,,,,,,,,,,
"馬単:2,820円 3連複:5,620円 3連単:22,800円",,,,,,,,,,,,"馬単:1,670円 3連複:2,540円 3連単:9,490円",,,,,,,,,,,,"馬単:1,380円 3連複:3,960円 3連単:14,890円",,,,,,,,,,,,"馬単:2,200円 3連複:5,490円 3連単:29,390円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,知多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂヤマニンフリアンド, 60,田中健,, 59,   3,  -1, 3,  6.9, ④④, 1, 4,Ａドリｰムマジシャン, 66,国分恭,, 60,*  1,* -5, 3,  8.0,⑩⑦⑧, 1, 8,Ｈサクライダテン, 67,石橋脩,, 75,*  8,   4, 2,  3.8, ③③, 1, 2,Ｌメイショウカｰタｰ, 72,難波剛,, 78,   8,   4,15, 50.6, ⑧⑧
 2, 9,Ｉマンダリンスマイル, 44,小野寺, 0.2, 54,  -3,*  1,10, 99.2, ⑥⑥, 2, 9,Ｂブレイク, 63,藤岡康, 0.0, 62,   0,* -2, 1,  1.8,⑨⑩⑬, 2, 4,Ａゴｰルデンリング, 71,赤木高, 0.0, 74,*  9,   2, 4,  8.3, ①①, 2,16,Ｄケンブリッジエル, 78,鮫島良, 0.0, 79,  12,  -1, 1,  4.8, ⑦⑦
 3,10,Ｇトップオブザヘヴン, 46,太宰啓, 0.2, 53,  -8,*  5, 4, 14.5, ⑧⑧, 3,18,Ｄタガノアブシンベル, 56,太宰啓, 0.0, 60,*  1,* -5, 5, 12.1,⑮⑧④, 3, 3,Ｃフェリスホイｰル, 71,北村友, 0.3, 70,   5,   2, 1,  3.0, ⑤⑥, 3, 5,Ｉダイメイザバリヤル, 75,松田大, 0.2, 72,  -5,* 14,10, 21.4, ⑰⑰
 4, 4,Ａトｰセンキャッスル, 66,中舘英, 1.0, 51,*  8, -13, 1,  1.4, ①①, 4,12,Ｋマルカゴクウ, 49,中舘英, 0.2, 60,*  1,  -9, 8, 23.1,⑥⑤③, 4,15,Ｅプリンセスパトラ, 68,大野拓, 0.4, 70,   7,   0, 6, 15.5, ⑥④, 4, 8,Ｃロックオブサリサ, 78,吉田稔, 0.3, 74,   7,   1, 2,  5.3, ⑨⑨
 5,14,Ｐキュｰト, 14,田嶋翔, 1.0, 46,  -3,  -5, 6, 40.0, ⑦⑦, 5,10,Ｆアスカクリチャン, 55,酒井学, 0.4, 54,   0,  -9, 6, 13.9,⑪⑪⑦, 5, 6,Ｌワイドロｰタス, 60,藤岡康, 0.4, 70,   4,   2,16,259.7, ⑦⑦, 5, 1,Ａマチカネコロモガワ, 81,酒井学, 0.3, 76,* 16,  -8,12, 23.5, ①①
 6,13,Ｃクリノキンバリｰ, 60,高橋亮, 1.2, 50,*  8, -14, 2,  5.9, ③③, 6,11,Ｅオンワｰドカトレア, 56,加藤士, 0.4, 58,  -3,* -2, 7, 19.1,⑯⑰⑮, 6,10,Ｉネバｰチェンジ, 65,飯田祐, 0.6, 66,   1,   2,12,109.4, ⑩⑨, 6, 9,Ｐロｰドバロック, 67,石橋脩, 0.3, 73,  -1,*  9, 8, 20.2, ⑯⑯
 7, 8,Ｆニジイロノホシ, 54,的場勇, 1.2, 49,*  8, -14, 8, 59.6, ②②, 7, 6,Ｎサベラｰジュ, 41,吉田稔, 0.7, 53,*  3, -20,12,106.6,②②①, 7, 2,Ｄハリソンバロｰズ, 68,古川吉, 0.7, 66,   5,  -3, 3,  4.6, ④⑤, 7,10,Ｍスイリンカ, 72,藤岡康, 0.3, 73,   6,   3, 9, 21.3, ⑫⑫
 8,12,Ｈクリｰンダイアナ, 44,吉田稔, 1.4, 40,  -8,  -7, 5, 33.9, ⑨⑨, 8,13,Ｇニシノドバルダｰン, 52,古川吉, 0.9, 55,   0, -15, 2,  7.8,⑬⑬⑨, 8, 1,Ｂサイキョウヒカリ, 71,丸田恭, 0.8, 64,   2,   0, 7, 19.7, ⑨⑧, 8,17,Ｎニホンピロタルト, 70,中舘英, 0.4, 73,   8,  -2,11, 21.7, ⑪⑪
 9, 5,Ｌアキノロｰレル, 35,鮫島良, 1.5, 43,   0, -13, 7, 41.7, ⑤⑤, 9,15,Ｑカネスドミナドｰル, 23,荻野琢, 0.9, 52,   0, -15, 9, 67.7,⑭⑫⑩, 9, 7,Ｑワガミチヲイク, 29,宮崎北, 0.9, 63,*  9,  -9,10, 59.6, ②②, 9, 7,Ｆメイカ, 75,荻野琢, 0.4, 69,  -7,* 13, 4,  9.7, ⑱⑱
10, 2,Ｋトｰワテレサ, 41,藤岡康, 2.0, 37, -24,  -1, 9, 71.0, ⑭⑬,10,16,Ｍミスズエルドラド, 41,北村友, 1.0, 52,  -3, -10,15,163.1,⑰⑮⑯,10, 9,Ｇジョニｰバロｰズ, 68,吉田稔, 1.0, 61,  -3,   1, 8, 23.4, ⑬⑫,10,11,Ｅティムガッド, 78,田中博, 0.5, 69,   2,   2,14, 34.3, ⑮⑮
11,11,Ｏブライティアサン, 23,荻野琢, 2.2, 34, -16,  -8,15,420.1, ⑫⑫,11, 5,Ｃラガｰアンバｰ, 57,丸田恭, 1.0, 49,   0, -18, 4,  9.6,⑤⑨⑪,11,14,Ｆメジロアｰスラ, 68,長谷川, 1.0, 61, -11,*  9,13,144.4, ⑰⑯,11, 4,Ｋシンゼンオオジ, 72,飯田祐, 0.6, 68,   2,   1, 5, 10.7, ⑭⑭
12, 7,Ｊテイエムバラッド, 43,長谷川, 2.2, 32, -14,  -9,13,267.0, ⑩⑪,12, 3,Ｏコスモアゲハ, 40,石橋脩, 1.1, 52,  -1, -15,14,149.4,⑫⑭⑭,12, 5,Ｊオｰスミビｰナス, 64,丸山元, 1.1, 59, -10,*  6, 9, 47.3, ⑯⑰,12,13,Ｇエイシンフェアリｰ, 75,太宰啓, 0.6, 70,   8,  -4, 6, 12.0, ⑩⑩
13, 3,Ｎモデレｰトシチｰ, 24,鈴来直, 2.5, 29, -17, -10,14,372.3, ⑪⑩,13,17,Ｈオウシュウヒット, 51,国分優, 1.2, 52,  -5,  -7,17,237.2,⑱⑱⑰,13,11,Ｏフジビヨリ, 56,松田大, 1.2, 59,   0,  -4,17,304.1, ⑪⑩,13, 6,Ｏプラチナムペスカ, 69,古川吉, 0.8, 70,  12, -11, 7, 18.7, ⑥⑤
14, 6,Ｍビッグメッセｰジ, 33,大野拓, 3.3,  3, -39,  -2,12,255.8, ⑮⑮,14, 1,Ｊラブキンバリｰ, 49,宮崎北, 2.5, 38,*  1, -42,18,297.8,③③⑥,14,12,Ｎエンドオｰル, 56,国分恭, 1.5, 54,  -3,  -6, 5, 13.3, ⑭⑭,14, 3,Ｂラヴファンタジスタ, 79,上村洋, 0.8, 69,  12, -11, 3,  6.1, ⑤④
15,16,Ｄリトルアイ, 55,丸山元, 4.4, 16, -21, -22,11,208.2, ⑬⑭,15, 7,Ｌヨイチクロｰン, 47,的場勇, 2.5, 36,*  1, -43,11, 88.0,④④⑤,15,13,Ｍヤマカツシリウス, 59,荻野琢, 1.8, 50,  -6,  -7,15,170.5, ⑮⑮,15,18,Ｊジニオマッジョｰレ, 73,伊藤直, 1.1, 66,* 14, -17,17, 66.0, ④⑥
,,,,,,,,,,,,16, 2,Ｒダンスオブザムｰン,  4,丸山元, 2.6, 37,*  2, -48,13,123.4,①①②,16,16,Ｋマイネアリス, 60,黛弘人, 1.9, 50,   0, -13,11, 81.6, ⑫⑬,16,14,Ｑノアウイニング, 65,田中健, 1.1, 67,* 16, -18,16, 61.4, ②②
,,,,,,,,,,,,17, 8,Ｉタケショウナイト, 49,丹内祐, 3.0, 34,*  1, -48,10, 78.5,⑦⑥⑫,17,17,Ｐカネスラディカｰル, 48,的場勇, 3.0, 35,   4, -31,14,152.3, ⑧⑪,17,15,Ｒメラトニン, 59,高橋亮, 1.6, 61,* 16, -25,18, 93.9, ③③
,,,,,,,,,,,,18,14,Ｐドントキリシマ, 37,上村洋, 4.7, 11,  -3, -63,16,187.3,⑧⑯⑱,,,,,,,,,,,,,18,12,Ｈライトザキャンドル, 75,北村友, 2.0, 51,   5, -20,13, 23.9, ⑬⑬
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,
"単勝:690円 複勝:15=350円 09=2,380円 10=530円 枠連:3,020円",,,,,,,,,,,,単勝:800円 複勝:04=200円 09=120円 18=220円 枠連:510円,,,,,,,,,,,,単勝:380円 複勝:08=160円 04=200円 03=140円 枠連:530円,,,,,,,,,,,,"単勝:5,060円 複勝:02=890円 16=190円 05=420円 枠連:3,440円",,,,,,,,,,,
"馬連:24,870円 ワイド:09-15=3,820円 10-15=790円 09-10=5,200円",,,,,,,,,,,,"馬連:700円 ワイド:04-09=360円 04-18=1,240円 09-18=410円",,,,,,,,,,,,"馬連:1,540円 ワイド:04-08=600円 03-08=380円 03-04=530円",,,,,,,,,,,,"馬連:12,930円 ワイド:02-16=4,070円 02-05=6,730円 05-16=1,440円",,,,,,,,,,,
"馬単:36,780円 3連複:52,010円 3連単:325,340円",,,,,,,,,,,,"馬単:2,200円 3連複:2,090円 3連単:16,130円",,,,,,,,,,,,"馬単:2,830円 3連複:1,950円 3連単:10,720円",,,,,,,,,,,,"馬単:31,840円 3連複:60,740円 3連単:557,090円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美濃特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａリズミックビｰト, 64,中舘英,, 62,* -3,*  7, 1,  1.9,①①①, 1,14,Ｂサイアｰエフェクト, 73,丸田恭,, 75,*  5,*  8, 3,  6.5,⑦①①, 1,15,Ｅソルモンタｰレ, 75,小林慎,, 81,*  7,* 13, 7, 19.3,②②②, 1,14,Ａカワキタフウジン, 79,北村友,, 75,*  0,   9, 1,  2.3,②②②
 2,12,Ｆミスタｰルイス, 52,赤木高, 0.7, 58,* -3,   2, 3, 12.1,②②②, 2, 7,Ｅポｰトスピｰド, 71,柴原央, 0.4, 73,*  4,*  7, 2,  6.2,⑬③②, 2, 8,Ｎアドマイヤロザ, 63,上村洋, 0.1, 81,*  8,* 11, 2,  3.7,①①①, 2, 9,Ｂジャイアントラック, 73,宮崎北, 0.1, 66,*  9, -15, 7, 20.2,①①①
 3, 4,Ｂエンジェルブレス, 60,国分恭, 0.7, 58,* -3,   2, 2,  2.9,③③③, 3,15,Ｆプロヴィデンス, 71,丸山元, 0.8, 70,   3,   5, 7, 19.5,⑯⑦⑤, 3,10,Ｆアイソトｰプ, 74,北村友, 0.6, 77,   6,  10, 4,  7.1,③③④, 3, 7,Ｃスズカジェット, 72,藤岡康, 0.5, 74,  -4,* 12, 4,  7.7,⑬⑪⑪
 4, 2,Ｅメイショウキルタｰ, 54,古川吉, 1.1, 55,  -5,   2, 4, 14.9,⑤⑤④, 4, 8,Ｃシュヴァイツァｰ, 72,的場勇, 0.9, 67,   3,   4, 6, 12.4,⑤⑤③, 4, 3,Ｃオｰゴンシャトル, 78,丸田恭, 0.7, 75,   6,   9, 1,  3.7,⑤⑤③, 4,17,Ｊフレノカトリｰヌ, 63,高橋智, 0.7, 74,  -7,* 15,12, 65.7,⑰⑯⑮
 5,14,Ｊタイキデイブレイク, 45,黛弘人, 2.1, 48,  -5,  -6,11, 94.8,⑥⑥⑥, 5, 9,Ｐスズカワイルド, 48,赤木高, 1.3, 68,   1,   5, 8, 26.9,⑩⑩⑩, 5, 4,Ｂアドベンティスト, 78,伊藤直, 1.3, 72,   4,   7, 3,  4.5,⑥⑧⑥, 5, 5,Ｇゴｰルドケｰ, 68,田辺裕, 0.7, 72,  -6,* 12,10, 45.9,⑮⑮⑬
 6,15,Ｇタガノプロスペル, 51,田中健, 2.3, 49,  -8,  -3,14,250.8,⑧⑦⑦, 6,10,Ｌカリズマクレスト, 66,田中健, 1.6, 66,   2,   1,12,176.4,④⑧⑨, 6,14,Ａチュウワキング, 79,荻野琢, 1.5, 74,   4,   7, 5, 10.1,⑪⑨⑨, 6,10, プライドマウンテン,---,中舘英, 0.9, 70,  -4,   6, 2,  4.4,⑩⑩⑩
 7,11,Ｃクレムリンシチｰ, 58,吉田稔, 2.3, 51, -15,* 10, 9, 74.1,⑯⑮⑭, 7, 5,Ｉキクジロウ, 66,田中博, 1.9, 63,  -1,   3,11, 95.5,⑫⑭⑭, 7,12,Ｈティフィン, 72,国分恭, 1.6, 72,   2,  10, 8, 19.6,⑬⑬⑫, 7, 4,Ｍカンファｰバトル, 59,吉田稔, 0.9, 67,  -3,   3, 9, 35.7,④⑤⑧
 8, 8,Ｋドニュ, 44,藤岡康, 2.4, 49, -10,   0,10, 79.1,⑨⑪⑩, 8, 3,Ｄベストルｰト, 72,吉田稔, 2.1, 62,   1,  -1, 5, 11.8,⑥⑪⑫, 8, 9,Ｇプレストンペスカ, 73,吉田稔, 1.6, 70,   5,   5, 6, 14.4,⑨⑦⑧, 8,11,Ｈリバｰインバウンド, 66,西田雄, 1.0, 64,  -3,  -1,14,208.5,⑤④④
 9, 3,Ｈテｰオｰジャングル, 48,松田大, 2.4, 51, -10,   0, 8, 30.0,⑭⑩⑨, 9, 6,Ａミッキｰリヒト, 78,北村友, 2.1, 62,   1,  -2, 1,  2.0,③⑨⑧, 9, 1,Ｄホトダｰ, 78,大江原, 1.7, 69,   4,   4, 9, 25.7,⑦⑥⑦, 9,16,Ｄグルｰオン, 72,丸田恭, 1.1, 64,  -3,   1, 3,  7.7,⑪⑧⑦
10, 5,Ｍサマｰブルｰヘブン, 39,石橋脩, 2.5, 48,  -8,  -5, 5, 17.1,⑬⑧⑧,10,16,Ｈドミンゴシチｰ, 67,梶晃啓, 2.4, 59,   3,  -8,13,189.9,⑧⑥⑦,10,11,Ｉキタサンエンペラｰ, 71,的場勇, 1.7, 66,   6,   0,10, 52.9,④④⑤,10, 3,Ｉアイティｰバトル, 64,丹内祐, 1.3, 63,  -4,   0,11, 56.5,⑧⑨⑨
11, 7,Ｎハｰベストラヴ, 38,丸山元, 2.8, 46, -13,   1,15,290.2,⑩⑬⑬,11, 4,Ｏマルタカデピュティ, 58,丹内祐, 2.7, 59,   0,  -5,16,362.4,⑨⑫⑪,11,13,Ｊトップオブオナｰ, 70,鮫島良, 2.1, 69,  -1,   9,11,135.0,⑯⑮⑮,11,13,Ｅケイエスラック, 68,難波剛, 1.4, 61,  -3,  -4,17,326.0,⑨⑥⑤
12, 1,Ｄフィｰトフォｰト, 54,宮崎北, 3.0, 41,  -5, -13, 7, 28.4,④④⑤,12,12,Ｋテｰオｰクレバｰ, 66,国分恭, 2.8, 57,*  4, -14, 9, 54.0,①②④,12, 5,Ｌメイショウカポネ, 66,田嶋翔, 2.1, 66,   3,   3,13,229.1,⑧⑩⑪,12,18,Ｌフィデリオ, 61,石橋脩, 1.4, 65,  -7,   3, 6, 15.0,⑯⑰⑯
