10年 6月27日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月27日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2750m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
 9, 9, ヤマノスズカゼ,---,中舘英, 1.5, 40, -16,*  3,11,109.0, ⑯⑮, 9,10, クリノラブゴｰルド,,柴田未,183.7,,,, 8, 28.6,⑨⑨⑨, 9,14,Ｏイパルファン, 43,柄崎将, 2.0, 57,   5,  -6,16,298.0,⑬⑪⑩, 9, 4,Ｊペガサスヒルズ, 74,石橋脩, 1.3, 69,  -9,  15, 8, 16.7, ⑭⑬
10,10,Ｌディアナブルｰ, 44,田中博, 1.6, 41,  -7,  -7,13,155.0, ⑩⑪,10,12, スズマｰシャル,,大庭和,184.3,,,,11, 63.2,⑭⑪⑪,10, 4,Ｎデジタルタイフｰン, 43,田辺裕, 2.2, 52,   4,  -9,13,129.9,⑭⑫⑪,10,15,Ｈレッドタｰキｰ, 76,田中勝, 1.5, 67,   1,   6,11, 41.3, ⑥⑥
11, 5,Ｆプリンセスストｰム, 55,今野忠, 1.8, 38,  -8,  -8, 6, 29.6, ⑫⑫,11, 9, ヨイチセレブ,,五十嵐,185.3,,,,10, 53.8,⑫⑫⑫,11,15,Ｋナンヨｰドリｰム, 51,吉田豊, 2.5, 51,   3,  -9, 8, 22.0,⑯⑯⑫,11, 9,Ｌタカノキング, 72,町田直, 1.5, 67, -15,* 19, 9, 32.6, ⑮⑮
12, 8,Ｎマルサンスマイル, 34,千葉直, 2.0, 35, -15,  -3,16,357.6, ⑭⑭,12,11, コスモスペシャリｰ,,平沢健,186.6,,,, 9, 32.2,⑬⑬⑬,12, 8,Ｇジョウテンクイｰン, 58,戸崎圭, 2.9, 48,*  8, -33,10, 31.5,②②⑤,12,16,Ｍラオムフェｰレ, 71,柴田大, 1.6, 67,  -1,   7,16,434.3, ⑨⑨
13,12,Ｃウォｰタｰリズム, 56,藤岡康, 2.1, 39,*  3, -20, 4, 23.4, ②③,13, 7, ロｰレルリラ,,大江原,188.8,,,,13,101.1,⑧⑭⑭,13,10,Ｂシルクルｰパス, 62,江田照, 3.6, 43,*  8, -41, 2,  5.2,④③⑧,13,14,Ｏガオウ, 70,西田雄, 1.9, 66,  -2,   5,14,164.1, ⑧⑧
14,11,Ｈトップクィｰン, 52,大庭和, 2.8, 28,  -5, -19,15,213.1, ⑨⑩,,,,,,,,,,,,,14,13,Ｌアルビダ, 50,今野忠, 6.0, 36,   5, -66, 9, 28.6,⑤⑨⑭,14,10,Ｂシンボリシュタルク, 82,大庭和, 2.1, 59,  -8,   7, 5, 12.3, ⑫⑭
15, 7,Ｊゴｰルドオリンピア, 47,田中勝, 2.8, 29, -16,  -9,12,132.4, ⑮⑯,,,,,,,,,,,,,15, 3,Ｍポンタクン, 45,西田雄, 6.0, 36,   4, -60,15,234.4,⑥⑬⑮,15, 2,Ｎライコウテンユウ, 70,今野忠, 2.9, 54, -21,  12,15,186.5, ⑯⑯
16,15, バルヴィッテス,---,西田雄, 2.9, 28,  -8, -18,14,155.4, ⑬⑬,,,,,,,,,,,,,16, 7,Ｐアダマスボｰイ, 34,郷原洋, 7.8, -2,   3, -82,14,201.6,⑫⑮⑯,16, 7,Ｋトップオブボストン, 73,吉田豊, 3.3, 50,  -2,  -8,13, 82.0, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-2),,,,,,,,,,,
"単勝:550円 複勝:02=300円 14=500円 04=1,770円 枠連:260円",,,,,,,,,,,,単勝:320円 複勝:02=140円 14=150円 08=120円 枠連:610円,,,,,,,,,,,,"単勝:1,400円 複勝:02=390円 01=130円 12=230円 枠連:1,790円",,,,,,,,,,,,"単勝:760円 複勝:11=290円 13=490円 12=230円 枠連:2,450円",,,,,,,,,,,
"馬連:1,830円 ワイド:02-14=550円 02-04=1,520円 04-14=2,120円",,,,,,,,,,,,馬連:750円 ワイド:02-14=270円 02-08=190円 08-14=280円,,,,,,,,,,,,"馬連:1,520円 ワイド:01-02=590円 02-12=1,440円 01-12=370円",,,,,,,,,,,,"馬連:5,140円 ワイド:11-13=1,730円 11-12=820円 12-13=1,820円",,,,,,,,,,,
"馬単:3,170円 3連複:14,470円 3連単:48,060円",,,,,,,,,,,,"馬単:1,410円 3連複:580円 3連単:3,310円",,,,,,,,,,,,"馬単:4,190円 3連複:3,510円 3連単:29,940円",,,,,,,,,,,,"馬単:9,030円 3連複:10,080円 3連単:63,960円",,,,,,,,,,,
■ 2R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,福島ﾃﾚﾋﾞｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａヤマニンミュゼット, 71,中舘英,, 65,* 14,  -2, 1,  1.7,①①①, 1, 1, ヒラボクインパクト,---,北村宏,, 60, -29,* 23, 1,  2.5,⑫⑦⑦, 1, 3,Ｂフレンチドｰル, 72,中舘英,, 75,*  3,* 12, 1,  2.0,②②②, 1, 4,Ｆバトルバニヤン, 84,松岡正,, 89,  11,* 10, 6, 15.2,⑥⑨④
 2, 3,Ｆリトルジュン, 53,戸崎圭, 0.0, 65,   9,*  7, 3,  6.9,⑧⑦⑤, 2, 8, ミススパイダｰ,---,大庭和, 0.1, 58, -29,* 21, 9, 32.9,⑦⑥⑤, 2, 6,Ｇピカンチラヴ, 66,北村宏, 0.7, 68,*  3,   5, 5, 11.0,①①①, 2, 2,Ｈニルヴァｰナ, 81,吉田豊, 0.4, 82,* 12,*  2, 8, 23.4,⑨②①
 3, 4,Ｈデザｰトチャｰム, 46,北村宏, 0.1, 64,  10,   4, 9, 38.8,⑦⑤③, 3, 5, ショウナンバｰズ,---,松岡正, 0.5, 51, -28,  13, 2,  3.6,③⑤④, 3, 2,Ａエレガントマナｰ, 72,戸崎圭, 0.9, 70,   2,   6, 3,  6.4,④③④, 3, 8,Ｂアドマイヤオｰラ, 87,内田博, 0.6, 83,* 13,  -1, 1,  2.3,⑤③②
 4, 6,Ｃスズヨタキオン, 62,今野忠, 0.5, 61,   8,   3, 4, 13.7,⑪⑨⑦, 4,13, ディアハレルヤ,---,江田照, 0.6, 47,*-26,  10, 6, 23.0,④③③, 4,10,Ｃクリノマックス, 72,今野忠, 1.3, 67,   0,   5, 4, 11.0,⑨⑧⑥, 4,11,Ｉドモナラズ, 81,田中勝, 0.9, 79,  10,  -1, 7, 15.5,⑩⑫⑪
 5,16,Ｉコスモロｰダンセ, 46,石橋脩, 0.6, 61,  11,  -4, 8, 30.5,⑥⑥④, 5, 6, ジャック,---,田中博, 0.6, 53, -30,  17, 8, 27.8,⑨⑨⑨, 5, 4,Ｈカシマパフュｰム, 65,町田直, 1.3, 68,   1,   6, 8, 92.2,⑤⑥⑤, 5, 3,Ａタガノサイクロン, 89,村田一, 1.0, 78,   8,   0, 4, 11.8,⑪⑬⑬
 6, 7,Ｊシャイントウショウ, 42,藤岡康, 0.6, 62,  -1,* 20,10, 54.4,⑭⑭⑫, 6, 4, マイネルヴィルンガ,---,石橋脩, 0.7, 53, -29,  14, 3,  5.4,⑤⑧⑧, 6, 1,Ｄコウエイテンプウ, 71,藤岡康, 1.6, 65,   1,   0, 2,  3.7,③④③, 6, 7,Ｄオペラブラｰボ, 85,田辺裕, 1.0, 76,  11,  -3, 3,  7.6,⑧⑩⑧
 7, 8,Ｄジェイケイオペラ, 54,小野寺, 1.2, 53,   7,  -4,12,143.8,⑩⑩⑧, 7, 3, コスモセクシｰ,---,中谷雄, 0.9, 50, -30,  15,14, 96.7,⑥⑫⑪, 7, 8,Ｅスマｰトダズル, 69,伊藤工, 1.8, 61,  -1,   4, 6, 11.5,⑦⑩⑪, 7,14,Ｐコスモヴァシュラン, 21,町田直, 1.3, 73,  11,  -9,15,146.1,⑬⑧⑥
 8, 9,Ｂシルクマｰマレｰド, 66,吉田豊, 1.9, 44,* 12, -25, 2,  5.8,④④②, 8, 7, バルボア,---,町田直, 1.5, 40, -31,   4,10, 36.7,⑩⑪⑫, 8, 7,Ｊカリスマブラック, 53,田辺裕, 2.1, 61,   1,  -1,10,187.9,⑪⑦⑦, 8,10,Ｋゼンノグッドウッド, 78,中舘英, 1.4, 74,   7,  -3,11, 38.6,⑭⑮⑮
 9, 5, アルファジュレ,---,内田博, 2.0, 44,   7, -15, 7, 30.3,⑨⑪⑪, 9,12, サマｰサルサ,---,中舘英, 1.5, 36,*-25,  -6, 7, 23.9,①①①, 9, 5,Ｆマキハタセンシブル, 67,小野寺, 2.1, 62,  -2,   3,11,215.8,⑩⑪⑨, 9,13,Ｃタｰトルベイ, 87,今野忠, 1.5, 72,   9,  -8,12, 54.7,⑮⑭⑨
10,15,Ｋマリエッタ, 38,大庭和, 2.6, 37,   8, -28,15,237.5,⑤⑧⑨,10, 9, チェリｰジュニア,---,田辺裕, 1.5, 35,*-26,  -2,15,106.5,⑪④⑥,10, 9,Ｉヴィッテリア, 65,平野優, 2.1, 62,   2,  -2, 7, 61.3,⑧⑤⑧,10,16,Ｌマイネルグラシュｰ, 78,戸崎圭, 1.6, 70,* 12, -15, 9, 32.5,⑦④⑦
11, 2, ドラゴンフラワｰ,---,田中博, 3.2, 33,   1, -22, 6, 16.8,⑫⑫⑬,11,14, マサデパン,---,村田一, 1.7, 38, -31,   1,12, 61.2,⑧⑩⑩,11,11,Ｋミスシドニｰ, 38,西田雄, 2.7, 58,  -1,  -3, 9,116.4,⑥⑨⑩,11,15,Ｇトｰホウレｰサｰ, 82,石橋脩, 1.7, 71,   9, -13, 5, 14.4,④⑪⑫
12,13,Ｌアルカミスト, 24,大江原, 3.3, 33,   2, -21,16,315.4,⑬⑬⑭,12, 2, セラｰナ,---,今野忠, 1.8, 40, -35,   9, 5, 16.8,⑯⑯⑯,,,,,,,,,,,,,12, 5,Ｍゴスホｰクケン, 77,伊藤直, 2.1, 64,* 13, -27,10, 34.3,①①③
13,11,Ｍトゥリパｰノ, 20,菅原隆, 3.3, 33,  -7,  -5,13,172.2,⑮⑯⑯,13,15, マイネルリｰプ,---,藤岡康, 2.0, 37, -35,   6,11, 44.0,⑬⑮⑬,,,,,,,,,,,,,13, 6,Ｅオｰスミスパｰク, 85,藤岡康, 2.5, 62,  11, -26, 2,  4.5,②⑤⑩
14,10, スイｰトバｰグマン,---,伊藤工, 3.6, 29,  -4, -15,11, 88.3,⑯⑮⑮,14,10, フジマサエンパイア,---,田中勝, 2.4, 30, -32,  -4,13, 86.2,⑭⑬⑭,,,,,,,,,,,,,14,12,Ｎシルクネクサス, 68,田中博, 2.6, 60,  11, -28,14, 93.2,⑫⑦⑤
15,14,Ｇワインレッド, 49,田辺裕, 3.9, 25,* 13, -54,14,176.6,③③⑩,15,16, オペラフォンテン,---,郷原洋, 2.5, 22,*-25, -19,16,136.4,②②②,,,,,,,,,,,,,15, 9,Ｊフサイチアウステル, 78,江田照, 3.6, 49,  11, -42,13, 64.8,③⑥⑭
16,12,Ｅオｰゴンキップ, 54,町田直, 4.9, 21,* 12, -68, 5, 15.1,②②⑥,16,11, エスクルシｰヴァ,---,戸崎圭, 3.0, 23, -31, -12, 4, 14.8,⑮⑭⑮,,,,,,,,,,,,,16, 1,Ｏブラックランナｰ, 66,伊藤工, 6.3, 29,  -8, -40,16,191.1,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:3),,,,,,,,,,,
単勝:170円 複勝:01=110円 03=180円 04=500円 枠連:420円,,,,,,,,,,,,"単勝:250円 複勝:01=140円 08=530円 05=140円 枠連:1,450円",,,,,,,,,,,,"単勝:200円 複勝:03=110円 06=250円 02=160円 枠連:1,010円",,,,,,,,,,,,"単勝:1,520円 複勝:04=340円 02=460円 08=150円 枠連:5,810円",,,,,,,,,,,
"馬連:560円 ワイド:01-03=310円 01-04=1,010円 03-04=1,860円",,,,,,,,,,,,"馬連:3,210円 ワイド:01-08=1,160円 01-05=280円 05-08=1,520円",,,,,,,,,,,,"馬連:1,000円 ワイド:03-06=430円 02-03=220円 02-06=720円",,,,,,,,,,,,"馬連:10,100円 ワイド:02-04=2,390円 04-08=690円 02-08=1,060円",,,,,,,,,,,
"馬単:830円 3連複:4,020円 3連単:10,420円",,,,,,,,,,,,"馬単:3,860円 3連複:4,450円 3連単:27,100円",,,,,,,,,,,,"馬単:1,470円 3連複:1,550円 3連単:6,060円",,,,,,,,,,,,"馬単:23,920円 3連複:7,930円 3連単:76,160円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 9R  芝1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,栗子特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃトｰセンヤッテキタ, 63,江田照,, 65,*  0,   4, 2,  3.6,②②①, 1,13,Ｃビラゴｰティアラ, 57,水口優,, 64,*  2,   4, 4, 10.5, ②①, 1, 9,Ｆコスモカンタｰビレ, 66,松岡正,, 77,*-11,* 21, 2,  4.2,②②②, 1, 7,Ｋラヴミｰ, 56,田辺裕,, 69,  -5,* 11,13, 67.5, ⑮⑭
 2, 5, シルキｰバロン,---,吉田豊, 0.1, 66,  -6,* 15, 9, 58.3,⑫⑪⑨, 2,12,Ｂメジロバラク, 58,吉田豊, 0.8, 53,  -7,   3, 5, 10.5, ⑪⑩, 2,12,Ｊエアワルツ, 59,内田博, 0.2, 75,*-12,  20, 6, 16.9,⑥③③, 2,14,Ａソルプリマベラ, 73,国分優, 0.1, 74,*  8,  -3, 1,  4.2, ③③
 3, 7,Ａフレｰヴァリスト, 66,伊藤工, 0.3, 62,* -1,   4, 1,  3.0,⑤③③, 3, 9,Ｈショウナンアオバ, 49,戸崎圭, 0.8, 54,  -5,   0, 7, 32.7, ⑩⑪, 3, 6,Ｉマックスドｰズ, 60,町田直, 0.4, 74,*-12,  19,11,156.6,③⑤④, 3,16,Ｇケイバズキ, 65,内田博, 0.2, 72,   5,   0, 8, 14.1, ⑥⑦
 4,12,Ｄニシノシャイナｰ, 62,内田博, 0.6, 62,*  0,   1, 4,  6.0,⑥⑤④, 4, 2,Ａショウナンスマイル, 62,内田博, 0.9, 53,  -1,  -5, 1,  2.1, ③⑦, 4, 5,Ｃケｰジｰカチボシ, 71,田中勝, 0.4, 74, -15,* 22, 3,  5.5,⑤⑨⑧, 4, 3,Ｂタマニュｰホｰプ, 71,松岡正, 0.2, 70,   2,   3, 5,  9.7, ⑧⑥
 5, 6,Ｂトｰタルシｰオｰ, 64,戸崎圭, 0.9, 61,  -3,   2, 3,  3.8,⑨⑧⑥, 5,10,Ｇサラノガンプ, 49,藤岡康, 0.9, 52,  -1,  -5, 9, 53.7, ⑦⑥, 5, 4,Ｇセイカカリンバ, 65,田中博, 0.4, 71,*-11,  14, 9, 22.5,①①①, 5,13,Ｊトウショウジオン, 57,大庭和, 0.4, 67,   2,   0,14,120.3, ⑨⑨
 6, 1,Ｆシュプスタンス, 57,藤岡康, 1.4, 59,  -5,   1, 5, 21.7,⑩⑩⑧, 6,15,Ｊメランコリｰ, 47,田辺裕, 0.9, 50, -10,   4,10, 76.3, ⑬⑬, 6, 8,Ｂマックスストレイン, 72,小林淳, 0.4, 73, -14,  20, 5,  9.4,⑦⑦⑥, 6, 5,Ｉショウナンサンガ, 60,田中勝, 0.4, 67,  -1,   3, 7, 13.8, ⑫⑩
 7, 4,Ｅラブルビｰ, 59,小野寺, 1.4, 57,  -2,  -3,10, 61.1,④⑥⑤, 7,11,Ｆダイワトパｰズ, 50,北村宏, 0.9, 52,  -4,  -3, 8, 43.8, ⑧⑨, 7,10,Ａタガノバッチグｰ, 75,吉田豊, 0.6, 70, -13,  17, 1,  2.8,④⑥⑤, 7, 1,Ｃグロｰリｰルピナス, 68,町田直, 0.5, 68,   6,  -5, 2,  4.4, ⑤⑤
 8, 3,Ｈスガノコンコルド, 53,村田一, 1.6, 55,  -4,  -1, 6, 24.3,⑦⑨⑪, 8, 4,Ｌクリノハイビｰト, 44,小野寺, 1.0, 50,  -5,  -3,13,123.5, ⑨⑧, 8, 3,Ｄエビデンス, 71,北村宏, 0.9, 69, -18,  20, 7, 17.9,⑧⑫⑪, 8,15,Ｆマシラ, 66,中舘英, 1.0, 63,   7, -13, 4,  8.9, ④④
 9,15,Ｇネイチャｰゼウス, 54,西田雄, 2.0, 51,*  0, -13, 8, 45.1,①①②, 9, 5,Ｏリュウシンクイｰン, 37,西田雄, 1.1, 50,*  1,  -9,11, 82.2, ⑥②, 9, 1,Ｅギュンタｰ, 68,戸崎圭, 0.9, 66, -14,  13, 4,  7.2,⑫⑧⑨, 9, 9,Ｅミティｰク, 66,藤岡康, 1.3, 54,  -2,  -8, 9, 16.4, ⑬⑪
10,11,Ｌワンフォｰザロｰド, 44,町田直, 2.0, 54,  -7,   1, 7, 35.8,⑭⑬⑫,10, 7,Ｉムｰンダスト, 48,田中博, 1.3, 47,  -9,  -2, 6, 29.9, ⑫⑫,10, 2, クリノテンペスタ,---,大庭和, 1.0, 64,*-12,   9,10, 87.1,⑨④⑦,10, 6,Ｈカズノウォｰニング, 63,伊藤工, 1.4, 54,  -1, -10,11, 30.7, ⑪⑫
11, 2,Ｉタガノプロスペル, 52,田辺裕, 2.4, 49,  -3, -10,11, 62.1,⑧⑦⑩,11,16,Ｍポリッシュアップ, 43,中舘英, 1.8, 42, -10,  -7,12, 86.5, ⑭⑭,11, 7,Ｈゴｰルドサクセス, 64,今野忠, 1.3, 63, -16,  12, 8, 21.3,⑪⑪⑩,11, 2,Ｌマイネルウェイヴ, 51,石橋脩, 1.6, 52,  -1, -13,10, 20.1, ⑩⑧
12,13,Ｋサマｰブルｰヘブン, 46,伊藤直, 3.7, 42,  -7, -13,15,145.6,⑪⑫⑬,12, 3,Ｋベルリｰヌ, 46,江田照, 1.8, 40,  -1, -17,14,138.8, ④④,12,11,Ｋメイスンヴィグラス, 50,江田照, 1.7, 56, -16,   6,12,191.7,⑩⑩⑫,12,12,Ｄミラグロレディ, 68,北村宏, 1.8, 50,   3, -19, 3,  6.3, ⑦⑬
13, 8,Ｊイチフジ, 47,今野忠, 3.9, 41,*  1, -25,13,122.0,③④⑦,13, 8,Ｅコスモグレイス, 50,松岡正, 2.1, 37,*  1, -22, 2,  3.8, ⑤⑤,,,,,,,,,,,,,13, 4, ロｰズデュルワ,---,今野忠, 2.3, 47,* 11, -34, 6, 12.5, ①①
14,10,Ｍアタカ, 43,大庭和, 4.3, 35, -13, -10,14,132.7,⑬⑭⑭,14, 6,Ｎクロリス, 40,柴田大, 3.1, 24,*  2, -36,15,172.6, ①③,,,,,,,,,,,,,14, 8, チョウキョウケン,---,平野優, 2.3, 47,* 11, -34,12, 54.2, ②②
15,14, サクラヴィｰヴォ,---,北村宏, 5.2, 31, -13, -17,12, 97.4,⑮⑮⑮,15,14, トウショウヴィゴラ,---,草野太, 3.6, 17, -35,  -6,16,321.6, ⑮⑮,,,,,,,,,,,,,15,11, オフィシャルレディ,---,戸崎圭, 2.5, 40,  -2, -23,15,157.9, ⑭⑮
,,,,,,,,,,,,16, 1,Ｄナモンミライ, 56,田中勝, 4.8,  3, -77,* 20, 3,  6.9, ⑯⑯,,,,,,,,,,,,,16,10,Ｍサンマルクリス, 48,小林淳, 3.3, 31,  -6, -29,16,251.5, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
