10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月25日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｅトｰホウチェイサｰ, 57,和田竜,, 67,* -7,*  7, 1,  2.7, ②②, 1,13, シゲルキョクチョウ,---,高倉稜,, 61,*-12,   6, 2,  3.6, ①①, 1, 4,Ａエｰシンマダムジｰ, 79,福永祐,, 76,   6,* 15, 2,  4.0,③③④, 1, 3,Ｆジョｰリゴラス, 61,松田大,, 77,  -2,* 12, 6, 24.3, ⑦⑥
 2, 7,Ｃホクザンアロマ, 59,野元昭, 0.1, 65,* -5,*  6, 4,  6.5, ①①, 2,12, シュアｰウイン,---,岩田康, 0.7, 54, -21,   6, 1,  2.7, ⑧⑧, 2, 9,Ｄゴｰルドスミス, 74,和田竜, 0.3, 77,   6,* 12, 9, 28.0,⑦④③, 2, 2,Ｄハイフィｰルド, 69,太宰啓, 0.3, 73,  -7,* 13, 5, 15.9, ⑨⑧
 3, 4,Ａトウショウパルス, 62,中村将, 0.7, 58, -13,*  5, 3,  5.7, ⑤⑥, 3, 9, トキノゲンジ,---,北村友, 0.8, 53, -25,*  9, 9, 59.3, ⑨⑨, 3,12,Ｃロｰドイノセント, 75,北村友, 0.6, 74,*  7,   9, 3,  4.1,④②②, 3, 5,Ａエｰシンシｰクルｰ, 76,岩田康, 0.5, 71,*  6,  -3, 3,  6.7, ①①
 4, 6,Ｄミｰヒチャラサン, 58,国分恭, 0.8, 58, -10,   3, 6, 12.9, ③③, 4, 2, リバｰロイヤル,---,藤岡康, 1.0, 48, -16,  -3, 7, 26.8, ②②, 4, 5,Ｉマｰブルアロｰ, 70,浜中俊, 0.8, 73,   6,  11,10, 30.0,⑧⑧⑤, 4,11,Ｂスペシャルポケット, 72,浜中俊, 0.6, 69,   2,   0, 1,  2.2, ⑤⑤
 5,11,Ｂサマｰアイ, 62,浜中俊, 0.8, 58,  -9,   2, 2,  4.4, ④④, 5, 4, マスタｰグレイマン,---,和田竜, 1.4, 44, -20,  -4, 4,  7.0, ⑦⑤, 5, 7,Ｅスマイルミッキｰ, 73,川田将, 1.4, 68,*  8,   0, 1,  4.0,①①①, 5,10,Ｇトｰコｰブロンコ, 57,幸英明, 0.7, 68,  -5,   5, 8, 37.1, ⑧⑨
 6, 1,Ｆテイケイワイズ, 55,幸英明, 0.9, 56, -16,*  5, 7, 14.9, ⑦⑤, 6, 8, ミスチフキッツ,---,太宰啓, 1.4, 46, -31,   7, 5,  9.7, ⑪⑩, 6,10,Ｂシｰクレバｰ, 75,幸英明, 1.5, 68,   3,   9, 7, 17.4,⑪⑪⑨, 6, 9,Ｅフラワｰウィンド, 67,松山弘, 0.8, 66,   2,  -2, 4, 13.2, ⑥⑦
 7,13,Ｉバトルダｰウィン, 47,川須栄, 1.5, 49, -13,  -2, 9, 47.0, ⑥⑦, 7, 1, カガタイキ,---,幸英明, 1.5, 42, -20,  -5, 6, 10.0, ⑥④, 7, 1,Ｇダニエルバロｰズ, 72,太宰啓, 1.8, 64,   5,   3, 6, 15.5,⑥⑨⑧, 7, 7,Ｃオｰセロワ, 70,鮫島良, 1.4, 59,*  5, -13, 2,  2.7, ③③
 8, 3,Ｇシルクアイガｰ, 54,田中克, 1.9, 45, -24,   2,10, 51.8, ⑫⑫, 8, 3, クリノプロジェクト,---,高橋亮, 1.6, 42, -28,   1,10, 85.9, ⑩⑪, 8, 2,Ｋアグネスセブン, 68,高倉稜, 2.2, 62,   4,   1,11, 31.8,⑩⑩⑩, 8, 6,Ｉフェブムｰビング, 45,渡辺薫, 1.4, 59,*  4, -13, 9, 81.7, ②②
 9,10,Ｈアルバマキシマ, 50,藤岡康, 2.0, 44, -18,  -3, 5, 11.4, ⑩⑨, 9,11, テイエムギンリュウ,---,石橋守, 2.1, 33, -16, -17,13,109.9, ④⑥, 9,13,Ｌピュアシルヴァｰ, 64,藤岡康, 2.4, 61,   6,  -4,13, 86.2,⑨⑦⑥, 9, 1, モエレダイヤモンド,---,西村栄, 2.1, 49, -21,   3,10, 93.4, ⑪⑪
10, 9,Ｌダイメイグロリアス, 21,小林久, 2.1, 42, -18,  -5,12,205.9, ⑨⑧,10, 7, クｰクｰダダ,---,国分恭, 2.1, 39, -44,* 10, 8, 44.8, ⑬⑬,10, 3,Ｈガリアｰノ, 72,松山弘, 2.7, 61,   2,   1, 8, 20.0,⑬⑬⑬,10, 8, アソノビックガｰル,---,田中純, 2.1, 49, -18,   0,11,150.7, ⑩⑩
11, 5,Ｊジョイスティック, 44,小牧太, 2.2, 41, -21,  -3, 8, 25.9, ⑪⑪,11, 6, ダイメイロｰド,---,小林久, 2.5, 29, -18, -19,11,100.3, ⑤⑦,11, 8,Ｆマカリオス, 73,国分恭, 2.9, 57,   5,  -8, 4,  8.4,⑤⑥⑦,11, 4,Ｈメイショウヘミング, 55,和田竜, 2.2, 49,   2, -21, 7, 28.0, ④④
