10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,130円 3連複:2,420円 3連単:7,760円",,,,,,,,,,,,"馬単:860円 3連複:5,160円 3連単:14,030円",,,,,,,,,,,,"馬単:5,400円 3連複:5,100円 3連単:29,860円",,,,,,,,,,,,"馬単:1,640円 3連複:11,610円 3連単:60,770円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,ﾊｯﾋﾟｰｴﾝﾄﾞﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂヴァルディヴィア, 62,内田博,, 68,* -3,* 12, 1,  2.2,③③③, 1,12,Ｆトップキングダム, 76,岩田康,, 78,   6,* 15, 8, 32.2,⑫⑨⑧, 1,10,Ａドリｰムゴスペル, 90,吉田隼,, 98,   0,* 31, 2,  3.4,⑥⑦⑤, 1, 2,Ａセイコｰライコウ, 80,柴田善,, 78,* -8,  15, 1,  2.1, ③②
 2, 1,Ｎサトノオｰランド, 47,後藤浩, 0.6, 62,* -2,   5, 2,  3.7,①①①, 2,13,Ａスギノブレイド, 81,横山典, 0.0, 75,   8,* 12, 1,  3.2,⑥⑥⑥, 2,11,Ｂマツリダガッツ, 87,内田博, 0.2, 89,*  3,  16, 3,  4.3,①①①, 2,12,Ｅキングレオポルド, 76,ベリｰ, 0.1, 78, -14,* 20, 2,  3.2, ⑨⑧
 3, 8,Ｄジャパンプライド, 61,松岡正, 0.7, 66,  -7,* 16, 4,  9.0,⑬⑬⑫, 3, 1,Ｄマスタｰソムリエ, 79,デムｰ, 0.1, 74,   7,* 13, 2,  3.3,⑦⑦⑦, 3, 8,Ｋネコパンチ, 77,大庭和, 0.4, 89,*  2,  17, 5, 22.3,②③③, 3,15,Ｈヤマニンプロロｰグ, 74,柴山雄, 0.2, 74,* -5,  10,14,135.2, ①①
 4,12,Ｊトップストライド, 51,岩田康, 1.0, 63,  -3,   6,13,210.5,⑦⑥⑦, 4,11,Ｂネオレボルｰション, 81,スミヨ, 0.3, 71,   8,  10, 3,  3.6,⑤⑤④, 4, 5,Ｆミッションモｰド, 83,スミヨ, 0.5, 92,   0,* 24, 1,  2.5,⑨⑨⑥, 4, 4,Ｍビｰビｰナエトル, 72,田中勝, 0.3, 75,  -9,  13,11, 69.0, ④④
 5,10,Ｉエルサント, 56,北村宏, 1.2, 59,* -2,   1,12,157.5,②②②, 5,14,Ｅグランドシチｰ, 77,松岡正, 0.5, 72,*  9,   6, 9, 43.7,②②②, 5,13,Ｅサトノトップガン, 86,北村宏, 0.6, 84,*  3,  13, 4,  9.8,③②②, 5, 3,Ｉバロンダンス, 74,内田博, 0.3, 76,* -7,  12, 3,  8.5, ②③
 6,14,Ｇリアライズペガサス, 58,ウィリ, 1.2, 60,* -2,   3, 5, 21.3,⑨⑧④, 6, 8,Ｃポワンカレ, 80,柴田善, 0.6, 70,   7,   9, 4, 10.9,⑩⑧⑨, 6, 2,Ｉイグゼキュティヴ, 78,松岡正, 0.8, 85,   0,  16, 7, 26.5,④④④, 6,13,Ｂカレンナサクラ, 78,江田照, 0.4, 77, -23,* 25, 7, 35.7, ⑯⑭
