10年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2400m 3 歳ｵｰﾌﾟﾝ(国) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,神戸新聞杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2,15,Ａシンボリストｰム, 55,川田将, 0.3, 60,* -8,   6, 1,  2.0, ④⑤, 2, 5,Ｃリエｰトフィｰネ, 66,高倉稜, 1.8, 56,   0,   2, 4,  8.3,⑤⑦⑦, 2,16,Ｂネヴァｰフェイド, 77,藤岡佑, 0.2, 80,  -1,  13, 1,  1.8, ⑥⑥, 2, 4,Ｃサンマルボス, 82,和田竜, 0.3, 83,   2,* 19, 7, 30.7,⑩⑪⑧
 3, 1,Ｃアルバ, 53,和田竜, 0.4, 58,* -8,   3, 4,  8.4, ③③, 3, 2,Ｐメモリｰパｰミット, 32,福永祐, 1.8, 57,*  2,  -1, 8, 38.9,②②②, 3, 9,Ｇクリスマスキャロル, 67,国分恭, 0.2, 81,  -2,  16, 7, 32.2, ⑩⑨, 3, 7,Ｂトｰセンスタｰン, 83,浜中俊, 0.5, 81,   2,* 18, 4,  7.1,⑨⑩⑩
 4, 3,Ｈシゲルリジチョウ, 39,高倉稜, 0.6, 60, -18,* 18,10, 63.0, ⑬⑮, 4,14,Ｆアグネスジルバ, 60,国分恭, 1.8, 60,  -1,   3, 5, 12.2,⑩⑩⑧, 4,10,Ａレイナソフィア, 81,和田竜, 0.3, 84,  -7,* 23, 4, 13.6, ⑭⑭, 4,13,Ｈメガロスバンダム, 78,佐藤哲, 0.6, 79,*  5,  11, 6, 29.0,③③③
 5, 2,Ｇマイネルデフィ, 44,内田博, 0.7, 53,* -7,  -4, 7, 22.6, ①①, 5, 1,Ｇナムラクレヴァ, 59,浜中俊, 2.1, 56,   1,  -2, 9, 45.1,③⑥③, 5, 3,Ｄカネトシスラｰヴァ, 72,藤岡康, 0.7, 75,  -4,  11, 3,  9.8, ⑨⑩, 5, 6,Ｉミコノス, 76,国分恭, 0.6, 81,   5,  13,10, 86.7,⑤④④
 6, 5,Ｅカガタイキ, 49,幸英明, 0.7, 55, -11,   4, 5, 10.2, ⑦⑦, 6, 9,Ｉメモリｰセイバｰ, 58,松田大, 2.4, 58,  -3,   4,12,194.5,⑫⑪⑪, 6,11,Ｍメイショウシｰマ, 61,中村将, 0.8, 79,  -8,* 20,17,451.5, ⑯⑯, 6, 8,Ｄラルｰチェ, 81,福永祐, 0.7, 79,   1,* 18, 5, 12.7,⑫⑫⑪
 7, 6,Ｌトムコウクン, 31,藤岡佑, 0.7, 53,* -7,  -2, 9, 42.8, ②②, 7, 4,Ｌプレザントシチｰ, 47,川島信, 2.7, 56,  -7,*  9,13,215.6,⑯⑯⑭, 7, 4,Ｆルナフライト, 69,熊沢重, 0.8, 71,  -1,   4,13,200.5, ⑤⑤, 7, 2,Ｅキラウエア, 80,武豊  , 0.9, 76,   4,  11, 2,  5.9,⑧⑧⑥
 8,11,Ｄジョｰポジティブ, 49,熊沢重, 0.9, 56, -15,   9, 6, 13.5, ⑪⑬, 8,12,Ｅピサノアウロｰラ, 62,小牧太, 2.8, 49,   1,  -9, 7, 15.9,⑬⑤⑥, 8, 2,Ｅヴェラブランカ, 71,川田将, 0.8, 73,  -3,   7, 5, 15.0, ⑦⑦, 8,11,Ｆヒカリアスティル, 79,北村友, 1.4, 73,*  6,   2, 8, 38.6,②①①
 9, 7,Ｆノヴェッロ, 45,北村友, 1.1, 51, -12,   1, 8, 32.1, ⑨⑩, 9,10,Ｂツルマルヤマト, 67,和田竜, 2.8, 52,   1,  -9, 1,  2.5,④③④, 9,17,Ｏオレンジシュプｰル, 60,福永祐, 0.9, 73,  -4,   9, 9, 43.2, ⑪⑪, 9, 5,Ｌオウケンマジック, 74,高倉稜, 1.5, 70,   3,   8, 9, 52.7,⑥⑦⑨
10,14,Ｂゴｰルドルｰスタｰ, 54,佐藤哲, 1.7, 38, -10, -13, 2,  6.0, ⑥⑥,10,11,Ａビジュアルショック, 67,川田将, 3.1, 50,   1, -11, 3,  4.9,⑥④⑤,10,15,Ｋマヤノカピオラニ, 64,高倉稜, 1.1, 64,*  0,  -3,11, 93.4, ③④,10, 9,Ｇカネトシコウショウ, 78,内田博, 1.5, 74,   1,  12, 3,  6.7,⑪⑬⑬
11, 8,Ｋシゲルマドギワゾク, 32,国分恭, 1.7, 43, -12,  -7,12,266.9, ⑩⑪,11, 6,Ｍワンダｰストラ, 43,渡辺薫, 3.1, 53,  -6,   2,14,281.9,⑪⑫⑬,11,14,Ｐポｰラシｰクエンス, 59,内田博, 1.1, 66,*  2,  -5, 8, 34.7, ②②,11, 1,Ｋアキノフライ, 74,熊沢重, 1.8, 74,   3,   5,12,107.9,⑦⑨⑦
12, 4,Ｉマギｰメイ, 34,野元昭, 1.7, 46, -16,   0,14,345.6, ⑮⑭,12, 3,Ｏウインポップソング, 32,佐藤哲, 3.2, 52,  -6,   1,11, 89.0,⑭⑭⑫,12,13,Ｉサンダｰセブン, 66,幸英明, 1.2, 70,  -5,   7,12,145.7, ⑫⑬,12, 3,Ｊトップコマチ, 76,太宰啓, 2.1, 67,   5,   0,11, 98.6,④⑥⑤
13,13,Ｎグロｰバルチャｰジ, 20,鮫島良, 2.0, 38, -14, -10,15,406.8, ⑫⑫,13, 8,Ｋロｰブドゥレｰヌ, 47,上野翔, 4.0, 45,  -1, -13,15,349.4,⑧⑨⑩,13, 7,Ｎアキノラブ, 60,鮫島良, 1.2, 72,  -8,  13,14,263.2, ⑮⑮,13,10,Ｍナビエストｰクス, 57,幸英明, 4.1, 55,   3, -15,13,170.3,⑬⑤⑫
14,12,Ｍロｰドスラッガｰ, 24,藤岡康, 2.9, 23,* -8, -33,13,302.7, ⑤④,14,13,Ｈロマンスアンダルザ, 58,幸英明, 4.0, 43,  -1, -16, 6, 14.7,⑦⑧⑨,14, 1,Ｌゴッドダンシング, 63,浜中俊, 1.3, 64,*  0,  -5,10, 45.6, ④③,,,,,,,,,,,,
15, 9,Ｏエｰシンサクショｰ,-24,浜中俊, 3.3, 20, -11, -33,11,136.9, ⑭⑨,15, 7,Ｊフェスティナレンテ, 54,藤岡佑, 6.7, 28,  -8, -24,10, 47.9,⑮⑮⑮,15, 5,Ｑジョｰパフュｰム, 49,野元昭, 1.5, 67,  -5,   4,15,290.1, ⑬⑫,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｎセトノレンブランサ, 33,藤岡康,10.1,  4,  -7, -55,16,386.0,⑨⑬⑯,16,12,Ｈディｰプキッス, 67,小牧太, 1.5, 70,  -9,  13, 6, 22.6, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｊフォルクスオｰパｰ, 65,渡辺薫, 2.4, 50,*  2, -25,16,405.8, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
単勝:610円 複勝:10=190円 15=110円 01=200円 枠連:350円,,,,,,,,,,,,"単勝:450円 複勝:15=230円 05=280円 02=1,190円 枠連:2,280円",,,,,,,,,,,,単勝:370円 複勝:08=140円 16=110円 09=440円 枠連:300円,,,,,,,,,,,,"単勝:180円 複勝:12=120円 04=410円 07=160円 枠連:1,300円",,,,,,,,,,,
馬連:700円 ワイド:10-15=290円 01-10=710円 01-15=290円,,,,,,,,,,,,"馬連:2,160円 ワイド:05-15=660円 02-15=3,460円 02-05=3,540円",,,,,,,,,,,,"馬連:290円 ワイド:08-16=160円 08-09=1,350円 09-16=1,040円",,,,,,,,,,,,"馬連:2,670円 ワイド:04-12=870円 07-12=230円 04-07=1,330円",,,,,,,,,,,
"馬単:1,580円 3連複:1,440円 3連単:8,420円",,,,,,,,,,,,"馬単:3,700円 3連複:28,590円 3連単:97,570円",,,,,,,,,,,,"馬単:710円 3連複:2,530円 3連単:10,370円",,,,,,,,,,,,"馬単:3,610円 3連複:3,810円 3連単:16,200円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾑｰﾝﾗｲﾄﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, ペガサスフラッシュ,---,高倉稜,, 49, -24,* 16, 9, 34.8,④③③, 1, 2,Ｄミニｰバロｰズ, 74,幸英明,, 73,  -1,* 10, 6,  9.2, ⑨⑩, 1, 3,Ｈイタリアンレッド, 76,浜中俊,, 87,   4,* 22, 2,  4.3,⑧⑦⑦, 1,13,Ｂシゲルソウウン, 73,国分恭,, 80,   5,* 10, 5,  8.2, ④④
 2, 8, グレｰプブランデｰ,---,北村友, 0.2, 52, -25,* 16, 2,  3.3,⑩⑥⑥, 2,10,Ｈピサノプリヴェ, 69,福永祐, 0.0, 72,   0,*  8, 7, 10.9, ⑧⑦, 2,11,Ｆロイヤルネックレス, 78,和田竜, 0.1, 85,   5,  16, 1,  4.2,⑤⑤④, 2,15,Ｃエイシンフルハｰト, 73,酒井学, 0.1, 79,* 10,   5, 4,  5.6, ②②
 3,10, エｰシンジェイワン,---,武豊  , 0.2, 49,*-23,  12, 1,  2.6,①①①, 3, 4,Ｉアクアバンブｰ, 68,北村友, 0.4, 70,   0,   5,12, 80.7, ⑦⑧, 3, 6,Ｉサクラテンペスト, 76,武豊  , 0.2, 81,*  7,  12, 5,  6.3,②②②, 3, 3,Ａデュｰクワンダｰ, 75,福永祐, 0.7, 73,   6,   3, 1,  3.0, ③③
 4, 2, アドマイヤトリック,---,福永祐, 0.5, 47, -25,  13, 7, 25.8,③④④, 4, 6,Ｃグランスカイ, 74,和田竜, 0.5, 69,*  2,   2, 2,  4.2, ③③, 4, 1,Ｃザサンデｰフサイチ, 81,内田博, 0.3, 82,   5,  13, 4,  5.7,④③⑤, 4,10,Ｈエｰティｰショパン, 67,幸英明, 0.9, 72,   3,   5,11, 54.4, ⑧⑦
