10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月31日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,紅葉ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃマイネルハイセンス, 57,ホワイ,, 64,* -9,*  8, 3,  5.3, ②②, 1,13,Ｊヒラボクビジン, 65,後藤浩,, 76,  -1,* 18, 3,  8.8, ⑤④, 1, 5,Ａカトルズリップス, 63,藤田伸,, 66,*-12,  11, 3,  4.5, ①①, 1, 2,Ｂブエナビスタ, 94,スミヨ,,104,  21,* 17, 1,  2.2,⑩⑧⑧
 2, 3,Ａエｰブポセイドｰン, 64,武豊  , 0.0, 64,* -8,*  6, 1,  3.0, ①①, 2,12,Ｂマスタｰコｰク, 76,武豊  , 0.3, 75,*  0,  13, 1,  1.6, ③②, 2, 8,Ｃシルクマイベスト, 59,スミヨ, 0.1, 66,*-15,* 13, 2,  3.9, ②②, 2, 7,Ｊペルｰサ, 89,安藤勝, 0.3,102,  15,* 24, 4,  8.9,⑰⑰⑰
 3, 8,Ｐサマｰチェリｰ, 31,蛯名正, 0.4, 60, -10,   5,14,103.0, ④⑤, 3, 7,Ｍチャレンジフラッグ, 60,吉田隼, 0.6, 75,  -2,  14, 7, 20.1, ④⑤, 3, 7,Ｅダイワモｰビル, 54,後藤浩, 0.4, 62, -16,  10, 4,  4.7, ③③, 3,12,Ｄアｰネストリｰ, 93,佐藤哲, 0.5, 96,  20,   6, 2,  4.9,⑤④④
 4, 2,Ｅベルウッドサヴァン, 54,柴山雄, 0.5, 58,* -9,   2,13, 65.7, ③③, 4, 9,Ｅオネスト, 73,武士沢, 0.7, 72,  -3,  15,11, 52.7, ⑦⑧, 4, 3,Ｄコｰリンハッピｰ, 54,伊藤工, 1.1, 54, -20,   7, 9, 70.7, ④④, 4, 5,Ｒオウケンサクラ, 81,北村宏, 0.7, 95,* 22,   0,17,119.8,②②②
 5, 5,Ｊシｰズアップルズ, 45,佐藤哲, 0.7, 57, -13,   5,12, 49.9, ⑧⑦, 5,11,Ｋプラチナルｰプ, 64,田中博, 0.9, 75,  -5,* 17,12,135.8, ⑫⑫, 5, 6,Ｇツクババレｰ, 49,松岡正, 1.3, 54, -24,   9, 5, 13.0, ⑥⑦, 5,14,Ｆネヴァブション, 92,後藤浩, 0.7, 95,  19,   8,11, 43.8,⑫⑫⑩
 6,15,Ｄキングフィッシャｰ, 54,福永祐, 0.8, 58, -13,   5, 2,  3.1, ⑪⑪, 6, 6,Ｉミッキｰオリｰブ, 65,内田博, 1.2, 68,  -1,   7, 2,  6.4, ②③, 6, 1,Ｊクルビット, 22,藤岡佑, 1.4, 55, -27,* 13, 8, 61.4, ⑩⑩, 6,10,Ａシンゲン, 95,藤田伸, 0.8, 96,  18,   9, 3,  8.3,⑪⑪⑬
 7,17,Ｉタｰフェル, 46,内田博, 0.9, 58, -15,*  6, 4, 10.9, ⑯⑮, 7,14,Ｃレオキュｰト, 75,勝浦正, 1.2, 71,  -7,* 18, 8, 26.2, ⑬⑬, 7, 2,Ｉファヴェラシック, 45,柴田大, 1.6, 50, -23,   5,10,160.3, ⑦⑥, 7, 9,Ｇトウショウシロッコ, 92,吉田豊, 1.1, 92,  17,   8,16,116.9,⑮⑮⑮
 8,12,Ｇギヴンザウイング, 51,鈴来直, 1.1, 50,* -9,  -7,11, 46.1, ⑤④, 8, 3,Ｇトワインブルｰム, 71,吉田豊, 1.3, 68,  -4,  12,10, 41.0, ⑨⑩, 8, 9,Ｂゴシック, 61,内田博, 1.6, 52, -25,   8, 1,  2.5, ⑧⑨, 8, 6,Ｉスマイルジャック, 90,三浦皇, 1.2, 91,  21,  -2,13, 55.4,④⑥⑥
 9,11,Ｂシャビイシック, 58,北村宏, 1.2, 50, -10,  -6, 9, 45.4, ⑦⑥, 9, 5,Ａホワイトジュエル, 76,柴田善, 1.3, 68,  -4,  11, 4, 12.0, ⑪⑨, 9, 4,Ｆワイルドジュニア, 52,北村宏, 2.0, 45, -24,   1, 6, 37.7, ⑨⑧, 9,11,Ｌアクシオン, 88,武豊  , 1.2, 93,  15,* 12,10, 33.9,⑱⑱⑱
10,10,Ｆカルテット, 51,勝浦正, 1.2, 51, -14,   0, 5, 13.0, ⑩⑬,10, 2,Ｌマチカネユウビ, 60,三浦皇, 1.5, 69,  -5,  12,13,138.1, ⑩⑪,10,10,Ｈシルバｰラビット, 45,柴田善, 3.2, 27, -21, -18, 7, 54.0, ⑤⑤,10,13,Ｑヤマニンキングリｰ, 83,吉田隼, 1.2, 91,  21,  -1,15,108.2,⑦⑨⑨
