10年 7月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"単勝:410円 複勝:09=190円 10=360円 05=1,860円 枠連:2,350円",,,,,,,,,,,,"単勝:1,720円 複勝:08=400円 02=200円 07=210円 枠連:660円",,,,,,,,,,,,単勝:360円 複勝:04=150円 09=150円 08=140円 枠連:910円,,,,,,,,,,,,単勝:260円 複勝:14=130円 03=250円 15=660円 枠連:470円,,,,,,,,,,,
"馬連:2,100円 ワイド:09-10=950円 05-09=3,670円 05-10=11,910円",,,,,,,,,,,,"馬連:3,630円 ワイド:02-08=820円 07-08=850円 02-07=490円",,,,,,,,,,,,"馬連:1,070円 ワイド:04-09=440円 04-08=330円 08-09=280円",,,,,,,,,,,,"馬連:1,410円 ワイド:03-14=560円 14-15=1,250円 03-15=4,010円",,,,,,,,,,,
"馬単:3,580円 3連複:67,420円 3連単:203,190円",,,,,,,,,,,,"馬単:10,980円 3連複:5,130円 3連単:52,300円",,,,,,,,,,,,"馬単:1,830円 3連複:880円 3連単:5,810円",,,,,,,,,,,,"馬単:2,030円 3連複:12,540円 3連単:41,230円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,足立山特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａキョウワマグナム, 75,小牧太,, 79,*  2,* 10, 1,  2.6, ②②, 1, 5,Ｂフラッパｰウィング, 69,鮫島良,, 79,* -5,* 17, 2,  4.7,②②②, 1, 7,Ａテンシノマズル, 77,中村将,, 73,*  0,  18, 1,  2.4,①①①, 1,12,Ｄラガｰシｰキング, 70,松山弘,, 72, -10,* 14, 4,  6.6, ⑪⑨
 2, 2,Ｄエｰシンヨシツネ, 57,高倉稜, 0.1, 78,*  7,*  4, 4,  9.0, ①①, 2, 3,Ｆナムラスパウト, 56,渡辺薫, 0.6, 74,  -6,* 12,13,151.9,③③③, 2, 3,Ｊナリタシャトル, 64,幸英明, 0.2, 73,  -3,  20, 7, 19.4,③③③, 2, 2,Ｅニホンピログッデン, 70,酒井学, 0.1, 70,  -4,   7, 2,  4.6, ⑤④
 3,13,Ｏセルリアンレッド, 37,川須栄, 0.8, 68,  -3,*  4,14,137.3, ⑦⑥, 3,11,Ａオｰシャンキャスト, 73,福永祐, 0.6, 74,  -8,* 14, 1,  1.6,⑨⑦⑥, 3, 8,Ｄマコトヴォイジャｰ, 70,ホワイ, 0.2, 73,  -5,* 23, 3,  4.5,⑥⑥⑥, 3,15,Ｆニュｰホｰプ, 67,ホワイ, 0.3, 68,  -5,   6, 5, 10.3, ⑦⑥
 4,15,Ｂホットチリペッパｰ, 68,福永祐, 1.2, 64,  -1,  -2, 2,  3.4, ⑤④, 4, 1,Ｈイカイカブラウン, 51,川田将, 0.7, 69,* -4,   5, 6, 29.8,①①①, 4, 9,Ｂスプリングバレル, 71,小牧太, 0.2, 72,* -2,  19, 5, 16.2,②②②, 4, 3,Ａブルｰスバロｰズ, 73,佐藤哲, 0.3, 67,* -2,   2, 1,  3.9, ②②
 5,14,Ｃメイショウアルグン, 67,松山弘, 1.5, 58,*  3, -10, 3,  5.7, ③③, 5, 2,Ｇウォｰタｰクｰゲル, 54,川須栄, 1.1, 68,  -9,  10,16,265.4,⑦⑪④, 5,11,Ｆエｰシンカハナモク, 67,福永祐, 0.3, 73,  -3,  19, 6, 17.1,④④④, 5, 7,Ｌサイキョウアサカゼ, 58,浜中俊, 0.5, 67, -13,* 12, 6, 12.3, ⑭⑬
 6, 4,Ｇサンレイランキング, 53,難波剛, 2.0, 53,  -8,  -6,13,130.2, ⑨⑨, 6, 4,Ｅメイショウアカギ, 59,高橋亮, 1.4, 64,  -9,   7, 4, 14.0,⑪⑫⑨, 6,10,Ｉリッカメルド, 64,安藤光, 0.6, 69,  -6,  20, 8, 27.8,⑨⑦⑦, 6,16,Ｂナショナルヒｰロｰ, 71,福永祐, 0.5, 66,  -4,   2, 3,  5.2, ⑥③
 7, 6,Ｍスズカデジタル, 42,松田大, 2.0, 52,  -7,  -7, 6, 26.4, ⑩⑦, 7,15,Ｃマイネルタイクｰン, 62,ホワイ, 1.5, 61,  -8,   2, 3,  7.2,⑩⑩⑧, 7, 4,Ｈダディｰズウォｰズ, 66,川田将, 0.7, 71,  -6,* 21, 2,  4.2,⑩⑨⑨, 7,11,Ｉラガｰキセキ, 60,国分恭, 0.6, 64,  -8,   5,13, 52.4, ⑨⑪
 8,10,Ｌクニサキロンチｰ, 45,北村友, 2.1, 52,  -4, -11,12, 74.4, ⑥⑧, 8, 6,Ｊユンヌペルル, 51,太宰啓, 1.7, 63, -12,   8, 8, 46.0,⑭⑮⑮, 8, 6,Ｇマルカゴクウ, 66,松山弘, 0.9, 68,  -7,* 22, 9, 60.9,⑧⑩⑩, 8, 8,Ｃランドタカラ, 70,藤岡康, 0.6, 63, -10,   6, 8, 22.1, ⑩⑫
 9, 8,Ｋポｰルラッシュ, 49,岩田康, 2.2, 53, -13,  -2,10, 48.4, ⑬⑩, 9, 7,Ｋトｰセンナックス, 46,国分恭, 2.0, 54,  -8,  -6, 9,104.3,④⑥⑦, 9, 5,Ｃハンタｰキリシマ, 70,野元昭, 0.9, 66,  -4,  15, 4,  7.8,⑦⑧⑧, 9, 1,Ｈデンタルマロン, 61,高倉稜, 0.9, 60, -15,   7, 9, 25.9, ⑬⑭
10,17,Ｅサンレイファントム, 54,岩崎祐, 2.2, 50, -14,  -3, 5, 13.2, ⑭⑭,10, 8,Ｄヤマカツセイリュウ, 60,熊沢重, 2.0, 54,  -8,  -6, 5, 16.8,⑫⑨⑫,10, 2,Ｅメイショウグラｰド, 70,難波剛, 1.3, 59,  -4,   7,10, 91.6,⑤⑤⑤,10,14,Ｍテイエムデスカイ, 54,佐久間, 0.9, 60,*  0,  -7,17,260.5, ①①
11,12,Ｉマチカネベンセイ, 50,酒井学, 2.3, 50,   0, -17, 9, 44.6, ④⑤,11,10,Ｏテｰルコｰト, 34,幸英明, 2.2, 56, -12,   1,12,131.7,⑯⑬⑬,11, 1, タチアライ,---,杉村一, 7.3, -5, -14, -55,11,148.3,⑪⑪⑪,11, 6,Ｇラブイズモネ, 61,川須栄, 0.9, 60, -11,   3, 7, 17.4, ⑫⑩
12,11,Ｆミチノスパロｰ, 54,浜中俊, 2.9, 40,  -6, -21, 7, 27.3, ⑧⑪,12,13,Ｍトｰホウパレｰド, 46,中村将, 2.8, 46, -12,  -9,14,185.0,⑬⑭⑭,,,,,,,,,,,,,12,17,Ｏアイファｰハイカラ, 51,小牧太, 0.9, 60,  -7,  -1,10, 29.8, ⑧⑦
