10年10月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9, 5,Ｉヴィｰヴァゴｰルド, 37,古川吉, 1.9, 39,  -3, -19,12,111.3,⑫⑫⑫, 9, 9,Ｈアグネスポライト, 66,三浦皇, 1.3, 63, -10,   8, 9, 38.4, ⑨⑨, 9,11,Ｆユｰスフル, 63,竹之下, 1.5, 62,  -6,  11, 5, 14.3,⑬⑩⑧, 9, 2,Ａサｰストンサブリナ, 74,上村洋, 1.6, 57,  -3,  -9, 5,  9.3, ⑦⑩
10, 1,Ｍクリノマドンナ, -1,宮崎北, 2.0, 38,  -4, -18,13,245.4,⑬⑬⑪,10, 7,Ｌカリビアンペガサス, 52,宮崎北, 1.5, 60, -13,   8,10, 50.9, ⑩⑫,10, 1,Ｋルｰシエン, 56,古川吉, 1.6, 63,  -6,  13, 8, 59.1,⑩⑪⑪,10, 5, プレアデスセヴン,---,斉藤正, 1.8, 54, -14,   0,13,157.5, ⑪⑪
11, 2,Ｅヨイチサｰクル, 52,大野拓, 3.8, 25,*  3, -47, 3,  4.7,①①③,11, 2,Ｊチェリｰソウマ, 65,西村太, 1.7, 59, -14,   7, 5, 11.9, ⑫⑪,11, 2,Ｉアスカルディ, 58,宮崎北, 2.8, 51,  -3,  -4, 9, 72.9,③④⑨,11, 8,Ｉノブヴィクトリｰ, 58,高田潤, 2.4, 47,*  6, -27, 9, 33.4, ②④
12, 3,Ｇジャックボウイ, 46,小林徹, 4.1, 28,*  3, -49,10, 49.2,②②⑥,12,10,Ｋトｰセンモンロｰズ, 64,大野拓, 1.7, 57, -13,   6,12,133.5, ⑪⑩,12,10,Ｍジョウノヒｰロｰ, 53,桑村真, 2.8, 51,  -4,  -2, 7, 42.0,⑥⑥⑬,12, 3,Ｅミュｰオン, 62,吉田隼, 2.7, 42,   2, -27,10, 49.1, ④⑦
13,12,Ｊアｰスグリｰン, 35,秋山真, 4.8, 22,*  2, -53, 6, 11.6,⑥⑤⑬,,,,,,,,,,,,,13, 8,Ｊエクセルヴォイｰジ, 57,大野拓, 3.1, 47,  -7,  -1,12, 98.6,⑪⑫⑫,13, 1,Ｆトップモデル, 61,小林徹, 2.7, 43,   2, -27, 3,  5.8, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:4),,,,,,,,,,,
"単勝:4,510円 複勝:08=870円 10=200円 07=1,250円 枠連:3,770円",,,,,,,,,,,,単勝:450円 複勝:03=180円 11=150円 12=410円 枠連:530円,,,,,,,,,,,,"単勝:180円 複勝:12=110円 07=740円 03=170円 枠連:1,050円",,,,,,,,,,,,単勝:870円 複勝:11=220円 06=150円 04=130円 枠連:920円,,,,,,,,,,,
"馬連:7,810円 ワイド:08-10=2,840円 07-08=11,920円 07-10=3,010円",,,,,,,,,,,,"馬連:590円 ワイド:03-11=340円 03-12=1,480円 11-12=810円",,,,,,,,,,,,"馬連:4,680円 ワイド:07-12=1,410円 03-12=240円 03-07=2,250円",,,,,,,,,,,,"馬連:2,000円 ワイド:06-11=610円 04-11=430円 04-06=260円",,,,,,,,,,,
"馬単:21,710円 3連複:46,720円 3連単:691,240円",,,,,,,,,,,,"馬単:1,370円 3連複:3,520円 3連単:15,910円",,,,,,,,,,,,"馬単:6,480円 3連複:5,140円 3連単:28,000円",,,,,,,,,,,,"馬単:4,630円 3連複:1,850円 3連単:15,890円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 8R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STV賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｆショウナンカライス, 54,中舘英,, 69,* -9,   8, 4,  6.3,①①①, 1, 8,Ｃデルマプロティナ, 67,竹之下,, 75,   7,*  7, 5, 13.2,⑦⑦④, 1, 4,Ｇサクラクロｰバｰ, 66,秋山真,, 76,   6,*  6, 7, 14.9,⑫⑩⑧, 1,12,Ｃミオリチャン, 77,丸田恭,, 80,  -2,* 14, 2,  4.2, ⑪⑫
 2, 9,Ａロｰドハリアｰ, 63,武幸四, 0.0, 69,*-10,* 11, 1,  2.5,②②②, 2, 9,Ａプリティカポレイ, 74,秋山真, 0.0, 75,   7,*  7, 1,  2.6,⑫⑧⑤, 2, 5,Ｄドンビザッツウェイ, 69,丸田恭, 0.1, 75,   8,   1, 6, 11.8,⑧⑥⑥, 2,10,Ｋタツサファイヤ, 69,秋山真, 0.0, 78,   3,   8, 7, 18.2, ⑤④
 3, 2,Ｃデボネア, 59,丸山元, 0.2, 68, -13,* 14, 2,  5.0,⑦⑦⑤, 3, 6,Ｅミアコルサ, 64,古川吉, 0.9, 69,   3,*  5, 6, 27.9,⑬⑫⑩, 3, 7,Ｂアスカクリチャン, 74,柴山雄, 0.4, 72,   7,   0, 3,  5.9,⑩⑨⑩, 3,13,Ｂティムガッド, 78,丸山元, 0.3, 74,*  5,   2, 3,  5.0, ④③
 4, 3,Ｇジョウノアラミス, 53,桑村真, 0.4, 67, -14,* 14, 6, 10.7,⑪⑫⑨, 4, 1,Ｂランブリングロｰズ, 70,吉田隼, 1.4, 66,*  9,  -8, 2,  3.2,①①①, 4, 6,Ｃドリｰムヒｰロｰ, 69,上村洋, 0.5, 72,   5,   1, 2,  5.7,⑨⑫⑫, 4,11,Ｍグレナディｰン, 67,上村洋, 0.3, 75,   0,   7, 4,  6.1, ⑧⑧
 5, 4,Ｂディｰエスコンドル, 61,三浦皇, 0.7, 63, -13,   7, 3,  5.1,⑧⑧⑦, 5, 7,Ｇディアコトミ, 61,丸田恭, 1.7, 63,   6,  -6, 8, 43.4,⑩⑨⑦, 5,12,Ｊヴィｰヴァサルｰテ, 62,山口竜, 0.5, 72,* 11,  -8,10, 36.8,①①①, 5, 4,Ｄサンゴシック, 74,武幸四, 0.3, 75,  -4,  11, 8, 18.7, ⑬⑪
 6, 6,Ｍウイントゥルｰラヴ, 36,古川吉, 0.8, 62, -11,   3, 7, 36.2,③③③, 6, 3,Ｆメイショウスズラン, 61,荻野琢, 1.8, 63,*  8, -10, 4,  6.4,③③②, 6,13,Ａオオトリオウジャ, 78,三浦皇, 0.5, 73,*  9,  -5, 1,  2.8,⑦④④, 6, 9,Ｆフェｰルクｰクｰ, 73,柴山雄, 0.4, 74,   0,   6,12, 43.2, ⑦⑦
 7, 8,Ｉアカマイ, 44,宮崎北, 1.3, 55, -13,  -1,11,126.1,⑩⑨⑧, 7,12,Ｉバイブレイションズ, 58,服部茂, 2.3, 59,*  8, -14, 7, 30.1,⑧⑥⑧, 7, 3,Ｅボタニカルアｰト, 69,丸山元, 0.6, 71,* 10,  -8, 4,  6.5,②②②, 7, 2,Ｈモモフク, 72,三浦皇, 0.4, 76,  -9,* 15, 6, 13.8, ⑮⑮
 8,13,Ｅベルウッドサヴァン, 55,柴山雄, 1.5, 49, -12,  -8, 8, 41.3,⑥⑤④, 8,11,Ｋリｰティラ, 57,宮崎光, 2.9, 54,*  8, -19,11,157.5,⑤④③, 8, 8,Ｆリズミカルステップ, 67,吉田隼, 0.6, 70,   8,  -5, 5, 10.0,③⑦⑦, 8, 7,Ａアスタｰエンペラｰ, 80,吉田隼, 0.5, 72,*  8,  -3, 1,  4.2, ①①
 9,10,Ｄモモチャン, 58,吉田隼, 1.7, 49, -13,  -7, 5,  9.9,⑫⑩⑩, 9,13,Ｄヤマニンギモｰヴ, 66,中舘英, 3.3, 51,*  8, -23, 3,  5.0,⑥⑤⑨, 9,14,Ｈヴィクトリアロｰズ, 66,中舘英, 0.7, 71,* 10,  -9, 8, 17.8,④③③, 9, 6,Ｊピュアマリｰン, 69,芹沢純, 0.7, 70,  -2,   5,13, 51.4, ⑫⑬
10, 5,Ｊライジングサン, 40,秋山真, 1.8, 47, -15,  -7, 9, 55.6,⑨⑪⑪,10,10,Ｌリッカカントリｰ, 56,柴山雄, 3.6, 50,   3, -16,12,206.0,⑪⑬⑫,10,11,Ｍスマｰトドラゴン, 56,武幸四, 0.8, 67,   3,   0, 9, 31.6,⑭⑭⑭,10,15,Ｇフリｰソウル, 73,黛弘人, 0.7, 69,   3,  -1, 9, 22.6, ⑥⑤
11, 7,Ｈコアヨカ, 47,大野拓, 2.0, 45, -13, -13,10, 95.0,⑤⑥⑥,11, 2,Ｈスティｰルシャｰク, 59,丸山元, 3.6, 50,*  8, -25, 9,102.1,②②⑥,11,10,Ｋレオアドミラル, 61,大野拓, 0.9, 67,   6,  -5,13,165.0,⑬⑪⑪,11, 5,Ｅラヴァｰズテｰラｰ, 73,荻野琢, 0.8, 69,  -1,   2,10, 32.2, ⑩⑨
12, 1,Ｎアオテアロア, 33,黛弘人, 2.0, 46, -16,  -7,14,324.6,⑬⑬⑫,12, 5,Ｍウィッシュロマンス, 42,大野拓, 3.8, 47,   5, -22,13,209.7,④⑩⑪,12, 9,Ｌマイネルインゼル, 57,桑村真, 0.9, 67,   7,  -8,11, 69.1,⑤⑧⑨,12,14,Ｐパラダイスイズヒア, 62,古川吉, 0.9, 69,  -8,   7,14,133.8, ⑭⑯
13,11,Ｋクｰクｰダダ, 37,山口竜, 2.5, 43, -18,  -8,12,190.9,⑭⑭⑭,13, 4,Ｊアイスボックス, 58,桑村真, 3.8, 49,   4, -20,10,125.4,⑨⑪⑬,13, 1,Ｉカワキタラブポップ, 62,芹沢純, 1.1, 65,   8, -12,12, 85.7,⑥⑤⑤,13, 1,Ｌカレンナサクラ, 68,服部茂, 0.9, 69, -13,* 12,11, 37.1, ⑯⑭
14,12,Ｌサンキュｰフライト, 36,小林徹, 4.3, 21, -12, -48,13,284.3,④④⑬,,,,,,,,,,,,,14, 2,Ｎコスモヴァルｰル, 44,丹内祐, 1.9, 57,   3, -14,14,304.6,⑪⑬⑬,14,16,Ｎテｰオｰエンペラｰ, 67,北村浩, 1.0, 66,   0,  -2,15,168.7, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｏヤマサラグランジュ, 66,桑村真, 1.3, 63,*  6, -10,16,210.6, ③⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｉランブルジャンヌ, 70,中舘英, 2.1, 52,*  6, -22, 5, 12.8, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:4),,,,,,,,,,,
単勝:630円 複勝:14=150円 09=130円 02=180円 枠連:440円,,,,,,,,,,,,"単勝:1,320円 複勝:08=360円 09=140円 06=480円 枠連:1,770円",,,,,,,,,,,,"単勝:1,490円 複勝:04=470円 05=350円 07=240円 枠連:760円",,,,,,,,,,,,"単勝:420円 複勝:12=160円 10=520円 13=180円 枠連:1,860円",,,,,,,,,,,
馬連:740円 ワイド:09-14=330円 02-14=630円 02-09=370円,,,,,,,,,,,,"馬連:1,910円 ワイド:08-09=650円 06-08=2,280円 06-09=770円",,,,,,,,,,,,"馬連:8,500円 ワイド:04-05=2,610円 04-07=1,480円 05-07=1,440円",,,,,,,,,,,,"馬連:5,010円 ワイド:10-12=1,800円 12-13=480円 10-13=1,900円",,,,,,,,,,,
"馬単:1,920円 3連複:1,520円 3連単:9,240円",,,,,,,,,,,,"馬単:5,430円 3連複:6,010円 3連単:52,070円",,,,,,,,,,,,"馬単:19,750円 3連複:18,070円 3連単:152,920円",,,,,,,,,,,,"馬単:8,610円 3連複:8,350円 3連単:53,170円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-20,,,,,■ 6R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩周湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａタツパｰシヴ, 68,秋山真,, 68,* -5,* 13, 1,  1.2,③②①, 1,12,Ａザピエｰル, 78,丸山元,, 77,   9,   6, 3,  5.3,⑦⑦⑤, 1, 6,Ａナリタカｰビン, 78,上村洋,, 76,*  2,* 14, 1,  3.2,①①①, 1, 1,Ａレインボｰダリア, 86,丸山元,, 80,   4,* 11, 1,  1.8,④④⑤
 2, 5,Ｄニシノフィリア, 58,荻野琢, 0.9, 64,  -7,*  9, 4, 17.3,⑤⑤④, 2,14,Ｌトレノユｰボウ, 63,古川吉, 0.2, 79,   8,*  9, 4,  8.5,⑪⑪⑨, 2, 4,Ｂパシコジュリエ, 75,坂下秀, 0.2, 75,  -3,* 20, 2,  4.1,⑩⑧⑦, 2, 3,Ｅレジェンドブルｰ, 77,古川吉, 0.1, 82,   3,* 12, 2,  4.2,⑦⑧⑦
 3, 6,Ｈディアナブルｰ, 45,丹内祐, 0.9, 62,  -7,   8,11,162.7,④④③, 3,16,Ｇアオゾラペダル, 71,西村太, 0.3, 74,   9,   2, 6, 14.9,⑧⑧⑦, 3,11,Ｅトｰセンヤッテキタ, 71,大野拓, 0.4, 68,*  2,  10, 5,  6.9,⑤②②, 3, 8,Ｈマイネエアウエイ, 72,丹内祐, 0.4, 78,*  6,   3, 7, 27.6,③③④
 4,11,Ｂエアレモネｰド, 66,吉田隼, 1.4, 61,  -7,   7, 3, 10.7,⑨⑦⑤, 4, 1,Ｆリッツィｰスタｰ, 73,吉田隼, 0.4, 73,  11,  -2, 9, 71.4,④④③, 4, 8,Ｃビｰボタンダッシュ, 75,丸田恭, 0.6, 69,*  1,  10, 3,  4.7,③③③, 4,10,Ｆマイネノｰブレス, 77,桑村真, 0.5, 76,   3,   7, 6, 23.2,⑨⑦⑥
 5,10,Ｅサクラインスパイア, 57,宮崎北, 2.0, 53,* -5,  -3, 2,  8.7,②③②, 5, 3,Ｋユメユメユメ, 64,丹内祐, 0.6, 72,* 12,  -9,11, 77.4,②②②, 5, 1,Ｄジェットヴォイス, 72,丸山元, 0.9, 68,   0,   9, 4,  5.4,④④④, 5, 2,Ｃヴェリタス, 81,秋山真, 0.5, 75,   3,   6, 4, 12.1,⑥⑤③
 6,12,Ｉメジロミシェル, 44,黛弘人, 3.3, 46,  -9,  -7, 9, 84.4,⑧⑩⑦, 6, 9,Ｈタガノガブリエル, 69,宮崎北, 0.7, 71,   8,  -1,12, 85.3,⑨⑨⑧, 6,13,Ｌセレスコクオｰ, 55,古川吉, 0.9, 68,   0,   9, 7, 29.7,⑧⑤⑤, 6, 7,Ｂシングンレジェンド, 81,三浦皇, 0.6, 75,*  6,   0, 3,  5.2,②②②
 7, 8,Ｇサマｰフィオｰレ, 48,柴山雄, 3.4, 43,  -8, -11, 7, 54.7,⑥⑥⑧, 7,11,Ｄラフォルジュルネ, 74,中舘英, 0.8, 73,   4,*  9, 2,  3.9,⑮⑮⑬, 7, 2,Ｇスズカジェネラル, 66,小林徹, 1.4, 67,  -2,   8, 9,132.0,⑨⑥⑥, 7, 6,Ｇマルラニビスティｰ, 76,中舘英, 1.0, 71,   3,  -1, 5, 17.6,⑤⑥⑧
 8, 4,Ｃウインボナパルト, 60,丸山元, 3.5, 44,  -9, -11, 5, 26.6,⑫⑧⑨, 8,15,Ｂブレｰブビスティｰ, 75,三浦皇, 1.0, 70,   5,   2, 1,  2.4,⑫⑬⑪, 8, 9,Ｆツカサゲンキ, 69,長谷川, 1.7, 61,  -4,  10, 6, 16.4,⑪⑪⑨, 8, 9,Ｉグリフィス, 65,武幸四, 1.2, 66,*  6, -10, 8, 53.1,①①①
 9,13,Ｆヒガサビジン, 50,丸田恭, 3.6, 43,  -9, -10, 8, 60.5,⑦⑪⑪, 9, 4,Ｃマスタｰウィンド, 74,丸田恭, 1.0, 66,  11, -10, 8, 35.1,⑤⑤④, 9, 5,Ｈデジタルトウショウ, 65,宮崎北, 2.4, 55,  -2,  -2,11,153.1,⑦⑦⑧, 9, 5,Ｄトシザコジｰン, 78,吉田隼, 1.2, 67,   2,  -2, 9, 78.5,⑧⑨⑨
10, 7,Ｋダイワヤマト, 36,三浦皇, 3.9, 41, -10, -11,12,175.7,⑩⑬⑫,10, 2,Ｅラガｰアンバｰ, 73,服部茂, 1.1, 70,   3,*  9,15,212.6,⑯⑯⑭,10,12,Ｉメイプルリボｰン, 64,芹沢純, 2.4, 58,  -4,   5,12,160.4,⑬⑫⑪,10, 4,Ｊダンシングボｰイ, 62,上村洋, 2.1, 61,  -1,  -8,10,211.2,⑩⑩⑩
11, 1,Ｌヨシダｰクスマイル, 35,服部茂, 4.8, 36, -10, -17,13,434.0,⑪⑫⑩,11,10,Ｉウェザｰサイド, 69,秋山真, 1.1, 69,   4,   4, 7, 34.7,⑭⑭⑫,11,10,Ｊアドバンスペリｰ, 58,吉田隼, 3.1, 53,  -3,  -4, 8, 34.9,⑫⑨⑩,,,,,,,,,,,,
12, 9,Ｊビｰウイッチ, 36,西村太, 6.8, 23,* -5, -45,10,133.9,①①⑥,12, 6,Ｊタイキエイワン, 66,柴山雄, 1.4, 62,* 13, -21, 5, 14.7,①①①,12, 3,Ｋダリムｰ, 57,西村太, 3.2, 52,  -5,  -1,13,200.4,⑥⑬⑬,,,,,,,,,,,,
13, 3,Ｍノｰブルラプタｰ,-33,大野拓, 9.0,  1,  -9, -57, 6, 30.2,⑬⑨⑬,13, 8,Ｎカットイッタウト, 57,桑村真, 1.4, 64,  11, -15,16,301.9,⑥⑥⑥,13, 7,Ｍフォレストルｰラｰ, 53,中舘英, 3.5, 50,  -3,  -6,10,137.4,②⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,14, 5,Ｏプニプニヨｰクン, 55,増沢由, 1.7, 61,   8, -13,14,170.7,⑩⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,13,Ｍメイショウギリシャ, 58,武幸四, 1.8, 61,   5,  -7,10, 77.1,⑬⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 7,Ｐロｰテスクライト, 50,荻野琢, 3.0, 51,* 13, -39,13,103.0,③③⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:4),,,,,,,,,,,
