10年 8月 7日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5, 9,Ｊテイエムロックダン,  4,西村太, 1.1, 38, -15,   0, 6, 31.7, ④⑤, 5,12,Ｆポロメリア, 62,藤田伸, 1.0, 60,*  4,  -9, 6, 10.6,①①①, 5, 1,Ｅメイショウベｰネ, 70,大野拓, 0.8, 73,   2,   2, 8, 27.9,⑨⑩⑧, 5, 8,Ｍナリタシリカ, 72,上村洋, 0.3, 77,*  0,   9, 2,  4.2, ④④
 6, 1,Ｂスズカマジェスタ, 53,古川吉, 1.3, 38, -20,   3, 4,  7.6, ⑧⑥, 6, 6,Ｉメジロカｰタｰ, 54,勝浦正, 1.1, 59,  -1,  -1, 8, 39.2,⑩⑨⑨, 6,10,Ｊアルファヨンジュン, 62,小野次, 1.0, 68,   5,  -8,10,116.7,③⑤⑤, 6, 1,Ｎラヴァｰズテｰラｰ, 71,荻野琢, 0.4, 75,  -4,  12,15, 85.8, ⑥⑤
 7, 2,Ｉシャコｰフィｰユ, 31,丹内祐, 1.5, 37, -22,   3, 8, 53.1, ⑨⑨, 7, 8,Ｂテイクザファントム, 65,安藤勝, 1.4, 54,*  4, -12, 4,  8.2,②②②, 7, 5,Ｈシセイオウジ, 65,丸田恭, 1.0, 68,   1,   0, 5, 21.4,⑦⑪⑪, 7, 3,Ｆメイショウバレｰヌ, 76,小林徹, 0.4, 79, -19,* 26,13, 46.0, ⑭⑭
 8, 3,Ｇミラｰメソロ, 36,荻野琢, 1.5, 37, -23,   5, 9, 90.3, ⑩⑩, 8,13,Ｊサワノビギン, 51,藤岡佑, 1.9, 56,   1, -11, 9, 46.6,⑧⑦⑧, 8, 9,Ｂナムラボルテｰジ, 77,長谷川, 1.0, 69,   2,  -3, 2,  2.9,⑩⑨⑩, 8,10,Ｈレディハニｰ, 74,木幡初, 0.5, 74,  -5,  10,14, 55.6, ⑦⑦
 9, 5,Ｆシオンフェアリｰ, 41,丸田恭, 1.7, 31, -19,  -4, 7, 32.8, ⑦⑦, 9,11,Ｈトｰセンバリュｰ, 55,横山典, 1.9, 55,   2, -10, 3,  4.4,⑨⑥⑦, 9, 4,Ｉワイドロｰタス, 62,池添謙, 1.3, 66,   5, -12, 9, 52.1,②④④, 9,14,Ｉケイアイスウォｰド, 73,勝浦正, 0.6, 73, -10,  14, 7, 18.8, ⑨⑩
10,10,Ｈヒルトップザベル, 35,木幡初, 1.8, 30, -17,  -6,10, 92.2, ⑥⑧,10, 1,Ｇタマモハイグレｰド, 58,丹内祐, 2.3, 53,  -4,  -5,12,253.3,⑬⑫⑫,10, 7,Ｋトｰセンユニコｰン, 54,上村洋, 1.4, 65,*  7, -16,11,206.5,①①①,10, 9,Ｄシャドウストライプ, 76,安藤勝, 0.8, 73, -18,* 19, 4,  6.9, ⑮⑮
,,,,,,,,,,,,11,10,Ｌヒシカツヒトリタビ, 48,木幡初, 2.4, 50,  -2,  -9,11,170.1,⑫⑪⑪,11,11,Ｇダノンマスタｰズ, 66,横山典, 1.9, 58,   5, -19, 4, 20.0,⑥⑥⑨,11,16,Ｇバロンダンス, 75,丸田恭, 1.0, 68,  -8,   8, 9, 22.6, ⑩⑧
,,,,,,,,,,,,12, 9,Ｋタケノチャンス, 50,伊藤直, 2.7, 50,  -1, -12,10, 98.8,⑦⑩⑩,,,,,,,,,,,,,12, 2,Ｅテｰオｰエンペラｰ, 76,四位洋, 1.0, 69, -15,  14, 8, 21.2, ⑬⑫
,,,,,,,,,,,,13, 3,Ｍトウショウエホバ, 39,黛弘人, 3.7, 44,  -5, -15,13,293.1,③⑬⑬,,,,,,,,,,,,,13,12,Ｊコンプリｰトラン, 73,大野拓, 1.2, 66, -12,   9,11, 35.4, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｐナムラミｰティア, 49,藤岡佑, 1.3, 68, -24,* 19, 6, 18.4, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｂトップオブピｰコイ, 78,横山典, 1.7, 58, -13,   4, 5, 12.8, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｏフランシｰル, 69,吉田隼, 1.9, 55,  -3,  -9,16,257.9, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,
単勝:220円 複勝:08=120円 06=200円 07=140円 枠連:610円,,,,,,,,,,,,単勝:340円 複勝:02=150円 05=370円 07=130円 枠連:940円,,,,,,,,,,,,"単勝:230円 複勝:02=120円 06=420円 03=170円 枠連:1,940円",,,,,,,,,,,,"単勝:3,740円 複勝:05=480円 15=180円 06=170円 枠連:660円",,,,,,,,,,,
馬連:910円 ワイド:06-08=330円 07-08=180円 06-07=360円,,,,,,,,,,,,"馬連:2,880円 ワイド:02-05=750円 02-07=270円 05-07=820円",,,,,,,,,,,,"馬連:2,820円 ワイド:02-06=820円 02-03=300円 03-06=1,340円",,,,,,,,,,,,"馬連:6,420円 ワイド:05-15=1,780円 05-06=1,790円 06-15=470円",,,,,,,,,,,
"馬単:1,680円 3連複:820円 3連単:4,080円",,,,,,,,,,,,"馬単:3,660円 3連複:2,630円 3連単:12,210円",,,,,,,,,,,,"馬単:3,750円 3連複:3,520円 3連単:18,710円",,,,,,,,,,,,"馬単:14,970円 3連複:7,940円 3連単:75,710円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 9R  芝2600m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■12R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,みなみ北海道ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃサザンクロスレディ, 64,長谷川,, 68,* -3,* 12, 3,  4.6,⑤③③, 1,14,Ａトｰセンピナクル, 69,吉田隼,, 71,*  2,   4, 6, 12.5,②②②, 1, 4,Ｍトウカイメロディ, 83,吉田隼,, 89,  16,* 15, 2,  3.6,⑩⑦⑦, 1,12,Ｂメイショウサバト, 70,木幡初,, 76,* -2,   9, 1,  2.7, ②②
 2, 5,Ｉネオスペチアｰレ, 58,秋山真, 0.2, 69,* -2,*  9, 4,  6.3,②②②, 2,12,Ｄラスティングソング, 62,四位洋, 0.1, 71,*  1,   4, 8, 22.9,⑥④④, 2, 1,Ｉホクトスルタン, 85,藤岡佑, 0.5, 84,* 18,  -1, 3,  4.9,①①①, 2,16,Ｋヴンダｰゾンネ, 63,長谷川, 0.3, 72,* -1,   4, 7, 16.1, ①①
 3, 1,Ａヒロインシチｰ, 64,伊藤直, 0.5, 66,* -2,   7, 2,  4.5,①①①, 3, 7,Ｅバトルドンジョン, 61,藤田伸, 0.2, 72,   0,*  8, 4,  5.6,⑦⑩⑨, 3,15,Ｆメイショウクオリア, 87,長谷川, 0.6, 84,* 17,   1, 7, 16.5,②②②, 3, 3,Ｄソムニア, 66,勝浦正, 0.6, 69, -12,* 12, 5, 12.5, ⑫⑬
 4, 2,Ｄイエスマイダｰリン, 63,武英智, 0.8, 64,  -5,   7, 5,  6.8,⑧⑤⑤, 4, 4,Ｍチャｰリｰポイント, 55,木幡初, 0.2, 73,  -3,* 12,14, 81.5,⑬⑭⑭, 4, 5,Ａルｰルプロスパｰ, 89,藤田伸, 0.6, 84,  16,   6, 5, 15.7,④⑥③, 4, 5,Ｉクインズプレイヤｰ, 64,丹内祐, 0.6, 70, -10,   9,13, 40.0, ⑩⑩
 5, 7,Ｅアリエナイ, 63,上村洋, 0.9, 66,  -3,   6, 9, 36.9,③④④, 5, 9,Ｇメイショウピゴット, 60,武幸四, 0.3, 69,*  1,   2, 2,  5.1,⑤⑥⑥, 5,10,Ｄデストラメンテ, 88,丹内祐, 0.7, 86,  15,* 12, 8, 18.3,⑬⑪⑪, 5,11,Ｊマヤノアンズ, 63,古川吉, 0.7, 68,  -9,   8, 9, 23.8, ⑪⑧
 6,10,Ｋカンタベリｰナナ, 49,丹内祐, 1.7, 61,  -6,   6,10, 38.1,⑦⑦⑥, 6, 2,Ｈトレノヴィジョン, 59,古川吉, 0.3, 70,*  1,   2, 9, 23.0,③⑤⑤, 6,11,Ｊレッドアゲｰト, 84,大野拓, 0.8, 83,  14,   6,12, 56.8,⑥⑨⑧, 6, 1,Ｏコルドバ, 60,池添謙, 0.9, 64,* -3,  -1, 6, 15.7, ③③
 7,12,Ｊロングエンプレス, 53,西村太, 1.7, 61,  -9,* 10,13,177.8,⑨⑪⑨, 7,10,Ｃトレジャｰゴッド, 63,勝浦正, 0.5, 68,  -2,   5, 3,  5.1,⑫⑬⑪, 7, 3,Ｇエアジパング, 86,横山典, 0.9, 81,  15,   7, 1,  3.3,⑨⑩⑩, 7,15,Ｌトｰワテレサ, 63,藤岡佑, 0.9, 66, -16,* 12,10, 24.8, ⑮⑯
 8, 8,Ｆシエルト, 60,藤岡佑, 2.0, 58,  -6,   2, 6, 10.3,⑩⑧⑦, 8, 3,Ｂエｰシンアガペｰ, 64,藤岡佑, 0.8, 66,  -2,   2, 5,  6.6,⑩⑪⑫, 8, 2,Ｃグラスゴッド, 88,黛弘人, 0.9, 83,  13,* 13, 9, 22.3,⑫⑬⑫, 8, 9,Ａサニｰエリザベス, 71,丸田恭, 0.9, 65, -12,   8, 2,  5.7, ⑬⑭
 9, 4,Ｈクリノビッグスカイ, 59,藤田伸, 3.6, 47,  -9,  -6, 7, 15.6,⑫⑫⑩, 9,15,Ｆホワイトミｰナ, 60,丸田恭, 1.1, 60,   0,  -6, 7, 21.0,⑨⑨⑩, 9, 8,Ｅキングブレｰヴ, 87,柴原央, 1.3, 78,  13,   6,11, 41.1,⑮⑮⑮, 9,13,Ｃトｰホウカクテル, 68,横山典, 0.9, 64, -12,   8, 3,  6.8, ⑭⑫
10,11,Ｂノアスカｰレット, 64,四位洋, 3.8, 42,  -5, -15, 8, 21.8,⑥⑥⑧,10,16,Ｏメイケイソフィア, 53,柴原央, 1.1, 60,*  1, -10,15,110.5,④③③,10, 7,Ｌウィルビｰキング, 84,四位洋, 1.3, 78,  14,   3,14, 76.1,⑪⑫⑬,10, 8,Ｈジョディｰズライン, 64,吉田隼, 1.0, 62,  -5,  -1, 4, 10.6, ⑥⑤
11, 6,Ｍハギノジュノ, 47,吉田隼, 4.3, 42,  -9, -14,11, 98.2,⑪⑩⑫,11, 6,Ｋセイランダンス, 58,上村洋, 1.4, 59,*  1, -13,10, 31.8,⑮⑦⑧,11,13,Ｏショウナンライジン, 80,小野次, 1.4, 77,  16,  -4,15,108.3,⑧⑧⑨,11, 2,Ｆシャンパンフルｰト, 65,柴山雄, 1.0, 63,  -9,   4,15,115.2, ⑨⑨
