10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 4R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｴﾆﾌｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 1,Ｆサクセスアイニｰ, 61,小牧太, 0.4, 64,   4,  -2, 5, 28.1,⑨⑦⑧, 4, 8,Ｄクリムゾンブｰケ, 72,和田竜, 0.9, 72,*  2,   6, 3,  6.1,③③④, 4,10, エイシンボストン,,西谷誠,207.2,,,, 3,  8.4,③②②, 4, 4,Ｇキクカタキシｰド, 71,幸英明, 0.3, 81,  -1,  14, 3,  6.4,④⑤⑥
 5, 2,Ａトウショウセレクト, 71,酒井学, 0.7, 65,*  7,  -9, 1,  2.1,①①①, 5, 6,Ｇスマｰトアルティラ, 67,武豊  , 1.0, 71,   0,  10, 2,  3.4,⑫⑩⑧, 5, 1, タイカｰリアン,,北沢伸,207.3,,,, 5,  9.9,⑨⑨⑨, 5, 7,Ｉフラムドｰル, 67,飯田祐, 0.3, 80,*  0,  11, 7, 24.7,③②②
 6, 5,Ｉエｰケｰコンコルド, 54,藤岡佑, 1.4, 61,   4,  -8, 6, 28.5,⑫⑩⑨, 6, 9,Ａキクノセンヒメ, 78,蛯名正, 1.4, 68,   1,   4, 1,  3.1,⑨⑧⑤, 6, 4, イコｰルパｰトナｰ,,金折知,208.0,,,, 4,  8.7,⑦⑧⑧, 6, 1,Ｆクレスコドリｰム, 71,赤木高, 0.4, 80,  -2,  16, 9, 56.6,⑦⑧⑨
 7,13,Ｄテｰオｰジャングル, 64,松田大, 1.6, 60,   5, -13, 8, 32.9,⑥⑥⑥, 7, 1,Ｈタガノジョｰカｰ, 64,藤岡康, 1.4, 70,   1,   5, 9, 23.9,⑥⑦⑨, 7,13, ドｰルリヴィエｰル,,黒岩悠,208.1,,,,11, 40.4,⑥⑤⑤, 7, 5,Ｅウォｰタｰセレネ, 73,酒井学, 0.5, 78,   0,  12, 6, 20.6,⑥⑦⑦
 8, 7,Ｋレディハピネス, 51,秋山真, 1.6, 61,  -3,*  2, 9, 35.4,⑭⑮⑮, 8,12,Ｆヴィｰヴァレジｰナ, 68,藤岡佑, 1.9, 65,*  3,  -2,10, 26.7,④④③, 8, 2, シｰスピアｰ,,植野貴,208.6,,,,12,102.7,⑪⑩⑩, 8, 2,Ｈロｰドアルファｰド, 69,藤岡佑, 0.5, 77,  -1,  10, 8, 45.4,②④⑤
 9,10,Ｅクｰゲルブリッツ, 63,後藤浩, 1.7, 55,*  6, -17, 2,  4.2,②②③, 9, 4,Ｅクリノソｰニャ, 70,幸英明, 2.0, 66,  -1,   3, 8, 23.8,⑩⑪⑪, 9, 9, スリｰラスカル,,岩崎祐,208.9,,,,13,120.2,⑤⑥⑥, 9, 3,Ｄセンノカゼ, 76,佐藤哲, 1.6, 60,*  1, -10, 5, 11.3,①①①
10, 8,Ｍマルタカムサシ, 45,石橋守, 2.1, 58,   0,  -9,15,468.5,⑮⑭⑫,10, 5,Ｊピエナリリｰ, 62,太宰啓, 2.1, 64,  -2,   4,12,167.8,⑪⑫⑫,10,14, エイシンニｰザン,,横山義,209.0,,,, 7, 23.7,⑩⑪⑪,,,,,,,,,,,,
11, 3,Ｇダノンボンジュｰル, 61,渡辺薫, 2.2, 55,   5, -19,11, 42.0,③③⑦,11, 2,Ｌスナｰクチェリｰ, 58,後藤浩, 2.1, 60,*  3,  -6, 7, 21.9,①①①,11, 6, トップフリｰダム,,佐久間,209.3,,,, 2,  7.4,⑧⑦⑦,,,,,,,,,,,,
12,11,Ｏスリｰゴｰフライト, 41,安藤光, 2.2, 53,   4, -15,16,532.6,⑪⑪⑩,12,10,Ｉティボリペガサス, 64,高倉稜, 2.3, 58,   1,  -5,11, 32.2,⑤⑤⑦,12,11, ビコｰフェザｰ,,白浜雄,209.9,,,, 6, 12.8,⑫⑫⑫,,,,,,,,,,,,
13,16,Ｐアスタｰハウス,-66,高倉稜, 2.3, 51,   0, -11,14,302.8,⑩⑬⑬,,,,,,,,,,,,,13,12, サトノスロｰン,,五十嵐,210.7,,,,14,142.2,⑬⑭⑬,,,,,,,,,,,,
