10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,米子ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:3,790円 3連複:2,240円 3連単:19,000円",,,,,,,,,,,,"馬単:4,900円 3連複:8,160円 3連単:80,730円",,,,,,,,,,,,"馬単:5,140円 3連複:48,010円 3連単:201,020円",,,,,,,,,,,,"馬単:7,190円 3連複:5,430円 3連単:37,060円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂワイルドウルフ, 68,川田将,, 71,   4,*  9, 1,  2.1,⑤⑥⑤, 1, 9,Ｃドクトルジバゴ, 64,和田竜,, 64,   4,*  3, 1,  3.2, ⑤⑤, 1, 1,Ａゴｰルスキｰ, 79,浜中俊,, 80,   8,*  2, 2,  5.2, ③④, 1,12,Ｉトウカイオｰロラ, 64,小牧太,, 72,  12, -15, 5,  7.3,⑧⑧⑦
 2,11,Ｃリリｰストライカｰ, 68,浜中俊, 0.2, 69,*  4,*  5, 2,  4.0,③③②, 2,13,Ｂジパングダマシイ, 64,浜中俊, 0.1, 63,   4,   2, 8, 15.0, ⑥⑥, 2, 9,Ｃロｰドセイバｰ, 73,川田将, 0.3, 76,* 11,  -7, 3,  5.7, ②②, 2, 8,Ｊデュｰクストロング, 63,高橋亮, 0.1, 70,  13, -20,13,124.7,③④②
 3, 3,Ｄサクセスシェｰバｰ, 67,飯田祐, 0.8, 65,   0,*  8, 6, 13.5,⑭⑬⑫, 3, 3, マジンプロスパｰ,---,川田将, 0.2, 62,   4,   0, 6, 12.1, ④④, 3,11,Ｆサクラシャイニｰ, 71,北村友, 0.3, 77,   4,*  5, 6, 11.4, ⑫⑫, 3, 6,Ｃナムラチェンジ, 73,太宰啓, 0.3, 71,   8,* -8, 7, 11.5,⑪⑫⑬
 4, 4,Ｅワルトユニヴァｰス, 66,和田竜, 0.8, 65,*  5,  -1, 3,  6.3,①①①, 4,16, メイショウヤグラ,---,福永祐, 0.2, 62,*  5,  -2, 2,  4.9, ②②, 4, 2,Ｅドレスアフェアｰ, 73,小牧太, 0.4, 75,   6,*  1, 4,  9.6, ⑥⑦, 4, 5,Ｂスｰパｰオｰビット, 75,赤木高, 0.3, 70,   9,*-11, 1,  4.6,⑫⑬⑪
 5, 2,Ｆボｰンストｰン, 65,小牧太, 0.9, 62,   4,   0, 5, 12.3,④④③, 5,12,Ａメタギャラクシｰ, 66,村田一, 0.5, 58,  -1,*  5, 4,  9.1, ⑬⑩, 5, 8,Ｂザバトルユｰジロｰ, 77,川須栄, 0.6, 72,   8,  -7, 8, 33.4, ⑤⑤, 5, 2,Ｆダディｰズウォｰズ, 67,川田将, 0.4, 69,   9, -14, 2,  4.6,⑬⑪⑩
 6,10,Ｉカワカミショコラ, 53,北村友, 1.5, 61,   2,  -1, 7, 30.9,⑨⑨⑦, 6,11,Ｆリッチチャンス, 57,松田大, 0.9, 58,   1,  -2,11, 65.0, ⑧⑧, 6, 7,Ｉプロスアンドコンズ, 64,松山弘, 1.4, 62,* 12, -26, 9, 39.1, ①①, 6,11,Ｅキングシャｰロット, 69,岩田康, 0.7, 66,  13, -27, 4,  7.1,⑥⑥⑥
 7,16,Ｏメモリｰセイバｰ, 43,松田大, 1.7, 63,   0,   0,15,310.3,⑫⑫⑪, 7, 4,Ｉオｰミスプラウト, 51,小坂忠, 1.0, 56,*  7, -10, 9, 32.5, ①①, 7,12,Ｈシアフォｰス, 64,岩田康, 1.6, 61,   4, -16, 7, 16.9, ⑪⑩, 7, 4,Ｇスペｰスオｰバｰ, 65,村田一, 1.0, 65,  11, -23,12,114.3,⑨⑨⑨
 8,13,Ｊアッフィラｰタ, 52,福永祐, 1.9, 56,   3,  -7, 8, 52.4,⑩⑦⑥, 8, 8,Ｈシェルバレッタ, 51,高橋亮, 1.0, 54,  -2,   1,14,118.6, ⑫⑬, 8,10,Ｄインペリアルマｰチ, 73,福永祐, 1.6, 61,   6, -19, 1,  2.1, ⑧⑨, 8, 9,Ｌサクラシリアス, 59,福永祐, 1.6, 58,* 14, -44, 8, 22.5,②②③
 9, 5,Ａスタｰウォｰズ, 69,鮫島良, 2.1, 56,*  5, -11, 4,  8.2,②②④, 9, 7,Ｅサヴァラン, 60,北村友, 1.0, 55,   2,  -4, 3,  5.2, ⑦⑦, 9, 4,Ｇディｰプキッス, 68,鮫島良, 2.0, 57,   6, -23, 5, 11.1, ⑨⑧, 8, 7,Ｈヒルノラディアン, 65,松田大, 1.6, 59,  12, -36,11, 91.1,⑦⑦⑧
10, 1,Ｍディアグレｰトサン, 48,川島信, 2.2, 54,   2,  -7,10,160.6,⑪⑩⑧,10, 6,Ｄヘッドザポｰル, 63,小牧太, 1.1, 54,   4,  -9, 5,  9.7, ③③,10, 5,Ｋテンシノアスタｰ, 62,中村将, 2.2, 54,   7, -29,12,250.1, ⑦⑥,10, 3,Ｋメイショウサミット, 62,難波剛, 1.7, 57,   9, -31,10, 39.0,⑩⑩⑫
