10年 8月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9,10,Ｉシゲルペイペイ, 30,佐藤哲, 2.2, 33,  -7, -14, 8, 61.2, ⑨⑨, 9, 5,Ｃヤマニンシュシュ, 63,松山弘, 1.3, 55,   5, -21, 7, 16.5,③⑤⑤, 9, 4,Ｃエメラルドミスト, 75,浜中俊, 0.9, 71,   0,  13, 6, 19.0,⑯⑭⑫, 9,11,Ｆマッシヴエンペラｰ, 79,太宰啓, 0.3, 80,   2,  12,12, 44.7,⑥⑨⑨
10,11,Ｌカシノテンザン, -9,酒井学, 2.4, 34, -25,  -3,11,164.9, ⑫⑫,10, 4,Ｒメルセダリオ, 41,赤木高, 1.3, 56,  -1,  -8,14,147.6,⑯⑰⑮,10,15,Ｋドナフュｰジョン, 68,松山弘, 1.2, 66,  -2,  11,12, 60.2,⑫⑯⑯,10, 4,Ｇリッカロイヤル, 78,安藤光, 0.4, 77,   3,   9, 4,  9.3,⑦⑦⑧
11, 6,Ｈミヤマキリシマ, 32,国分恭, 2.7, 30,  -1, -22, 9, 74.1, ⑤⑤,11, 3,Ｍラクスクライン, 52,川島信, 1.3, 58,   1, -10,12,124.9,⑰⑮⑬,11, 9,Ｇファミリズム, 72,福永祐, 1.3, 62,*  4,  -4, 8, 19.9,②②②,11, 9,Ｄホｰマンアラシ, 81,国分恭, 0.6, 77,   2,   8, 9, 21.4,⑨⑩⑩
12, 1,Ｋテイエムライチョウ, 21,田中健, 2.9, 28, -20, -12,13,262.7, ⑩⑪,12,13,Ｏドルチェオッティモ, 46,幸英明, 1.5, 54,   2, -16,13,135.7,⑮⑭⑭,12, 7,Ｍベリｰフ, 65,幸英明, 1.4, 64,  -2,   6,10, 41.3,⑮⑮⑭,12,12,Ｊノットアロｰン, 74,福永祐, 0.6, 74,*  5,   1, 5,  9.7,④③③
13, 4,Ｍカシノカイオウ,-70,加藤士, 4.2,-13, -44,  -9,12,225.4, ⑬⑬,13, 6,Ｊエリモマドンナ, 55,藤岡康, 1.7, 51,*  8, -33, 8, 30.8,①①①,13, 3,Ｈリッカメルド, 70,小牧太, 1.7, 59,   0,   1,13, 78.4,⑭⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 1,Ｋマリアダンス, 55,安藤光, 1.8, 50,   3, -23,15,294.1,⑥⑨⑫,14,12,Ｎメイショウシｰマ, 62,中村将, 2.0, 55,*  6, -15,15,112.4,①①①,,,,,,,,,,,,
,,,,,,,,,,,,15,15,Ｌタニノロゼット, 54,太宰啓, 2.1, 48,   5, -33,11, 66.5,⑪⑥⑨,15, 6,Ｐオンフルｰル, 55,佐藤哲, 2.0, 53,   2, -11, 7, 19.8,③④⑤,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｎトクノフラップ, 48,野元昭, 2.7, 44,  -5, -19,17,403.8,⑱⑱⑯,16,16,Ｏカネトシマイコサン, 58,渡辺薫, 2.7, 50,   0, -15,16,303.3,⑬⑫⑮,,,,,,,,,,,,
,,,,,,,,,,,,17,17,Ｑアインファルケ, 44,国分恭, 3.8, 36,   2, -48,16,313.7,⑦⑬⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,11,Ｐマルサンアイドル, 45,中村将, 5.6,  8,   1, -71,18,435.4,⑭⑯⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
"単勝:220円 複勝:03=110円 02=420円 12=1,800円 枠連:1,350円",,,,,,,,,,,,"単勝:1,540円 複勝:18=440円 02=190円 12=290円 枠連:3,210円",,,,,,,,,,,,単勝:420円 複勝:13=160円 08=130円 05=240円 枠連:390円,,,,,,,,,,,,"単勝:500円 複勝:06=190円 01=400円 05=210円 枠連:2,330円",,,,,,,,,,,
"馬連:1,490円 ワイド:02-03=530円 03-12=2,240円 02-12=9,060円",,,,,,,,,,,,"馬連:4,340円 ワイド:02-18=1,540円 12-18=2,310円 02-12=830円",,,,,,,,,,,,馬連:660円 ワイド:08-13=260円 05-13=890円 05-08=640円,,,,,,,,,,,,"馬連:3,530円 ワイド:01-06=1,250円 05-06=600円 01-05=1,360円",,,,,,,,,,,
"馬単:1,960円 3連複:25,090円 3連単:78,540円",,,,,,,,,,,,"馬単:11,570円 3連複:11,400円 3連単:94,830円",,,,,,,,,,,,"馬単:1,520円 3連複:2,530円 3連単:12,110円",,,,,,,,,,,,"馬単:6,640円 3連複:6,340円 3連単:44,130円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平尾台特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃエｰティｰガンダム, 54,幸英明,, 65,*  9,* -5, 2,  3.6, ②②, 1,13,Ｋダノントレビアン, 51,熊沢重,, 75,  -1,* 15, 3,  7.4,⑧⑤④, 1, 5,Ｄマヤフィオｰレ, 72,和田竜,, 72,   7,*  4, 3,  5.1, ⑤⑤, 1, 2,Ａポイマンドレｰス, 86,鮫島良,, 84,  13,*  7, 1,  2.7,⑦⑥④
 2, 4,Ａキミニアエタキセキ, 59,福永祐, 0.0, 67,* 11,  -6, 1,  2.0, ①①, 2, 6,Ｄビップピュアレディ, 61,幸英明, 0.4, 70,   0,* 11, 4,  8.4,④④②, 2, 1,Ｂデュｰクワンダｰ, 75,福永祐, 0.1, 71,  10,   1, 1,  3.0, ②④, 2, 1,Ｉサンライズモｰル, 77,浜中俊, 0.0, 82,* 14,   3, 4,  8.9,①①①
 3,10,Ｄエｰシンチャｰジ, 53,和田竜, 0.3, 58,   4,* -3, 3,  5.2, ⑥⑤, 3, 2,Ａサダムセシボン, 69,福永祐, 1.0, 65,  -2,   9, 2,  3.7,⑦⑦⑥, 3,11,Ｌタマモトワイライト, 60,松田大, 0.4, 69,  10,  -1,13,182.4, ④③, 3, 6,Ｄバンドゥロンシャン, 81,北村友, 0.2, 83,  12,*  7, 6, 19.2,⑨⑧⑦
 4, 1,Ｉサカジロゴｰルド, 39,野元昭, 0.4, 58,   6,  -7, 7, 26.1, ④④, 4, 5,Ｂビジュアルショック, 64,川田将, 1.0, 65,*  1,   3, 1,  2.4,①①①, 4,10,Ｆタマモコントラバス, 70,松山弘, 0.5, 61,  -3,*  6, 5,  8.5, ⑬⑫, 4,14,Ｂアイアムルビｰ, 83,幸英明, 0.6, 78,  13,   1, 2,  4.3,⑪⑦⑥
 5, 9,Ｂナムラエバｰグリン, 58,太宰啓, 0.7, 55,   8, -12, 4, 12.8, ③③, 5, 3,Ｃゼットフジ, 61,藤岡康, 1.3, 66,  -2,   7, 9, 61.1,⑭⑧⑦, 5, 7,Ａゴｰオンホｰマン, 78,飯田祐, 0.7, 61,   2,   0, 2,  3.9, ⑨⑩, 5, 7,Ｍダノンエリモトップ, 75,小牧太, 0.9, 73,* 14,  -5, 7, 20.7,②②②
 6, 7,Ｆカシノウィンド, 42,藤岡康, 1.1, 47,   1, -11, 9, 92.7, ⑩⑥, 6, 4,Ｆコイスキャｰレ, 59,浜中俊, 1.3, 63,  -3,   8, 5,  8.8,⑫⑪⑧, 6,12,Ｈメイショウタカチホ, 67,高橋亮, 0.8, 63,   7,  -3,11, 66.7, ⑥⑥, 6,11,Ｇナックルパｰト, 78,赤木高, 0.9, 76,   8,*  6,13, 57.7,⑮⑮⑫
 7,11,Ｈフレンドハｰバｰ, 40,松山弘, 1.2, 46,   4, -15, 8, 55.4, ⑦⑦, 7,12,Ｅナムラウォｰリアｰ, 59,渡辺薫, 1.4, 63,*  2,   1, 6, 15.8,③③③, 7,14,Ｃエｰシンオフクロ, 73,藤岡康, 1.0, 65,* 13,  -9, 4,  6.4, ①①, 7, 4,Ｎエｰシンクラウニン, 72,酒井学, 1.1, 76,  10,   1,14,112.3,⑫⑫⑩
 8, 3,Ｇブｰケパルフェ, 41,北村友, 1.5, 43,   4, -19, 5, 17.7, ⑤⑧, 8, 9,Ｉアズマクロシオ, 54,高倉稜, 2.6, 54,  -4,  -1,12,125.6,⑪⑫⑪, 8,13,Ｉメイショウアｰチャ, 64,北村友, 1.0, 57,  -1,  -1, 9, 46.8, ⑫⑬, 8,13,Ｋミコノス, 76,高倉稜, 1.2, 75,   9,   2,12, 47.2,⑬⑭⑬
 9, 6,Ｅアサヒチェリｰ, 49,高倉稜, 2.3, 31,   1, -27, 6, 17.9, ⑨⑨, 9,11,Ｈワンダｰマイルズ, 58,太宰啓, 3.3, 48,  -2, -10,10, 79.4,⑩⑨⑩, 9, 8,Ｇシゲルコイヒメ, 68,高倉稜, 1.0, 59,   4,  -3, 7, 22.7, ⑧⑨, 9, 9,Ｅシャｰペンエッジ, 81,福永祐, 1.4, 72,  12,  -4, 9, 33.6,⑩⑨⑧
10, 5,Ｊマウシャｰレ, 32,熊沢重, 2.3, 33,   1, -27,10,102.9, ⑧⑩,10,10,Ｏグランデリファｰル, 44,小牧太, 3.4, 48,  -4,  -6,14,138.1,⑬⑭⑬,10, 2,Ｋグロｰリｰブリッジ, 62,石橋守, 1.1, 56,  -7,*  3,12,134.3, ⑭⑭,10, 8,Ｆメガロスバンダム, 79,佐藤哲, 1.8, 70,* 13, -11, 5, 17.8,⑥③⑤
11, 2,Ｋカシノエイカン, 12,大下智, 3.6,  4, -12, -31,11,236.0, ⑪⑪,11, 8,Ｊテイエムジパング, 51,石橋守, 3.4, 50,*  1, -17,13,129.5,②②⑤,11, 3,Ｅエイシンフルハｰト, 71,酒井学, 1.1, 57,  -1,  -2, 8, 39.2, ⑪⑧,11,12,Ｏナイジェラ, 68,国分恭, 1.9, 69,* 14, -12,10, 37.4,③④⑨
,,,,,,,,,,,,12,15,Ｇヘッドザポｰル, 59,鷹野宏, 3.9, 44,  -3, -14, 7, 26.2,⑨⑩⑫,12, 4,Ｊロｰズバレｰ, 63,浜中俊, 1.9, 51,   5, -12,10, 64.2, ⑦⑦,12,10,Ｊビヨンドマックス, 77,川田将, 1.9, 69,  12, -10, 8, 26.1,④⑤③
,,,,,,,,,,,,13,16,Ｎアｰユルヴェｰダ, 45,和田竜, 4.6, 42,  -1, -23, 8, 43.0,⑥⑥⑨,13, 9,Ｍカシノストライカｰ, 59,熊沢重, 2.1, 48,   1, -11,14,198.7, ⑩⑪,13, 5,Ｃジェンティリティｰ, 83,藤岡康, 2.0, 70,  11,  -7,11, 44.1,⑤⑩⑭
,,,,,,,,,,,,14, 7,Ｌユウキング, 46,佐藤哲, 5.0, 42, -13,  -5,16,306.9,⑮⑮⑮,14, 6,Ｎフェブムｰビング, 52,渡辺薫, 2.2, 52,* 11, -19, 6, 19.1, ③②,14, 3,Ｌエスジｰセブンティ, 75,和田竜, 2.3, 68,  10,  -9,15,149.5,⑧⑬⑮
,,,,,,,,,,,,15, 1, ドリｰムカクテル,---,松山弘, 8.2, 22, -24, -13,11,123.8,⑯⑯⑯,,,,,,,,,,,,,15,15,Ｈシｰポラリス, 78,太宰啓, 2.7, 63,  11, -13, 3,  4.6,⑭⑪⑪
,,,,,,,,,,,,16,14,Ｍジョイスティック, 46,小林慎, 8.3, 19,  -4, -49,15,167.5,⑤⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,
単勝:360円 複勝:08=120円 04=110円 10=120円 枠連:260円,,,,,,,,,,,,単勝:740円 複勝:13=260円 06=200円 02=150円 枠連:670円,,,,,,,,,,,,"単勝:510円 複勝:05=170円 01=150円 11=2,470円 枠連:500円",,,,,,,,,,,,"単勝:270円 複勝:02=140円 01=330円 06=490円 枠連:1,380円",,,,,,,,,,,
馬連:310円 ワイド:04-08=150円 08-10=250円 04-10=220円,,,,,,,,,,,,"馬連:2,090円 ワイド:06-13=950円 02-13=700円 02-06=400円",,,,,,,,,,,,"馬連:670円 ワイド:01-05=270円 05-11=6,770円 01-11=3,800円",,,,,,,,,,,,"馬連:1,510円 ワイド:01-02=590円 02-06=780円 01-06=3,100円",,,,,,,,,,,
"馬単:940円 3連複:380円 3連単:2,640円",,,,,,,,,,,,"馬単:4,790円 3連複:3,560円 3連単:23,710円",,,,,,,,,,,,"馬単:1,600円 3連複:16,290円 3連単:79,180円",,,,,,,,,,,,"馬単:2,530円 3連複:8,130円 3連単:31,010円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(九) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ひまわり賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8, スｰパｰヴァイザｰ,,林満明,,,,, 2,  4.3,①①①, 1, 6,Ｃセルリアンレッド, 64,渡辺薫,, 69,   9,  -3, 6, 11.2, ④④, 1, 9,Ａテイエムキュｰバ, 60,田嶋翔,, 58,* -7,* -4, 1,  1.1, ①①, 1,13,Ｃアディアフォｰン, 73,高倉稜,, 72,   0,* 11, 1,  3.7, ⑩⑩
 2, 5, ヒカリアライブ,,高野容,195.3,,,, 3,  4.4,③②②, 2, 8,Ｆタマモピアス, 60,藤岡康, 0.2, 64,   5,  -2, 7, 12.2, ⑧⑧, 2, 2,Ｂパティオ, 44,鈴来直, 0.8, 48, -19,* -3, 2, 10.9, ⑦⑥, 2,15,Ｂタイセイフレイヤ, 74,和田竜, 0.0, 72,   5,   6, 3,  4.7, ④⑤
 3, 7, セフティファンキｰ,,南井大,195.7,,,, 1,  2.0,④④④, 3,18,Ｂクニサキロンチｰ, 67,酒井学, 0.2, 67,* 11,  -7, 4, 10.2, ⑤③, 3, 3,Ｃテイエムオイチ, 43,佐久間, 1.2, 43, -13, -13, 6, 54.8, ③③, 3, 8,Ａサクラティアモ, 76,藤岡康, 0.2, 70,*  9,  -1, 2,  4.3, ②②
 4, 1, ホッコｰブロッサム,,今村康,196.0,,,, 5, 16.6,②③③, 4, 4,Ｈジュエリｰフラン, 56,福永祐, 0.3, 64,   7,  -5, 3,  6.0, ⑥⑥, 4, 6,Ｄコウエイライト, 41,幸英明, 1.4, 40, -15, -15, 3, 17.1, ⑥④, 4,14,Ｍリビングプルｰフ, 55,松山弘, 0.4, 67,*  7,  -1,10, 49.8, ③③
 5, 4, ヤマカツセイレｰン,,佐久間,196.6,,,, 7, 40.5,⑤⑤⑤, 5, 9,Ｅヒデノキセキ, 61,松田大, 0.3, 60,  -3,*  4, 5, 10.3, ⑭⑭, 5,15,Ｎカシノラム, 24,上野翔, 1.5, 38, -14, -18,16,412.6, ④⑤, 5,12,Ｅフェブスカイ, 67,幸英明, 0.4, 68,   3,   3, 4,  5.7, ⑦⑦
 6, 6, コンゴウ,,出津孝,199.4,,,, 8, 66.9,⑥⑥⑥, 6, 5,Ｊサチノフェイス, 45,田中健, 0.4, 65,* 13, -13, 9, 37.1, ①①, 6, 5,Ｇテイエムタマゲタ, 38,赤木高, 1.5, 37, -19, -13, 7, 57.0, ⑧⑧, 6, 3,Ｆロｰザペルラ, 67,佐藤哲, 0.5, 65,*  9,  -5, 6,  9.6, ①①
 7, 3, イナズマアマリリス,,金折知,202.0,,,, 4,  7.7,⑦⑦⑦, 7, 2,Ａアグネスクルｰガ, 68,浜中俊, 0.5, 60,   4,  -4, 2,  5.0, ⑪⑦, 7,16,Ｅクリノマキバオｰ, 41,藤岡康, 1.6, 37,*-11, -22, 4, 27.0, ②②, 7, 5,Ｇジョニｰバロｰズ, 62,福永祐, 0.5, 67,  -4,*  9, 5,  9.1, ⑪⑪
,,,,,,,,,,,, 8,13,Ｎヤマニンブｰスタｰ, 38,幸英明, 0.5, 64,* 12, -12,12, 65.5, ②②, 8, 4,Ｈホワイトシャｰク, 37,高橋亮, 1.6, 38, -16, -16,11,213.2, ⑤⑦, 8,16,Ｊサイキョウアサカゼ, 61,北村友, 0.6, 66,  -4,   8, 8, 31.0, ⑫⑫
,,,,,,,,,,,, 9, 3, スｰサンヒｰロｰ,---,和田竜, 0.7, 55,   1,  -5, 8, 29.1, ⑫⑩, 9, 1,Ｉテイエムオジャンセ, 36,高井彰, 1.8, 35, -24, -11,10,159.7, ⑪⑩, 9,11,Ｄイサミチェリｰ, 68,国分恭, 0.6, 65,  -8,* 11, 7, 22.1, ⑭⑬
,,,,,,,,,,,,10, 7,Ｄライブリフライト, 63,佐藤哲, 0.7, 55,   1,  -5, 1,  2.7, ⑬⑫,10, 7,Ｆマサシ, 41,鷹野宏, 1.9, 34, -33,* -5, 5, 27.9, ⑮⑭,10, 9,Ｈエｰティｰドン, 62,渡辺薫, 0.9, 61,   1,  -2,12,171.0, ⑧⑨
,,,,,,,,,,,,11,12,Ｇサンレイキャロル, 58,難波剛, 0.9, 54,   5, -11,11, 56.9, ⑨⑬,11,12,Ｊカシノモンブラン, 33,加藤士, 2.3, 28, -27, -15,15,350.1, ⑫⑫,11, 2,Ｉオｰミレイライン, 62,川島信, 1.1, 58, -10,   6,11, 92.0, ⑮⑭
,,,,,,,,,,,,12,15,Ｍメジロニコｰル, 40,石橋守, 1.1, 50,  -3,  -6,16,282.0, ⑮⑮,12,10, ストレｰト,---,国分恭, 2.8, 21, -27, -22, 8, 92.7, ⑬⑬,12, 6,Ｎヨシノアツヒメ, 53,野元昭, 1.1, 58,   4,  -7,13,173.1, ⑤④
,,,,,,,,,,,,13,17,Ｋメイクソリッド, 45,川田将, 1.3, 52,   8, -19,13, 79.7, ⑦⑪,13,11,Ｍテイエムヤチャボｰ, 29,太宰啓, 2.8, 21, -19, -29,13,279.5, ⑨⑨,13, 7,Ｏカシノブシドｰ, 51,加藤士, 1.2, 57,   4,  -9,16,452.1, ⑥⑥
,,,,,,,,,,,,14,16, ウルビｰノ,---,小牧太, 1.5, 48, -20,*  6,14,202.6, ⑰⑯,14, 8,Ｋナンゴクノゴルゴ, 33,小牧太, 2.9, 20, -30, -20, 9,156.6, ⑭⑮,14, 1,Ｌカンファｰピュア, 56,太宰啓, 1.3, 56, -12,   6,14,345.6, ⑯⑮
,,,,,,,,,,,,15,14,Ｐセトノレンブランサ, 33,高倉稜, 1.6, 45,   5, -21,17,315.8, ⑩⑨,15,13,Ｌカシノババロア, 30,大下智, 2.9, 20, -22, -28,14,317.3, ⑩⑪,15, 4,Ｐカシノレオン, 42,高野容, 1.4, 55,   0,  -7,15,422.1, ⑨⑧
,,,,,,,,,,,,16, 1,Ｉクｰルパｰソン, 47,松山弘, 2.2, 41,* 11, -33,10, 39.2, ③⑤,16,14, レコｰドプレイヤｰ,---,小林久, 6.9,-33, -47, -55,12,246.1, ⑯⑯,16,10,Ｋケンブリッジシｰザ, 58,浜中俊, 2.1, 44,  -8,  -9, 9, 40.6, ⑬⑯
,,,,,,,,,,,,17,11,Ｏナリタキョウジン, 36,上野翔, 2.2, 38,  -8, -15,18,541.1, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,10,Ｌライクロフト, 41,太宰啓, 6.2,-44, -38, -39,15,242.6, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
