10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月18日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,釜山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3,14,Ｇマリンバラッド, 52,川島信, 1.1, 54,   4,  -9, 6, 10.4, ⑤⑤, 3,10,Ｃスナｰクリボン, 59,和田竜, 1.4, 52,   3, -20, 3,  8.0,⑦⑥⑥, 3, 4,Ｆメイショウサミット, 59,難波剛, 0.4, 59,   7,  -7, 7, 59.8,③④④, 3, 2,Ｉテツキセキ, 66,川田将, 0.0, 77,  -3,* 13, 8, 32.6,⑧⑧⑦
 4,12,Ｊポｰトクラシック, 48,和田竜, 1.1, 51,  -7,* -2, 9, 29.3, ⑪⑧, 4,15,Ｎアグネスソレイユ, 39,国分恭, 1.4, 52,   1, -17,10, 91.4,⑪⑧⑧, 4, 3,Ｃマイサイドキック, 66,和田竜, 0.4, 60,*  8, -10, 4, 13.6,②②②, 4, 5,Ｂレジェンドブルｰ, 77,国分恭, 0.0, 75,  -4,* 12, 2,  3.3,⑨⑨⑧
 5, 1,Ａウインガルｰダ, 70,松田大, 1.2, 57,   6, -11, 4,  6.1, ④④, 5,13,Ｂサクラインスパイア, 60,北村友, 1.4, 52,*  6, -24, 4, 10.3,②②③, 5, 8,Ｈラガｰゴｰルデン, 57,上野翔, 0.5, 61,   8,  -9, 6, 38.9,⑤③③, 5, 1,Ｄラッキｰポケット, 74,北村友, 0.0, 73,  -2,   9, 4,  6.5,③④⑤
 6, 5,Ｆルｰニｰ, 55,渡辺薫, 1.3, 52,   1,  -9, 5,  9.4, ⑦⑦, 6, 1,Ｆオグリピッコロ, 53,鷹野宏, 1.5, 54,  -5,* -2,13,176.3,⑬⑭⑮, 6, 9,Ｄファイアレッド, 65,幸英明, 0.8, 57,   3,  -5, 3,  8.3,⑨⑧⑦, 6, 8,Ａトップサンダｰ, 78,和田竜, 0.1, 72,  -2,   7, 1,  3.1,④③③
 7, 9,Ｎビコｰマティｰニ, 44,佐久間, 1.5, 48,  -6,  -4,13,287.8, ⑩⑨, 7, 3,Ｉトクノフラップ, 49,野元昭, 1.6, 49,  -2, -14,16,231.4,⑭⑬⑨, 7, 1,Ｅスペック, 62,鈴来直, 0.9, 55,   4, -10, 5, 27.7,⑧⑦⑧, 7, 4,Ｅアキノカウンタｰ, 74,鮫島良, 0.4, 70,  -3,   7, 7, 28.9,⑤⑦⑨
 8, 8,Ｋアンピトリｰテ, 46,川須栄, 1.6, 51,   7, -15,11, 96.9, ③③, 8,16,Ｌドルチェオッティモ, 40,幸英明, 1.7, 50,  -7,* -4, 9, 84.6,⑯⑯⑬, 8, 2,Ｇウィズインライアン, 58,国分恭, 0.9, 56,*  9, -17, 8, 63.8,①①①, 8, 3,Ｆマイネルクロイツ, 73,佐藤哲, 0.6, 62,* -1,  -3, 6, 14.5,①①①
 9, 6,Ｍグッドティアラ, 45,幸英明, 1.9, 42, -11,  -6,10, 93.8, ⑬⑫, 9, 7,Ｈマヤノラプソディｰ, 51,高倉稜, 1.9, 45,*  5, -32, 8, 68.3,①①②, 9, 6,Ｉメイショウサｰバル, 47,高橋亮, 1.3, 52,   3, -11, 9,133.8,⑦⑨⑨, 9, 9,Ｃサンライズトラスト, 76,藤岡康, 0.9, 61,* -1,  -6, 3,  5.5,②②②
10,10,Ｉキンショｰガッツ, 52,鮫島良, 1.9, 44,  -3, -12, 7, 24.7, ⑧⑩,10, 4,Ｊラブハミング, 48,熊沢重, 2.0, 46,   1, -26,15,209.4,⑧⑦⑩,,,,,,,,,,,,,,,,,,,,,,,,
11,13,Ｅトップココチャン, 56,高倉稜, 1.9, 42, -14,  -4,12,100.6, ⑭⑬,11, 9,Ｋニシノラヴノット, 47,酒井学, 2.2, 44,   0, -25,11, 94.0,⑨⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
12, 2,Ｄダノンブリリアント, 58,岩田康, 2.1, 43,   0, -15, 3,  4.7, ⑥⑥,12,14,Ｇバリスタ, 53,太宰啓, 2.3, 42,*  4, -34, 7, 21.2,⑤④⑤,,,,,,,,,,,,,,,,,,,,,,,,
