10年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 6,10,Ｌマイネルヴィゴｰレ, 42,川島信, 0.8, 53,  -7,  -1,13,175.5,④④④, 6, 8, セイウンザイホウ,---,幸英明, 0.6, 61,  -9,   9, 1,  3.9,⑥⑥⑤, 6, 1,Ｏマイネフェリックス, 55,川島信, 0.7, 67,   8,  -6,13,294.4,③④④, 6,16,Ｈストｰリｰテリング, 78,川島信, 0.9, 78,  13,   2,11, 79.4, ⑥⑥
 7, 8,Ａディｰプタッチ, 59,藤田伸, 0.9, 57, -12,*  8, 4, 10.0,⑭⑬⑫, 7, 4, スマｰトリブレ,---,国分恭, 0.9, 62, -12,* 11, 6, 15.3,⑨⑨⑧, 7,13,Ｋワルトユニヴァｰス, 67,和田竜, 0.8, 69,   6,  -3, 7, 15.7,⑬⑪⑩, 7, 4,Ｅフィｰルドジュエル, 81,村田一, 1.0, 75,   2,* 14,14,126.5, ⑯⑯
 8, 2,Ｈサウンドジャｰニｰ, 49,小牧太, 0.9, 53, -10,   4,14,211.8,⑧⑧⑧, 8, 2, ロｰレルアドニス,---,熊沢重, 1.5, 56, -10,   2, 8, 16.8,⑦⑦⑥, 8,10,Ｉナムラカイシュウ, 70,吉田稔, 1.0, 64,*  9,  -9, 3,  6.3,⑤③③, 8,12,Ｃブラッシュアップ, 82,藤岡佑, 1.0, 77,   8,   7, 3,  6.7, ⑬⑪
 9, 3,Ｄマイネルマルゴｰ, 57,安部幸, 1.9, 49, -10,  -4, 8, 39.2,⑨⑨⑨, 9,10, ベストリガｰズ,---,安部幸, 1.7, 54, -12,   3, 9, 21.5,⑩⑩⑩, 9, 5,Ｇヴァルナ, 71,熊沢重, 1.2, 68,   5,  -2, 9, 39.9,⑮⑮⑭, 9, 1,Ｌサルバドｰルアスカ, 77,吉田稔, 1.2, 75,   7,   7, 4, 11.7, ⑨⑫
10, 7,Ｊカリスマミッキｰ, 47,野元昭, 1.9, 48, -11,  -2,12,174.0,⑫⑩⑪,10, 9, ミッキｰクリスタル,---,小牧太, 1.9, 52, -13,   6,11, 50.3,⑪⑪⑪,10, 2,Ｐデンコウゼファｰ, 52,小林徹, 1.3, 68,   7,  -5,15,359.0,⑪⑫⑪,10, 3,Ｇダノンアスカ, 80,古川吉, 1.4, 73,   5,   7, 8, 33.7, ⑮⑭
11, 6,Ｋメイショウヨサク, 46,川田将, 2.8, 42, -11, -10, 6, 15.6,⑩⑪⑬,11,11, ハスラｰ,---,和田竜, 3.1, 47, -16,   0,10, 27.1,⑫⑫⑫,11, 4,Ｎマスベルマン, 58,横山義, 1.3, 64,   7,  -8,16,484.9,⑧⑦⑧,11, 9,Ｊトウショウクエスト, 78,的場勇, 1.5, 75,* 13,  -4, 5, 13.1, ④③
12,11,Ｃサンマルデピュティ, 57,岩崎祐, 2.8, 42, -12,  -8, 5, 15.6,⑮⑮⑮,12, 7, ニシノファブレッド,---,藤田伸, 5.3, 28,  -9, -31, 5, 11.4,③⑤⑨,12, 3,Ｆトップゾｰン, 73,藤岡佑, 1.6, 63,   4,  -5, 5, 11.8,⑭⑭⑮,12, 5,Ｋミゼリコルデ, 78,北村友, 1.9, 70,  12,  -5,10, 48.9, ⑦⑧
13, 5,Ｎハッピｰティア, 41,藤岡佑, 3.3, 37,  -7, -21, 9, 58.1,⑥⑤⑥,13,13, タツベロｰチェ,---,北村友, 5.5, 29, -16, -20,12,140.1,⑬⑬⑬,13,11,Ｊエイシンワｰルド, 69,古川吉, 1.6, 63,   6,  -7,12,239.7,⑫⑬⑫,13, 8,Ｍブラックシャドウ, 75,熊沢重, 2.1, 70,  11,  -7, 7, 27.7, ⑧⑦
14, 9,Ｏアンナオブラプタｰ, 40,的場勇, 3.5, 39, -10, -18,15,649.5,⑦⑦⑩,,,,,,,,,,,,,14,12,Ｍウォｰタｰリメイン, 63,佐久間, 1.7, 63,   4,  -5,14,345.1,⑯⑯⑯,14,13,Ｉグランプリヒｰロｰ, 78,高田潤, 2.2, 69,* 15, -12,15,137.1, ①①
15,12,Ｍクｰドテアトル, 41,国分優, 3.7, 36, -12, -15,11,133.6,⑪⑭⑭,,,,,,,,,,,,,15, 9,Ｈハエヌキ, 70,的場勇, 2.0, 61,   6, -13,11,227.0,⑨⑩⑬,15,10,Ｏワキノパワｰ, 69,国分恭, 2.6, 66,   8,  -5,13,109.6, ⑪⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｌユメミルテｰラｰ, 65,国分恭, 2.2, 59,*  9, -20,10, 44.8,②②②,16,15,Ｐジョウショｰアロｰ, 64,岩崎祐, 2.7, 64,* 13, -14,16,281.2, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,
単勝:170円 複勝:14=110円 01=200円 15=190円 枠連:500円,,,,,,,,,,,,単勝:520円 複勝:05=160円 01=170円 03=180円 枠連:810円,,,,,,,,,,,,単勝:240円 複勝:15=130円 06=190円 16=290円 枠連:490円,,,,,,,,,,,,単勝:240円 複勝:14=140円 07=150円 02=900円 枠連:430円,,,,,,,,,,,
馬連:770円 ワイド:01-14=340円 14-15=250円 01-15=610円,,,,,,,,,,,,"馬連:1,050円 ワイド:01-05=400円 03-05=530円 01-03=510円",,,,,,,,,,,,"馬連:660円 ワイド:06-15=310円 15-16=440円 06-16=1,100円",,,,,,,,,,,,"馬連:490円 ワイド:07-14=230円 02-14=3,000円 02-07=3,070円",,,,,,,,,,,
"馬単:1,160円 3連複:1,370円 3連単:5,490円",,,,,,,,,,,,"馬単:1,990円 3連複:1,630円 3連単:7,870円",,,,,,,,,,,,"馬単:1,060円 3連複:2,130円 3連単:6,830円",,,,,,,,,,,,"馬単:840円 3連複:10,000円 3連単:29,470円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,2010ﾌｧｲﾅﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｎカピオラニパレス, 41,藤岡佑,, 62,  -4,  13, 9, 34.9,④⑤⑤, 1, 6, シャドウエミネンス,---,藤田伸,, 65,*-22,  17, 2,  3.0,②②②, 1,10,Ｄアンシャンレジｰム, 80,川須栄,, 79,* 11,   8, 9, 16.7, ②②, 1,10,Ｃシルポｰト, 90,小牧太,, 94,* 13,  13, 2,  4.8, ①①
 2, 8,Ｂアドマイヤサイモン, 61,川田将, 0.0, 65,  -5,* 17, 2,  2.7,⑤⑦⑥, 2,12, ダノンミル,---,川田将, 0.3, 62,*-24,  16, 1,  1.9,⑥④④, 2,13,Ａトｰセンピングス, 83,吉田稔, 0.1, 78,   9,  11, 3,  6.1, ⑤⑤, 2, 8,Ｂダンツホウテイ, 90,北村友, 0.1, 95,   9,* 21, 4, 12.4, ⑥⑦
 3, 9,Ｉイイデジャパン, 51,和田竜, 0.2, 62,  -5,* 14, 7, 24.8,③⑥⑦, 3, 3, タイタン,---,国分恭, 0.3, 59,*-22,  11, 3,  7.3,①①①, 3,16,Ｃファンドリカップ, 80,幸英明, 0.2, 78,   5,* 14, 2,  5.1, ⑩⑨, 3, 1,Ｅキングストリｰト, 86,吉田稔, 0.5, 91,   5,* 22, 6, 15.6, ⑪⑫
 4,11,Ｅミッキｰオｰラ, 55,北村友, 0.2, 58,* -2,   7, 3,  8.1,②②②, 4, 9, テイエムモｰション,---,小牧太, 0.4, 62, -25,* 18, 4, 16.1,⑧⑦⑤, 4, 1,Ｂメイショウデイム, 81,藤岡佑, 0.3, 78,   5,  13, 6, 11.1, ⑨⑩, 4, 6,Ｆエｰティｰボス, 85,村田一, 0.6, 88,   9,  12,14,348.6, ④⑤
 5,14,Ｆレオパルドゥス, 54,安部幸, 0.5, 56,* -2,   4, 5, 17.9,⑨④③, 5, 8, ゴｰルドジュエリｰ,---,北村友, 0.5, 63, -28,* 21, 5, 16.9,⑬⑩⑧, 5, 8,Ｌオｰスミレジスタ, 74,和田竜, 0.4, 76,* 12,   3, 8, 16.3, ①①, 5, 7,Ｄムラマサノヨｰトｰ, 87,的場勇, 0.7, 87,   6,  15, 5, 14.4, ⑨⑨
 6, 6,Ｄギュスタｰヴクライ, 55,村田一, 0.7, 58,  -8,* 16, 4, 15.7,⑮⑯⑭, 6, 2, ジョウノライアン,---,吉田稔, 0.8, 56, -25,  13, 6, 31.0,⑦⑥⑥, 6,11,Ｈアイソトｰプ, 77,北村友, 0.5, 75,   6,  10, 5,  8.1, ⑥⑥, 6, 5,Ｈステラリｰド, 83,国分恭, 0.7, 88,   8,  13,12,143.2, ⑦⑧
 7,13,Ｇマイネルフィロス, 53,国分恭, 0.7, 56,  -6,  10,12,135.7,⑫⑩⑨, 7, 1, コルｰジャ,---,川島信, 0.9, 57, -26,  13,10, 79.7,⑤⑧⑨, 7, 2,Ｆドクタｰラオウ, 79,村田一, 0.7, 73,  10,   4, 1,  5.0, ③④, 7, 2,Ｎオｰシャンエイプス, 77,川田将, 0.7, 91,   4,* 21, 7, 17.4, ⑫⑬
 8,16,Ｐヘッドマスタｰ, 26,的場勇, 0.9, 53,  -6,   8,13,142.8,⑭⑪⑫, 8, 7, エｰシンギャラクシ,---,幸英明, 1.0, 56, -26,  13, 9, 57.7,⑨⑨⑦, 8, 6,Ｇシャドウストライプ, 78,小牧太, 0.8, 73,  -2,* 18,10, 17.5, ⑯⑭, 8, 4,Ａリルダヴァル, 97,藤岡佑, 0.8, 88,   5,  16, 1,  1.7, ⑬⑪
 9,12,Ｃレベルスピリット, 59,長谷川, 0.9, 51,*  1,  -7, 6, 20.6,⑩①①, 9,11, アクアブルｰコナｰ,---,長谷川, 1.0, 54,*-23,   8, 7, 31.3,③⑤③, 9,12,Ｎトウカイインパクト, 69,石橋守, 0.8, 75,   1,* 15,16,297.3, ⑬⑫, 9,11,Ｌシャイン, 79,幸英明, 0.9, 84,* 13,   2,11,109.2, ②②
10, 7,Ｈオンエア, 52,幸英明, 1.3, 51,  -6,   3,10, 54.4,⑯⑬⑩,10,10, グッドワン,---,川須栄, 1.4, 51, -28,  10,12,183.3,⑩⑪⑪,10, 7,Ｅスイリンカ, 79,国分恭, 1.0, 73,   8,   5, 4,  6.6, ⑦⑦,10,14,Ｍマイネルスケルツィ, 78,和田竜, 1.2, 82,  10,   2, 9, 44.4, ⑤④
11,10,Ａショウナンマハ, 67,小牧太, 1.3, 50,  -5,   0, 1,  2.4,⑦⑧⑧,11, 4, レオノｰレ,---,村田一, 1.6, 50, -28,   9,13,282.1,⑫⑫⑫,11, 5,Ｉピノブラン, 76,野元昭, 1.1, 71,   6,   5,13, 63.9, ⑧⑧,11,12,Ｊドモナラズ, 82,安部幸, 1.4, 78,  10,  -3,10, 49.7, ③③
12, 1,Ｌストロングシリウス, 43,川島信, 1.3, 54,  -9,  10,16,283.6,⑥⑭⑮,12,13, エゾフジ,---,安部幸, 3.6, 19, -25, -28,11, 93.6,④③⑩,12, 9,Ｍメイショウテキｰラ, 73,川田将, 1.2, 71,   3,   7, 7, 14.2, ⑪⑪,12,13,Ｉファリダット, 82,藤田伸, 1.5, 79,   9,  -1, 3,  9.4, ⑩⑥
13, 4,Ｋユキノミラクル, 51,国分優, 1.4, 49,  -8,   3,11, 74.9,⑬⑫⑬,13, 5, テイエムトマホｰク,---,和田竜, 4.7, 12, -29, -32, 8, 40.5,⑪⑬⑬,13,14,Ｋテンザンモビｰル, 74,的場勇, 1.2, 72,   1,  11,15,176.3, ⑫⑬,13, 9,Ｇヤマニンエマイユ, 83,国分優, 4.6, 43,   6, -42,13,236.3, ⑧⑩
14, 5,Ｊタイソンバロｰズ, 51,古川吉, 2.1, 43,  -7,  -7,15,206.0,⑧⑨⑪,,,,,,,,,,,,,14, 4,Ｊナショナルヒｰロｰ, 75,古川吉, 1.4, 69,   0,  11,11, 30.4, ⑭⑮,,,,,,,,,,,,
15, 3,Ｏキンショｰノドン, 31,川須栄, 2.2, 42,  -9,  -4,14,196.0,⑪⑮⑯,,,,,,,,,,,,,15, 3,Ｏシゲルタダカツ, 69,国分優, 1.7, 65,  10,  -5,12, 46.7, ④③,,,,,,,,,,,,
16, 2,Ｍクインテッサ, 42,吉田稔, 3.8, 24,  -4, -41, 8, 27.7,①③④,,,,,,,,,,,,,16,15,Ｐスマｰトギャング, 38,安部幸, 3.8, 51,  -2,  -7,14,116.7, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
