10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 8月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3, 8,Ｆシェルバレッタ, 63,川須栄, 1.3, 63,  -4,*  6,11, 58.3,⑫⑩⑧, 3,11,Ａマザｰウェル, 71,藤岡康, 0.2, 69,*  5,  -4, 4,  5.2,②②②, 3,13,Ｄマイディスカバリｰ, 71,渡辺薫, 0.2, 73,* 13,   0, 8, 17.2, ②②, 3,12,Ｄカネトシディオス, 70,藤岡康, 0.6, 75,  -6,* 14, 4,  8.0,⑧⑨⑦
 4, 7,Ｂツルマルヤマト, 68,和田竜, 1.6, 61,   2,  -6, 3,  4.6,④④⑤, 4,14,Ｆマルカシャルダン, 57,小牧太, 0.3, 69,   1,*  2, 3,  4.9,⑥⑦④, 4, 5,Ｅマヤフィオｰレ, 71,和田竜, 0.5, 70,   7,   1, 6, 13.3, ③③, 4, 3,Ｃミッキｰリヒト, 74,ホワイ, 0.8, 70,  -3,   6, 5, 12.4,⑤⑤④
 5,10,Ｄサｰノ, 64,浜中俊, 2.1, 57,*  3, -11, 5, 14.0,⑨③⑥, 5,12,Ｅトゥルｰゴｰルド, 57,高倉稜, 0.9, 62,  -2,  -1, 6, 12.1,⑪⑩⑥, 5, 3,Ｌウォｰタｰサムデイ, 58,川田将, 0.7, 66,  -3,   6, 9, 30.0, ⑥⑥, 5, 2,Ｂマイネアロマ, 76,幸英明, 0.9, 68,  -3,   4, 2,  4.0,③③②
 6,11,Ｃエｰシンポルックス, 66,小牧太, 2.3, 53,*  4, -16, 1,  2.6,②②②, 6, 8,Ｂブルｰムウインド, 67,浜中俊, 1.3, 58,*  6, -20, 2,  4.4,①①①, 6,12,Ｃメイショウタカチホ, 73,高倉稜, 0.8, 64,  -1,   4, 3,  5.9, ⑨⑦, 6, 9,Ｍヒシロイヤル, 58,国分恭, 1.1, 65,  -3,   1, 8, 49.8,④④⑤
 7, 4,Ｉイザベルドスメｰン, 58,川田将, 2.3, 55,   1, -11, 4, 10.3,③⑤④, 7,16,Ｌニシノロコペリ, 43,川島信, 1.4, 60,  -7,*  4,12,175.2,⑯⑮⑭, 7,14,Ｇワンモアマイウエイ, 68,北村友, 1.0, 62, -10,*  8, 4,  7.9, ⑫⑬, 7,14,Ｅサンライズトラスト, 69,福永祐, 1.1, 71,  -7,  11, 3,  5.1,⑪⑪⑪
 8, 6,Ｍオミヤゲ, 55,幸英明, 2.6, 54,  -2,  -7,10, 42.3,⑧⑨⑦, 8, 7,Ｈアグネスソレイユ, 51,国分恭, 1.8, 52,   2, -22, 7, 24.7,③③⑦, 8, 2,Ｎグランプリヒトスジ, 49,幸英明, 1.2, 59,  -9,   5, 5, 12.5, ⑪⑫, 8, 6,Ｈサンダｰセブン, 67,高橋智, 1.1, 68,  -4,   6,11, 95.2,⑦⑥⑧
 9, 2,Ｐカピオラニ, 37,松田大, 2.6, 57,  -5,  -1, 8, 24.2,⑬⑭⑬, 9,15,Ｉモリナリ, 48,北村友, 1.8, 54,  -4,  -7,10, 74.8,⑮⑬⑩, 9, 9,Ｆアスタｰクリス, 70,安藤光, 1.3, 58,  -1,   0,14,207.1, ⑧⑨, 9,10,Ｌウィズインライアン, 58,高倉稜, 1.3, 62,* -2,  -5,12,116.9,②②③
10,16,Ｎコウガ, 51,鈴来直, 2.9, 51,  -4,  -6,15,332.0,⑩⑬⑪,10, 9,Ｋアドマイヤカグラ, 47,松山弘, 2.0, 51,  -9,  -2, 8, 43.3,⑬⑯⑯,10, 8,Ｍカシノレッド, 56,加藤士, 1.3, 59,  -3,   0,13,148.0, ⑦⑧,10,11,Ｇハンタｰキリシマ, 68,野元昭, 1.5, 67,  -8,   9, 6, 13.6,⑭⑬⑫
11,15,Ｇレジェンドヒｰロｰ, 63,藤岡康, 3.0, 51,   1, -16, 6, 16.1,⑪⑦⑨,11, 3,Ｊトクノフラップ, 48,野元昭, 2.0, 51,  -5, -11, 9, 72.7,⑭⑫⑪,11, 7,Ｈツインズメモリｰ, 67,浜中俊, 1.4, 59,   3,  -4,11, 96.3, ④⑤,11, 8,Ｆオウハ, 68,北村友, 1.5, 65,  -9,   7,13,167.2,⑬⑩⑩
12, 1,Ｊパックスロマｰナ, 57,熊沢重, 3.0, 53,  -2, -11,12, 95.8,⑤⑧⑩,12, 4,Ｎメイショウナゴン, 36,難波剛, 2.8, 42,  -1, -29,13,176.2,⑩⑧⑧,12, 1,Ｊアベニｰルシチｰ, 61,石橋守, 1.4, 59, -12,   5,12,102.5, ⑬⑪,12, 7,Ｊアイファｰハイカラ, 60,太宰啓, 1.8, 58,  -5,  -5, 9, 77.8,⑥⑦⑨
