10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月 3日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,江戸川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,140円 3連複:810円 3連単:5,920円",,,,,,,,,,,,"馬単:2,010円 3連複:7,860円 3連単:34,490円",,,,,,,,,,,,"馬単:1,050円 3連複:23,590円 3連単:82,590円",,,,,,,,,,,,"馬単:830円 3連複:5,030円 3連単:14,050円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝﾀｰｽﾞｽﾃｰｸｽ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂメルトアウェイ, 47,後藤浩,, 51, -10,* -3, 1,  1.8,①③③, 1, 3, ウエスタンベッラ,---,柴田善,, 64, -10,  10, 6,  9.5,③③③, 1,16,Ｋレジェトウショウ, 61,池添謙,, 74,  -3,* 15,13,252.6, ⑫⑬, 1, 7, ウルトラファンタジ,---,ライ  ,, 91,* 10,  12,10, 29.3, ①①
 2,15,Ｈトｰセンソニア, 43,小野寺, 0.1, 48,* -8,  -9, 5, 27.2,②①①, 2, 8, アルマフロｰラ,---,後藤浩, 0.1, 66, -13,* 17, 1,  3.2,⑦⑥⑤, 2, 2,Ｆトレモロ, 67,平野優, 0.0, 75,   1,* 11, 7, 23.4, ⑨⑨, 4, 2,Ｊダッシャｰゴｰゴｰ, 85,川田将, 0.0, 92,   2,* 20, 6, 14.8, ⑩⑥
 3, 1,Ｄオｰバｰザレインボ, 46,木幡初, 0.4, 47, -12,  -6, 4, 10.2,③⑤⑤, 3, 9, ジンオンザロック,---,田中勝, 0.4, 62, -12,  11, 8, 36.2,⑤⑤⑦, 3,12,Ｄトロンプルイユ, 76,藤田伸, 0.1, 77,  11,   1, 1,  1.6, ④④, 2,14,Ｆキンシャサノキセキ, 87,四位洋, 0.2, 88,   5,  15, 3,  5.6, ⑨⑩
 4, 2,Ｃタｰフェル, 47,松岡正, 0.5, 46, -14,* -5, 2,  4.4,⑧⑧⑧, 4, 1, カフナ,---,安藤勝, 0.5, 58,* -7,  -3, 2,  3.5,①①①, 4, 3,Ａサンマルヘイロｰ, 78,小林淳, 0.1, 75,   8,   3, 4, 19.4, ⑤⑤, 3, 3,Ｅサンカルロ, 88,吉田豊, 0.3, 88,   0,* 19, 7, 15.9, ⑮⑫
 5,10,Ｍマイネルフュｰラｰ, 32,柴田大, 0.5, 46, -12,  -7,12,180.5,⑤⑦⑦, 5, 2, マイネルハイセンス,---,松岡正, 0.7, 56,* -7,  -4, 3,  4.9,②②②, 5, 8,Ｅエストシャイン, 75,幸英明, 0.1, 73,  -2,* 12, 6, 20.7, ⑪⑩, 5, 8,Ａワンカラット, 90,藤岡佑, 0.3, 87,   6,  12, 2,  4.9, ⑦⑧
 6,14,Ａオペラフォンテン, 51,北村宏, 0.6, 47, -18,* -1, 6, 30.7,⑯⑮⑯, 6, 7, ダイワコルツ,---,川田将, 0.7, 57,  -8,  -1, 4,  6.7,④④④, 6,14,Ｂスイｰトライラ, 78,柴田善, 0.1, 75,   7,   5, 3, 11.6, ⑦⑥, 6,15,Ｄジェイケイセラヴィ, 89,江田照, 0.3, 88,*  9,  10, 8, 23.8, ③④
