10年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9, 3,Ｉロッキｰラクｰン, 40,幸英明, 2.1, 44,   0, -16, 9,112.2, ③④, 9, 9, グランドツｰリング,---,国分恭, 3.8, 33, -11, -22, 6, 18.7, ⑥⑥, 9, 1,Ｒハッピｰネｰション, 53,古川吉, 0.5, 73,*  4,  -1,17,217.3, ③③, 9, 7,Ｆニシノプライスレス, 73,浜中俊, 1.5, 68,   8, -15,10, 88.6,⑦⑧⑨
10, 9,Ｅリバｰスタｰリング, 46,藤岡康, 2.2, 44, -10,  -3,12,301.6, ⑫⑫,,,,,,,,,,,,,10, 4,Ｊナミダガキラリ, 68,武豊  , 0.6, 72,  -3,   9,11, 42.8, ⑭⑭,10, 5,Ｊメジロジェニファｰ, 70,四位洋, 4.0, 51,   7, -52, 6, 22.8,⑧⑦⑧
11, 5,Ｇアンピエッツア, 42,酒井学, 2.3, 44, -10,  -4,10,149.6, ⑪⑪,,,,,,,,,,,,,11,16,Ｐピカピカテッタ, 58,野元昭, 0.6, 70,*  5,  -6,16,182.9, ②②,,,,,,,,,,,,
12,10,Ｋシュンサチ, 37,吉田稔, 4.3, 26,   0, -35,11,281.9, ⑤⑥,,,,,,,,,,,,,12, 3,Ｃインプレッシヴデイ, 78,福永祐, 0.8, 70,  -2,   3, 2,  5.7, ⑫⑫,,,,,,,,,,,,
13, 4,Ｍテイエムシェイク, 28,和田竜, 4.7, 25, -18, -16,13,378.1, ⑬⑬,,,,,,,,,,,,,13, 2,Ｇエｰシンフォｰサン, 71,川須栄, 1.0, 68,  -6,   7,13, 87.4, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｉメイショウサミット, 69,難波剛, 1.0, 66,   2,  -6,15,146.5, ⑥⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｆオｰルタｰゲット, 74,酒井学, 1.0, 66,   0,  -2, 7, 22.3, ⑧⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｌタガノパルムドｰル, 65,藤岡康, 1.4, 64,  -9,   6,12, 77.4, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｎマイネホコモモラ, 62,和田竜, 1.5, 61,*  7, -20,18,286.6, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｑシゲルキリガミネ, 57,国分恭, 1.7, 58,   1, -15,14,126.0, ⑦⑦,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,
"単勝:530円 複勝:08=170円 12=110円 11=1,080円 枠連:350円",,,,,,,,,,,,単勝:390円 複勝:10=130円 02=110円 08=160円 枠連:280円,,,,,,,,,,,,"単勝:750円 複勝:14=220円 12=410円 17=130円 枠連:3,380円",,,,,,,,,,,,"単勝:1,900円 複勝:06=340円 02=280円 03=110円 枠連:9,170円",,,,,,,,,,,
"馬連:390円 ワイド:08-12=210円 08-11=2,580円 11-12=1,330円",,,,,,,,,,,,馬連:400円 ワイド:02-10=170円 08-10=480円 02-08=230円,,,,,,,,,,,,"馬連:6,390円 ワイド:12-14=1,360円 14-17=360円 12-17=780円",,,,,,,,,,,,"馬連:8,460円 ワイド:02-06=2,030円 03-06=550円 02-03=540円",,,,,,,,,,,
"馬単:1,000円 3連複:5,090円 3連単:22,810円",,,,,,,,,,,,"馬単:1,100円 3連複:730円 3連単:4,580円",,,,,,,,,,,,"馬単:10,790円 3連複:4,320円 3連単:43,350円",,,,,,,,,,,,"馬単:20,810円 3連複:3,110円 3連単:45,850円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2200m 3歳上ｵｰﾌﾟﾝ(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｴﾘｻﾞﾍﾞｽ女王杯 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｂシャイニｰホｰク, 56,安藤勝,, 66,*  9, -17, 1,  1.3, ③②, 1, 7, プルスウルトラ,---,後藤浩,, 56,*-15,*  2, 2,  3.2,⑤②③, 1,10,Ｍメテオロロジスト, 73,後藤浩,, 85,* 12,* 15, 8, 68.3,①①①, 1, 6, スノｰフェアリｰ,---,ムｰア,, 95,  12,* 17, 4,  8.5,⑥⑦⑦
 2, 5,Ｃモズハリケｰン, 53,和田竜, 0.4, 59,   1, -12, 2,  7.7, ⑥⑤, 2, 3, アドマイヤラクティ,---,藤岡康, 0.1, 59,*-15,*  4, 3,  3.4,⑨⑤⑤, 2,11,Ｄヒラボクキング, 80,蛯名正, 1.0, 79,* 12,   7, 4,  7.5,②②②, 2, 9,Ｃメイショウベルｰガ, 91,池添謙, 0.7, 87,  10,* 12, 2,  3.1,⑩⑩⑩
 3,14,Ｅコウエイキング, 46,後藤浩, 0.6, 56,   4, -18, 6, 28.1, ④④, 3, 6, ソルデマｰヨ,---,武豊  , 0.2, 54,*-14,  -2, 1,  2.9,⑦①②, 3, 3,Ｂピｰスエンブレム, 81,佐藤哲, 1.0, 82,  10,  11, 2,  3.7,⑥⑦③, 3, 5,Ｅアパパネ, 88,蛯名正, 1.0, 83,  12,   1, 1,  2.7,⑤⑥⑥
 4, 2,Ｋジャマイカジョｰ, 40,幸英明, 1.0, 50, -13,* -1,10,180.7, ⑭⑭, 4, 2, イイデジャパン,---,和田竜, 0.3, 57,*-15,   1, 7, 43.7,④④④, 4, 2,Ｃキラウエア, 80,武豊  , 1.3, 80,   7,* 16, 1,  2.4,⑩⑪⑩, 4,17,Ａリトルアマポｰラ, 93,福永祐, 1.0, 84,  14,  -4, 7, 22.3,④⑤⑤
 5,13,Ｆノアノア, 46,四位洋, 1.3, 46,  -7, -13, 4, 14.8, ⑩⑩, 5, 8, サウンドオブダイゴ,---,川田将, 0.4, 53,*-15,  -3, 4,  7.8,②③①, 5, 4,Ｇロｰレルレヴァｰタ, 76,川須栄, 1.5, 79,   8,  10,10, 74.1,⑧⑨⑦, 5,10,Ｋヒカルアマランサス, 83,ルメｰ, 1.1, 84,  10,*  9, 6, 21.2,⑫⑭⑮
 6, 7,Ｌスズカミニオン, 38,川須栄, 1.4, 47,  -2, -20,12,235.1, ⑤⑥, 6, 1, ギュスタｰヴクライ,---,蛯名正, 0.5, 53, -17,  -1, 5,  9.2,⑧⑦⑧, 6, 8,Ｆアドマイヤプレミア, 77,川田将, 1.6, 82,   8,* 15, 6, 27.8,⑭⑫⑪, 6, 1,Ｉコロンバスサｰクル, 84,武豊  , 1.2, 82,  14,  -7,10, 63.2,⑦④④
 7,15,Ｉライブリユラナス, 40,小坂忠, 1.4, 45, -11, -11, 7, 96.3, ⑫⑬, 7, 5, ヒカルマイデビュｰ,---,福永祐, 0.8, 51, -17,  -4, 6, 36.1,③⑥⑦, 7, 6,Ｈユメノキラメキ, 76,酒井学, 1.6, 78,* 12,   3, 7, 50.9,③③④, 7, 2,Ｂセラフィックロンプ, 92,宮崎北, 1.2, 81,* 19, -20, 9, 46.9,②②②
 8, 1,Ａレッドマロン, 57,蛯名正, 1.5, 47,*  8, -35, 3,  8.9, ②①, 8, 4, セイカエスパｰ,---,幸英明, 1.2, 45, -18,  -8, 9,180.0,⑥⑧⑥, 8,13,Ａスエズ, 81,幸英明, 2.0, 75,  10,   3, 5, 11.1,⑦⑥⑥, 8, 8,Ｍブライティアパルス, 82,藤岡康, 1.3, 81,  17, -16,14,109.9,③③③
 9, 9,Ｍドンウイング, 37,宮崎北, 1.5, 46,  -4, -19,16,304.7, ⑨⑧, 9, 9, スコｰピオ,---,国分恭, 3.1, 27, -20, -26, 8,173.8,①⑨⑨, 9, 1,Ｌエプソムスタウト, 74,吉田稔, 2.4, 74,   6,   9,15,450.9,⑫⑬⑬, 9, 7,Ｐサンテミリオン, 70,デムｰ, 1.5, 79,  11,  -3, 5, 12.7,⑪⑨⑨
10, 6,Ｎオンエア, 37,国分恭, 1.7, 43,  -4, -22,11,231.2, ⑧⑦,,,,,,,,,,,,,10, 7,Ｉフラッグラッシュ, 75,鮫島良, 2.6, 72,   5,   8,12,165.8,⑮⑭⑭,10,15,Ｆムｰドインディゴ, 86,川田将, 1.7, 79,  10,   0,15,158.5,⑭⑮⑬
11, 8,Ｊジュｰノエスク, 40,酒井学, 1.9, 40,  -9, -18, 9,178.8, ⑪⑪,,,,,,,,,,,,,11,12,Ｋフミノヤマビコ, 75,長谷川, 2.6, 70,   7,   3, 9, 70.0,⑪⑩⑫,11, 3,Ｌレジネッタ, 82,幸英明, 1.7, 79,  10,  -1,13,101.9,⑬⑬⑫
12,16,Ｏマイネルジュビア, 35,安部幸, 2.2, 40, -18, -10,15,288.9, ⑮⑮,,,,,,,,,,,,,12, 5,Ｊライジングバイオ, 75,国分恭, 2.9, 71,   8,  -2,11, 89.2,⑨⑧⑨,12,18,Ｊシングライクバｰド, 83,鮫島良, 1.8, 77,   8,   2,16,162.9,⑯⑰⑰
13, 4,Ｇコスモパスキｰ, 44,川島信, 2.4, 37,  -7, -28,14,261.7, ⑦⑨,,,,,,,,,,,,,13,14,Ｅピュｰタｰ, 78,四位洋, 3.1, 66,* 12, -10, 3,  4.8,④④⑤,13,13,Ｎサンレイジャスパｰ, 82,難波剛, 1.9, 76,   8,   0,17,362.8,⑰⑯⑯
14,10,Ｈテイエムメガヒット, 44,吉田稔, 2.5, 35, -12, -22,13,240.0, ⑬⑫,,,,,,,,,,,,,14,15,Ｎパワｰエｰス, 69,和田竜, 3.2, 70,   5,   4,13,341.9,⑬⑮⑮,14,14,Ｄアｰスシンボル, 89,田中勝, 1.9, 77,  10,  -3,12, 99.9,⑮⑫⑭
15, 3,Ｄナムラエバｰグリン, 48,高倉稜, 2.6, 34,*  7, -50, 5, 18.8, ①③,,,,,,,,,,,,,15, 9,Ｏタガノバロナｰク, 69,藤岡康, 3.5, 65,  10, -10,14,422.3,⑤⑤⑧,15,12,Ｈアニメイトバイオ, 85,後藤浩, 1.9, 75,  10,  -6, 3,  7.2,⑧⑪⑪
16,11,Ｐプレジデントペスカ, 25,藤岡佑, 3.9,  4, -23, -28, 8,104.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16,16, アｰヴェイ,---,カステ, 2.2, 74,  13, -14, 8, 25.8,⑨⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｏテイエムプリキュア, 71,国分恭, 2.2, 72,* 23, -48,11, 78.4,①①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:93 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,
単勝:130円 複勝:12=110円 05=180円 14=320円 枠連:330円,,,,,,,,,,,,単勝:320円 複勝:07=120円 03=120円 06=110円 枠連:560円,,,,,,,,,,,,"単勝:6,830円 複勝:10=1,410円 11=240円 03=150円 枠連:10,890円",,,,,,,,,,,,単勝:850円 複勝:06=220円 09=120円 05=120円 枠連:320円,,,,,,,,,,,
"馬連:330円 ワイド:05-12=190円 12-14=380円 05-14=1,020円",,,,,,,,,,,,馬連:650円 ワイド:03-07=160円 06-07=150円 03-06=210円,,,,,,,,,,,,"馬連:14,770円 ワイド:10-11=4,390円 03-10=3,700円 03-11=470円",,,,,,,,,,,,"馬連:1,430円 ワイド:06-09=540円 05-06=500円 05-09=210円",,,,,,,,,,,
"馬単:410円 3連複:1,400円 3連単:2,750円",,,,,,,,,,,,"馬単:1,090円 3連複:430円 3連単:2,630円",,,,,,,,,,,,"馬単:43,040円 3連複:26,540円 3連単:268,650円",,,,,,,,,,,,"馬単:3,590円 3連複:1,320円 3連単:10,170円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,黄菊賞,,,,,,,,,,,,京都ﾛｲﾔﾙﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｇダｰズンロｰズ, 54,ルメｰ,, 63,  -7,   3, 6, 10.5, ⑥⑥, 1,10,Ｄメメビｰナス, 76,武豊  ,, 74,   1,* 16, 3,  7.2,⑨⑨⑦, 1, 1,Ｂミッキｰマスカット, 68,安藤勝,, 69,   2,   4, 5, 12.7, ③③, 1, 9,Ｃメイショウタメトモ, 88,福永祐,, 83,*  4,  20, 4,  6.1,①①①
 2, 4,Ｅユｰスティティア, 59,福永祐, 0.0, 64,* -5,   1, 3,  4.5, ⑤⑤, 2,11,Ｃプティマカロン, 78,高倉稜, 0.1, 72,   3,* 13, 7, 15.8,④⑤⑤, 2, 7,Ｇリベルタス, 59,福永祐, 0.1, 70,   0,*  9, 1,  2.2, ⑤⑤, 2,10,Ｉニホンピロアワｰズ, 82,酒井学, 0.1, 83,*  3,  19, 3,  5.1,②②②
 2, 5,Ｄイデア, 62,デムｰ, 0.0, 64, -10,*  7, 4,  8.6, ⑨⑨, 3, 6,Ｊヤマニンソルファ, 68,川田将, 0.2, 74,*  4,  10, 2,  6.0,②②②, 3, 5,Ｆヴィクトリｰスタｰ, 61,ルメｰ, 0.4, 68,  -4,* 13, 2,  3.9, ⑨⑩, 3, 4,Ｂサンライズモｰル, 88,和田竜, 0.4, 81,*  3,  17, 2,  4.3,④③③
 4, 9,Ｆクリアンサス, 54,武豊  , 0.1, 61,* -2,  -5, 1,  3.4, ①①, 4, 7,Ａプリティカポレイ, 79,デムｰ, 0.4, 71,   3,  10, 1,  1.8,⑥④④, 4,12,Ｄシゲルシャチョウ, 64,池添謙, 0.7, 63,  -2,   4, 6, 14.4, ⑥⑥, 4, 7,Ａハイオン, 89,川田将, 0.5, 80,   2,  19, 1,  3.3,⑥⑤⑤
 5, 8,Ｂアドマイヤバｰトン, 67,池添謙, 0.1, 62,* -5,  -2, 2,  3.6, ③③, 5, 4,Ｈピサノルビｰ, 74,岩田康, 0.7, 72,   2,  10, 8, 39.4,⑤⑦⑧, 5, 3,Ｈデンコウジュピタｰ, 56,国分恭, 0.7, 59,* 15, -31, 7, 26.4, ①①, 5, 3,Ｊアコニットライアン, 82,吉田稔, 0.8, 79,   1,  19,10, 45.6,⑦⑧⑥
 6, 2,Ｈサンライズレガシｰ, 53,浜中俊, 0.3, 61, -11,*  6, 9, 58.0, ⑫⑫, 6, 5,Ｂアドマイヤインディ, 78,福永祐, 0.7, 70,   3,   7, 5, 13.2,③③③, 6, 9,Ａトップシャイン, 69,蛯名正, 0.8, 63,  -4,*  8, 3,  4.7, ⑩⑧, 6,11,Ｆシルクタｰンベリｰ, 83,武幸四, 0.8, 83,  -2,* 23, 5, 11.2,⑭⑬⑬
 7, 6,Ｃセイユウハｰト, 67,川須栄, 0.4, 58,  -7,  -3, 7, 30.7, ④④, 7, 9,Ｉクリノソｰニャ, 69,幸英明, 0.8, 71,   2,  11,11,289.8,⑩⑩⑨, 7, 4,Ｊマイネソルシエｰル, 52,和田竜, 0.9, 62,   1,  -5, 9, 80.7, ④④, 7, 1,Ｈメイショウエンジン, 82,浜中俊, 0.9, 79,  -1,  21,12,114.8,⑪⑫⑩
 8,16,Ｎクリノプロジェクト, 42,川島信, 0.7, 60, -18,* 12,15,308.7, ⑰⑮, 8, 2,Ｇクリムゾンシップ, 75,吉田稔, 0.9, 67,*  5,   3, 6, 14.0,①①①, 8,10,Ｃトウシンイｰグル, 65,デムｰ, 1.1, 59,  -3,  -1, 4,  9.3, ⑦⑦, 8, 2,Ｐアドマイヤテンクウ, 61,池添謙, 0.9, 75,*  2,  15, 7, 27.2,③④④
 9, 3,Ｌコスモウィッシュ, 46,高倉稜, 0.8, 54,  -9,  -4,16,316.1, ⑧⑧, 9, 1,Ｅホクトスワン, 75,藤岡佑, 1.7, 65,   1,   4, 9, 60.3,⑪⑪⑪, 9,11,Ｉマイネマオ, 54,幸英明, 1.9, 48,*  9, -38, 8, 77.9, ②②, 9, 6,Ｏソラメンテウナベス, 78,鮫島良, 1.0, 75,   1,  16,13,151.0,⑤⑥⑦
10,17,Ａタイセイジｰニアス, 68,蛯名正, 0.8, 53,* -5, -10, 5,  8.8, ⑦⑦,10, 8,Ｋジュヴェビアン, 62,川須栄, 2.6, 57,   1,  -6,10, 76.9,⑦⑧⑩,10, 2,Ｅウォｰタｰルルド, 63,酒井学, 2.4, 44,  -4, -17,10,153.0, ⑧⑨,10, 8,Ｎビタｰスウィｰト, 78,国分恭, 1.2, 77,   0,  17, 9, 38.4,⑧⑨⑨
11,14,Ｑダイシンワイルド, 25,川田将, 0.9, 53,* -4, -14,12, 91.5, ②②,11, 3,Ｆトミケンプライマリ, 75,国分恭, 2.9, 56,   2, -10, 4,  9.3,⑧⑥⑥,11, 8, ゴｰルドドラゴン,---,吉田稔, 3.4, 36, -14, -10,11,278.3, ⑫⑪,11,15,Ｍケイジｰジュニアｰ, 78,伊藤直, 1.2, 76,  -2,  20,16,318.8,⑬⑭⑭
12,12,Ｊマイネマグノリア, 49,和田竜, 0.9, 55, -14,   1,11, 62.8, ⑭⑭,,,,,,,,,,,,,12, 6, ミスマンボ,---,安部幸, 4.2, 28, -14, -22,12,327.2, ⑪⑫,12, 5,Ｅポｰカｰフェイス, 83,四位洋, 1.2, 77,  -4,* 23,11, 94.3,⑮⑯⑯
13,11,Ｍコスモパシフィズム, 44,佐藤哲, 1.3, 47,  -8, -13,14,171.5, ⑩⑩,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｇパｰフェクトラン, 82,岩田康, 1.4, 75,   0,  15,14,166.5,⑫⑩⑪
14,13,Ｉウィズイングレｰス, 51,幸英明, 1.5, 47,  -9, -13,10, 59.8, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｄハｰドシｰキング, 84,小林徹, 1.4, 76,  -1,  16,15,234.2,⑩⑪⑫
15,15,Ｐマコトロｰゼンボｰ, 37,安部幸, 1.5, 48, -16,  -1,17,508.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｌドリｰムトラベラｰ, 78,幸英明, 1.4, 76,  -3,  20, 6, 18.0,⑯⑮⑮
16,18,Ｒマコトカリバｰン, -9,吉田稔, 1.5, 48, -19,   3,18,616.0, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｋサイモントルナｰレ, 79,蛯名正, 1.5, 72,   2,  12, 8, 27.9,⑨⑦⑧
17, 7,Ｋナンゴクチョウチョ, 49,国分恭, 1.7, 45, -11, -14,13,131.5, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 1,Ｏメイショウイソロク, 42,ムｰア, 2.6, 34, -18, -16, 8, 45.8, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,
