10年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 7,Ｆシゲルペイペイ, 34,松山弘, 3.0, 30,  -6, -32, 8, 42.2,③⑧⑧, 9, 6, メイショウグッド,,植野貴,206.1,,,,10, 39.0,⑥⑥⑥,,,,,,,,,,,,, 9,10,Ｊタガノイノセンス, 71,赤木高, 1.1, 70,   5,   0,10,123.7, ⑨⑩
10,10,Ｉテイエムヤチャボｰ, 26,高倉稜, 3.1, 25, -11, -26, 9, 77.2,⑩⑩⑩,10, 5, トウケイトニｰ,,今村康,215.4,,,,11, 98.7,⑪⑩⑩,,,,,,,,,,,,,10, 8,Ｃレディアルバロｰザ, 82,幸英明, 1.1, 70,*  7,  -7, 7, 20.0, ③③
,,,,,,,,,,,,11, 7, トランプ,,中村将,216.7,,,, 5, 12.9,⑩⑪⑪,,,,,,,,,,,,,11, 2,Ｌラガｰリンリン, 63,松山弘, 1.2, 69,   5,  -3,12,264.8, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｋタガノエリザベｰト, 70,川田将, 1.3, 70,   3,   0, 9, 48.0, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
単勝:350円 複勝:04=130円 05=130円 01=170円 枠連:540円,,,,,,,,,,,,"単勝:1,390円 複勝:09=330円 10=120円 03=150円 枠連:1,800円",,,,,,,,,,,,"単勝:530円 複勝:05=160円 03=130円 08=1,240円 枠連:0円",,,,,,,,,,,,"単勝:1,160円 複勝:06=450円 09=690円 12=470円 枠連:1,040円",,,,,,,,,,,
馬連:590円 ワイド:04-05=240円 01-04=290円 01-05=440円,,,,,,,,,,,,"馬連:2,030円 ワイド:09-10=710円 03-09=1,180円 03-10=270円",,,,,,,,,,,,"馬連:530円 ワイド:03-05=240円 05-08=2,700円 03-08=2,370円",,,,,,,,,,,,"馬連:7,300円 ワイド:06-09=2,230円 06-12=1,490円 09-12=1,810円",,,,,,,,,,,
"馬単:1,160円 3連複:1,330円 3連単:5,170円",,,,,,,,,,,,"馬単:4,230円 3連複:2,770円 3連単:27,230円",,,,,,,,,,,,"馬単:1,360円 3連複:8,250円 3連単:33,480円",,,,,,,,,,,,"馬単:15,280円 3連複:21,080円 3連単:193,040円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,夙川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂピルケンハンマｰ, 62,藤岡康,, 66,*  0,* -2, 5, 13.6, ①①, 1, 2, ビップセレブアイ,---,柴田善,, 60, -27,* 18, 3,  6.5, ⑥⑥, 1, 4,Ｃスマイルミッキｰ, 73,川田将,, 77,*  8,*  9, 1,  1.9,①①①, 1,11,Ｎマルカフリｰト, 69,福永祐,, 82,  10,* 12, 6, 14.6, ⑦⑥
 2, 5,Ｅエｰシンチャｰジ, 55,和田竜, 0.3, 63,* -3,* -4, 1,  2.5, ②②, 2,10, レッドデイヴィス,---,川田将, 0.2, 56,*-25,   9, 4,  7.9, ④③, 2, 3,Ａエイシンダッシュ, 74,内田博, 0.2, 74,*  7,*  9, 3,  6.3,②③②, 2, 4,Ｈサリエル, 77,内田博, 0.1, 83,* 14,   6, 2,  3.8, ④②
 3,13,Ａレｰガン, 65,石橋守, 1.0, 55,  -6,  -9, 4,  8.4, ⑥⑤, 3, 5, サトノパンサｰ,---,和田竜, 0.3, 57, -26,  12, 6, 20.0, ⑦⑦, 3, 1,Ｂソルモンタｰレ, 73,小林慎, 1.1, 69,*  7,   2, 2,  5.7,③②③, 3, 8,Ｄスリｰサンビｰム, 78,高倉稜, 0.3, 78,   9,   9,11, 48.8, ⑥⑦
 4, 4,Ｇシゲルジュウヤク, 49,国分恭, 1.0, 55,  -7,  -8,10, 32.1, ⑤⑥, 4, 4, リフトザウイングス,---,蛯名正, 0.4, 52, -26,   9, 1,  1.9, ③④, 4,13,Ｉエシス, 67,幸英明, 1.3, 69,   4,   7,12,179.5,⑨⑨⑧, 4,14,Ａアヤナルベルス, 88,小牧太, 0.4, 81,* 19,  -1, 5, 13.1, ①①
 5, 2,Ｉアマノレインジャｰ, 47,福永祐, 1.1, 55,  -8,  -6, 3,  5.2, ⑦⑧, 5, 8, ヴィジャイ,---,安藤勝, 0.4, 58, -29,* 15, 2,  3.7, ⑪⑪, 5,10,Ｈサクセスシェｰバｰ, 68,飯田祐, 1.6, 67,   0,* 10, 5,  9.7,⑫⑫⑬, 5,12,Ｃベストオブミｰ, 78,後藤浩, 0.5, 75,   3,* 13, 7, 15.0, ⑬⑫
 6, 1,Ｄサカジロゴｰルド, 57,野元昭, 1.3, 51,  -6, -13, 6, 13.9, ④④, 6, 9, ヴァレノｰヴァ,---,内田博, 1.0, 44,*-23,  -4, 5, 11.0, ②②, 6, 5,Ｄエアリアルショット, 72,国分恭, 1.7, 66,   5,   1, 6, 16.3,⑦⑥⑥, 6, 3,Ｅエｰシンリｰドオｰ, 77,川田将, 0.7, 77,  11,   4, 3,  5.4, ⑤④
 7, 6,Ｈジョウショｰコトミ, 48,浜中俊, 1.3, 52,  -4, -15, 9, 30.0, ③③, 7,12, テンシノイツル,---,中村将, 1.1, 44, -26,   0, 7, 84.4, ⑩⑧, 7, 2,Ｆワキノブライアン, 69,小牧太, 1.7, 65,   2,   7, 4,  9.3,⑪⑪⑩, 7, 2,Ｂメイショウアツヒメ, 83,安藤勝, 0.9, 74,* 14,  -1, 1,  2.8, ②③
 8,10,Ｍシゲルホンブチョウ, 28,川島信, 1.4, 52, -16,* -1,12,207.5, ⑬⑫, 8, 7, メトログリペン,---,金折知, 1.7, 33,*-23, -15,11,290.0, ①①, 8,12,Ｇダテノスイミｰ, 68,松山弘, 2.3, 62,   5,  -5, 9, 56.4,⑥⑧⑦, 8, 7,Ｇメイショウシェイク, 77,飯田祐, 1.1, 71,   6,   5, 4, 10.3, ⑩⑨
 9, 9,Ｃプレストリガｰ, 59,蛯名正, 1.5, 50,  -7, -12, 8, 26.5, ⑧⑦, 9, 6, ヒミノキンカメ,---,浜中俊, 1.8, 36, -27,  -7, 8,120.4, ⑨⑨, 9, 8,Ｊゼットチャンプ, 64,和田竜, 2.5, 60,   6,  -9, 7, 26.1,⑤④④, 9, 1,Ｉマヤフィオｰレ, 74,和田竜, 1.1, 75,  13,  -1, 9, 27.5, ③⑤
10, 7,Ｊエｰシンヒットマン, 42,内田博, 1.7, 48, -12,  -9, 2,  4.9, ⑩⑪,10,11, エリモロワイヤル,---,佐藤哲, 1.8, 34, -27,  -7, 9,252.4, ⑧⑩,10, 9,Ｋミゲｰル, 62,高倉稜, 2.5, 57,   3,  -2,11,146.3,⑩⑩⑪,10,13,Ｆキタノアラワシ, 77,酒井学, 1.3, 69,   2,   7, 8, 23.2, ⑭⑭
11,11,Ｋスズカアクシオ, 41,川田将, 1.9, 47, -12, -11,11, 47.1, ⑫⑩,11, 3, タガノマルシェ,---,松山弘, 2.4, 24, -26, -21,10,283.9, ⑤⑤,11,11,Ｅホッコｰセルベッサ, 70,高橋亮, 2.6, 61,   1,   2,10, 93.4,⑬⑬⑫,11, 9,Ｋハｰドリレｰ, 72,浜中俊, 1.3, 71,   5,   5,13,117.1, ⑪⑬
12, 8,Ｌシゲルソウダンヤク, 36,高倉稜, 2.2, 42, -19,  -8,13,223.5, ⑭⑭,12, 1, レッドジュバ,---,高橋亮, 3.5, 14, -29, -29,12,327.9, ⑫⑫,12, 6,Ｌシｰシャトｰ, 62,黒岩悠, 2.8, 59,   5,  -7,13,412.4,⑧⑦⑨,12, 6,Ｏプリティゴｰルド, 65,柴田善, 1.4, 66,  -4,* 12,10, 43.0, ⑯⑯
13,14,Ｆテイエムメガヒット, 50,後藤浩, 2.5, 38, -11, -22, 7, 16.2, ⑨⑨,,,,,,,,,,,,,13, 7,Ｍマルブツジャンボ, 54,浜中俊, 5.0, 43,   6, -30, 8, 34.5,④⑤⑤,13, 5,Ｍエンジェルフェザｰ, 71,渡辺薫, 1.4, 69,   6,   3,12,113.1, ⑨⑧
14,12,Ｎセンタｰスキャン, 24,松山弘, 2.5, 38, -13, -18,14,565.7, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｌニシノヴァネッサ, 71,川島信, 1.8, 64,   5,   0,14,446.9, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｊダイゴカムイ, 73,赤木高, 1.9, 62,  -1,   4,16,535.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｐスズカフェロｰ, 62,国分恭, 2.2, 63,   7,  -5,15,453.0, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,360円 複勝:03=410円 05=130円 13=270円 枠連:1,450円",,,,,,,,,,,,"単勝:650円 複勝:02=310円 10=340円 05=620円 枠連:1,320円",,,,,,,,,,,,単勝:190円 複勝:04=110円 03=170円 01=170円 枠連:530円,,,,,,,,,,,,"単勝:1,460円 複勝:11=480円 04=190円 08=990円 枠連:790円",,,,,,,,,,,
"馬連:1,900円 ワイド:03-05=780円 03-13=1,380円 05-13=510円",,,,,,,,,,,,"馬連:2,680円 ワイド:02-10=830円 02-05=1,030円 05-10=1,260円",,,,,,,,,,,,馬連:580円 ワイド:03-04=250円 01-04=240円 01-03=490円,,,,,,,,,,,,"馬連:3,390円 ワイド:04-11=1,440円 08-11=6,900円 04-08=2,960円",,,,,,,,,,,
"馬単:5,680円 3連複:3,920円 3連単:28,980円",,,,,,,,,,,,"馬単:5,370円 3連複:7,610円 3連単:44,600円",,,,,,,,,,,,"馬単:890円 3連複:780円 3連単:2,500円",,,,,,,,,,,,"馬単:8,090円 3連複:42,250円 3連単:247,130円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 6R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,野路菊ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｇスイｰトテン, 63,鮫島良,, 70,  -1,*  4, 5,  7.1, ⑫⑫, 1,15,Ｃエｰシンポルックス, 66,小牧太,, 66,   0,*  3, 3,  5.0, ⑪⑥, 1, 7,Ｃウインバリアシオン, 64,福永祐,, 70,  -7,* 12, 2,  2.8, ⑥⑥, 1,16,Ｈウィズインライアン, 64,小牧太,, 80,  13,   2, 6, 17.5, ④③
 2,11,Ｉクレバｰオペラ, 63,高倉稜, 0.2, 66,   1,  -3,15, 72.8, ⑩⑩, 2, 6,Ｂメイショウヤグラ, 67,福永祐, 0.1, 67,*  4,  -3, 2,  3.6, ②②, 2, 1,Ａメイショウナルト, 70,幸英明, 0.4, 64,  -6,   6, 1,  1.9, ④③, 2,12,Ｅトウカイブラスト, 69,熊沢重, 0.6, 75,   7,*  3, 9, 28.4, ⑨⑧
 3, 4,Ｌシルヴァｰノ, 62,川田将, 0.2, 68,*  3,  -7, 1,  4.1, ⑥④, 3, 4,Ｅユメノカケハシ, 63,浜中俊, 0.3, 66,   3,  -3, 4,  7.6, ⑤④, 3, 4,Ｂモスカｰトロｰザ, 64,安藤勝, 0.4, 68,  -9,* 12, 3,  4.6, ⑦⑦, 3,15,Ａメイショウモネ, 73,幸英明, 0.6, 75,   7,*  5, 2,  4.7, ⑪⑨
 4, 3,Ｋファンドリアスカ, 62,佐藤哲, 0.3, 64,*  4,  -9,13, 40.1, ⑤③, 4, 8,Ａバトルアステア, 73,和田竜, 0.5, 63,   1,  -3, 1,  2.9, ⑦⑦, 4, 8,Ｇマイネジャンヌ, 47,和田竜, 0.7, 61,  -6,   2, 5, 22.2, ⑤④, 4,10,Ｃスマｰトアｰサイト, 70,内田博, 0.9, 72,  10,  -3, 1,  2.8, ⑥⑤
 5,13,Ｒトウカイユニバｰス, 37,北村友, 0.3, 68,  -3,*  5,17,211.3, ⑭⑮, 5, 2,Ｈファンドリノチカラ, 54,幸英明, 0.5, 65,*  5,  -8, 5, 13.1, ①①, 5, 5,Ｅシゲルシャチョウ, 56,松山弘, 0.7, 58,  -6,   0, 6, 32.7, ③⑤, 5, 4, マスタｰプライド,---,浜中俊, 1.8, 63,   2,  -1, 7, 20.5, ⑫⑫
 6, 7,Ｆコｰドゼット, 64,内田博, 0.5, 66,  -1,  -3, 4,  6.8, ⑬⑬, 6, 5,Ｍマルブツボイス, 43,北村友, 0.7, 61,   0,  -3,12,169.9, ⑩⑨, 6, 3,Ｄエｰシンジャッカル, 61,内田博, 0.8, 58,* -5,  -4, 4, 15.7, ②②, 6,14,Ｇシゲルコイヒメ, 66,高倉稜, 1.9, 64,* 15, -19,10, 32.9, ②①
 7, 6,Ｄメイショウオルフェ, 64,蛯名正, 0.5, 63,   1,  -7, 8, 18.5, ⑨⑨, 7,13,Ｆスクルｰド, 59,佐藤哲, 0.8, 60,  -1,  -3, 6, 13.6, ⑧⑩, 7, 2,Ｆアスカノバッハ, 52,川島信, 2.5, 36,* -5, -29, 7, 92.6, ①①, 7, 8,Ｊカネトシマイコサン, 58,渡辺薫, 2.4, 60,   6, -10,13, 98.7, ⑩⑪
 8,10,Ｍタッチマイハｰト, 61,秋山真, 0.6, 63,   2, -10,14, 45.8, ⑧⑧, 8, 7,Ｄネオジェイズレｰヌ, 64,秋山真, 0.9, 58,  -5,*  1, 7, 13.6, ⑮⑭, 8, 6,Ｈモエレウェバリング, 31,安部幸, 3.3, 30, -10, -27, 8,303.5, ⑧⑧, 7, 2,Ｂサダムトウコン, 72,酒井学, 2.4, 62,  14, -21, 3,  6.8, ③④
 9,12,Ｊマルティニｰク, 63,小牧太, 0.7, 62,  -1,  -6, 3,  6.1, ⑮⑭, 9, 1,Ｉスズカタフネス, 53,藤岡康, 1.9, 52,  -4,  -9,15,225.8, ⑭⑪,,,,,,,,,,,,, 9, 1,Ｆワイドヒリュウ, 67,石橋守, 2.6, 60,   8, -13, 5,  8.5, ⑧⑩
10, 8,Ｈサトノサウザｰ, 63,松山弘, 0.8, 62,  -3,  -1, 2,  5.9, ⑰⑰,10,10,Ｊメイショウアカドウ, 49,高橋亮, 2.2, 48,  -6,  -9,13,181.5, ⑯⑯,,,,,,,,,,,,,10, 6,Ｍカンファｰピュア, 46,安部幸, 3.6, 51,   0, -13,15,344.8, ⑭⑭
11,14,Ｎセンタｰバｰジニｰ, 61,柴田善, 0.9, 60,  -4,  -3, 6, 15.4, ⑯⑯,11,14,Ｇユニバｰサルサンド, 55,渡辺薫, 2.2, 49,  -4, -12, 8, 51.4, ⑬⑬,,,,,,,,,,,,,11, 5,Ｎレコメンド, 42,赤木高, 4.7, 44,* 16, -44,11, 35.4, ①②
12, 5,Ｅクニサキロンチｰ, 64,酒井学, 0.9, 57,*  5, -22,12, 35.5, ①①,12,11,Ｌエリモヴィクトリｰ, 43,川田将, 2.3, 50,*  3, -22,10, 94.2, ④⑤,,,,,,,,,,,,,12, 9,Ｉオンフルｰル, 61,佐藤哲, 5.7, 36,  10, -44, 4,  7.2, ⑤⑦
13,18,Ｂライツェント, 68,赤木高, 0.9, 58,*  4, -17,10, 28.5, ③⑤,13,12,Ｋオポム, 45,国分恭, 2.4, 49,   2, -20, 9, 62.0, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,
14, 9,Ｑエルブロンネ, 51,幸英明, 1.3, 55,*  5, -26,16,114.3, ②②,14, 3,Ｐディｰプメイク, 28,松田大, 2.5, 48,*  3, -23,16,345.1, ③③,,,,,,,,,,,,,,,,,,,,,,,,
15,17,Ｃメイショウオスパｰ, 67,岩崎祐, 2.0, 48,*  4, -33, 7, 16.2, ⑦⑦,15, 9,Ｏアマノブラウニイｰ, 34,高倉稜, 2.6, 43,  -4, -16,14,181.7, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
16,15,Ｏパワｰプレイズ, 56,野元昭, 2.0, 48,*  4, -33,11, 29.8, ④⑥,16,16,Ｎピットスポルム, 40,安部幸, 5.5, 27,  -2, -41,11,134.2, ⑨⑮,,,,,,,,,,,,,,,,,,,,,,,,
17,16,Ｐタツオｰカン, 54,後藤浩, 2.2, 46,   0, -31, 9, 22.7, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-1),,,,,,,,,,,
"単勝:710円 複勝:01=240円 11=1,320円 04=190円 枠連:2,070円",,,,,,,,,,,,単勝:500円 複勝:15=160円 06=150円 04=220円 枠連:950円,,,,,,,,,,,,単勝:280円 複勝:07=110円 01=110円 04=110円 枠連:0円,,,,,,,,,,,,"単勝:1,750円 複勝:16=550円 12=710円 15=210円 枠連:3,590円",,,,,,,,,,,
"馬連:23,690円 ワイド:01-11=5,850円 01-04=550円 04-11=5,550円",,,,,,,,,,,,馬連:890円 ワイド:06-15=370円 04-15=640円 04-06=500円,,,,,,,,,,,,馬連:250円 ワイド:01-07=130円 04-07=170円 01-04=140円,,,,,,,,,,,,"馬連:19,630円 ワイド:12-16=4,750円 15-16=1,410円 12-15=1,710円",,,,,,,,,,,
"馬単:37,450円 3連複:40,600円 3連単:323,820円",,,,,,,,,,,,"馬単:2,150円 3連複:2,370円 3連単:11,930円",,,,,,,,,,,,"馬単:590円 3連複:200円 3連単:1,090円",,,,,,,,,,,,"馬単:41,700円 3連複:24,950円 3連単:229,580円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
