10年 3月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 3月13日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9,12,Ｎセフティｰロｰズ, 39,安部幸, 2.7, 45,  -7, -11,14,365.4,⑧⑧⑪, 9, 8,Ｃトップミノル, 62,幸英明, 1.4, 51,* -3, -18, 7, 16.9, ②②, 9, 6,Ｉアベニｰルシチｰ, 71,安部幸, 1.1, 68,  -3,* 11,12,155.7, ⑮⑯, 9, 7,Ｉマルティンスタｰク, 79,長谷川, 0.3, 82,  -4,* 17,13, 53.1, ⑭⑭
10, 3,Ｈコバルトインスカイ, 50,太宰啓, 3.0, 45,  -8, -11,12,206.8,⑦⑩⑫,10,13,Ｏパワｰオブゴｰルド, 38,太宰啓, 1.5, 54, -12,  -6,15,336.2, ⑭⑫,10, 4,Ｇエルチョコレｰト, 73,福永祐, 1.4, 66,   4,  -1, 5, 15.7, ⑧⑧,10, 1,Ａロｰズカットダイヤ, 85,秋山真, 0.3, 78,*  3,   7, 2,  4.5, ④④
11, 4,Ｌグルｰヴィｰコマチ, 47,田中克, 3.0, 45, -10,  -7,13,286.7,⑬⑬⑬,11, 2,Ｋペプチドストｰム, 47,秋山真, 1.6, 53, -12,  -7, 9, 76.0, ⑫⑬,11,16,Ｋベストルｰト, 69,小牧太, 1.5, 64,  -1,   6,13,195.0, ⑯⑮,11,11,Ｇタイセイハニｰ, 80,福永祐, 0.4, 80,  -4,  16,10, 34.9, ⑮⑮
12,11,Ｅトワオンワｰド, 53,高倉稜, 3.1, 44, -11,  -6,10,184.7,⑭⑭⑭,12,14,Ｎキョウワバｰニング, 41,安部幸, 1.8, 52, -14,  -5,11,117.9, ⑮⑮,12,13,Ｏベｰトｰヴェン, 54,武幸四, 1.7, 65,   2,  -1,15,381.8, ⑫⑫,12, 3,Ｏヘヴンリｰクルｰズ, 76,藤田伸, 0.4, 77,*  5,   3, 8, 22.5, ①①
13, 8,Ｉサｰクルステｰジ, 50,田辺裕, 3.7, 38,  -8, -19, 9,182.5,⑩⑦⑧,13, 4,Ｍマリアダンス, 44,渡辺薫, 2.0, 49, -12, -12,14,297.3, ⑬⑭,13, 8,Ｐアゲシオ, 54,小野次, 1.8, 63,   4,  -4,14,239.5, ⑨⑨,13, 5,Ｐコパノオｰシャンズ, 76,武幸四, 0.4, 79,  -3,  14,12, 38.0, ⑩⑪
14, 1,Ｆエリモマドンナ, 52,藤田伸, 5.2, 29,  -7, -32, 2,  7.1,④⑤⑦,14,16, マヤラブソング,---,酒井学, 2.2, 39,* -5, -27,12,206.9, ⑧⑥,14,12,Ｊメイショウマレンゴ, 70,高倉稜, 1.9, 61,*  8, -11, 9, 40.1, ②③,14, 8,Ｃマイティｰスルｰ, 82,小野次, 0.4, 79,  -4,  16, 6, 18.0, ⑯⑯
,,,,,,,,,,,,15, 5,Ｉシルクマウンテン, 50,石橋守, 2.5, 40,  -8, -24,13,263.8, ⑦⑧,15, 2,Ｅディアトウシロウ, 75,秋山真, 2.0, 61,   0,   0,11,145.0, ⑬⑬,15, 2,Ｆポルトフィｰノ, 81,四位洋, 0.6, 74,  -1,   7, 1,  3.4, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｎイソノホウオウ, 58,小坂忠, 2.2, 59,  -1,  -1,16,650.5, ⑭⑭,16, 4,Ｍユキノハボタン, 78,酒井学, 0.7, 72,   1,   4,16, 82.3, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,
単勝:130円 複勝:09=100円 10=280円 13=280円 枠連:820円,,,,,,,,,,,,単勝:320円 複勝:15=140円 11=260円 12=130円 枠連:440円,,,,,,,,,,,,"単勝:210円 複勝:03=110円 01=520円 05=1,360円 枠連:1,540円",,,,,,,,,,,,"単勝:1,500円 複勝:16=340円 06=190円 13=520円 枠連:1,520円",,,,,,,,,,,
馬連:890円 ワイド:09-10=370円 09-13=320円 10-13=670円,,,,,,,,,,,,"馬連:2,830円 ワイド:11-15=750円 12-15=220円 11-12=460円",,,,,,,,,,,,"馬連:1,890円 ワイド:01-03=790円 03-05=1,800円 01-05=14,200円",,,,,,,,,,,,"馬連:2,140円 ワイド:06-16=820円 13-16=1,990円 06-13=1,050円",,,,,,,,,,,
"馬単:940円 3連複:2,050円 3連単:4,070円",,,,,,,,,,,,"馬単:3,910円 3連複:1,550円 3連単:12,790円",,,,,,,,,,,,"馬単:3,010円 3連複:44,020円 3連単:161,910円",,,,,,,,,,,,"馬単:5,660円 3連複:7,830円 3連単:50,350円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝3900m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,阪神ｽﾌﾟﾘﾝｸﾞｼﾞｬﾝﾌﾟ,,,,,,,,,,,,ﾎﾟﾗﾘｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂアイアンラチェット, 59,福永祐,, 67,*  2,*  6, 1,  3.5, ①①, 1, 3, トウカイパラダイス,---,酒井学,, 54,* -3,* -7, 3,  6.4,①①①, 1,14, トｰワベガ,,北沢伸,,,,, 2,  5.1,⑤④②, 1,14,Ｇケイアイガｰベラ, 87,秋山真,, 93,* 16,* 13, 2,  3.7, ②②
 2, 8,Ｄラブコマドリｰ, 56,小野次, 0.7, 61,*  0,   1, 7, 20.5, ②②, 2, 1, フｰカットザチｰズ,---,福永祐, 0.1, 56,* -3,* -5, 1,  2.1,③④③, 2, 8, ショウリュウケン,,穂苅寿,261.1,,,, 3,  5.2,⑨⑥⑤, 2,12,Ｉセントラルコｰスト, 86,川田将, 0.8, 88,  12,  11, 3,  6.5, ⑥⑥
 3, 6,Ｃトｰブプリンス, 59,幸英明, 1.1, 58,  -1,  -1, 3,  4.0, ④④, 3,15, イザベルドスメｰン,---,藤岡佑, 0.9, 48,* -4, -13, 2,  6.4,⑤③②, 3, 5, エイシンボストン,,林満明,261.4,,,,12, 61.0,⑦⑤⑥, 3,13,Ｅセイカアレグロ, 88,浜中俊, 0.9, 87,  12,  10, 9, 31.6, ⑦⑧
 4, 2,Ｆワンダｰマイルズ, 56,秋山真, 1.1, 57,  -1,  -1, 8, 22.5, ③③, 4,16, ダイシンボｰイ,---,川田将, 1.1, 48,  -4, -13, 8, 28.7,⑩⑦⑤, 4, 6, ゴｰルデンシャイン,,西谷誠,261.4,,,, 7, 13.6,⑧⑨⑦, 4, 9,Ｂセイクリムズン, 90,幸英明, 1.0, 86,  10,  12, 1,  3.1, ⑨⑦
 5, 1,Ｈノトｰリアス, 52,四位洋, 1.2, 56,  -4,   1, 2,  3.9, ⑥⑤, 5,10, ロｰレルフルｰヴ,---,安藤光, 1.4, 44,  -8,  -9,13, 79.6,⑨⑩⑨, 5,13, トウカイポリシｰ,,今村康,261.5,,,,11, 48.6,③③④, 5, 2,Ｄワンダｰポデリオ, 89,福永祐, 1.1, 86,  10,  13, 5, 10.2, ⑫⑪
 6,14,Ｊマイネルイｰガｰ, 49,浜中俊, 1.3, 55,  -9,   4, 6, 18.3, ⑪⑩, 6, 6, エピックジャｰニｰ,---,四位洋, 1.5, 45,  -7, -11, 9, 35.6,⑫⑪⑧, 6, 9, ビコｰフェザｰ,,白浜雄,262.2,,,, 8, 22.1,⑩⑧⑧, 6, 5,Ｆユウキタイティ, 88,酒井学, 1.1, 85,   9,  12,14, 84.9, ⑩⑩
 7, 5,Ａキセキ, 63,小牧太, 1.4, 54, -11,*  6, 4,  5.3, ⑫⑬, 7, 5, トｰアミョウリ,---,小林慎, 1.5, 45,  -4, -17, 7, 27.8,④⑤⑥, 7,12, テイエムハリアｰ,,熊沢重,262.4,,,, 1,  4.0,②②①, 7, 4,Ｊガブリン, 86,小牧太, 1.2, 85,   7,* 15, 8, 27.5, ⑭⑬
 8,11,Ｇウィズインカチドキ, 53,安藤光, 1.4, 54, -11,*  6,14,390.9, ⑬⑫, 8, 2, ミラクルバレｰ,---,武幸四, 1.6, 50,  -8, -10,12, 46.4,⑯⑬⑬, 8, 7, ドｰルリヴィエｰル,,黒岩悠,262.5,,,,13, 85.0,⑪⑩⑨, 8,11,Ｏラインプレアｰ, 78,武幸四, 1.3, 86,   9,  11,11, 39.6, ⑬⑫
 9,10,Ｌタマモブｰン, 44,太宰啓, 1.6, 54,  -3,  -4,13,226.6, ⑤⑥, 9, 7, エムアイボニｰタ,---,安部幸, 1.8, 44,  -8, -12, 5, 11.9,⑪⑫⑫, 9,11, マヤノスタｰダム,,植野貴,263.1,,,, 5,  8.5,⑭⑪⑪, 9, 6,Ｃアンクルリｰサム, 89,渡辺薫, 1.5, 82,* 16,   0, 6, 19.6, ①①
10, 3,Ｉシゲルナガマサ, 50,熊沢重, 1.8, 53,  -6,  -2,11, 88.0, ⑨⑦,10, 4, シｰアリオス,---,秋山真, 2.7, 37,  -4, -26,11, 44.8,⑥⑥⑦,10, 1, マンノレｰシング,,金折知,264.5,,,, 9, 26.4,⑬⑬⑫,10, 7,Ａセレスハント, 90,藤岡佑, 1.7, 80,  14,   2, 4,  7.4, ⑤④
11,13,Ｅタイセイグリッタｰ, 56,石橋守, 2.1, 50,  -6,  -6, 5, 13.8, ⑧⑧,11,13, メイショウクオｰレ,---,石橋守, 3.6, 36,  -9, -23, 6, 14.9,⑬⑭⑭,11, 3, テイエムトッパズレ,,佐久間,264.7,,,, 6,  9.5,①①③,11, 3,Ｎポｰトラヴ, 82,熊沢重, 1.8, 81,  10,   5,13, 83.4, ⑧⑨
12, 7,Ｍスズノブレイヴ, 35,尾島徹, 2.1, 48,  -7,  -5, 9, 52.1, ⑦⑨,12,14, テｰオｰマックス,---,幸英明, 4.4, 28,  -6, -37,10, 36.8,⑦⑧⑪,12, 2, インカム,,五十嵐,266.5,,,,10, 36.4,④⑦⑩,12, 8,Ｋフィｰルドベアｰ, 84,安部幸, 1.9, 80,   3,* 14,10, 32.7, ⑯⑯
13, 4,Ｋシゲルハンゾウ, 45,安部幸, 2.7, 43,  -8,  -9,12,218.8, ⑩⑪,13, 8, エｰシンブルパップ,---,太宰啓, 4.4, 29, -12, -26, 4,  8.9,⑭⑯⑮,13,10, エメラルドワン,,岩崎祐,267.0,,,,14,182.6,⑫⑫⑬,13,16,Ｍドラゴンウェルズ, 82,藤田伸, 2.0, 78,   7,   8,12, 52.0, ⑮⑭
14,12, ラッキｰツｰ,---,小林徹, 2.7, 44, -14,  -2,10, 83.7, ⑭⑭,14,12, オｰミファンタジｰ,---,畑端省, 5.1, 24, -11, -33,16,272.7,⑮⑮⑯,14, 4, コウエイトライ,,小坂忠,273.2,,,, 4,  6.4,⑥⑭⑭,14,10,Ｐボストンオｰ, 68,尾島徹, 2.2, 76,  14,  -3,15,156.0, ③⑤
,,,,,,,,,,,,15, 9, シェリｰ,---,熊沢重, 5.5, 27,  -5, -45,15,109.2,⑧⑨⑩,,,,,,,,,,,,,15, 1,Ｈウォｰタｰオｰレ, 86,畑端省, 2.3, 75,  14,  -4,16,243.4, ④③
,,,,,,,,,,,,16,11, スズカスパイカｰ,---,南井大, 5.7, 23,* -4, -54,14, 96.9,②②④,,,,,,,,,,,,,16,15,Ｌエノク, 83,生野賢, 2.3, 76,   9,   2, 7, 19.6, ⑪⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:350円 複勝:09=140円 08=670円 06=140円 枠連:3,750円",,,,,,,,,,,,単勝:640円 複勝:03=180円 01=110円 15=190円 枠連:540円,,,,,,,,,,,,"単勝:510円 複勝:14=190円 08=190円 05=1,290円 枠連:1,100円",,,,,,,,,,,,"単勝:370円 複勝:14=190円 12=260円 13=620円 枠連:1,170円",,,,,,,,,,,
"馬連:4,770円 ワイド:08-09=1,340円 06-09=240円 06-08=1,700円",,,,,,,,,,,,馬連:720円 ワイド:01-03=330円 03-15=660円 01-15=320円,,,,,,,,,,,,"馬連:1,080円 ワイド:08-14=370円 05-14=5,290円 05-08=4,370円",,,,,,,,,,,,"馬連:1,540円 ワイド:12-14=790円 13-14=1,600円 12-13=3,180円",,,,,,,,,,,
"馬単:7,670円 3連複:5,260円 3連単:30,100円",,,,,,,,,,,,"馬単:1,820円 3連複:1,400円 3連単:8,870円",,,,,,,,,,,,"馬単:2,120円 3連複:28,930円 3連単:115,590円",,,,,,,,,,,,"馬単:2,650円 3連複:13,560円 3連単:56,280円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ゆきやなぎ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃナイスミｰチュｰ, 61,小牧太,, 67,  -4,* 18, 2,  4.6,⑤⑥⑤, 1,11,Ｃアｰリｰデイズ, 69,四位洋,, 73,   5,*  1, 4,  7.0, ⑦⑦, 1, 1,Ｅハｰトビｰトソング, 67,福永祐,, 80,  -2,* 18, 1,  2.1,⑤⑦⑤, 1,14,Ａフィｰルドジュエル, 82,酒井学,, 77,  -5,* 21, 3,  6.4, ⑮⑭
 2, 8,Ａグリッタｰウイング, 69,四位洋, 0.0, 64,* -4,* 16, 1,  1.3,⑦④②, 2,12,Ａパドトロワ, 71,藤岡佑, 0.1, 72,   6,* -1, 1,  3.3, ⑥④, 2, 5,Ａレッドバリオス, 71,川田将, 0.3, 76,   0,  11, 2,  3.2,④④③, 2, 1,Ｃピンクペガサス, 81,福永祐, 0.1, 77,   9,   7, 1,  2.5, ④③
 3, 4,Ｄマルサンサムライ, 56,熊沢重, 1.0, 62,* -3,   9, 6, 33.5,③⑤⑥, 3, 9,Ｉエｰシンヴァｰゴウ, 58,福永祐, 0.4, 71,* 10,  -9, 3,  4.6, ①①, 3, 4,Ｄスナｰクスペイン, 67,太宰啓, 0.5, 67,*  8, -17, 7, 26.2,①①①, 3, 9,Ｄアグネスイカロス, 79,川田将, 0.1, 76,* 10,   6, 5, 14.1, ③④
 4,12,Ｇシルクマッドネス, 48,幸英明, 1.2, 58,* -2,   5, 8, 93.3,①①①, 4, 8,Ｄダノンカスガ, 65,川田将, 0.4, 68,   4,  -3, 2,  3.9, ⑩⑤, 4, 8,Ｆアイウォントユｰ, 63,幸英明, 0.7, 74,  -1,  10, 5, 16.3,⑧⑤⑥, 4,11,Ｂドクタｰラオウ, 81,藤岡佑, 0.4, 73,   8,   5, 2,  3.1, ⑥⑤
 5, 9,Ｅブリｰジｰデイズ, 53,藤田伸, 2.3, 50,  -6,   1, 4, 14.7,⑫⑩⑧, 5,10,Ｊラブキｰセキ, 49,安部幸, 0.4, 70,*  9,  -8, 9, 38.3, ②②, 5, 7,Ｃファイブイｰグル, 69,藤田伸, 1.1, 68,   0,   0, 3,  5.6,②②②, 5,12,Ｉエイシンクエスト, 74,秋山真, 0.5, 72,   7,   5, 6, 26.4, ⑦⑥
 6,11,Ｈファンキｰラッシュ, 48,川田将, 2.4, 49,* -3,  -4, 5, 31.8,②②③, 6, 7,Ｇケイエスケイト, 62,幸英明, 0.5, 66,   3,  -2,10, 38.9, ⑨⑧, 6, 2,Ｂタガノパルムドｰル, 71,藤岡佑, 1.3, 66,  -2,  -1, 4,  9.3,③③④, 6, 8,Ｇミステリアスバイオ, 76,長谷川, 0.5, 72,   3,   9, 9, 36.5, ⑩⑨
 7, 3,Ｋニシノバスタｰ, 32,田辺裕, 3.0, 45,  -6,  -4, 9,152.7,⑧⑨⑦, 7, 5,Ｂヤマニングルノイユ, 70,高倉稜, 0.7, 65,*  7, -10, 5,  9.3, ③③, 7, 3, オグリファイト,---,尾島徹, 1.6, 64,  -3,  -1, 9,147.8,⑦⑥⑦, 7,13,Ｍオｰプンザゲｰト, 69,小野次, 0.6, 73,* 11,   1,15,240.2, ②②
 8, 7,Ｂナムラクンリン, 63,高倉稜, 3.2, 44,  -6,  -5, 3, 14.6,⑩⑪⑨, 8, 3,Ｆバクシンポイント, 62,秋山真, 0.9, 60,   3,  -9, 7, 19.3, ⑤⑨, 8, 6,Ｇセイピｰシｰズ, 58,安藤光, 2.1, 58,  -1, -10, 6, 18.0,⑥⑧⑧, 8, 7,Ｆユウキアックン, 77,小牧太, 0.6, 72,* 12,   0,12, 61.4, ①①
 9, 6, ケンブリッジシｰザ,---,浜中俊, 3.4, 44,  -8,  -5,11,166.5,⑪⑫⑫, 9, 4,Ｅエｰシンリバティｰ, 63,小牧太, 1.1, 56,  -4,  -4, 8, 25.6, ⑪⑫, 9, 9,Ｈダイキンボシ, 50,安部幸, 3.3, 49,  -4, -19, 8,110.2,⑨⑨⑨, 9, 3,Ｊテンザンモビｰル, 74,熊沢重, 0.8, 71,   1,   9,11, 56.0, ⑪⑪
10, 2,Ｉトウカイイｰグル, 39,安部幸, 3.4, 42,  -6,  -7,12,204.9,⑨⑧⑪,10, 6,Ｋスズカジェネラル, 45,武英智, 1.1, 57,   0,  -8,12,225.2, ⑫⑩,,,,,,,,,,,,,10,15,Ｈミキノセレナｰデ, 76,幸英明, 0.9, 70,   5,   3, 8, 35.0, ⑨⑧
11,10,Ｊカｰプ, 33,尾島徹, 3.8, 39,* -3, -16,10,156.5,④③④,11, 1,Ｈカリビアンペガサス, 61,藤田伸, 1.9, 48,   0, -18, 6, 17.1, ⑧⑪,,,,,,,,,,,,,11,10,Ｌワイズドリｰム, 70,浜中俊, 1.2, 67,   8,  -2, 4, 10.2, ⑤⑦
12, 5,Ｆドリｰムセイヴァｰ, 52,秋山真, 5.3, 29,  -5, -25, 7, 33.6,⑥⑦⑩,12, 2, オｰルエモｰション,---,上野翔, 2.7, 40,   7, -35,11, 55.8, ④⑥,,,,,,,,,,,,,12, 4,Ｋマイティｰキラｰ, 71,石橋守, 1.2, 68,  -1,   7,14,176.3, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｎテイエムハヤテオｰ, 69,安藤光, 1.9, 59,  -3,   2,10, 42.8, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｏアピｰル, 66,太宰啓, 1.9, 63,   0,   2,13,160.0, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｅカウンセラｰ, 78,安部幸, 2.0, 60,   6,  -6, 7, 26.9, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
