10年 6月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9,10,Ｉテイエムキャンドル, 45,小林徹, 1.8, 49,  -9,   0,10, 72.1,⑪⑩⑨,,,,,,,,,,,,, 9, 7,Ｃレオプラズマ, 73,的場勇, 2.3, 56,   3,  -3, 3,  6.5,⑤⑥⑧, 9, 6,Ａバリアントバイオ, 74,木幡初, 0.8, 60,   0,   8, 5,  8.9,⑪⑪⑩
10, 9,Ｌアイキャン, 44,荻野琢, 2.4, 46, -10,  -2,12,134.9,⑩⑪⑪,,,,,,,,,,,,,10, 9,Ｋハピネスミユキ, 44,黛弘人, 6.0, 31,  -5, -21,10, 81.4,⑩⑩⑩,10, 7,Ｌトｰセンピュリニｰ, 61,古川吉, 1.1, 58,*  4,  -1, 2,  5.2,④③④
11, 6,Ｊヤマイチリノ, 44,木幡初, 2.5, 39,* -5, -13, 7, 20.8,②②③,,,,,,,,,,,,,,,,,,,,,,,,,11, 4,Ｆスティｰルシャｰク, 68,吉田隼, 1.8, 55,   3,  -5,10, 31.4,②⑤③
12, 3,Ｇチェリッシュ, 50,大野拓, 2.9, 37,  -8,  -9, 9, 38.0,⑧⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,12, 3,Ｂマイネルリズム, 72,丹内祐, 2.1, 53,   0,  -4, 6, 10.4,⑦⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:660円 複勝:04=230円 01=160円 11=310円 枠連:1,250円",,,,,,,,,,,,"単勝:1,750円 複勝:09=410円 08=180円 02=210円 枠連:890円",,,,,,,,,,,,"単勝:440円 複勝:11=190円 05=190円 02=290円 枠連:1,680円",,,,,,,,,,,,単勝:550円 複勝:11=270円 09=590円 01=360円 枠連:960円,,,,,,,,,,,
"馬連:1,510円 ワイド:01-04=540円 04-11=1,740円 01-11=960円",,,,,,,,,,,,"馬連:4,060円 ワイド:08-09=1,430円 02-09=1,470円 02-08=580円",,,,,,,,,,,,"馬連:2,050円 ワイド:05-11=640円 02-11=1,210円 02-05=920円",,,,,,,,,,,,"馬連:9,450円 ワイド:09-11=2,900円 01-11=1,500円 01-09=2,370円",,,,,,,,,,,
"馬単:2,910円 3連複:7,600円 3連単:36,960円",,,,,,,,,,,,"馬単:9,120円 3連複:7,990円 3連単:70,400円",,,,,,,,,,,,"馬単:3,770円 3連複:7,360円 3連単:36,440円",,,,,,,,,,,,"馬単:15,360円 3連複:24,710円 3連単:138,670円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 5R  芝2600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,遊楽部特別,,,,,,,,,,,,臥牛山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅブラウンチｰタｰ, 55,丸山元,, 53,*  0,   3, 3,  7.1, ②②, 1, 6,Ｇサンリヴァル, 47,柴山雄,, 68,*-13,* 15, 1,  1.8,⑩⑦⑤, 1,10,Ｅメイショウマリア, 71,武幸四,, 78,*  3,  11, 3,  4.6,①①①, 1, 2,Ａトモロポケット, 79,勝浦正,, 66,   2,   8, 1,  1.7,③③③
 2, 7,Ａトウショウヒｰロｰ, 64,黛弘人, 0.0, 53,*  1,   2, 1,  2.5, ①①, 2, 8,Ｃコングラチュレｰト, 55,勝浦正, 0.0, 66,*-12,  12, 2,  3.3,⑤③③, 2, 3,Ａレインボｰダリア, 78,丸山元, 0.2, 77,  -1,* 15, 1,  3.0,⑤⑥④, 2, 7,Ｃマイファｰストラヴ, 74,武幸四, 0.1, 69,  -2,* 17, 4,  9.7,⑦⑦⑥
 3, 6,Ｃピｰスオブケイク, 59,大野拓, 0.5, 45,  -9,*  4, 5, 13.3, ⑦⑦, 3, 5,Ｈミリッシュ, 46,丸山元, 0.3, 69, -15,* 17, 9, 45.7,⑨⑩⑧, 3, 1,Ｂナリタシリカ, 77,上村洋, 0.4, 75,   1,  10, 2,  3.6,④⑤②, 3, 3,Ｇタイキエイワン, 64,柴原央, 0.3, 61,   8,  -7, 6, 17.7,②②②
 4,12,Ｂリリｰレインジャｰ, 63,四位洋, 0.7, 44,  -6,   0, 2,  2.5, ⑤⑤, 4, 4,Ｉオウケンドラゴン, 45,長谷川, 0.5, 62,*-13,   6, 4, 17.0,④⑤④, 4, 7,Ｉヒラボクビジン, 59,勝浦正, 0.5, 74,  -2,* 15, 8, 27.8,⑦⑧⑦, 4, 4,Ｄアオゾラペダル, 71,上村洋, 0.4, 65,   1,   8, 3,  5.6,④⑥⑦
 5, 8, ニシノフィリア,---,荻野琢, 0.9, 44,  -4,  -2, 6, 27.2, ④④, 5, 1,Ｂアテンボｰイ, 57,黛弘人, 0.6, 66, -15,* 15, 5, 17.5,⑫⑪⑩, 5, 5,Ｄナムラボルテｰジ, 73,長谷川, 0.6, 73,*  2,   5, 4,  6.4,⑥④③, 5, 5,Ｆメイショウベｰネ, 67,大野拓, 0.5, 63,   2,   4, 8, 38.5,⑥④④
 6,10,Ｄサトノコンテッサ, 57,的場勇, 1.0, 43,  -3,  -4, 4, 12.9, ③③, 6,12,Ａセイルオンザグラス, 57,古川吉, 0.7, 59,*-11,   1, 3,  7.6,②②②, 6, 2,Ｆタガノアルデバラン, 62,芹沢純, 1.3, 66,  -3,   5, 9, 37.1,⑩⑪⑩, 6, 6,Ｂエイシンサクセス, 74,丸山元, 0.7, 60,   2,   1, 2,  5.3,⑤⑤⑤
 7, 5,Ｉグランデメディコ, 44,上村洋, 1.2, 42,  -6,  -3, 8, 35.8, ⑥⑥, 7, 9, ハギノジュノ,---,四位洋, 1.3, 54, -15,   2, 6, 24.1,⑦⑨⑪, 7, 8,Ｈビｰチパｰティｰ, 61,古川吉, 1.4, 68,  -5,   8, 6, 17.6,⑫⑫⑫, 7, 8,Ｈトキノヤマトボシ, 59,四位洋, 0.7, 63,  -3,  13, 5, 14.4,⑧⑧⑧
 8, 1,Ｊスイングサンデｰ, 23,木幡初, 1.3, 37, -22,*  6,11,106.9, ⑪⑪, 8, 7,Ｅゴｰフォｰジョイ, 49,的場勇, 1.6, 44,*-11, -13, 7, 32.7,①①①, 8, 6,Ｃイイデエｰス, 73,吉田隼, 1.7, 60,  -1,  -6, 5, 11.5,⑧⑦⑥, 8, 1,Ｅカネスアドラシオン, 68,丸田恭, 1.0, 51,* 13, -29, 7, 18.7,①①①
 9, 4,Ｈロｰレルソヒｰル, 48,竹之下, 1.5, 39, -10,  -2, 9, 41.6, ⑧⑧, 9,10,Ｊセトウチニッチェ, 40,大野拓, 1.8, 55, -16,   4,12,188.0,⑪⑫⑫, 9, 9,Ｊピｰチブロｰフィズ, 57,丸田恭, 1.7, 60,  -2,  -2,11,118.9,⑨⑨⑨,,,,,,,,,,,,
10, 3,Ｇハヤブサイッポン, 49,西村太, 1.7, 33, -24,   3,10, 59.1, ⑫⑫,10,11,Ｄトｰセンパッション, 50,上村洋, 1.8, 46,*-12, -11, 8, 45.7,⑧⑥⑥,10, 4,Ｇニシノマドカ, 61,木幡初, 1.9, 57,*  2, -13, 7, 23.5,②③⑤,,,,,,,,,,,,
11,11,Ｋベルモントルｰナ, -9,丹内祐, 1.8, 33, -12,  -6,12,145.4, ⑨⑨,11, 3,Ｋミスタｰスズカ, 31,小林徹, 2.0, 45, -14,  -9,10, 68.7,⑥⑧⑨,11,12,Ｌスプリングユノｰ, 43,小野次, 2.2, 56,  -2,  -8,12,263.4,⑪⑩⑪,,,,,,,,,,,,
12, 2,Ｆアマゾニアン, 50,小林徹, 1.8, 33, -14,  -4, 7, 29.9, ⑩⑩,12, 2,Ｆハクレン, 49,丸田恭, 2.4, 39,*-12, -19,11, 93.4,③④⑦,12,11,Ｋピンクジャスミン, 56,荻野琢, 2.7, 48,*  2, -25,10, 63.0,③②⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,
単勝:710円 複勝:09=170円 07=130円 06=230円 枠連:480円,,,,,,,,,,,,単勝:180円 複勝:06=120円 08=130円 05=640円 枠連:260円,,,,,,,,,,,,単勝:460円 複勝:10=150円 03=130円 01=140円 枠連:790円,,,,,,,,,,,,単勝:170円 複勝:02=120円 07=180円 03=340円 枠連:0円,,,,,,,,,,,
馬連:860円 ワイド:07-09=280円 06-09=760円 06-07=560円,,,,,,,,,,,,"馬連:280円 ワイド:06-08=170円 05-06=990円 05-08=1,010円",,,,,,,,,,,,馬連:750円 ワイド:03-10=300円 01-10=340円 01-03=220円,,,,,,,,,,,,"馬連:700円 ワイド:02-07=330円 02-03=500円 03-07=1,500円",,,,,,,,,,,
"馬単:1,930円 3連複:2,240円 3連単:14,860円",,,,,,,,,,,,"馬単:450円 3連複:3,280円 3連単:9,490円",,,,,,,,,,,,"馬単:1,790円 3連複:800円 3連単:5,940円",,,,,,,,,,,,"馬単:1,030円 3連複:3,270円 3連単:10,100円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,函館日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂライブリシｰラ, 62,古川吉,, 61,  -4,*  7, 3,  5.2,⑨④③, 1, 9,Ａスマｰトムｰビｰ, 69,武幸四,, 57,* -4,   3, 1,  2.4, ①①, 1, 5,Ｆマヤノクレナイ, 73,古川吉,, 81,   4,  11, 4,  8.6, ③③, 1, 5,Ｅブルｰホリゾン, 66,上村洋,, 71,  -5,   7, 5, 11.2, ④④
 2, 6,Ｃトウカイノｰマル, 59,的場勇, 0.2, 61,* -3,   5, 2,  3.4,③②②, 2,15,Ｄトｰホウカクテル, 57,丸山元, 0.2, 54, -11,   6, 2,  5.4, ⑦⑦, 2, 2,Ｂトウカイミステリｰ, 80,武幸四, 0.2, 78,   3,  10, 1,  3.1, ④④, 2, 2,Ｉメジロガストン, 63,小野次, 0.1, 68,* -2,   3, 3,  8.3, ②②
 3, 5,Ｄテイクザファントム, 57,丸山元, 0.4, 59,  -4,   4, 4,  6.4,④③④, 3, 6,Ｉメグリ, 51,丹内祐, 0.4, 53, -16,   9, 9, 31.6, ⑨⑧, 3,13,Ｋマイネルオｰクベイ, 69,大野拓, 0.3, 76,  -2,  13,12, 41.8, ⑨⑨, 3,10,Ａスプリングアウェク, 71,荻野琢, 0.1, 69,* -1,   2, 2,  4.1, ③③
 4, 2,Ａサクラボｰルド, 63,四位洋, 0.4, 58,* -2,   2, 1,  2.3,①①①, 4, 2,Ｇオｰゴンルビｰ, 55,丸田恭, 0.4, 50,  -9,   1, 7, 14.4, ③③, 4, 6,Ａクラッカｰジャック, 80,勝浦正, 0.3, 76,  -4,* 15, 6, 13.0, ⑪⑪, 4,11,Ｄヨシサプライズ, 68,勝浦正, 0.2, 67,  -7,   7, 6, 12.7, ⑦⑧
 5, 8,Ｈシゲルナガマサ, 50,長谷川, 0.5, 59,  -5,*  6, 5, 24.2,⑧⑧⑤, 5,10,Ｆベルエｰル, 55,柴山雄, 0.4, 51, -14,   6, 4,  8.2, ⑧⑨, 5, 1,Ｄエンシャントアｰツ, 74,上村洋, 0.4, 75,  -1,  11, 9, 31.4, ⑦⑥, 5, 4,Ｃマリエンベルク, 68,柴山雄, 0.2, 69, -17,* 16, 9, 20.7, ⑮⑮
 6, 9,Ｅヤブサメ, 55,丸田恭, 1.2, 54,  -7,   1, 7, 31.2,⑥⑨⑦, 6,13,Ｌフレシｰタ, 47,古川吉, 0.6, 50, -15,   5,12, 94.4, ⑩⑩, 6,11,Ｈモモフク, 73,長谷川, 0.6, 74, -10,* 17, 8, 20.1, ⑫⑬, 6,16,Ｋツクバフｰジン, 61,大野拓, 0.3, 66, -10,   8, 4, 10.7, ⑨⑨
 7,11,Ｇヒシカツヒトリタビ, 52,小林徹, 1.9, 49,  -5,  -8,11,106.4,⑫⑥⑥, 7, 5,Ｈスタｰリｰクルｰズ, 54,四位洋, 0.8, 49, -23,* 10, 6, 12.6, ⑬⑬, 7, 7,Ｎフロｰズンタイム, 66,丸田恭, 0.7, 70,*  8,  -2,11, 40.5, ①①, 7,14,Ｐマヤノアンズ, 53,古川吉, 0.4, 66,  -6,   4,15, 60.4, ⑥⑥
 8,10,Ｆアロマセラピスト, 54,荻野琢, 1.9, 52,  -6,  -3, 8, 33.1,⑦⑩⑧, 8,14,Ｍリネンダイドウ, 43,木幡初, 0.8, 47,  -9,  -4,14,138.0, ④④, 8,14,Ｅティムガッド, 74,丸山元, 0.7, 71,   3,   3, 7, 15.8, ⑤⑤, 8,13,Ｇトｰワテレサ, 65,吉田隼, 0.5, 65, -15,* 11, 7, 13.4, ⑭⑫
 9, 7,Ｋレオウルフ, 35,大野拓, 3.9, 32,  -6, -22,12,231.6,⑤⑦⑩, 9, 3,Ｅムｰンライトシティ, 56,勝浦正, 0.9, 44, -13,  -2, 3,  7.4, ⑥⑤, 9, 8,Ｌチェアユｰアップ, 68,丹内祐, 0.8, 70,   2,   3,10, 39.6, ⑥⑦, 9, 3,Ｍヴィクトリアロｰズ, 58,的場勇, 0.6, 62, -14,   9,10, 25.9, ⑫⑬
10, 3,Ｊメジロベンジャミン, 44,西村太, 4.5, 30,  -5, -29, 6, 30.9,②⑤⑨,10,12,Ｎジワクｰ, 42,大野拓, 0.9, 48, -26,* 11,11, 56.9, ⑭⑭,10, 3,Ｊハｰトランドノリカ, 71,竹之下, 0.8, 71, -12,* 16,13, 45.3, ⑭⑫,10, 7,Ｏラルティスタ, 57,丸山元, 0.7, 61,*  2,  -8, 1,  3.4, ①①
11, 1, サンレッドシチｰ,---,柴山雄, 4.6, 28,  -9, -22,10, 74.2,⑩⑪⑪,11, 1,Ｏスｰプカレｰ, 32,小野次, 0.9, 48, -23,   9,13,103.6, ⑫⑫,11, 9,Ｇラヴァｰズテｰラｰ, 73,荻野琢, 0.9, 69,  -1,   5, 5,  9.5, ⑧⑧,11,12,Ｂワイドロｰタス, 69,四位洋, 0.7, 61,  -5,  -1, 8, 16.0, ⑤⑤
12,12,Ｉメイスンドリｰム, 44,吉田隼, 7.9, 13, -16, -39, 9, 73.7,⑪⑫⑫,12, 7,Ｂキョウワバｰニング, 59,小林徹, 1.0, 44, -10,  -5, 5, 10.2, ⑤⑥,12, 4,Ｉメジロチャンプ, 72,吉田隼, 1.0, 67,*  7,  -4, 2,  4.4, ②②,12, 8,Ｌキングオバマ, 58,木幡初, 0.9, 58, -12,   2,14, 52.0, ⑩⑩
,,,,,,,,,,,,13, 8,Ｃワンダｰストｰリリ, 58,長谷川, 1.3, 41, -18,  -1,10, 31.8, ⑪⑪,13,12,Ｏミウラジェット, 56,武英智, 1.0, 68, -10,  12,15,257.6, ⑬⑭,13, 1,Ｎフライングビｰン, 58,武幸四, 1.2, 54, -13,   0,13, 45.2, ⑪⑪
,,,,,,,,,,,,14,11,Ｋスズカデジタル, 49,上村洋, 1.5, 37,* -6, -16, 8, 19.9, ②②,14,15,Ｍバトルレッド, 67,小野次, 1.0, 67,  -2,   5, 3,  6.5, ⑩⑩,14, 9,Ｆステイマックス, 66,丹内祐, 1.3, 55, -13,   0,16,130.6, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｃアプロｰズヒｰロｰ, 77,柴山雄, 1.1, 67, -13,  14,14, 65.1, ⑮⑮,15, 6,Ｈルナレｰヴェ, 63,黛弘人, 1.4, 52, -10,  -5,11, 36.5, ⑧⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｊベルウッドグラｰテ, 62,丸田恭, 2.9, 32, -21, -14,12, 40.1, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,
単勝:520円 複勝:04=180円 06=150円 05=190円 枠連:650円,,,,,,,,,,,,単勝:240円 複勝:09=150円 15=160円 06=550円 枠連:500円,,,,,,,,,,,,"単勝:860円 複勝:05=250円 02=150円 13=1,200円 枠連:440円",,,,,,,,,,,,"単勝:1,120円 複勝:05=270円 02=230円 10=160円 枠連:3,450円",,,,,,,,,,,
馬連:880円 ワイド:04-06=350円 04-05=460円 05-06=380円,,,,,,,,,,,,"馬連:720円 ワイド:09-15=330円 06-09=1,170円 06-15=2,190円",,,,,,,,,,,,"馬連:1,230円 ワイド:02-05=500円 05-13=5,840円 02-13=3,350円",,,,,,,,,,,,"馬連:3,740円 ワイド:02-05=1,280円 05-10=700円 02-10=830円",,,,,,,,,,,
"馬単:1,830円 3連複:1,520円 3連単:8,820円",,,,,,,,,,,,"馬単:1,050円 3連複:5,130円 3連単:18,630円",,,,,,,,,,,,"馬単:3,110円 3連複:22,130円 3連単:112,840円",,,,,,,,,,,,"馬単:10,260円 3連複:4,880円 3連単:42,300円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
