10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年10月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,清水ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8,15,Ｂヒットザタｰゲット, 65,福永祐, 0.5, 60,  -7,   0, 2,  4.2, ⑨⑩, 8, 5,Ｂパｰフェクトバイオ, 79,高倉稜, 1.6, 65,*  8,   0, 5, 13.0, ②③, 8, 5,Ｆキクノプログレッソ, 76,川須栄, 1.1, 71,   1,   9, 9,129.8,⑧⑨⑨, 8, 7,Ｃレインボｰダリア, 82,秋山真, 0.7, 79,  14,   2,12, 59.8,⑥⑥⑦
 9, 9,Ｄシゲルリジチョウ, 58,高倉稜, 0.5, 60, -10,*  6, 5, 15.3, ⑫⑬, 9, 1,Ｋタガノアルデバラン, 67,中村将, 1.7, 68,   1,   7, 9, 37.4, ⑪⑪, 9, 7,Ｉパワｰエｰス, 73,熊沢重, 2.3, 65,   3,  -4, 8, 42.4,⑦⑦⑦, 9, 9,Ｌアグネスワルツ, 76,柴田善, 0.7, 77,* 16,  -4, 7, 13.6,①①①
10,12,Ｋゴｰズオン, 41,和田竜, 0.9, 55,  -6, -10,12,193.0, ⑦⑦,10,13,Ｊタガノディｰバ, 67,幸英明, 1.9, 64,   6,  -1, 6, 14.2, ⑤⑤,,,,,,,,,,,,,10,18,Ｒプリンセスメモリｰ, 65,浜中俊, 0.8, 83,  11,* 13,17,161.5,⑱⑱⑱
11, 8,Ｅミライポケット, 57,四位洋, 1.6, 49, -10, -10, 6, 15.7, ⑬⑪,11, 2,Ｈロケットダイヴ, 72,松岡正, 2.1, 64,  -1,   7,12, 63.4, ⑭⑭,,,,,,,,,,,,,11, 8,Ｏオウケンサクラ, 74,内田博, 0.8, 78,* 15,  -3, 8, 18.3,③③③
12,13,Ｌスプリングディナン, 40,鷹野宏, 1.6, 49, -11,  -8,14,359.2, ⑭⑭,12,14,Ｌナリタシｰズン, 63,川須栄, 2.1, 63,   0,   4,10, 42.9, ⑬⑬,,,,,,,,,,,,,12, 2,Ｇベストクルｰズ, 80,三浦皇, 0.9, 78,* 15,  -4,14,129.0,②②②
13, 7,Ｏミッキｰソング, 31,安藤光, 1.8, 42,  -6, -23,15,403.9, ⑤⑨,13,11,Ｍデンコウラッキｰ, 62,蛯名正, 2.6, 59,   4,  -4,14, 85.5, ⑩⑩,,,,,,,,,,,,,13,12,Ｎアンティフリｰズ, 76,松岡正, 0.9, 78,  11,   4,18,171.5,⑬⑫⑭
14,14,Ｈガトｰディマンシュ, 46,熊沢重, 1.9, 47,  -9, -15,11,188.2, ⑪⑫,14, 6,Ｆトウカイブラスト, 72,熊沢重, 2.7, 60,   3,  -4, 7, 14.2, ⑧⑧,,,,,,,,,,,,,14, 6,Ｍコスモネモシン, 76,和田竜, 1.0, 78,  14,  -1,11, 53.7,⑪⑩⑧
15, 2,Ｍダイナミックワルツ, 38,太宰啓, 2.3, 43, -12, -14,13,324.6, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｈエｰシンリタｰンズ, 80,福永祐, 1.1, 75,* 15,  -6, 9, 20.3,⑤④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｆショウリュウムｰン, 81,四位洋, 1.2, 74,  12,  -3, 5, 12.1,⑧⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｑタガノエリザベｰト, 70,小牧太, 1.3, 74,  11,   1,16,137.3,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｋサンテミリオン, 77,藤岡佑, 2.3, 65,   8,  -9, 3,  7.9,⑯⑰⑰
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:13,880円 複勝:10=2,650円 05=130円 03=270円 枠連:3,360円",,,,,,,,,,,,単勝:660円 複勝:04=300円 09=180円 12=460円 枠連:380円,,,,,,,,,,,,単勝:340円 複勝:08=110円 03=110円 01=130円 枠連:380円,,,,,,,,,,,,単勝:230円 複勝:15=120円 10=300円 04=230円 枠連:670円,,,,,,,,,,,
"馬連:18,040円 ワイド:05-10=4,790円 03-10=8,590円 03-05=480円",,,,,,,,,,,,"馬連:1,580円 ワイド:04-09=670円 04-12=2,010円 09-12=1,270円",,,,,,,,,,,,馬連:370円 ワイド:03-08=150円 01-08=190円 01-03=200円,,,,,,,,,,,,"馬連:1,420円 ワイド:10-15=570円 04-15=400円 04-10=1,490円",,,,,,,,,,,
"馬単:59,840円 3連複:33,720円 3連単:490,160円",,,,,,,,,,,,"馬単:3,780円 3連複:11,110円 3連単:58,260円",,,,,,,,,,,,"馬単:820円 3連複:280円 3連単:1,680円",,,,,,,,,,,,"馬単:1,990円 3連複:3,250円 3連単:12,550円",,,,,,,,,,,
■ 3R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,,,京都ｵｰﾀﾑﾌﾟﾚﾐｱﾑ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2, スクウェルチャｰ,---,蛯名正,, 56,*-18,* 15, 1,  3.4,①①①, 1, 3,Ｆヒラボクキング, 73,藤岡佑,, 76,*  6,   9, 1,  3.7,①①①, 1, 4,Ｅメイショウシオギリ, 78,秋山真,, 83,   5,*  8, 9, 29.9, ⑤④, 1, 8,Ｃマルカベンチャｰ, 86,安藤勝,, 85,   3,* 20, 1,  1.9, ⑬⑬
 2,12, ボレアス,---,藤岡佑, 0.4, 55, -20,* 14, 4,  6.1,④⑤⑥, 2,12,Ｃマｰリンシチｰ, 75,佐藤哲, 0.1, 79,   3,* 16, 4,  7.4,⑩⑨⑨, 2, 9,Ａリッピアピンク, 82,後藤浩, 0.1, 82,   1,* 11, 4,  8.8, ⑧⑦, 2,11,Ｅフェイムロバリｰ, 85,後藤浩, 0.3, 82,  11,   7, 4, 12.0, ④③
 3, 9, ミヤジメｰテル,---,後藤浩, 0.5, 51,*-19,* 12, 3,  4.6,⑦③③, 3, 7,Ｄツルマルシルバｰ, 74,幸英明, 0.7, 73,   3,   8, 7, 17.2,⑧⑧⑦, 3, 3,Ｄエｰシンシｰクルｰ, 79,池添謙, 0.3, 80,*  9,   0, 1,  3.3, ①①, 3,13,Ｉアデュラリア, 82,秋山真, 0.3, 82,* 12,   5, 2,  5.1, ②②
 4, 8, キングオブフェイス,---,小林徹, 1.0, 51, -20,   9,10,106.4,⑧⑥④, 4,10,Ｈオリエンタルコｰル, 72,酒井学, 1.0, 71,   4,   4, 8, 25.1,⑤⑤⑤, 4, 6,Ｌアルｰリングライフ, 68,幸英明, 0.3, 80,   4,   6, 2,  3.3, ⑥⑧, 4, 6,Ｆスリｰアリスト, 84,蛯名正, 0.4, 83,  -1,* 22, 6, 23.2, ⑭⑭
 5,10, デｰヴァロｰカ,---,福永祐, 1.1, 48,*-19,   6, 2,  3.7,②②②, 5, 2,Ｅメイショウモネ, 73,秋山真, 1.0, 70,*  5,   3, 6, 11.1,③③④, 5, 1,Ｇビｰチアイドル, 76,和田竜, 0.5, 78,   7,   1, 3,  8.3, ④③, 5, 4,Ｊメトロノｰス, 81,内田博, 0.6, 81,  11,   5, 8, 31.8, ③④
 6, 1, サフランディライト,---,浜中俊, 1.2, 49, -21,   9, 7, 17.9,⑥⑦⑦, 6,13,Ｇエアリアルショット, 72,浜中俊, 1.1, 72,   2,   9,10, 47.9,⑪⑩⑪, 6,13,Ｋショウリュウアクト, 72,小牧太, 0.7, 74,  -3,   7,11, 38.7, ⑪⑪, 6, 3,Ｈリリｰハｰバｰ, 82,池添謙, 0.6, 80,   8,   9, 9, 38.4, ⑧⑧
 7, 7, マｰブルハｰト,---,松山弘, 1.8, 47, -22,   7, 6, 16.4,⑩⑧⑧, 7,11,Ｌホウライブライアン, 70,和田竜, 1.1, 73,   0,* 11, 9, 44.5,⑭⑭⑫, 7,12,Ｈトミノドリｰム, 76,高倉稜, 0.7, 74,   0,   4,10, 35.0, ⑨⑨, 7, 1,Ｌテイエムクレナイ, 78,幸英明, 0.8, 80,   9,   6,11, 60.7, ⑥⑥
 8, 4, ラプスドｰル,---,内田博, 2.1, 44, -23,   7, 5, 10.0,⑨⑩⑨, 8, 6,Ｉオｰスミマリオン, 71,武幸四, 1.2, 72,*  6,  -1, 5,  7.8,②②②, 8, 2,Ｃニホンピロシェリｰ, 81,酒井学, 0.9, 71,  -5,   7, 8, 27.8, ⑫⑫, 8,14,Ａネオフリｰダム, 88,高倉稜, 0.8, 77,* 13,   0, 3, 10.5, ①①
 9, 3, レアリサｰル,---,秋山真, 2.5, 39, -19,  -3, 9, 39.4,⑤④⑤, 9, 4,Ｎタマモビｰト, 68,太宰啓, 1.3, 69,   1,   8,12, 70.7,⑫⑫⑩, 9,11,Ｆサンゴシック, 77,松山弘, 0.9, 72,  -3,   4, 7, 16.4, ⑩⑩, 9, 7,Ｎセレスダイナミック, 78,酒井学, 1.1, 78,   5,   8,14,267.9, ⑫⑨
