10年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年12月11日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝3900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ2000m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,三木ﾎｰｽﾗﾝﾄﾞﾊﾟｰｸｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ﾍﾞﾃﾙｷﾞｳｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｈサｰランスロット, 42,藤田伸,, 66,*  3,*  0, 5, 14.0, ③②, 1, 8, マルセリｰナ,---,安藤勝,, 67, -17,* 14, 1,  1.4, ⑦⑥, 2, 3, マイネルアルセｰヌ,,草野太,263.5,,,, 8, 30.8,②②①, 1,13,Ａワンダｰアキュｰト, 95,和田竜,, 95,  17,* 13, 1,  2.8,⑥④④
 2, 3,Ａスｰサングリｰン, 62,和田竜, 0.5, 63,   2,  -4, 1,  1.4, ⑤⑤, 2, 7, アイアムアクトレス,---,秋山真, 0.2, 62, -16,   6, 2,  4.7, ⑤④, 1, 6, ダノンバッカス,,西谷誠,,,,, 7, 28.7,④⑦⑦, 2,14,Ｂマチカネニホンバレ, 92,川田将, 0.1, 93,* 18,  11, 3,  7.7,④③②
 3, 1,Ｄブライ, 53,岩田康, 0.8, 60,   2,  -6, 2,  5.8, ④④, 3, 9, タマモマｰブル,---,幸英明, 0.5, 64, -24,* 18, 9, 94.9, ⑩⑩, 3, 8, ドングラシアス,,高田潤,264.0,,,, 1,  3.0,⑤③③, 3,11,Ｊピイラニハイウェイ, 85,熊沢重, 0.4, 94,  16,  12,13, 74.2,⑧⑦⑥
 4, 6,Ｂシゲルトウドリ, 56,幸英明, 0.9, 58,   0,  -5, 4, 13.6, ⑥⑥, 4, 5, デンコウリョウ,---,佐藤哲, 0.5, 56, -16,   2, 3,  9.7, ③③, 4, 1, エルジャンクション,,林満明,264.3,,,, 4,  6.5,③④⑥, 4, 7,Ｈネイキッド, 89,佐藤哲, 0.4, 92,  17,  11,14,119.6,⑤⑤⑤
 5, 9,Ｃゼニバコ, 55,浜中俊, 1.8, 50,  -2, -11, 3,  7.2, ⑨⑧, 5, 1, フレンチボウ,---,和田竜, 0.5, 63, -20,  11, 6, 30.8, ⑥⑦, 5, 2, アドマイヤサンサン,,北沢伸,264.8,,,, 2,  3.3,⑦⑥⑤, 5,12,Ｆマイネルアワグラス, 90,安部幸, 0.5, 92,  15,* 13,10, 59.8,⑫⑪⑧
 6, 2,Ｊホワイトシャｰク, 35,石橋守, 2.0, 51,  -6,  -5, 9,173.6, ⑪⑩, 6, 2, カテンゲッチ,---,藤岡佑, 0.5, 55,*-13,  -2, 4, 15.9, ①①, 6, 9, ツアｰデフォｰス,,今村康,265.2,,,, 9, 69.0,①①②, 6, 5,Ｄエｰシンモアオバｰ, 91,国分恭, 0.8, 89,* 19,   2, 4,  9.4,①①①
 7, 8,Ｆエビスガオ, 49,川須栄, 2.2, 47,  -5,  -9,11,186.3, ⑩⑨, 7,10, ディｰプタッチ,---,藤田伸, 0.7, 59, -20,   8, 5, 17.9, ⑧⑨, 7, 7, ハクサン,,五十嵐,265.2,,,, 3,  4.1,⑥⑤④, 7, 1,Ｇタマモクリエイト, 89,幸英明, 0.9, 89,  14,* 13, 9, 49.6,⑮⑮⑪
 8,10,Ｇモリトラヴ, 48,古川吉, 2.3, 46,  -2, -15, 8, 87.3, ⑧⑦, 8, 3, サンマルデピュティ,---,酒井学, 0.8, 57, -20,   6, 7, 59.5, ⑨⑧, 8, 4, スｰパｰヴァイザｰ,,高野容,266.7,,,,10, 96.4,⑩⑨⑩, 8,10,Ｃインバルコ, 92,後藤浩, 0.9, 87,  15,  11, 2,  3.7,⑬⑫⑩
 9, 4,Ｋテイエムエビスオｰ,-11,鷹野宏, 3.2, 40,*  4, -30,10,173.9, ①①, 9, 6, トｰワゴｰルド,---,国分恭, 1.9, 40, -19, -12,10, 96.2, ④⑤, 9,10, デアモント,,小坂忠,266.9,,,, 5, 13.5,⑧⑩⑨, 9,16,Ｅシビルウォｰ, 90,藤田伸, 1.0, 90,  14,* 14, 7, 13.7,⑭⑯⑫
10,11,Ｉアグネススコｰル, 41,国分優, 4.6, 29,*  3, -41, 7, 86.5, ②③,10, 4, メイショウディノス,---,飯田祐, 2.4, 31,*-13, -29, 8, 83.3, ②②,10, 5, コウヨウウェｰブ,,穂苅寿,267.9,,,, 6, 15.5,⑨⑧⑧,10, 8,Ｌバトｰドｰル, 84,安藤勝, 1.1, 85,  16,   6, 5, 10.2,⑩⑨⑦
11, 7,Ｅハｰドブラボｰ, 49,後藤浩, 8.3, -5,  -3, -66, 6, 28.3, ⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,,11, 6,Ｉナニハトモアレ, 87,藤岡佑, 1.2, 87,  14,  11, 8, 36.0,⑯⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12, 4,Ｋウインペンタゴン, 85,浜中俊, 2.5, 78,* 18,  -9, 6, 11.0,③②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｐビｰビｰファルコン, 57,古川吉, 2.6, 78,  14,  -1,16,273.5,⑪⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｏオｰシャンエイプス, 61,秋山真, 4.6, 65,  15, -22,11, 64.3,⑨⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｎニルヴァｰナ, 76,酒井学, 5.3, 63,  15, -26,12, 73.2,⑦⑩⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:0),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,400円 複勝:05=250円 03=100円 01=160円 枠連:770円",,,,,,,,,,,,単勝:140円 複勝:08=110円 07=140円 09=970円 枠連:260円,,,,,,,,,,,,"単勝:2,870円 複勝:06=500円 03=460円 08=140円 枠連:18,780円",,,,,,,,,,,,"単勝:280円 複勝:13=160円 14=290円 11=1,090円 枠連:1,150円",,,,,,,,,,,
馬連:690円 ワイド:03-05=290円 01-05=740円 01-03=170円,,,,,,,,,,,,"馬連:250円 ワイド:07-08=160円 08-09=1,860円 07-09=2,960円",,,,,,,,,,,,"馬連:19,260円 ワイド:03-06=3,800円 06-08=1,080円 03-08=1,000円",,,,,,,,,,,,"馬連:1,140円 ワイド:13-14=520円 11-13=2,590円 11-14=5,900円",,,,,,,,,,,
"馬単:2,360円 3連複:1,000円 3連単:11,190円",,,,,,,,,,,,"馬単:340円 3連複:5,430円 3連単:11,070円",,,,,,,,,,,,"馬単:33,470円 3連複:15,690円 3連単:225,330円",,,,,,,,,,,,"馬単:1,640円 3連複:22,860円 3連単:70,400円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 6R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝2200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,境港特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂボウシュウロｰズ, 64,安藤勝,, 68,*-10,   7, 4,  6.1, ②②, 1, 5,Ｆエイシンオスマン, 65,後藤浩,, 71,*  1,   8, 5,  8.4, ③②, 1, 9,Ｂキタサンアミｰゴ, 80,川田将,, 88,* -1,  22, 5, 10.1,④③④, 1, 9,Ｋベルモントサｰガ, 71,浜中俊,, 79,   5,  10, 8, 18.1,⑩⑧⑥
 2, 9,Ｊカルドブレッサ, 54,川田将, 0.1, 71, -16,* 14, 3,  5.3, ⑨⑧, 2, 9,Ｃシャイニｰホｰク, 66,安藤勝, 0.0, 72,  -2,  11, 1,  3.2, ⑤⑤, 2, 7,Ｆマイネルシュトルム, 78,和田竜, 0.2, 82,*  0,  14, 3,  7.2,①①①, 2, 3,Ｇライジングバイオ, 76,川須栄, 0.0, 78,*  7,   8,11,115.4,②②②
 3,10,Ａサウンドボルケｰノ, 67,岩田康, 0.2, 68, -13,   9, 1,  3.0, ⑦⑦, 3,12,Ｌキョウワジャンヌ, 54,飯田祐, 0.2, 71,  -8,* 17, 8, 40.0, ⑨⑨, 3, 5,Ａタニノエポレット, 88,安藤勝, 0.2, 90,  -5,* 29, 2,  5.4,⑩⑩⑩, 3, 2,Ｅサンレイハスラｰ, 78,後藤浩, 0.2, 76,   5,* 11, 5, 13.7,⑦⑨⑧
 4, 5,Ｅタッチドヘヴンリｰ, 60,浜中俊, 0.2, 67, -13,   8, 6, 10.0, ⑥⑥, 4,14,Ｅウエストエンド, 65,和田竜, 0.5, 66,*  4,  -2,11, 75.1, ①①, 4, 2,Ｈキンショｰオトヒメ, 77,幸英明, 0.2, 85,  -3,  23, 8, 47.4,⑦⑦⑥, 4, 5,Ｂスエズ, 80,佐藤哲, 0.2, 77,   6,   8, 2,  5.4,④④④
 5, 6,Ｄゴｰルデンオブジェ, 60,川須栄, 0.3, 64,*-12,   3, 7, 18.8, ③③, 5,10,Ｂゼフィランサス, 67,藤田伸, 0.5, 67,  -4,   8, 3,  4.8, ⑦⑦, 5, 8,Ｄハｰトビｰトソング, 80,岩田康, 0.3, 81,* -1,  15, 1,  1.7,②②②, 5, 7,Ａサンマルボス, 83,和田竜, 0.2, 79,   6,   9, 1,  2.0,⑧⑦⑦
 6,11,Ｃシゲルリジチョウ, 61,国分優, 0.4, 67, -18,* 13, 8, 19.8, ⑫⑮, 6, 2,Ｎメイショウツガル, 46,秋山真, 0.6, 66,  -4,   8,12, 93.7, ⑧⑧, 6, 3,Ｃヤマニンガｰゴイル, 80,後藤浩, 0.3, 82,* -1,  18, 4,  7.9,⑤⑤⑤, 6, 8,Ｃキャプテンマジン, 79,川田将, 0.3, 78,   5,  10, 6, 14.2,⑨⑩⑩
 7,12,Ｌボストンリョウマ, 52,和田竜, 1.1, 54,*-12,  -8, 9, 33.4, ④④, 7, 3,Ｈバラｰドソング, 63,古川吉, 0.6, 66,  -3,   5, 4,  8.3, ⑥⑥, 7, 6,Ｅトウカイオｰロラ, 80,国分恭, 0.4, 84,  -4,  23, 7, 27.0,⑨⑨⑨, 7, 1,Ｄコウユｰヒｰロｰ, 79,国分恭, 0.3, 79,   4,* 12, 7, 16.4,⑫⑫⑫
 8, 4,Ｉエスユニヴァｰス, 56,幸英明, 1.2, 50,* -9, -14,12,239.0, ①①, 8, 6,Ａオウエイバスタｰ, 73,佐藤哲, 0.7, 64, -10,* 14, 2,  3.5, ⑫⑬, 8, 4,Ｉキクカラヴリイ, 76,安部幸, 0.4, 84,  -3,  21,10,116.2,⑧⑧⑦, 8, 4,Ｆナムラフュｰチャｰ, 77,幸英明, 0.5, 74,*  9,   0, 4,  9.6,①①①
 9, 2,Ｋテレポｰテｰション, 53,安部幸, 1.2, 53, -13,  -7,14,285.8, ⑤⑤, 9, 4,Ｉニジブルｰム, 62,幸英明, 0.8, 63,  -9,  11,10, 62.3, ⑬⑩, 9,10,Ｊスマｰトグリッド, 72,藤田伸, 0.4, 82,  -3,  18, 6, 20.7,⑥⑥⑧, 9,10,Ｍメイショウエバモア, 69,熊沢重, 0.6, 75,   6,   3, 3,  7.7,⑤⑤③
10,15,Ｆエリモフロンティア, 59,後藤浩, 1.4, 52, -17,  -1, 5,  9.5, ⑭⑬,10,13,Ｊアルボランシｰ, 57,川田将, 1.2, 58,   0,  -7, 9, 46.7, ④④,10, 1,Ｇウォｰタｰセレネ, 77,酒井学, 0.6, 80,* -1,  14, 9,111.5,③④③,10, 6,Ｌアキノフライ, 71,安部幸, 0.7, 75,   6,   5,13,239.5,⑥⑥⑨
11,13,Ｐバシマイシン, 33,酒井学, 1.4, 54, -15,  -3,16,471.2, ⑪⑩,11, 7,Ｄカラカル, 66,下原理, 1.6, 54,  -9,   1,13,106.1, ⑪⑭,,,,,,,,,,,,,11,12,Ｈフラッグラッシュ, 76,古川吉, 0.9, 72,   4,   6,10, 63.9,⑬⑪⑪
12, 1,Ｈアスｰルアラテラ, 56,藤田伸, 1.6, 53, -18,  -2, 2,  4.8, ⑬⑫,12, 1,Ｇツカサリボン, 63,国分恭, 1.6, 55,  -9,   1, 6, 12.7, ⑭⑪,,,,,,,,,,,,,12,11,Ｉオｰシャンクルｰズ, 73,酒井学, 2.2, 66,   3,  -2,12,222.2,⑪⑬⑬
13,14,Ｍコスモポントス, 43,秋山真, 1.9, 47, -17,  -8,13,259.5, ⑮⑭,13, 8,Ｋキボウホウ, 57,安部幸, 1.7, 53,  -9,   0,14,341.4, ⑩⑫,,,,,,,,,,,,,13,13,Ｊトウカイトキメキ, 72,下原理, 3.4, 54,   6, -21, 9, 23.4,③③⑤
14, 8,Ｎタケデンブラック, 40,熊沢重, 1.9, 50, -21,  -1,15,323.3, ⑯⑯,14,11,Ｍムジョウ, 51,岩田康, 2.3, 45,*  2, -23, 7, 28.3, ②③,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Ｏアンナオブラプタｰ, 39,国分恭, 2.0, 44, -16, -12,10,230.7, ⑩⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 7,Ｇタイセイエンプレス, 58,古川吉, 2.3, 42, -16, -16,11,234.0, ⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,
単勝:610円 複勝:03=180円 09=190円 10=140円 枠連:550円,,,,,,,,,,,,単勝:840円 複勝:05=270円 09=160円 12=500円 枠連:230円,,,,,,,,,,,,"単勝:1,010円 複勝:09=350円 07=300円 05=230円 枠連:330円",,,,,,,,,,,,"単勝:1,810円 複勝:09=440円 03=1,890円 02=420円 枠連:19,140円",,,,,,,,,,,
"馬連:1,920円 ワイド:03-09=630円 03-10=350円 09-10=370円",,,,,,,,,,,,"馬連:1,640円 ワイド:05-09=720円 05-12=2,880円 09-12=1,500円",,,,,,,,,,,,"馬連:2,530円 ワイド:07-09=920円 05-09=790円 05-07=660円",,,,,,,,,,,,"馬連:53,460円 ワイド:03-09=10,980円 02-09=2,860円 02-03=9,790円",,,,,,,,,,,
"馬単:3,430円 3連複:1,590円 3連単:14,030円",,,,,,,,,,,,"馬単:3,690円 3連複:11,230円 3連単:57,710円",,,,,,,,,,,,"馬単:5,490円 3連複:5,120円 3連単:33,970円",,,,,,,,,,,,"馬単:113,540円 3連複:145,040円 3連単:1,109,600円",,,,,,,,,,,
