12年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年11月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,八坂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:920円 3連複:10,720円 3連単:38,400円",,,,,,,,,,,,"馬単:1,760円 3連複:28,520円 3連単:68,760円",,,,,,,,,,,,"馬単:2,890円 3連複:2,060円 3連単:11,350円",,,,,,,,,,,,"馬単:7,720円 3連複:15,300円 3連単:80,630円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,秋明菊賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂオｰキッドレイ, 59,川須栄,, 57,  -1,* 12, 2,  3.5, ⑨⑧, 1, 2,Ｃアドマイヤキュｰト, 77,福永祐,, 77,   4,  13, 2,  2.9,③④⑤, 1, 4,Ｂタマモベストプレイ, 62,和田竜,, 73, -18,* 20, 2,  4.0, ⑥⑥, 1, 2,Ｆキモンレッド, 79,幸英明,, 83,   6,  13, 8, 17.8, ④②
 2, 7,Ａサトノプレシャス, 60,池添謙, 0.2, 52,   1,   5, 1,  1.8, ⑥⑥, 2, 8,Ｄスノｰレガｰロ, 76,川須栄, 0.1, 76,   2,  14, 6, 22.4,⑤⑦⑨, 2, 7,Ａティｰハｰフ, 68,デムｰ, 0.1, 73, -20,* 22, 1,  1.5, ⑩⑨, 2, 6,Ｇキョウワダッフィｰ, 78,藤岡佑, 0.0, 84,   6,  14, 6,  9.2, ⑤④
 3, 8,Ｅラルプデュエズ, 50,デムｰ, 0.2, 54,  -4,* 14, 3,  4.7, ⑫⑪, 3, 7,Ｂメモリｰシャルマン, 78,幸英明, 0.2, 75,   1,* 14, 3,  3.7,⑨⑨②, 3, 1,Ｄベルライン, 59,福永祐, 0.4, 65,*-13,   7, 3,  7.3, ②②, 3, 7,Ｃワイドバッハ, 82,小牧太, 0.4, 81,  -1,* 18, 1,  2.8, ⑬⑪
 4,11,Ｆオｰスミミズホ, 49,小牧太, 0.5, 52,  -1,   5, 4, 21.9, ⑧⑨, 4,10,Ａタガノリベラノ, 82,デムｰ, 0.2, 71,   1,* 14, 1,  2.8,⑧⑧⑧, 4, 8,Ｃタンスチョキン, 62,国分恭, 0.6, 65, -19,  13, 6, 46.2, ⑧⑦, 4,13,Ｉワイルドフラッパｰ, 77,福永祐, 0.5, 79,   4,  10, 4,  7.2, ⑥⑧
 5, 4,Ｈゼンノコンゴウ, 43,和田竜, 0.6, 48,*  3,  -5,10, 87.8, ②②, 5, 6,Ｊエｰシンジェネシス, 62,小牧太, 0.4, 71,*  5,   6, 7, 23.8,①①①, 5, 3,Ｇハドソンシチｰ, 53,佐藤哲, 0.7, 63, -16,   9, 5, 27.2, ⑤⑤, 5,15,Ａホクセツキングオｰ, 85,和田竜, 0.5, 79,* 10,   3, 3,  7.2, ①①
 6, 5,Ｉスプリングシャトル, 41,秋山真, 1.0, 44,   1,  -5, 8, 41.2, ⑦⑦, 6, 3,Ｉケイティｰズハｰト, 68,池添謙, 0.6, 72,*  4,   7, 4, 11.3,②②③, 6, 6,Ｅスイｰトドｰナッツ, 58,幸英明, 0.8, 61, -17,   7, 4, 14.4, ④④, 6, 4,Ｍホホヲヨセテ, 73,秋山真, 0.7, 78,   5,   9,12,114.9, ⑦⑤
