12年 7月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2850m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9,13,Ｆヒアルロンサン, 35,嘉藤貴, 1.7, 38,  -1, -18, 5,  8.4, ⑤⑤, 9, 8, タガノバッチグｰ,,中村将,185.8,,,, 2,  3.2,②③⑥, 9,13,Ｊリバｰオリエンタル, 52,吉田豊, 0.8, 58,  -6,*  0, 7, 17.3, ⑯⑯, 9,10,Ｆシゲルモトナリ, 77,勝浦正, 0.6, 74,   2,  10, 9, 23.1, ⑪⑭
10, 4,Ｎカンタベリｰリュウ, 23,木幡初, 2.1, 34,  -1, -22,15,217.7, ④④,10, 7, エイユｰブラッサム,,今村康,186.8,,,,11, 63.8,⑫⑫⑫,10, 2,Ｅロジフロｰリアン, 60,内田博, 0.8, 59,  -3,  -4, 4,  7.9, ⑪⑫,10, 7,Ｉアポロノカンザシ, 75,西田雄, 0.7, 72,* 11,   0,11, 42.9, ①①
11, 9,Ｂコフユチェリｰ, 46,柴田善, 2.6, 30,  -4, -24, 8, 35.6, ⑦⑩,11, 6, トキノナスティア,,浜野谷,187.0,,,, 9, 50.1,⑧⑨⑨,11, 1,Ｍジヴェルニｰアｰト, 45,杉原誠, 0.9, 56,   1, -13,17,214.5, ③③,11, 4,Ｋゴｰルドスマイル, 74,大野拓, 0.8, 72,   3,   9,14,107.9, ⑬⑬
12,15,Ｈクロロフィル, 32,杉原誠, 2.6, 28, -16, -13, 9, 47.1, ⑭⑭,12, 5, アイティゴｰルド,,高野和,187.1,,,,14,154.3,⑪⑪⑪,12,12,Ｇメリダ, 58,西村太, 1.3, 53,  -2, -13, 8, 21.0, ⑭⑬,12,16,Ｐナンヨｰクイｰン, 66,嶋田純, 0.8, 71,*  9,  -1,15,123.5, ②②
13, 8,Ｇテロワｰル, 35,江田照, 2.6, 27,  -9, -19,10, 93.5, ⑪⑧,13,13, ユウタｰチェイサｰ,,金子光,187.9,,,, 8, 29.8,⑬⑬⑬,13, 8, コンタクトアゲン,---,原田和, 1.5, 51,  -6,  -8,18,303.6, ⑮⑭,13,17,Ｍメロｰクｰミス, 71,杉原誠, 1.0, 69,   5,   2,16,138.5, ⑦⑦
14, 3,Ｍミキノロココ, 25,西田雄, 3.3, 22,  -8, -26,14,177.2, ⑫⑫,14,12, イｰジｰウイン,,蓑島靖,190.4,,,,12, 81.8,⑭⑭⑭,14,14,Ｋリズミックセンス, 48,蛯名正, 1.6, 49,   0, -21,13,102.7, ⑤⑨,14,12,Ｈオｰクヴィル, 75,二本柳, 1.0, 69,   2,   6,10, 24.9, ⑭⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｌフュｰワｰズ, 45,中舘英, 2.0, 44,*  4, -34,16,173.0, ②②,15,15,Ｇレト, 76,木幡初, 1.1, 68,   7,   0, 8, 22.3, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｉマニッシュスマイル, 53,木幡初, 2.3, 39,   1, -34,11, 42.1, ⑥⑤,16, 9,Ｑアルファメガハｰト, 64,石神深, 1.4, 65,  -4,   8,17,285.4, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,17, 4,Ｄリンガスジュエル, 62,嘉藤貴, 2.3, 41,   0, -31,12, 82.4, ⑩⑧,17,13,Ｒアイアムノココロ, 63,中谷雄, 1.4, 64,   4,  -2,18,427.1, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,18,11, ケｰジｰハナザカリ,---,中谷雄, 2.9, 35,  -2, -39,15,130.5, ⑫⑪,18,11,Ｏレｰザｰインパクト, 67,柴田善, 1.4, 65,   5,  -3,13, 86.7, ⑧⑧
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:820円 複勝:01=240円 14=160円 02=250円 枠連:1,390円",,,,,,,,,,,,"単勝:360円 複勝:09=170円 01=1,750円 14=570円 枠連:20,940円",,,,,,,,,,,,"単勝:550円 複勝:09=200円 15=210円 07=390円 枠連:1,240円",,,,,,,,,,,,単勝:680円 複勝:05=220円 03=140円 01=150円 枠連:780円,,,,,,,,,,,
"馬連:1,530円 ワイド:01-14=620円 01-02=1,130円 02-14=570円",,,,,,,,,,,,"馬連:18,700円 ワイド:01-09=3,680円 09-14=1,260円 01-14=10,360円",,,,,,,,,,,,"馬連:1,840円 ワイド:09-15=610円 07-09=1,340円 07-15=1,750円",,,,,,,,,,,,"馬連:1,340円 ワイド:03-05=550円 01-05=530円 01-03=280円",,,,,,,,,,,
"馬単:3,590円 3連複:4,040円 3連単:28,030円",,,,,,,,,,,,"馬単:26,550円 3連複:98,260円 3連単:481,370円",,,,,,,,,,,,"馬単:3,410円 3連複:10,150円 3連単:41,380円",,,,,,,,,,,,"馬単:2,940円 3連複:1,710円 3連単:10,190円",,,,,,,,,,,
■ 2R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,ｱｲﾋﾞｽｻﾏｰﾀﾞｯｼｭ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,17,Ｄラウンドロビン, 63,田中勝,, 66,  -5,* 13, 1,  2.5,⑬⑪⑫, 1, 2, ナンヨｰケンゴｰ,---,柴田善,, 50, -29,*  9, 2,  3.2, ⑨⑨, 1,15,Ａカフェヒミコ, 79,松岡正,, 79,   5,* 12, 1,  2.4, ⑥⑤, 1,16,Ｊパドトロワ, 78,安藤勝,, 93,* 10,* 15, 7, 11.6,   
 2, 6,Ｂテナシティｰ, 64,中舘英, 0.1, 60,* -2,   0, 5, 14.4,③②②, 2, 3, サングブルｰ,---,北村宏, 0.1, 45, -26,   2, 4,  7.9, ④④, 2, 3,Ｋゲンパチメジャｰ, 67,石橋脩, 0.1, 79,* 10,   7, 8, 19.2, ①①, 2,17,Ｌエｰシンダックマン, 76,蛯名正, 0.2, 89,* 15,   8, 5,  7.9,   
 3, 8,Ａアポロテイスト, 67,勝浦正, 0.1, 60,* -2,   1, 3,  4.1,⑤③③, 3, 6, フェｰトグランド,---,内田博, 0.2, 46, -27,   4, 1,  2.2, ⑦⑦, 3, 8,Ｆヴェイグストｰリｰ, 72,村田一, 1.0, 70,   2,   6, 3,  8.8, ⑧⑦, 3, 4,Ｃエｰシンヴァｰゴウ, 84,田辺裕, 0.3, 88,   7,  12, 4,  7.8,   
 4,10,Ｃブリングスザサン, 64,松岡正, 0.2, 62,* -1,   1, 6, 19.2,④④④, 4, 7, ステラジアン,---,大庭和, 0.2, 42,*-25,  -3, 9, 55.8, ①①, 4,12,Ｉエバｰロｰズ, 69,木幡初, 1.0, 70,*  8,   1, 9, 19.5, ②②, 4, 3,Ａハクサンムｰン, 90,石橋脩, 0.3, 89,* 20,   4, 3,  7.1,   
 5, 2,Ｒボｰルドドリｰム, 37,西田雄, 0.3, 61,  -4,*  7,11,118.8,⑫⑨⑧, 5,10, コスモハヤブサ,---,大野拓, 0.4, 43, -26,  -1, 5, 16.3, ⑤⑤, 5, 4,Ｈロイヤルサルｰト, 69,蛯名正, 1.0, 71,   5,   3, 7, 17.4, ⑤⑥, 5,15,Ｆジュエルオブナイル, 82,内田博, 0.6, 84,   2,  12, 6,  9.5,   
 6, 9,Ｇクライマックス, 59,内田博, 0.3, 60,  -4,   4, 4, 10.7,⑥⑥⑤, 6, 9, プラサスティ,---,田中勝, 0.6, 38, -26,  -6, 7, 27.9, ⑥⑥, 6,14,Ｅフィンデルムンド, 72,安藤勝, 1.1, 69,  -1,*  9, 6, 14.2, ⑬⑬, 6,11,Ｂアウトクラトｰル, 84,木幡初, 0.6, 84,  -2,* 15,12, 77.9,   
 7, 5,Ｊエムエムロゼオ, 54,西村太, 0.5, 60,  -6,*  8,14,167.7,⑮⑬⑪, 7, 1, フェイマスシｰン,---,吉田豊, 0.7, 41, -32,   4, 6, 19.1, ⑪⑪, 7, 5,Ｂケイアイヘルメス, 79,吉田豊, 1.2, 68,   2,   4, 2,  4.6, ⑨⑩, 7,14,Ｈシャウトライン, 81,中舘英, 0.7, 82,   7,   7,14, 99.0,   
 8,12,Ｌトラストネモフィラ, 51,木幡初, 0.9, 53,  -4,  -3,17,335.7,⑦⑧⑨, 8,11, アキレスバイオ,---,江田照, 1.4, 25,*-25, -19, 8, 48.7, ③③, 8, 6,Ｊエスペランサシチｰ, 69,勝浦正, 1.4, 66,  -5,*  8,12, 74.6, ⑭⑭, 8,13,Ｏアイルラヴァゲイン, 72,松岡正, 0.8, 81,  -5,* 13,17,135.6,   
 9, 1,Ｆジルニトラ, 60,北村宏, 0.9, 51,*  0, -13, 2,  3.9,①①①, 9, 5, セイウンコダシ,---,村田一, 1.7, 25, -30, -13,11,103.3, ⑩⑩, 9, 9,Ｃトウカイチャｰム, 76,北村宏, 1.5, 66,   3,   1, 5, 10.3, ⑩⑨, 9, 8,Ｄアフォｰド, 82,村田一, 0.8, 80,  -2,  12, 2,  5.5,   
10, 3,Ｎベニノアロｰ, 51,岩部純, 1.0, 58,  -8,*  8,18,445.3,⑱⑱⑯,10, 8, セイカスプレンダｰ,---,中舘英, 1.7, 26, -29, -16,10, 76.4, ⑧⑧,10, 1,Ｄパライバトルマリン, 75,田辺裕, 1.6, 65,*  7,  -4, 4,  9.8, ③③,10,12,Ｅビウイッチアス, 82,吉田豊, 0.9, 78,   2,   8, 1,  3.6,   
11,13,Ｍハクサンフォレスト, 51,村田一, 1.0, 52,  -6,  -1,15,176.1,⑨⑫⑬,11, 4, セイクリッドナイト,---,蛯名正, 1.8, 20,*-25, -27, 3,  7.3, ②②,11, 2,Ｇウインミネルヴァ, 72,田中勝, 1.9, 61,   4,  -4,10, 39.3, ⑦⑧,11, 1,Ｇアポロフェニックス, 81,勝浦正, 0.9, 79,   2,   8,13, 98.0,   
12,15,Ｉグリｰンパキラ, 55,蛯名正, 1.1, 51,  -5,  -8, 7, 28.1,⑧⑦⑦,,,,,,,,,,,,,12,10,Ｌオｰパルス, 65,西村太, 2.2, 58,   0,  -3,13,101.5, ⑪⑫,12, 5,Ｎレオンビスティｰ, 74,江田照, 1.1, 74,   3,   4, 9, 28.1,   
13, 4,Ｈダイメイサンデｰ, 59,大庭和, 1.1, 54,  -6,   0,10, 82.5,⑰⑭⑭,,,,,,,,,,,,,13,11,Ｏアｰドバｰク, 50,西田雄, 2.3, 59,  -1,  -3,15,293.8, ⑫⑪,13, 2,Ｐセブンシｰクィｰン, 71,田中勝, 1.2, 73,   3,   2,16,119.6,   
14,16,Ｅブルｰナボｰニャ, 62,田辺裕, 1.1, 52,  -4,  -5, 9, 38.2,⑩⑩⑩,,,,,,,,,,,,,14,13,Ｎクｰルテツマル, 56,江田照, 2.5, 56,*  7, -12,11, 66.7, ④④,14, 9,Ｋオウケンサクラ, 77,北村宏, 1.3, 72,  -2,   5, 8, 15.8,   
15, 7,Ｐニシノウマノスケ, 45,嶋田純, 1.3, 53,  -8,   3,16,290.6,⑯⑰⑮,,,,,,,,,,,,,15, 7,Ｍアイドルバイオ, 61,田中博, 2.8, 55, -10,   2,14,255.0, ⑮⑮,15,18,Ｑコパノオｰシャンズ, 69,西田雄, 1.3, 73,  -5,   7,15,109.1,   
16,11,Ｑバロｰル, 38,柴田善, 2.3, 42,  -7, -15,13,163.4,⑭⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｒナイアｰド, 68,大野拓, 1.4, 70,   3,   0,10, 29.5,   
17,14,Ｋクレイジｰタイガｰ, 52,杉原誠, 2.9, 35,  -3, -35,12,151.0,②⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｉワンダｰポデリオ, 81,田中博, 1.6, 67,  -6,   4,18,249.5,   
18,18,Ｏリｰドホイッスル, 46,石橋脩, 3.5, 32,  -6, -35, 8, 36.5,⑪⑮⑱,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｍスプラッシュエンド, 76,柴田善, 2.0, 61,  -6,  -2,11, 52.5,   
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:250円 複勝:17=130円 06=320円 08=150円 枠連:1,420円",,,,,,,,,,,,"単勝:320円 複勝:02=130円 03=160円 06=120円 枠連:1,640円",,,,,,,,,,,,"単勝:240円 複勝:15=140円 03=460円 08=290円 枠連:1,300円",,,,,,,,,,,,"単勝:1,160円 複勝:16=340円 17=330円 04=350円 枠連:2,500円",,,,,,,,,,,
"馬連:1,570円 ワイド:06-17=670円 08-17=230円 06-08=790円",,,,,,,,,,,,"馬連:1,490円 ワイド:02-03=380円 02-06=180円 03-06=270円",,,,,,,,,,,,"馬連:2,350円 ワイド:03-15=950円 08-15=580円 03-08=2,350円",,,,,,,,,,,,"馬連:3,450円 ワイド:16-17=1,240円 04-16=1,670円 04-17=1,410円",,,,,,,,,,,
"馬単:2,380円 3連複:1,790円 3連単:10,000円",,,,,,,,,,,,"馬単:2,370円 3連複:810円 3連単:6,050円",,,,,,,,,,,,"馬単:3,110円 3連複:6,480円 3連単:30,310円",,,,,,,,,,,,"馬単:7,600円 3連複:12,280円 3連単:80,960円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,糸魚川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂノｰブルガイア, 63,吉田豊,, 62,   0,*  1, 4, 14.2,⑩⑫⑫, 1, 2, コスモアンダルシア,---,蛯名正,, 50, -21,   2, 4,  7.5, ③④, 1,12,Ｂサトノアポロ, 80,北村宏,, 78,  -1,* 15, 2,  3.7, ⑥⑥, 1,15,Ｆマルタｰズカイト, 72,木幡初,, 73,*  4,   8, 8, 16.9,⑤③③
 2,14,Ｄスカルラット, 62,山崎亮, 0.3, 58,   2,  -8, 8, 32.5,⑧⑦⑤, 2, 4, カシマシャドウ,---,西田雄, 0.0, 52, -27,   7,11, 89.6, ⑦⑦, 2, 8,Ａブラインドサイド, 81,蛯名正, 0.2, 74,  -1,* 11, 1,  1.6, ⑤⑤, 2, 4,Ａハスラｰ, 78,北村宏, 0.1, 71,*  4,   7, 1,  3.3,④⑤④
 3, 4,Ｆスカｰレットリング, 58,内田博, 0.3, 58,   3,  -9, 2,  3.5,⑤④⑥, 3,10, アルマダクロス,---,北村宏, 0.2, 49, -28,   6,10, 56.8, ⑧⑧, 3, 6,Ｌトウショウレイザｰ, 56,吉田豊, 0.2, 73,*  1,   8, 6, 33.0, ②②, 3, 9,Ｃチャンピオンハｰレ, 74,松岡正, 0.1, 74,   1,* 14, 3,  6.8,⑪⑩⑨
 4,15,Ｃホシニイノリヲ, 63,中舘英, 0.3, 56,*  5, -13, 3,  4.8,①①①, 4, 7, アスカブランシュ,---,松岡正, 0.2, 47,*-20,  -2, 1,  2.4, ②②, 4, 3,Ｋイクシカナイダロウ, 57,杉原誠, 0.4, 64,*  6,  -8,11,193.1, ①①, 4, 3,Ｋユｰロビｰト, 68,大野拓, 0.3, 70,   2,*  8, 5,  8.8,⑦⑦⑦
 5, 5,Ｈリアルファッション, 55,柴田善, 0.5, 59,   1,* -5, 6, 25.9,⑬⑪⑪, 5, 3, シアｰジュ,---,石橋脩, 0.2, 47,*-18,  -5, 5, 10.3, ①①, 5,13,Ｆブｰケドロゼブルｰ, 64,江田照, 0.5, 69,  -1,   6, 7, 44.1, ⑨⑦, 5,13,Ｉキングスバｰン, 68,柴田善, 0.9, 67,*  5,  -1, 4,  8.7,②②②
 6, 3,Ｅフェスティヴラン, 59,田中勝, 0.5, 56,   1,  -7, 5, 14.3,⑫⑧⑧, 6, 1, マイネライムライト,---,大野拓, 0.2, 49, -25,   3, 8, 44.1, ⑥⑥, 6,11,Ｄケイアイジｰニアス, 68,中舘英, 0.6, 71,  -1,   6, 5, 18.0, ⑪⑪, 6,11,Ｅモンク, 73,田辺裕, 0.9, 66,   3,   1, 9, 21.4,⑥⑥⑤
 7,13,Ｇコトブキハレスガタ, 56,大野拓, 0.6, 56,   0,* -5, 9, 35.8,⑭⑩⑩, 7,12, ドラゴントｰク,---,内田博, 0.4, 49, -39,* 14, 3,  5.1, ⑪⑩, 7, 9,Ｇオメガオンリｰワン, 64,内田博, 0.7, 69,  -3,   6, 4, 13.0, ⑩⑩, 7, 5,Ｍメイショウオオゾラ, 51,蛯名正, 1.1, 66,*  5,  -3, 7, 10.1,①①①
 8,12,Ｍプリッキｰヌｰ, 50,江田照, 1.3, 50,   2, -16, 7, 28.7,④⑤⑦, 8, 8, ヨシカワクン,---,山崎亮, 0.5, 42, -22,  -5, 2,  4.6, ④③, 8, 7,Ｃダｰリブ, 70,嘉藤貴, 0.7, 70,  -2,   7, 9, 63.7, ⑧⑨, 8, 7,Ｂベルモントメジャｰ, 74,嶋田純, 1.3, 65,   0,   4, 2,  5.2,⑩⑪⑩
 9, 9,Ｋイットｰオジョウ, 54,岩部純, 1.7, 49,*  4, -22,11, 85.8,③③③, 9, 6, マジシャンズレッド,---,嘉藤貴, 1.2, 33, -23, -12, 9, 54.4, ⑤⑤, 9,10,Ｅマジックポスト, 68,木幡初, 1.0, 62,  -1,  -2, 3,  8.5, ③③, 9, 6,Ｈリンクルリッジ, 71,西田雄, 1.4, 66,   1,   4,13,120.4,⑨⑨⑪
10,11,Ｊリトルシェフ, 54,原田和, 1.7, 51,  -1, -13,14,270.4,⑦⑬⑬,10, 9, ハナイチモンメ,---,中舘英, 2.2, 21, -30, -17, 7, 21.7, ⑨⑨,10, 2,Ｊアセント, 57,田中博, 1.1, 66,  -4,   5,12,286.6, ⑬⑬,10, 8,Ｄクラリスピンク, 74,田中勝, 1.4, 62,   2,  -1, 6,  8.9,⑧⑧⑧
11,10,Ａカタクリズム, 65,石橋脩, 1.7, 49,   2, -20, 1,  2.3,⑥⑥④,11, 5, アマンダ,---,田中勝, 2.2, 21, -34, -15, 6, 14.9, ⑩⑪,11, 4,Ｉウィズインカチドキ, 58,大庭和, 1.1, 66,  -4,   5,13,356.0, ⑫⑫,11, 2,Ｇアカシロｰレル, 72,江田照, 1.6, 63,   0,   4,10, 59.5,⑬⑫⑫
12, 8,Ｉアンゲルスノｰヴス, 54,蛯名正, 1.9, 49,   1, -19,10, 60.8,⑪⑨⑨,,,,,,,,,,,,,12, 5,Ｍイイデジャパン, 56,村田一, 1.8, 53,  -1, -11, 8, 55.0, ④④,12,10, フジノタイガｰ,---,西村太, 1.6, 62,  -2,   6,14,127.4,⑭⑭⑭
13, 1,Ｌディｰズプリンセス, 51,勝浦正, 2.4, 44,*  4, -28,12, 96.3,②②②,,,,,,,,,,,,,13, 1,Ｈコスモアネクドｰト, 63,大野拓, 1.8, 57,  -4,  -7,10, 94.7, ⑦⑧,13,12,Ｌドルモン, 65,嘉藤貴, 1.7, 63,  -1,   2,11, 67.1,⑫⑬⑬
14, 2,Ｏカヴァリｰナ, 42,北村宏, 3.2, 40,  -2, -24,13,170.3,⑨⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｊキョウエイヒドラ, 68,勝浦正, 2.0, 59,*  4,  -9,12, 71.9,③④⑥
15, 7,Ｎダｰリンアイ, 47,西村太, 3.2, 38,  -3, -23,15,543.9,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｎシュウザンモモ, 50,増沢由, 2.9, 57,  -4,  -1,15,323.2,⑮⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
