12年 7月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
■ 2R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,,,,,,,,,,,,,CBC賞 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂサチノコイノボリ, 66,国分優,, 75,  22,*  2, 2,  3.8,⑤⑤⑤, 1, 6, シゲルイルカザ,---,国分優,, 44, -32,*  6, 3,  3.9,③⑤⑤, 1,14,Ｈチェリｰヒロイン, 67,高倉稜,, 79,   6,* 12,10, 30.3,⑯⑯⑪, 1,16,Ａマジンプロスパｰ, 87,浜中俊,, 80,*  6,   5, 2,  4.5, ③③
 2,16,Ａサンライズロイヤル, 69,和田竜, 0.3, 72,  20,* -1, 3,  4.4,⑦⑦⑦, 2, 8, ニシノアプレゲｰル,---,和田竜, 0.1, 44, -32,*  4, 1,  3.1,④④④, 2,10,Ｂマスクオフ, 77,横山典, 0.3, 75,   7,*  6, 1,  1.6,⑪⑪⑨, 2,15,Ｂスプリングサンダｰ, 87,四位洋, 0.1, 81,  -9,* 18, 7, 14.1, ⑮⑮
 3,18,Ｄタガノビッグバン, 62,太宰啓, 0.4, 69,* 23,* -7, 4,  8.4,③③④, 3, 9, ラシｰマ,---,浜中俊, 0.2, 40, -30,   1, 7, 18.2,⑤③③, 3, 3,Ａハッピｰウィｰク, 77,藤岡康, 0.5, 71,   8,  -2, 2,  8.3,④④⑤, 3,12,Ｃダッシャｰゴｰゴｰ, 85,横山典, 0.2, 77,  -2,  10, 1,  4.3, ⑧⑪
 4, 3,Ｇタイセイハリケｰン, 57,藤岡康, 0.7, 68,  19,* -2, 8, 39.7,⑭⑩⑨, 4, 1, ヒシパｰル,---,幸英明, 0.4, 42, -34,*  5, 5, 12.3,⑨⑧⑧, 4,13,Ｌアルアマｰナ, 64,幸英明, 0.5, 73,   4,*  6, 3, 10.1,⑭⑭⑭, 4,13,Ｅオウケンサクラ, 84,太宰啓, 0.2, 76,   0,   7, 8, 24.1, ⑨⑧
 5, 4,Ｐタイキプレミアム, 49,小牧太, 1.3, 64,* 23, -19, 1,  3.4,④④②, 5, 2, カミングアップ,---,国分恭, 0.7, 35, -33,  -2, 4,  7.7,⑥⑦⑦, 5, 5,Ｊミラクルベリｰ, 65,酒井学, 0.6, 70,* 13,  -8,15,118.0,①①①, 5,17,Ｉエｰシンヒットマン, 81,藤岡康, 0.6, 72,   3,  -1, 4,  6.8, ⑦⑤
 6, 8,Ｆヴィサｰジュ, 59,北村友, 1.7, 58,* 23, -28, 5, 10.1,①①①, 6, 3, クリスクリングル,---,横山典, 0.8, 30,*-29, -10, 6, 12.6,①①①, 6, 9,Ｍクイｰンキセキ, 63,和田竜, 0.7, 71,   9,  -3, 7, 20.5,⑨⑦⑦, 6,10,Ｑリｰチザクラウン, 69,北村友, 0.8, 69,  -6,   6,10, 36.8, ⑭⑭
 7, 5,Ｌメイショウバクフウ, 55,国分恭, 2.0, 57,  18, -15,17,326.1,⑪⑬⑬, 7, 4, メイショウアカフジ,---,武豊  , 0.9, 31, -33,  -6, 2,  3.3,⑦⑥⑥, 7, 7,Ｃユｰスティティア, 72,太宰啓, 0.8, 67,   4,   1, 5, 18.1,⑫⑬⑬, 7, 4,Ｆエｰシンダックマン, 84,川田将, 0.9, 69,*  9, -10, 5,  7.3, ①①
 8,15,Ｉスマｰトアスタｰ, 56,石橋守, 2.1, 56,  17, -18, 9, 43.0,⑫⑫⑫, 8, 5, カシノビッグベン,---,野元昭, 2.2, 11,*-29, -30, 8, 96.8,②②②, 8, 2,Ｋカネトシカトリｰヌ, 65,渡辺薫, 0.8, 67,* 11,  -8,13, 91.8,③③③, 8, 3,Ｋシゲルスダチ, 78,高倉稜, 0.9, 69,  -2,   1, 6, 11.4, ⑩⑨
 9,12,Ｊエルマカロン, 55,幸英明, 2.5, 54,  22, -33,10, 49.7,⑨⑧⑥,,,,,,,,,,,,, 9, 6,Ｆアドマイヤアロング, 71,国分優, 0.8, 68,* 11, -10,16,145.7,②②②, 9, 1,Ｈグランプリエンゼル, 82,幸英明, 0.9, 69,   3,  -4, 3,  5.4, ④④
10, 1,Ｅジョビジョバ, 60,中井裕, 2.7, 51,  16, -21,14, 89.5,⑬⑭⑭,,,,,,,,,,,,,10, 4,Ｐツインテｰル, 58,四位洋, 1.0, 67,   3,   1,12, 89.3,⑬⑫⑮,10, 6,Ｄオｰルブランニュｰ, 85,藤懸貴, 0.9, 70, -14,* 12, 9, 35.9, ⑰⑰
11, 6,Ｏロｰレルハイウェイ, 51,水口優, 3.0, 50,  12, -16,16,173.9,⑱⑱⑱,,,,,,,,,,,,,11, 1,Ｎエアカリナン, 60,川田将, 1.4, 62,   8, -13, 8, 21.9,⑦⑥⑥,11,11,Ｊサンダルフォン, 79,酒井学, 1.1, 67, -13,   8,12, 67.5, ⑯⑯
12,17,Ｒインフィジャｰル, 34,酒井学, 3.0, 50,  14, -17,13, 87.2,⑰⑯⑰,,,,,,,,,,,,,12,11,Ｅカルトマリｰヌ, 72,長岡禎, 1.6, 60,   3,  -6,14,100.6,⑮⑮⑯,12, 9,Ｇコパノオｰシャンズ, 83,武豊  , 1.1, 66,  -6,   2,15,118.0, ⑬⑫
13, 2,Ｎダｰレｰムｰン, 52,武豊  , 3.1, 50,  19, -35,11, 64.3,⑩⑪⑩,,,,,,,,,,,,,13,15,Ｄガッダムアスカ, 72,北村友, 1.7, 57,   8, -17, 4, 16.3,⑥⑧⑧,13, 7,Ｏファインチョイス, 72,中井裕, 1.2, 64,  -2,  -3,13, 83.3, ⑪⑩
14,11,Ｑジャックスワロｰ, 44,渡辺薫, 3.3, 47,  13, -22,18,417.5,⑯⑰⑯,,,,,,,,,,,,,14,12,Ｉタニセンヴォイス, 65,武豊  , 2.3, 51,  10, -29, 9, 23.7,⑤⑤④,14, 8,Ｍアキノパンチ, 73,水口優, 1.5, 60,  -5,  -5,16,131.0, ⑫⑬
15,13,Ｍエイトビｰト, 55,浜中俊, 3.3, 48,  18, -35, 6, 16.2,⑧⑨⑪,,,,,,,,,,,,,15,16,Ｏグロｰリアスロｰズ, 58,浜中俊, 2.7, 47,   7, -29, 6, 18.6,⑩⑩⑩,15, 2,Ｌイセノスバル, 75,芹沢純, 1.7, 57,   0, -12,17,172.4, ⑤⑥
16,10,Ｋトｰアルイ, 55,藤懸貴, 3.4, 47,* 23, -51,12, 66.4,②②③,,,,,,,,,,,,,16, 8,Ｇセイラ, 67,国分恭, 2.8, 45,   4, -27,11, 83.0,⑧⑨⑫,16,14,Ｐホットチリペッパｰ, 72,飯田祐, 2.2, 51,*  7, -25,14,111.2, ②②
17,14,Ｃケントリュｰズ, 64,川田将, 3.6, 47,  20, -45, 7, 18.0,⑥⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,,17, 5,Ｎドラゴンファング, 72,国分優, 3.1, 40,   1, -30,11, 47.5, ⑥⑦
18, 9,Ｈキクノエクレｰル, 57,高倉稜, 4.6, 40,  15, -44,15,150.1,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+15 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:0),,,,,,,,,,,
単勝:380円 複勝:07=150円 16=180円 18=230円 枠連:420円,,,,,,,,,,,,単勝:390円 複勝:06=140円 08=130円 09=280円 枠連:460円,,,,,,,,,,,,"単勝:3,030円 複勝:14=480円 10=110円 03=190円 枠連:510円",,,,,,,,,,,,単勝:450円 複勝:16=170円 15=320円 12=180円 枠連:760円,,,,,,,,,,,
馬連:770円 ワイド:07-16=310円 07-18=680円 16-18=680円,,,,,,,,,,,,馬連:600円 ワイド:06-08=270円 06-09=640円 08-09=620円,,,,,,,,,,,,"馬連:2,260円 ワイド:10-14=890円 03-14=2,430円 03-10=330円",,,,,,,,,,,,"馬連:3,110円 ワイド:15-16=1,090円 12-16=420円 12-15=1,450円",,,,,,,,,,,
"馬単:1,560円 3連複:2,040円 3連単:8,920円",,,,,,,,,,,,"馬単:1,230円 3連複:2,280円 3連単:9,170円",,,,,,,,,,,,"馬単:8,500円 3連複:4,750円 3連単:50,320円",,,,,,,,,,,,"馬単:5,290円 3連複:4,520円 3連単:27,660円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■12R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中京,,,,,,,,,,,,美濃特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａマサノボラｰレビア, 70,幸英明,, 64,*  3,  -2, 1,  1.8, ①①, 1,10, ディパッション,---,北村友,, 65,  -4,*  3, 2,  3.6, ⑤⑤, 1, 1,Ｄサクラアルディｰト, 76,川田将,, 72,  -3,   3, 2,  4.1,⑤⑤⑤, 1,13,Ａデザｰトオアシス, 80,川田将,, 76,*  2,* 17, 1,  1.5, ⑤③
 2, 5,Ｆゴッドツェッペリン, 59,太宰啓, 0.1, 61,  -7,*  6, 4,  9.3, ⑩⑩, 2,11, サウンドアドバイス,---,高倉稜, 0.3, 61,  -7,*  1, 1,  2.9, ⑦⑦, 2, 7,Ｂコアレスドラｰド, 81,武豊  , 0.0, 75,  -4,*  9, 3,  4.7,⑩⑩⑩, 2, 7,Ｋシンキングマシｰン, 68,高倉稜, 0.2, 74,   0,* 17, 5, 21.3, ⑧⑤
 3, 7,Ｂワンダｰカサドｰル, 62,国分恭, 0.7, 58,   0,  -5, 3,  5.7, ④④, 3, 8, ニシノモンクス,---,中井裕, 0.3, 60,* -2,  -5, 5,  7.6, ②②, 3, 3,Ａダブルイｰグル, 82,太宰啓, 0.1, 70,  -3,   3, 4,  8.7,⑧⑧⑦, 3, 8,Ｉスズカジョンブル, 69,渡辺薫, 0.3, 76,  -1,* 19, 2,  8.3, ⑬⑩
 4,15,Ｄワキノネクサス, 60,酒井学, 1.1, 55,   0,  -9, 9,124.3, ⑥⑤, 4, 1, クインスウィｰティ,---,和田竜, 0.4, 62,  -4,  -3, 7, 18.7, ③③, 4, 4,Ｃサンライズマルス, 80,小牧太, 0.4, 66,*  0,  -8, 1,  2.1,①①①, 4,10,Ｄホｰマンフリップ, 73,和田竜, 0.4, 72,  -1,  16, 4, 12.2, ⑨⑥
 5, 8,Ｉメジロガラメキ, 54,和田竜, 1.4, 51,  -2, -10, 8,102.8, ⑦⑦, 5, 2, セキショウ,---,横山典, 0.7, 56,  -7,  -4, 4,  7.4, ⑥⑥, 5, 5,Ｉシゲルジョウム, 68,和田竜, 1.0, 61,  -5,  -8, 8, 68.3,⑨⑨⑧, 5, 4,Ｆプントバンコ, 72,北村友, 0.4, 73,*  3,  14, 3,  8.6, ④④
 6,12,Ｃダンツスウィフト, 61,浜中俊, 1.4, 52,*  2, -15, 5, 12.0, ②②, 6, 5, シャンピオナ,---,幸英明, 0.7, 57,  -8,  -3, 3,  7.1, ⑧⑧, 6, 8,Ｈアｰセナルゴｰル, 71,幸英明, 1.4, 54,  -2, -19, 6, 20.1,④③③, 6, 9,Ｅケイアイアポロン, 72,浜中俊, 0.7, 70,  -2,  16, 9, 38.5, ⑮⑮
 7, 4,Ｈニロティカス, 59,小牧太, 1.7, 48,  -3, -10, 7, 27.5, ⑨⑨, 7, 3, カミｰリア,---,国分恭, 1.1, 52,  -8,  -7, 9, 47.0, ⑩⑨, 7, 9,Ｅフクラムサイフ, 72,浜中俊, 1.6, 52,*  0, -24, 7, 21.4,②②②, 7,16,Ｌプリンシペアスｰル, 68,中井裕, 0.8, 69,  -1,  15, 6, 25.3, ⑫⑫
 8,13,Ｅオｰシャンスキｰ, 59,川田将, 1.9, 45,  -6, -11, 2,  5.6, ⑪⑪, 8, 7, ダンツバｰゴ,---,太宰啓, 1.6, 45,* -2, -22,10, 56.9, ①①, 8, 2,Ｆタガノキャンドル, 71,北村友, 2.0, 47,  -2, -27, 5, 12.6,③④④, 8,15,Ｇユｰスフル, 72,横山典, 0.9, 67,*  3,   9,13,132.5, ②②
 9,14,Ｋサンレイキンキｰ, 47,難波剛, 1.9, 48,*  3, -19,11,175.0, ③③, 9, 6, ワンダフルムｰン,---,酒井学, 1.7, 45,  -9, -13, 8, 25.2, ⑨⑩, 9,10,Ｇスズカブリザｰド, 71,藤懸貴, 3.0, 40,  -3, -39, 9,201.1,⑦⑥⑥, 9, 6,Ｊペガサスフォｰス, 69,酒井学, 0.9, 68,  -3,  15,10, 53.1, ⑭⑭
10,10,Ｌナリタアイル, 44,鮫島良, 2.0, 47,   0, -17,10,160.5, ⑤⑥,10, 9, ジュｰヌフルｰル,---,浜中俊, 2.2, 38,  -5, -27, 6, 11.2, ④④,10, 6,Ｊセイカペガサス, 51,国分優, 3.0, 41,  -4, -35,10,217.7,⑥⑦⑨,10, 2,Ｃラブリｰスタｰ, 75,武豊  , 0.9, 68,   0,  12, 7, 25.8, ⑥⑨
11, 2,Ｇタガノバベル, 59,高倉稜, 2.1, 43,  -4, -15, 6, 13.8, ⑧⑧,11, 4, テイエムスｰサロ,---,田中健, 6.3, -4, -34, -38,11,270.2, ⑪⑪,,,,,,,,,,,,,11,12,Ｂアイアンラチェット, 75,藤懸貴, 1.0, 66,  -1,  13,11, 62.3, ⑪⑪
12, 3,Ｍミスズマジシャン, 39,北村友, 2.1, 42, -21,*  2,12,195.0, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｎシセイギンガ, 67,幸英明, 1.3, 66,   0,  10,12, 85.1, ⑩⑬
13,16,Ｊサマｰパッション, 52,藤懸貴, 2.7, 35, -13, -12,13,251.2, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｈミヤビリファイン, 71,藤岡康, 1.3, 64,   0,   9, 8, 27.6, ⑦⑧
14, 9,Ｎカシノギア, 21,大下智, 2.8, 36, -20,  -5,16,653.2, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｏダイシンワイルド, 66,小牧太, 1.3, 65,*  3,   4,14,240.2, ①①
15, 1, ラインジェニファｰ,---,森一馬, 3.6, 31, -21, -12,14,354.3, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｍヴィｰガトウショウ, 68,花田大, 1.7, 62,  -3,   9,15,262.0, ⑯⑯
16, 6, マザｰウィット,---,国分優, 4.2, 25,  -8, -28,15,530.9, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｐゴｰルドフレンド, 59,太宰啓, 3.5, 47,   1, -12,16,264.3, ③⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-3),,,,,,,,,,,
単勝:180円 複勝:11=110円 05=200円 07=160円 枠連:680円,,,,,,,,,,,,単勝:360円 複勝:10=140円 11=130円 08=180円 枠連:520円,,,,,,,,,,,,単勝:410円 複勝:01=160円 07=150円 03=190円 枠連:710円,,,,,,,,,,,,単勝:150円 複勝:13=110円 07=430円 08=180円 枠連:340円,,,,,,,,,,,
