12年10月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月21日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,轟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂワンダフルジュエル, 58,大野拓,, 59,  -7,* -2, 4,  7.9, ⑧⑧, 1, 9, タカノハｰバｰ,---,上村洋,, 58,*-13,   6, 3,  8.2,①①①, 1, 5,Ｆファｰゴ, 70,宮崎北,, 81,  -3,  18, 6, 15.5, ⑦⑦, 1, 9,Ａエバｰロｰズ, 88,中舘英,, 72,*  9,  13, 1,  1.5,   
 2, 3,Ａマカゼコイカゼ, 62,村田一, 0.1, 58, -12,*  2, 2,  5.0, ⑫⑬, 2, 6, フュｰチャステップ,---,川須栄, 0.0, 64, -17,* 14, 1,  1.6,④④④, 2,13,Ｉテラノイロハ, 67,松田大, 0.0, 82,  -6,* 22,14, 51.9, ⑫⑫, 2,11,Ｂアフォｰド, 80,村田一, 0.1, 71,  -2,* 19, 2,  3.3,   
 3,12,Ｅアイノタマテバコ, 50,竹之下, 0.3, 56,  -5,  -7, 5, 11.7, ⑦⑥, 3, 5, スギノハルバｰド,---,大野拓, 0.1, 62, -17,* 13, 5, 15.4,③③③, 3,17,Ａハッピｰアビラ, 78,松山弘, 0.0, 82,  -7,* 26, 1,  2.9, ⑮⑯, 3, 6,Ｈビラゴｰティアラ, 71,大野拓, 0.5, 64,   1,  12, 6, 30.7,   
 4, 9,Ｃマジカルビアンカ, 57,菱田裕, 0.4, 54,  -4, -10, 3,  5.9, ④④, 4, 4, バｰボンシｰダｰ,---,丸山元, 0.4, 61, -18,* 13, 8, 27.7,⑤⑤⑤, 4,15,Ｍフライングバルｰン, 64,丸山元, 0.1, 79,  -4,  19,13, 39.3, ⑪⑪, 4, 1,Ｃゲットフルマｰクス, 74,西田雄, 0.9, 57,*  6,   2, 4, 20.0,   
 5,13,Ｋヒアルロンサン, 44,嘉藤貴, 0.4, 55,* -1, -12, 8, 17.7, ②②, 5, 2, キングデザイヤｰ,---,松山弘, 0.7, 51,*-14,   0, 2,  6.8,②②②, 5,14,Ｃウインミｰティア, 73,中舘英, 0.3, 76,  -2,  12, 3,  9.4, ⑥⑥, 5, 8,Ｋレイクエルフ, 65,嘉藤貴, 0.9, 58,  -2,   8,11,116.8,   
 6,17,Ｉチェリｰペトルズ, 46,丸山元, 0.5, 53,  -4, -11,10, 18.3, ⑤⑦, 6, 3, コスモアオイ,---,中井裕, 1.1, 57, -23,* 13, 7, 20.4,⑨⑩⑩, 6,12,Ｄシャイニングサヤカ, 73,大野拓, 0.3, 78,  -7,* 22,11, 26.7, ⑯⑭, 6, 4,Ｅリボンノキシ, 72,丸山元, 1.0, 55,   5,   2,10,101.2,   
 7,16,Ｍミキノロココ, 43,西田雄, 0.6, 52,  -8,  -8,17,174.0, ⑩⑨, 7, 8, ポッドサｰジェント,---,西村太, 1.9, 42, -18,  -7,10, 48.9,⑥⑥⑥, 7, 9,Ｐゴｰルウェイ, 60,丹内祐, 0.3, 78,  -6,  18,15, 93.6, ⑩⑨, 7, 5,Ｄオｰラレガｰレ, 73,松山弘, 1.0, 55,   1,   5, 3, 19.1,   
 8, 7,Ｎパティキュラリｰ, 42,勝浦正, 0.6, 52,* -2, -13, 1,  4.3, ③③, 8, 7, スカイタロｰ,---,柴山雄, 2.4, 38, -21,  -8, 6, 18.4,⑩⑨⑨, 8,16,Ｒベリｰフィｰルズ, 57,川島信, 0.4, 79,  -7,  21,12, 38.0, ⑭⑮, 8,10,Ｉストロングポイント, 70,勝浦正, 1.0, 57, -14,  15, 5, 22.1,   
 9,18,Ｄクレバｰチャｰム, 52,丹内祐, 0.7, 52, -11,  -5, 7, 14.6, ⑮⑫, 9,10, コスモパレｰド,---,丹内祐, 2.5, 36, -19, -13, 9, 36.1,⑧⑦⑦, 9, 2,Ｌテイケイフロックス, 65,菱田裕, 0.5, 68,*  2,   1, 4, 13.8, ①①, 9, 7,Ｊナスザン, 66,横山和, 1.1, 54,  -2,   5, 9, 72.5,   
10, 2,Ｊスタｰボウ, 45,宮崎北, 0.7, 51,  -9,  -8,11, 29.3, ⑪⑩,10, 1, クリノサトパント,---,荻野琢, 2.6, 33, -21, -13, 4, 12.6,⑦⑧⑧,10, 6,Ｇラストメッセｰジ, 68,村田一, 0.5, 73,  -3,  12, 5, 15.4, ⑧⑧,10, 3,Ｇラルティスタ, 71,柴山雄, 1.4, 51, -14,  10, 7, 44.0,   
11, 8,Ｆトｰセンデイゴ, 49,柴山雄, 0.8, 50, -15,* -3,14, 53.8, ⑰⑯,,,,,,,,,,,,,11, 7,Ｈトップスカｰレット, 67,勝浦正, 0.6, 71,  -3,  10,10, 24.8, ⑨⑩,11, 2,Ｆウインバンディエラ, 72,丹内祐, 1.6, 47, -14,   7, 8, 59.6,   
12,10,Ｐアノヒミタユメ, 36,川須栄, 0.8, 49,  -5, -13,12, 31.3, ⑥⑤,,,,,,,,,,,,,12,11,Ｂレッドルイｰザ, 75,柴山雄, 0.6, 78, -11,* 25, 2,  3.7, ⑱⑱,,,,,,,,,,,,
13, 4,Ｌシナｰラ, 43,松山弘, 1.0, 47, -14,  -7, 6, 13.0, ⑯⑰,,,,,,,,,,,,,13, 1,Ｎドリｰムパワｰ, 64,平野優, 0.7, 67,*  0,   3,16,108.6, ③③,,,,,,,,,,,,
14,11,Ｑスナｰクモｰション, 29,荻野琢, 1.0, 46, -12, -10,18,306.3, ⑭⑮,,,,,,,,,,,,,14,18,Ｅクイｰンリヴィエラ, 71,中井裕, 0.8, 73, -10,  18, 8, 18.7, ⑰⑰,,,,,,,,,,,,
15,15,Ｈエキゾチックロｰズ, 46,中井裕, 1.3, 42,  -8, -18,13, 49.4, ⑨⑪,,,,,,,,,,,,,15, 3,Ｏアフロディシアス, 61,荻野琢, 0.8, 67,  -1,   5,17,147.5, ⑤⑤,,,,,,,,,,,,
16, 1,Ｒコウエイレディｰ, 14,中舘英, 1.3, 43, -21,  -5,16,132.9, ⑱⑱,,,,,,,,,,,,,16,10,Ｋフェニｰチェ, 66,川須栄, 1.0, 63,*  0,  -2, 7, 17.7, ④④,,,,,,,,,,,,
17, 5,Ｇフレックスハｰト, 47,上村洋, 1.4, 41, -12, -15, 9, 17.7, ⑬⑭,,,,,,,,,,,,,17, 8,Ｊゼフィランサス, 67,上村洋, 1.0, 67,  -7,  10, 9, 21.5, ⑬⑬,,,,,,,,,,,,
18,14,Ｏフクノアルナイル, 38,長岡禎, 1.6, 39,*  0, -29,15, 77.1, ①①,,,,,,,,,,,,,18, 4,Ｑプラッキｰエリｰナ, 57,西村太, 1.6, 54,*  1, -12,18,244.5, ②②,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,
"単勝:790円 複勝:06=260円 03=220円 12=330円 枠連:1,440円",,,,,,,,,,,,単勝:820円 複勝:09=150円 06=110円 05=400円 枠連:380円,,,,,,,,,,,,"単勝:1,550円 複勝:05=450円 13=960円 17=170円 枠連:2,810円",,,,,,,,,,,,単勝:150円 複勝:09=110円 11=110円 06=330円 枠連:140円,,,,,,,,,,,
"馬連:1,970円 ワイド:03-06=880円 06-12=1,350円 03-12=1,030円",,,,,,,,,,,,"馬連:490円 ワイド:06-09=280円 05-09=1,310円 05-06=450円",,,,,,,,,,,,"馬連:29,360円 ワイド:05-13=9,560円 05-17=1,210円 13-17=3,910円",,,,,,,,,,,,馬連:160円 ワイド:09-11=120円 06-09=450円 06-11=540円,,,,,,,,,,,
"馬単:4,360円 3連複:6,510円 3連単:37,470円",,,,,,,,,,,,"馬単:1,700円 3連複:2,330円 3連単:15,210円",,,,,,,,,,,,"馬単:76,850円 3連複:47,650円 3連単:364,120円",,,,,,,,,,,,"馬単:230円 3連複:820円 3連単:1,500円",,,,,,,,,,,
■ 3R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,菅名岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａメイショウブシドウ, 73,高田潤,, 73,   4,* 12, 5, 11.4,⑥⑤⑤, 1, 7,Ｂスタンドバイミｰ, 75,松山弘,, 71,   2,* 15, 1,  2.3,⑤④④, 1, 6,Ｃロジハｰツ, 74,中舘英,, 76,*  5,   5, 2,  3.6, ①①, 1, 8,Ａスタｰコレクション, 74,鮫島良,, 87,  -4,* 26, 3,  6.1, ⑬⑪
 2, 7,Ｉアｰセナルゴｰル, 61,川須栄, 0.2, 72,*  6,   5, 3,  7.6,②②②, 2, 5,Ａヴァンヘルシング, 80,菱田裕, 0.4, 68,   3,  10, 2,  2.6,③③③, 2, 4,Ｍヤマニンプチガトｰ, 65,鮫島良, 0.2, 72,   1,   6, 4, 10.6, ③④, 2, 6,Ｂアイウォントユｰ, 73,西田雄, 0.2, 86,  -6,* 26, 6, 12.7, ⑭⑭
 3, 4,Ｆケイアイプログレス, 69,大野拓, 0.2, 70,   4,   7, 4,  9.8,⑤③③, 3, 8,Ｈトップストライド, 63,川島信, 0.4, 65,*  6,   3, 9, 66.3,①①①, 3,16,Ｎジャストザブレイン, 64,松田大, 0.2, 75,  -8,* 15,15,119.1, ⑭⑭, 3, 3,Ｋマイネマキアｰジュ, 65,丹内祐, 0.2, 80,*  0,  14,11, 50.1, ③③
 4, 2,Ｅエｰシングッデイ, 70,松山弘, 0.6, 69,   2,* 10, 1,  2.0,⑧⑧⑧, 4, 6,Ｃエイトプリンス, 75,勝浦正, 0.5, 70,   2,* 14, 5, 11.2,⑦⑥⑥, 4, 8,Ｇニシノカチヅクシ, 71,柴山雄, 0.3, 71,   1,   4, 3,  9.8, ④⑤, 4,13,Ｇピｰスフルアｰス, 69,中舘英, 0.3, 79,*  0,  13,10, 37.5, ②②
 5, 8,Ｇキョウエイヒドラ, 65,勝浦正, 0.7, 67,   5,   2, 7, 15.7,③④④, 5, 4,Ｄグッドスピｰド, 71,中井裕, 0.7, 69,   3,   7, 4,  9.7,②②②, 5, 7,Ａケイアイユニコｰン, 83,松山弘, 0.3, 71,  -3,   8, 1,  3.3, ⑨⑨, 5, 9,Ｎパリソワｰル, 63,丸山元, 0.3, 77,*  1,  10,14,103.3, ①①
 6,10,Ｂバシリクス, 72,丸山元, 1.3, 65,   3,   2, 6, 11.9,⑨⑦⑦, 6, 3,Ｇドリｰムリｰグ, 66,柴山雄, 1.0, 63,   1,   8, 7, 30.9,④⑤⑤, 6, 1,Ｑブラックオｰキッド, 63,宮崎北, 0.4, 71,  -3,   7,13, 97.8, ⑧⑧, 6, 1,Ｈラミアプリマベｰラ, 68,藤懸貴, 0.4, 79,  -3,  16,12, 51.5, ⑥⑥
 7, 5,Ｃクオリティタイム, 71,鮫島良, 1.5, 69,   0,   8, 8, 23.6,⑩⑩⑨, 7, 1,Ｅクリフパレス, 71,川須栄, 1.4, 64,  -2,  10, 3,  7.9,⑧⑧⑧, 7,13,Ｋジョｰアカリン, 66,川島信, 0.4, 72,  -5,  10, 8, 14.0, ⑫⑪, 7,15,Ｃナスノシベリウス, 71,勝浦正, 0.5, 77,  -3,  16, 2,  5.9, ⑨⑦
 8, 3,Ｄシルクプラズマ, 71,藤懸貴, 1.7, 59,   3,  -2, 2,  5.0,⑦⑥⑥, 8, 2,Ｉダイビングキャッチ, 62,丹内祐, 1.9, 59,   0,   3, 6, 25.2,⑥⑦⑦, 8,14,Ｂブリｰジｰデイズ, 75,村田一, 0.5, 68,  -1,   4, 7, 12.8, ⑦⑦, 8, 7,Ｄレッドヴァｰジン, 71,川須栄, 0.6, 79,  -6,  20, 5,  7.0, ⑪⑫
 9, 6,Ｊサクラパルフェｰル, 43,横山和, 3.8, 47,   0, -15,10,118.9,④⑨⑩, 9, 9,Ｆジョナパランセ, 67,藤懸貴, 2.1, 55,  -2,   4, 8, 43.7,⑨⑨⑨, 9,10,Ｊダノンロゼ, 67,中井裕, 0.6, 68,  -5,   7,11, 38.3, ⑪⑩, 9, 2,Ｍサラロｰサ, 63,大野拓, 0.6, 77,  -5,  17,13, 89.0, ⑩⑩
10, 9,Ｈケツァｰル, 62,柴山雄, 4.4, 41,*  6, -31, 9, 39.4,①①①,,,,,,,,,,,,,10,17,Ｆアイアムネフライト, 71,川須栄, 0.7, 66,   1,  -1, 5, 11.9, ⑤③,10, 5,Ｆシンゼンレンジャｰ, 69,飯田祐, 0.7, 78,  -6,  19, 4,  6.5, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,11,12,Ｄホットサマｰデイ, 72,上村洋, 0.7, 65,  -1,   2, 9, 21.9, ⑥⑥,11, 4,Ｊハギノコメント, 66,松田大, 0.7, 80,  -9,* 23, 9, 30.8, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｐスズカサクセス, 63,藤懸貴, 0.7, 67, -11,* 11,17,129.9, ⑮⑰,12,10,Ｅウインルキア, 70,川島信, 0.7, 79,  -4,  17, 8, 15.3, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｅアブマｰシュ, 72,大野拓, 0.7, 66,  -5,   6, 6, 12.0, ⑩⑫,13,11,Ｉサトノエンデバｰ, 67,伊藤工, 0.9, 73,  -5,  11, 7, 14.5, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｈヨシｰルプリンセス, 70,勝浦正, 0.8, 64,*  4,  -5,10, 29.7, ②②,14,12,Ｌドリｰムキャプテン, 64,松山弘, 1.1, 67,  -2,   4, 1,  3.5, ④④
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｌパヤドｰル, 66,横山和, 0.8, 65,  -8,   7,18,134.8, ⑬⑬,15,14,Ｏフェリシダｰジ, 61,村田一, 1.1, 68,  -2,   4,15,109.5, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｉヘイハチスカイ, 67,鈴来直, 1.0, 63,  -9,   6,14,110.7, ⑯⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｏメジロガストン, 64,平野優, 1.1, 63, -15,  10,16,128.5, ⑱⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,140円 複勝:01=250円 07=300円 04=240円 枠連:2,920円",,,,,,,,,,,,"単勝:230円 複勝:07=140円 05=140円 08=1,050円 枠連:280円",,,,,,,,,,,,"単勝:360円 複勝:06=180円 04=290円 16=2,160円 枠連:2,240円",,,,,,,,,,,,"単勝:610円 複勝:08=270円 06=370円 03=1,160円 枠連:1,330円",,,,,,,,,,,
