12年10月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月 6日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,多摩川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:720円 3連複:1,280円 3連単:4,960円",,,,,,,,,,,,"馬単:1,420円 3連複:630円 3連単:3,880円",,,,,,,,,,,,"馬単:360円 3連複:630円 3連単:1,690円",,,,,,,,,,,,"馬単:20,700円 3連複:50,660円 3連単:276,520円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂザショットアロｰ, 54,柴山雄,, 55,  -8,*  0, 8, 15.2, ⑥⑤, 1,12, アユサン,---,蛯名正,, 47, -36,*  9, 1,  2.8, ⑨⑦, 1, 4,Ｂスｰパｰムｰン, 75,内田博,, 78,   1,* 14, 2,  3.9,⑦⑩⑧, 1,11,Ａムスカテｰル, 91,内田博,, 93,* -6,* 31, 1,  2.5,⑤⑤③
 2, 4,Ｌアスキットキング, 41,柴田善, 0.0, 56,  -6,  -1,14,234.8, ③③, 2,13, ヒシラストガイ,---,田辺裕, 0.3, 42, -34,   3, 6, 11.6, ⑤⑤, 2,12,Ｌシャドウパｰティｰ, 66,ピンナ, 0.2, 77,   1,* 11, 1,  2.4,⑧⑦⑩, 2, 7,Ｅフジマサエンペラｰ, 83,田中勝, 0.4, 86,* -5,  22, 3,  6.6,①①①
 3, 9,Ｉクレバｰパルマ, 45,内田博, 0.1, 57, -12,*  6, 7, 14.9, ⑭⑭, 3, 8, ツクバリンカｰン,---,柴田善, 0.3, 43, -35,   4, 8, 22.9, ⑥⑥, 3, 7,Ｈマツリダジャパン, 68,宮崎北, 0.3, 75,*  4,   4,10, 68.7,④②②, 3, 2,Ｄトウカイオｰロラ, 83,蛯名正, 0.5, 88,  -7,  27, 7, 24.5,⑦⑦⑥
 4,13,Ｇオリオンザプラズマ, 49,田辺裕, 0.5, 51,  -7,  -5,11, 64.3, ⑦⑦, 4,10, プラティｰヌ,---,横山典, 0.6, 37, -32,  -3, 7, 14.9, ④④, 4, 3,Ａキョウエイマイン, 76,田中勝, 0.5, 73,   3,   6, 9, 34.7,③⑥⑦, 4, 6,Ｃメイショウジンム, 85,北村宏, 0.6, 85,* -6,  21, 5, 14.4,③②②
 5,10,Ｈスワンソング, 47,蛯名正, 0.6, 50,* -4, -10, 1,  2.7, ①①, 5, 1, ペリドットムｰン,---,丸山元, 0.7, 41, -41,*  8, 4, 11.4, ⑬⑫, 5, 9,Ｄヴェルデグリｰン, 72,津村明, 0.5, 70,*  4,   2, 4,  8.1,②③③, 5,10,Ｂファタモルガｰナ, 87,川島信, 0.7, 87,  -8,  24, 2,  3.1,⑩⑧⑦
 6, 5,Ｄゲンキチタチカゼ, 50,石橋脩, 0.9, 50,  -9,  -5, 5, 11.9, ⑧⑧, 6, 9, スズノフウジン,---,内田博, 0.9, 32,*-31,  -9, 3,  5.9, ②②, 6, 6,Ｇステｰジナｰヴ, 68,木幡初, 0.6, 72,   2,   6, 8, 33.9,⑥⑧⑨, 6, 8,Ｇエｰシンミラｰジュ, 81,丸田恭, 0.9, 86,  -9,* 28, 6, 21.6,⑪⑪⑪
 7,11,Ｃクリスウィング, 52,松岡正, 1.0, 47,* -5, -12, 6, 14.8, ②②, 7, 3, プリンシアルｰナ,---,三浦皇, 1.0, 37, -41,   4, 9, 62.2, ⑩⑪, 7,14,Ｊブルｰスビスティｰ, 67,吉田豊, 0.6, 73,  -1,* 11,13,158.0,⑫⑫⑫, 7, 4,Ｊフミノヤマビコ, 78,勝浦正, 0.9, 84,  -8,  24, 8, 30.8,⑨⑩⑩
 8, 2,Ａジェファｰソン, 54,勝浦正, 1.3, 46, -15,  -2, 2,  5.4, ⑮⑮, 8, 7, ニシノマオジュｰ,---,大野拓, 1.0, 34, -37,  -1,12,116.5, ⑪⑩, 8, 8,Ｉシンボリアミアン, 67,大野拓, 0.7, 68,*  4,  -1,14,202.1,⑤④④, 8, 9,Ｈマナクｰラ, 80,ピンナ, 1.0, 85,  -9,  24, 4,  6.9,⑧⑨⑨
 9, 7,Ｋチェリッシュハｰト, 41,杉原誠, 1.4, 45,  -7, -12,12, 92.4, ⑤⑥, 9,11, スプリングカフェ,---,北村宏, 1.1, 33, -36,  -4,10, 91.6, ⑦⑧, 9, 5,Ｏレッドガルシア, 59,吉田隼, 1.1, 66,   0,   2,12,108.7,⑩⑪⑪, 9, 5,Ｉアサティスボｰイ, 79,江田照, 1.1, 79,* -6,  17, 9, 58.2,④④⑤
10,15,Ｅダイメイホｰム, 50,西田雄, 1.5, 44, -12,  -7,16,426.1, ⑫⑫,10, 5, デルマベラ,---,柴山雄, 1.4, 26, -32, -15,13,135.8, ③③,10,15,Ｋリｰサムポイント, 67,北村宏, 1.2, 67,  -3,   5, 7, 24.7,⑬⑬⑭,10, 1,Ｆシンボリボルドｰ, 81,木幡初, 1.3, 79,  -8,  18,10, 80.7,⑥⑥⑧
11, 8,Ｏマイネルテゾｰロ, 24,柴田大, 1.8, 41,  -9, -13,10, 52.5, ⑨⑨,11, 6, エイプリルメロディ,---,丸田恭, 1.5, 23,*-30, -19, 5, 11.6, ①①,11, 1,Ｅアルフェロア, 71,三浦皇, 1.4, 65,  -3,   4, 6, 22.0,⑮⑮⑮,11, 3,Ｋセタガヤフラッグ, 77,吉田隼, 1.8, 70,* -6,   6,11,101.0,②③④
12,14,Ｎヒカルハピネス, 25,横山典, 1.9, 41, -19,  -2, 4,  6.2, ⑯⑯,12, 2, エｰシンエポナ,---,松岡正, 1.9, 23, -39, -12, 2,  3.3, ⑧⑨,12, 2,Ｆサンマルヴィエント, 71,田辺裕, 1.5, 63,  -3,   1,15,215.0,⑪⑭⑬,,,,,,,,,,,,
13,12,Ｍセイウンコダシ, 38,吉田豊, 2.1, 40, -12, -13,13,210.8, ⑪⑪,13, 4, ミカンチャン,---,杉原誠, 2.3, 20, -45,  -8,11,115.4, ⑫⑬,13,11,Ｎエンギロティタ, 60,長岡禎, 1.5, 60,   3, -11,11, 92.7,⑭⑨⑥,,,,,,,,,,,,
14,16,Ｆピｰスロｰド, 49,丸山元, 2.2, 38,  -6, -21, 3,  5.8, ④④,,,,,,,,,,,,,14,10,Ｍメイショウオオゾラ, 63,小島太, 1.6, 58,*  6, -18, 5, 19.1,①①①,,,,,,,,,,,,
15, 3,Ｊレッツグルｰヴ, 41,宮崎北, 2.5, 35, -11, -18, 9, 34.4, ⑩⑩,,,,,,,,,,,,,15,13,Ｃクロスカップリング, 75,蛯名正, 1.6, 59,   3, -12, 3,  5.0,⑨⑤⑤,,,,,,,,,,,,
16, 6,Ｐヤマノアロｰ, 23,嶋田純, 3.2, 30, -13, -21,15,372.8, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-21 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,520円 複勝:01=490円 04=4,560円 09=510円 枠連:5,270円",,,,,,,,,,,,"単勝:280円 複勝:12=150円 13=330円 08=410円 枠連:1,470円",,,,,,,,,,,,単勝:390円 複勝:04=150円 12=130円 07=490円 枠連:360円,,,,,,,,,,,,単勝:250円 複勝:11=140円 07=230円 02=470円 枠連:380円,,,,,,,,,,,
"馬連:109,440円 ワイド:01-04=20,290円 01-09=1,770円 04-09=23,810円",,,,,,,,,,,,"馬連:1,710円 ワイド:12-13=690円 08-12=1,130円 08-13=2,080円",,,,,,,,,,,,"馬連:510円 ワイド:04-12=270円 04-07=2,050円 07-12=1,380円",,,,,,,,,,,,"馬連:840円 ワイド:07-11=460円 02-11=940円 02-07=1,490円",,,,,,,,,,,
"馬単:118,130円 3連複:312,240円 3連単:1,690,010円",,,,,,,,,,,,"馬単:2,570円 3連複:10,520円 3連単:27,470円",,,,,,,,,,,,"馬単:1,170円 3連複:10,340円 3連単:40,280円",,,,,,,,,,,,"馬単:1,500円 3連複:4,990円 3連単:16,470円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1400m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾌﾗﾝ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂインプロヴァイズ, 55,石橋脩,, 60, -23,* 11, 2,  3.0,⑧⑦⑦, 1, 8,Ｅレイヴ, 74,蛯名正,, 75,   6,* 10, 3,  5.7, ⑥⑦, 1,10,Ｋタガノミュｰチャン, 53,内田博,, 71,   6,   3, 5, 10.3, ⑤④, 1,11,Ｇロｰズノｰブル, 69,北村宏,, 81,  12,*  9, 4,  7.6, ⑧⑦
 2,11,Ｆフェｰトグランド, 45,内田博, 0.4, 49, -21,  -1, 1,  2.3,⑤④④, 2, 3,Ｃハｰコット, 78,北村宏, 0.1, 73,*  8,   5, 2,  5.6, ③③, 2,12,Ｍエタｰナルムｰン, 50,木幡初, 0.0, 71,   4,*  5,13,162.5, ⑦⑥, 2, 2,Ｄレッドルイｰザ, 72,内田博, 0.4, 76,   4,* 15, 3,  7.1, ⑰⑰
 3, 7,Ｅサムソンズプライド, 46,吉田豊, 0.4, 52, -23,   4, 7, 30.1,⑥⑤⑤, 3,16,Ｂガムラン, 79,吉田隼, 0.2, 72,   5,* 10, 1,  1.8, ⑨⑩, 3, 7,Ｄネロディアマンテ, 59,蛯名正, 0.1, 70,   5,   3, 1,  2.8, ④⑤, 3, 8,Ｃサニｰヘイロｰ, 73,勝浦正, 0.5, 75,   6,* 11, 8, 28.6, ⑯⑮
 4, 5,Ｇトキノロブロイ, 42,江田照, 0.5, 51, -25,   5, 8, 44.8,⑦⑧⑧, 4,13,Ｇビットプレスト, 71,江田照, 0.3, 72,   6,   8,12,118.9, ⑦⑥, 4, 9,Ｃナンシｰシャイン, 61,吉田隼, 0.4, 66,  -1,*  7,10, 57.3, ⑫⑪, 4, 7,Ｂゴｰルデンナンバｰ, 74,横山典, 0.5, 72,  11,   1, 2,  4.3, ⑦⑥
 5, 3,Ｉマイネリッカ, 38,柴田大, 0.6, 53, -25,   5, 9, 86.1,⑩⑩⑨, 5,11,Ｄドンビザッツウェイ, 76,内田博, 0.8, 70,   1,* 11, 6, 22.1, ⑯⑮, 5, 6,Ｂブリリアントアスク, 63,横山典, 0.6, 64,*  8,  -8, 6, 12.3, ②②, 5,14,Ｆカシノスタｰライト, 70,二本柳, 0.5, 72,* 17, -10, 6, 12.2, ①①
 6, 4,Ｃケイアイチョウサン, 51,松岡正, 0.6, 49, -20,  -3, 5, 12.8,③③③, 6, 2,Ｊラストノｰト, 67,横山典, 0.9, 66,   8,   0, 5, 18.6, ⑤④, 6, 8,Ｅシャスタｰデイジｰ, 57,三浦皇, 0.6, 65,   2,   0, 2,  4.9, ⑨⑨, 6, 4,Ｈマイネイディｰル, 69,ピンナ, 0.6, 74,   9,   4, 9, 40.6, ⑩⑨
 7, 6,Ｄマイネルゼｰタ, 46,田辺裕, 0.6, 49, -23,   1, 6, 27.7,④⑥⑥, 7, 6,Ｉエｰブポセイドｰン, 68,丹内祐, 1.0, 67,   7,   0,13,127.4, ④⑤, 7,13,Ａシｰブリｰズライフ, 67,田中勝, 0.6, 64,   3,  -1, 4,  5.6, ⑩⑧, 7, 9,Ａシャンボｰルフィズ, 76,蛯名正, 0.8, 70,* 16, -11, 1,  2.7, ③②
 8, 8,Ｊティアップワンダｰ, 37,大野拓, 0.8, 42,*-19, -11, 4, 10.3,②②②, 8,10,Ｈレッドシュナイト, 68,中舘英, 1.0, 67,   5,   4, 7, 28.3, ⑩⑧, 8, 1,Ｉジョアンシｰピン, 54,北村宏, 0.7, 63,   2,  -3, 3,  5.6, ⑥⑦, 8, 5,Ｊラミアプリマベｰラ, 66,丹内祐, 0.8, 72,   6,   5,14,161.6, ⑬⑬
 9, 2,Ｋマダムバタフライ, 24,勝浦正, 1.4, 33,*-18, -21,11,196.8,①①①, 9, 5,Ｆビｰビｰアックス, 73,嶋田純, 1.1, 66,   3,   5, 9, 64.1, ⑭⑫, 9, 4,Ｌベイビｰイッツユｰ, 52,江田照, 0.8, 62,   6,  -8, 7, 15.4, ③③, 9,13,Ｉヤサカオディｰル, 67,石橋脩, 1.0, 68,* 15, -12, 7, 12.9, ⑥④
10, 9,Ａエルインペレイタｰ, 57,横山典, 1.9, 35, -29,  -7, 3,  5.1,⑪⑪⑪,10,14,Ａロｰジｰライト, 79,杉原誠, 1.2, 67,   3,   4, 4,  9.0, ⑪⑬,10, 5,Ｇモｰニングムｰン, 56,田辺裕, 0.8, 61,   0,   0, 8, 30.1, ⑧⑩,10, 6,Ｌメイショウモｰレン, 64,小島太, 1.1, 67,   9,  -4,15,185.0, ⑪⑩
11, 1,Ｈヤマノドン, 39,吉田隼, 1.9, 35, -28,  -9,10,164.4,⑨⑨⑩,11, 9,Ｏワイワイガヤガヤ, 59,吉田豊, 1.4, 64,* 11, -10, 8, 30.6, ①①,11,11,Ｆマイネモントル, 56,丹内祐, 1.0, 60,  -2,   2,12,128.8, ⑪⑫,11,10,Ｋクィンビｰクイｰン, 65,田辺裕, 1.1, 66,  13, -11,12, 79.1, ⑤⑤
