12年 7月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 7月28日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,, 9, 2,Ｌボｰルドマックス, 50,藤岡康, 0.7, 58,   3, -15,11, 72.7,⑤⑤④, 9, 2,Ｋワンダｰジェニアル, 51,鮫島良, 2.4, 54,  -3,  -3,12,144.8,⑨⑦⑦, 9, 1,Ｐハクユウシャンティ, 49,川須栄, 2.7, 63,   6,  -4,11,130.5,⑫⑬⑫
,,,,,,,,,,,,10, 5, ヒドゥンアセッツ,---,中井裕, 0.9, 55,  -5,  -5, 8, 22.9,⑩⑫⑪,10,11,Ｉサザンネスト, 57,松山弘, 2.5, 53,  -4,   0,11, 94.6,⑩⑩⑩,10, 8,Ｂリリｰファイアｰ, 78,松山弘, 2.9, 59,* 10, -14, 3,  7.7,④③⑤
,,,,,,,,,,,,11,14,Ｄメイショウゲンカイ, 57,武幸四, 1.1, 55,  -6,  -4,10, 66.9,⑯⑯⑬,11,15,Ｍシゲルザボン, 47,国分恭, 2.7, 52,  -7,   3,16,312.7,⑭⑮⑭,11,14,Ｃサトノサミット, 77,藤岡康, 3.1, 60,   8, -11, 4, 16.8,⑩⑨⑪
,,,,,,,,,,,,12, 3,Ｃマイネルコンキスタ, 57,和田竜, 1.1, 53,*  6, -27, 1,  2.0,②②③,12,10,Ｏケイアイスピリット, 43,和田竜, 3.3, 46,*  0, -15, 5,  7.9,①③⑤,12, 6,Ｉシルバｰチｰフ, 70,幸英明, 3.4, 58,   4,  -7,14,254.1,⑭⑮⑭
,,,,,,,,,,,,13, 7,Ｇコウエイミラｰ, 55,川須栄, 1.2, 53,   0, -16,12, 74.1,⑦⑥⑦,13, 6,Ｊウィンドミルシチｰ, 55,水口優, 3.8, 43,  -2, -14,13,147.0,⑦⑨⑨,13,16,Ｍサウンドアフリｰト, 56,太宰啓, 4.0, 54,   9, -21,12,136.2,⑥⑤⑧
,,,,,,,,,,,,14,15,Ｎサルタヒコ, 40,藤懸貴, 2.7, 37,  -3, -33,15,258.6,⑧⑩⑮,14,12,Ｄパｰプルベスト, 63,花田大, 4.1, 43,  -7,  -9,15,285.6,⑧⑭⑬,14,10,Ｎドリｰムガイド, 54,熊沢重, 4.9, 50,   8, -26,13,182.9,⑦⑦⑩
,,,,,,,,,,,,15,16,Ｍハイランドヒル, 47,松山弘, 4.5, 23,  -6, -53,16,263.6,⑨⑮⑯,15,13,Ｎワイドラブナ, 44,藤岡康, 4.6, 39,  -5, -16,14,188.3,⑫⑬⑮,15,11,Ｌサンレイワイルド, 60,花田大, 6.1, 39,   3, -29,16,608.4,⑨⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 1, アグネスビスタ,---,高倉稜, 5.8, 32, -14, -11,10, 73.7,⑯⑯⑯,16, 2,Ｅスマｰトマｰズ, 74,浜中俊, 6.8, 36,   8, -42, 6, 33.7,③⑧⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,
単勝:270円 複勝:07=120円 05=110円 03=200円 枠連:0円,,,,,,,,,,,,"単勝:2,280円 複勝:01=490円 04=210円 06=220円 枠連:1,110円",,,,,,,,,,,,"単勝:420円 複勝:07=160円 16=200円 14=140円 枠連:1,080円",,,,,,,,,,,,"単勝:640円 複勝:07=360円 05=1,780円 04=14,390円 枠連:4,850円",,,,,,,,,,,
馬連:330円 ワイド:05-07=160円 03-07=270円 03-05=410円,,,,,,,,,,,,"馬連:5,970円 ワイド:01-04=1,610円 01-06=1,240円 04-06=800円",,,,,,,,,,,,"馬連:1,680円 ワイド:07-16=570円 07-14=350円 14-16=450円",,,,,,,,,,,,"馬連:10,840円 ワイド:05-07=2,510円 04-07=15,990円 04-05=48,720円",,,,,,,,,,,
"馬単:690円 3連複:840円 3連単:2,660円",,,,,,,,,,,,"馬単:14,870円 3連複:10,450円 3連単:82,760円",,,,,,,,,,,,"馬単:2,480円 3連複:1,930円 3連単:11,960円",,,,,,,,,,,,"馬単:18,860円 3連複:528,520円 3連単:2,117,350円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 8R  芝3390m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,小倉ｻﾏｰｼﾞｬﾝﾌﾟ,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆナリタスカイ, 60,国分恭,, 69,   1,* 10, 8, 19.4,⑪⑧⑨, 1,16, カシノランナウェイ,---,野元昭,, 53,* -7,* -7, 2,  4.6, ①①, 1, 5, エムエスワｰルド,,高田潤,,,,, 3,  5.5,③③②, 1, 7,Ｅエｰシンジャッカル, 74,和田竜,, 83,  13,*  5, 7, 16.8,⑧⑨③
 2,14,Ｂスリｰアフロディテ, 64,浜中俊, 0.4, 62,*  1,   1, 1,  2.2,⑧⑥①, 2, 6, エンブレムゴｰル,---,小坂忠, 0.5, 46,*-10, -10, 6, 15.4, ②②, 2, 3, テイエムハリアｰ,,白浜雄,221.4,,,, 1,  2.7,①①①, 2, 5,Ｃカルドブレッサ, 82,浜中俊, 0.1, 80,  14,   1, 1,  2.3,⑩⑥②
 3,10,Ｄヒデノビクトリア, 62,中井裕, 0.6, 61,   0,   1, 6, 15.1,⑩⑩⑥, 3, 8, カシノロビン,---,北村友, 0.9, 41, -20,* -6,14, 71.5, ⑩⑧, 3,11, マサライト,,横山義,222.7,,,,10, 33.8,⑦⑦⑥, 3, 3,Ｇアウグｰリオ, 71,藤懸貴, 0.3, 78,  11,*  4,10, 79.7,⑥⑩⑦
 4,13,Ｉワンダｰヴォｰグ, 51,川須栄, 0.7, 59,   0,  -2, 4, 13.2,⑦⑨⑤, 4, 4, マルシゲキング,---,鮫島良, 1.1, 39, -22,* -6, 3,  5.1, ⑪⑪, 4,13, フサイチアソｰト,,植野貴,222.8,,,, 8, 27.6,⑩⑨⑨, 4, 6,Ａイデア, 86,太宰啓, 0.4, 75,  15,  -7, 2,  4.1,⑤③①
 5, 8,Ａチｰズマヨ, 65,和田竜, 0.8, 59,*  2,  -5, 2,  4.2,④⑤④, 5,12, カシノレアネス,---,大下智, 1.1, 39, -14, -14,12, 54.8, ④③, 5, 8, ノボリデュｰク,,森一馬,222.9,,,, 9, 28.8,⑥⑤④, 5, 1,Ｆミヤコトップガン, 74,国分優, 0.7, 74,  14,  -6, 6, 15.2,⑨⑦⑥
 6, 2,Ｅラムドレｰヌ, 61,鮫島良, 1.0, 57,*  2,  -7, 7, 18.5,③④⑧, 6,10, テイエムイッキュウ,---,幸英明, 1.1, 39, -17, -12, 1,  4.3, ⑥⑦, 6,14, ドングラシアス,,熊沢重,223.1,,,, 4,  6.9,⑤⑥⑦, 6,10,Ｂドリｰムクラフト, 82,松山弘, 1.0, 68,  14, -12, 4, 10.3,⑦⑤⑤
 7, 3,Ｊワンダｰビジュｰ, 49,野元昭, 1.0, 57,   1,  -4,14,220.3,⑥⑦⑪, 7,14, カシノハｰトフル,---,国分恭, 1.5, 33, -18, -16, 8, 23.8, ⑧⑨, 7,10, レｰガン,,黒岩悠,223.4,,,,11, 81.2,⑧⑧⑧, 7, 8,Ｄニンジャ, 77,武豊  , 1.8, 61,* 21, -37, 3,  4.8,③①④
 8, 9,Ｃモルトフェリｰチェ, 62,藤岡康, 1.1, 55,*  2, -12, 3,  6.7,⑤③③, 8,13, テイエムハエモンド,---,芹沢純, 1.6, 32, -14, -21,11, 54.6, ⑤⑥, 8, 6, ヒカリアライブ,,西谷誠,224.7,,,, 5, 10.8,②②③, 8, 4,Ｉヴィｰナススマイル, 69,高倉稜, 2.0, 60,  12, -24, 9, 47.2,④⑧⑧
 9,11,Ｇメイユｰル, 57,田辺裕, 1.4, 52,  -1,  -9,10, 43.9,⑫⑪⑩, 9, 5, クラウンボｰスロン,---,太宰啓, 1.7, 30, -19, -17, 7, 16.7, ⑨⑩, 9,12, ロｰレルレヴァｰタ,,小坂忠,225.3,,,, 6, 19.3,④④⑤, 9, 2,Ｊスマイルバラッド, 61,幸英明, 5.7, 11,* 18, -89, 8, 29.3,①②⑨
10,12,Ｈガｰヴィ, 57,佐藤哲, 1.5, 52,  -2,  -7, 5, 13.5,⑬⑫⑫,10,11, カシノサトラップ,---,田辺裕, 1.7, 30, -17, -20, 4,  6.2, ⑦⑤,10, 7, ボストンリョウマ,,今村康,226.3,,,,14,143.7,⑫⑪⑪,10, 9,Ｈサンビｰム, 69,佐藤哲, 7.8,-13,  14, ---, 5, 15.0,②④⑩
11, 6,Ｌネオシアリｰズ, 42,高倉稜, 1.6, 50,  -1, -11, 9, 37.1,⑨⑬⑬,11, 1, コウエイシｰチャン,---,松山弘, 1.8, 29, -12, -24, 5,  6.4, ③④,11, 2, エルチョコレｰト,,難波剛,226.9,,,,12,106.9,⑨⑩⑩,,,,,,,,,,,,
12, 5,Ｍシャムロｰグ, 42,幸英明, 2.9, 39,*  4, -39,11, 57.4,②②②,12, 7, カシノコゴロウ,---,和田竜, 1.9, 29, -25, -14, 9, 42.8, ⑫⑫,12, 4, ウィルビｰキング,,田村太,228.1,,,,13,113.3,⑬⑬⑫,,,,,,,,,,,,
13, 4,Ｋスズカバビロン, 43,国分優, 4.3, 29,*  3, -59,13,213.7,①①⑦,13, 3, テイエムマコテハエ,---,国分優, 3.1, 12, -28, -28,10, 50.7, ⑭⑬,13, 9, ランヘランバ,,五十嵐,234.3,,,, 7, 22.8,⑪⑫⑬,,,,,,,,,,,,
14, 7,Ｎミッキｰハナコ, 37,小牧太,10.9,-47, -15, ---,12, 72.8,⑭⑭⑭,14,15, テイエムオヒサア,---,渡辺薫, 3.1, 12, -25, -30,15,109.9, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 2, キリシマダイナｰ,---,小牧太, 3.2, 15, -30, -23,13, 62.2, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 9, キョウワブｰケ,---,花田大, 4.9,-12, -57, -24,16,110.5, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-6),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,
"単勝:1,940円 複勝:01=390円 14=120円 10=280円 枠連:1,330円",,,,,,,,,,,,"単勝:460円 複勝:16=200円 06=480円 08=1,990円 枠連:1,480円",,,,,,,,,,,,単勝:550円 複勝:05=180円 03=160円 11=620円 枠連:640円,,,,,,,,,,,,"単勝:1,680円 複勝:07=380円 05=130円 03=1,250円 枠連:440円",,,,,,,,,,,
"馬連:1,970円 ワイド:01-14=880円 01-10=2,140円 10-14=530円",,,,,,,,,,,,"馬連:2,770円 ワイド:06-16=1,030円 08-16=5,940円 06-08=9,530円",,,,,,,,,,,,"馬連:750円 ワイド:03-05=360円 05-11=2,130円 03-11=1,630円",,,,,,,,,,,,"馬連:1,610円 ワイド:05-07=760円 03-07=6,670円 03-05=2,580円",,,,,,,,,,,
"馬単:5,080円 3連複:4,580円 3連単:38,100円",,,,,,,,,,,,"馬単:4,970円 3連複:72,860円 3連単:250,110円",,,,,,,,,,,,"馬単:1,720円 3連複:8,080円 3連単:32,170円",,,,,,,,,,,,"馬単:4,850円 3連複:28,210円 3連単:160,800円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,伊万里特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｇワンダｰコロアｰル, 59,武豊  ,, 72,   5,*  9, 4, 10.3,⑯⑪⑤, 1,11, メジャｰミノル,---,和田竜,, 52,*-16,   0, 1,  1.5, ①①, 1,10,Ｆイントゥザストｰム, 66,武豊  ,, 72,  -5,* 10, 3,  9.3, ⑬⑪, 1,11,Ｋトｰホウガｰデン, 58,鮫島良,, 63,  -5,*  3,14, 97.3, ⑨⑩
 2, 4,Ａミッキｰマｰチ, 69,小牧太, 0.4, 66,* 10,  -5, 1,  1.7,①①①, 2,12, セルリアンスバル,---,中井裕, 0.2, 51, -25,*  7, 8, 31.6, ③④, 2,13,Ａメイショウツガル, 73,幸英明, 0.1, 71,*  1,   2, 1,  2.9, ③③, 2, 7,Ｇケンタッキｰロｰド, 68,松山弘, 0.4, 57,  -8,   1, 8, 28.7, ⑩⑨
 3, 2,Ｄデンコウアクティブ, 61,太宰啓, 0.6, 66,   9,  -4, 2,  6.0,④③④, 3,10, マルトクスパｰト,---,国分優, 0.3, 48,*-18,  -1, 3, 13.0, ②②, 3,11,Ｊダノンロゼ, 63,北村友, 0.3, 67, -10,*  9,14,102.8, ⑮⑮, 3, 3,Ａウエスタンハピネス, 75,水口優, 0.4, 59,   1,  -6, 1,  2.9, ⑤⑥
 4, 8,Ｃトｰセンサミット, 62,浜中俊, 0.8, 64,   8,  -4, 3,  6.7,⑧⑥③, 4, 3, ニホンピロチャｰジ,---,酒井学, 0.9, 44, -37,* 10, 7, 22.9, ⑪⑧, 4, 6,Ｇデンコウデア, 66,藤懸貴, 0.4, 66,*  2,  -4,15,103.7, ①①, 4, 9,Ｂメイショウドルセｰ, 73,野元昭, 0.5, 58,   1,  -6, 2,  5.1, ⑥⑦
 5,11,Ｈセヴェルス, 58,幸英明, 0.9, 63,* 10,  -8, 7, 34.4,③②②, 5, 4, コウエイアｰス,---,太宰啓, 1.0, 39, -28,  -1,13,166.6, ④③, 5, 4,Ｌトロピカルメジャｰ, 62,和田竜, 0.5, 65,   0,  -2, 8, 21.0, ⑤⑤, 5,14,Ｆダッシャｰワン, 68,北村友, 0.6, 56, -14,*  3, 3,  5.3, ⑭⑫
 6, 3,Ｂヒシサイクロン, 65,小坂忠, 1.5, 60,   6,  -5, 6, 16.1,⑩⑧⑧, 6, 1, テイエムシシｰポス,---,鮫島良, 1.2, 38, -32,   0,10,132.1, ⑧⑤, 6, 7,Ｑエｰシンフルマｰク, 49,小牧太, 0.6, 64, -14,*  9, 5, 10.1, ⑯⑯, 6,13,Ｃニザエモン, 71,酒井学, 0.7, 57,   4, -10, 4,  7.3, ④④
 7,14,Ｅユウキタカラオｰ, 61,鮫島良, 1.9, 59,   3,  -5, 9, 75.4,⑮⑬⑫, 7, 7, エヴリシｰズン,---,佐藤哲, 1.2, 40, -36,   5, 5, 19.0, ⑩⑪, 7, 8,Ｄフラムドｰル, 70,松山弘, 0.7, 60, -10,   4,13, 90.6, ⑭⑬, 7, 4,Ｉアスタｰポメリｰ, 63,川須栄, 0.7, 59,*  7, -10, 5, 10.7, ②②
 8,10,Ｊエクストラトｰン, 56,渡辺薫, 1.9, 60,   5,  -7,14,240.2,⑨⑩⑪, 8, 9, ザッツトライアンフ,---,小牧太, 1.2, 38, -29,  -2, 6, 21.2, ⑦⑨, 8, 2,Ｏマジカルツアｰ, 59,浜中俊, 0.8, 60,  -6,  -1, 2,  3.4, ⑫⑩, 8, 8,Ｌハロｰタマ, 57,渡辺薫, 0.7, 56, -13,   1,10, 43.7, ⑬⑭
 9,12,Ｉヤマニンカセドラル, 57,藤岡康, 2.7, 52,   6, -16,15,261.9,⑪⑨⑩, 9, 5, ロイヤルレイド,---,渡辺薫, 1.3, 36, -33,   0,12,145.5, ⑨⑩, 9, 1,Ｈテイエムアモｰレ, 65,渡辺薫, 0.8, 60,  -1,  -7,10, 28.3, ④④, 9, 6,Ｅマンテンリュｰマ, 68,森一馬, 0.7, 55,  -8,  -2,13, 65.0, ⑪⑪
10, 1,Ｆサトノロｰレル, 60,和田竜, 2.9, 49,   7, -20, 8, 42.4,⑥⑦⑦,10, 8, ハｰツコンセンサス,---,浜中俊, 1.4, 35, -29,  -5, 2,  4.2, ⑥⑥,10, 5,Ｉハピシン, 64,国分優, 0.9, 59,  -3,  -5, 7, 17.0, ⑦⑥,10, 5,Ｄサハラブレイヴ, 69,中井裕, 0.9, 53,  -5,  -6, 6, 13.2, ⑧⑤
11,16,Ｌヒカリサｰベル, 52,熊沢重, 3.4, 49,   8, -26, 5, 14.8,⑤⑤⑨,11,13, ジェイケイドミノ,---,川須栄, 1.7, 30, -26, -11, 4, 18.8, ⑤⑦,11, 9,Ｂカイシュウタビビト, 71,田辺裕, 1.1, 56,*  2, -13, 4, 10.0, ②②,11,10,Ｎカシノアクセル, 53,田辺裕, 1.1, 52,  -1,  -9,12, 63.0, ⑦⑧
12,13,Ｋロングバｰス, 55,中井裕, 3.5, 46,   3, -19,10, 88.4,⑦⑫⑭,12, 6, シゲルヤマネコザ,---,国分恭, 2.8, 19, -51,  -3,11,133.5, ⑬⑬,12,15,Ｎグリュｰネワルト, 60,川須栄, 1.3, 53,  -3, -11,11, 62.7, ⑨⑨,12,12,Ｈコウユｰサクラサク, 63,浜中俊, 1.1, 51, -10,  -4, 7, 13.6, ⑫⑬
13, 9,Ｎトウカイボイジャｰ, 50,田辺裕, 3.6, 45,   2, -15,12,138.9,⑫⑮⑮,13, 2, キゲキ,---,幸英明, 3.0, 14, -42, -14, 9, 93.3, ⑫⑫,13,12,Ｋリッカスウィｰプ, 62,高倉稜, 1.3, 54,  -3, -10, 9, 28.1, ⑧⑧,13, 2,Ｊビップセンノセン, 60,幸英明, 1.7, 47,   4, -19, 9, 35.2, ③③
14, 5,Ｐシルクヴェリタス, 42,北村友, 3.7, 45,   9, -29,11,107.5,②④⑥,,,,,,,,,,,,,14,17,Ｐカシノラピス, 55,野元昭, 2.0, 45,  -4, -18,16,450.8, ⑪⑭,14, 1,Ｍシルクティソナ, 55,藤懸貴, 1.9, 44,*  6, -22,11, 55.2, ①①
15, 7,Ｏニホンピロルッツ, 49,藤懸貴, 4.2, 40,   2, -23,13,202.5,⑬⑭⑬,,,,,,,,,,,,,15,14,Ｃトツゼンノハピネス, 71,酒井学, 2.2, 42,   0, -25,12, 83.8, ⑥⑦,,,,,,,,,,,,
16, 6,Ｍトムエピソｰド, 51,花田大, 4.7, 38,  -2, -20,16,556.7,⑭⑯⑯,,,,,,,,,,,,,16,16,Ｍエｰティｰオヤブン, 61,国分恭, 2.5, 37,  -2, -28, 6, 15.5, ⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-3),,,,,,,,,,,
