12年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9, 2,Ｇギブアリｰズン, 54,古川吉, 1.3, 49,  -6,   5,11,190.7,⑪⑫⑪, 9, 7, コパノハリケｰン,,今村康,212.9,,,, 7, 63.3,⑧⑨⑨, 9, 9,Ｉアｰクペガサス, 55,北村友, 2.3, 58,  -7,   3,11,111.0, ⑬⑭, 9, 8,Ｉダノンエクスプレス, 83,福永祐, 0.9, 79,  10,   9, 8, 18.3, ④⑤
10, 8,Ｍメイショウシラウメ, 41,菱田裕, 1.5, 48,  -4,  -2,16,337.0,⑥⑦⑧,,,,,,,,,,,,,10,12,Ｊパｰプルベスト, 48,国分恭, 2.8, 54,  -3,  -4,14,243.4, ⑫⑩,10,10,Ｍチョイワルグランパ, 82,浜中俊, 1.0, 78,   4,  16,11, 58.9, ⑭⑭
11, 6,Ｈメイショウミヤコ, 52,花田大, 2.2, 43,  -3,  -9,12,206.5,⑤⑥⑦,,,,,,,,,,,,,11,10,Ｍリュウスマイル, 47,渡辺薫, 3.0, 54,  -4,  -6,15,405.3, ⑪⑨,11,11,Ｅスピルオｰバｰ, 85,秋山真, 1.0, 77,   5,  13, 6, 14.2, ⑩⑩
12,11,Ｉシゲルマスカット, 49,国分優, 2.4, 42,  -5,  -7,10,149.8,⑨⑩⑩,,,,,,,,,,,,,12, 2,Ｇオｰブライツ, 60,松山弘, 3.0, 50,*  8, -20, 9, 47.1, ①①,12, 9,Ｇコパノカチｰノ, 84,藤岡康, 1.1, 78,   2,  17,12, 60.1, ⑮⑮
13, 1,Ｊケンブリッジスワン, 47,藤懸貴, 2.5, 40,  -7,  -3, 7, 43.5,⑭⑭⑭,,,,,,,,,,,,,13, 3,Ｎトレゾアシチｰ, 46,菱田裕, 3.8, 47, -14,  -1,12,190.4, ⑯⑯,13, 6,Ｐマイネルエルドラド, 73,川須栄, 1.3, 76,   4,  12,13,124.7, ⑫⑬
14, 5,Ｏアイアンムガｰル, 33,川須栄, 3.5, 35,  -6, -14,15,305.1,⑫⑪⑬,,,,,,,,,,,,,14, 7,Ｌレッドグロリア, 48,福永祐, 3.9, 46,   2, -21, 8, 42.5, ⑤⑥,14,12,Ｋノボレインボｰ, 82,藤懸貴, 2.0, 68,   7,   2,15,231.1, ⑧⑧
15,13,Ｎキシュウサｰパス, 36,高倉稜, 4.0, 34,  -7, -16,14,265.0,⑬⑬⑮,,,,,,,,,,,,,15, 6, ヒロノブレｰブ,---,花田大, 4.0, 44,  -5, -14,16,409.1, ⑧⑬,15, 1,Ｈトウショウクエスト, 84,和田竜, 2.3, 67,   8,  -2,10, 41.8, ⑥⑥
16,10,Ｐフミノアザレア, 33,荻野琢, 4.6, 29,  -8, -19, 9, 69.1,⑯⑯⑯,,,,,,,,,,,,,16,11, リトルゲルダ,---,浜中俊, 8.3, 12,  -3, -54, 7, 25.2, ⑦⑫,16,16,Ｌチャンピオンラブ, 82,太宰啓, 2.5, 65,   5,   1,14,131.3, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-4),,,,,,,,,,,
単勝:670円 複勝:15=150円 16=130円 04=110円 枠連:970円,,,,,,,,,,,,単勝:170円 複勝:08=110円 01=200円 03=140円 枠連:780円,,,,,,,,,,,,単勝:800円 複勝:01=200円 13=170円 08=190円 枠連:740円,,,,,,,,,,,,"単勝:460円 複勝:13=200円 03=330円 07=160円 枠連:1,170円",,,,,,,,,,,
馬連:950円 ワイド:15-16=300円 04-15=280円 04-16=200円,,,,,,,,,,,,馬連:800円 ワイド:01-08=300円 03-08=170円 01-03=350円,,,,,,,,,,,,"馬連:1,960円 ワイド:01-13=530円 01-08=440円 08-13=510円",,,,,,,,,,,,"馬連:4,220円 ワイド:03-13=1,370円 07-13=480円 03-07=940円",,,,,,,,,,,
"馬単:2,150円 3連複:710円 3連単:6,610円",,,,,,,,,,,,"馬単:1,080円 3連複:770円 3連単:2,950円",,,,,,,,,,,,"馬単:3,760円 3連複:2,580円 3連単:15,720円",,,,,,,,,,,,"馬単:7,030円 3連複:4,240円 3連単:29,770円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,鳴尾記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃシゲルユズ, 63,和田竜,, 68,*  0,   4, 3,  4.0, ②②, 1, 1, トｰセンパワフル,---,福永祐,, 59, -31,  18, 1,  1.6, ③③, 1, 7,Ｆマキハタテノｰル, 66,小牧太,, 77,*  6,* 15, 3,  9.0,①①①, 1,10,Ｂトゥザグロｰリｰ, 91,福永祐,, 93,* -1,  31, 2,  3.8,③②②
 2,12,Ａフラッシュパッカｰ, 66,岩田康, 0.0, 67,  -1,   5, 2,  3.1, ③③, 2, 4, マイネヴァイザｰ,---,和田竜, 0.1, 59,*-27,  13, 3,  8.1, ①②, 2, 1,Ｄクリサンセマム, 76,岩田康, 0.4, 75,   5,* 17, 1,  1.4,⑤⑥⑦, 2, 8,Ａショウナンマイティ, 94,浜中俊, 0.1, 95,  -3,* 35, 1,  2.7,⑨⑧⑦
 3, 2,Ｆヒラボクダッシュ, 56,幸英明, 0.1, 68,  -8,* 11, 5, 18.6, ⑪⑪, 3, 5, ラウンドワｰルド,---,岩田康, 0.4, 59, -38,* 25, 2,  2.6, ④④, 3, 6,Ａシゲルササグリ, 81,藤懸貴, 0.5, 72,   4,  12, 5, 21.5,④⑤⑤, 3, 6,Ｈトｰセンラｰ, 80,岩田康, 0.4, 89,  -1,  28, 5, 10.1,②④④
 4, 1,Ｅテイエムキュウベエ, 61,松山弘, 0.5, 62,  -4,   3, 4, 11.2, ⑦⑥, 4, 3, エイティグロｰリｰ,---,太宰啓, 1.2, 37,*-28,  -5, 6, 59.9, ②①, 4, 9,Ｂアクアブルｰフライ, 77,武豊  , 0.5, 73,   5,  14, 2,  5.4,⑦⑦⑥, 4, 3,Ｄナカヤマナイト, 88,柴田善, 0.4, 89,  -3,  29, 4,  5.4,⑥⑦⑥
 5, 3,Ｂミチャエル, 66,川田将, 0.7, 62, -10,   7, 1,  2.9, ⑫⑫, 5, 2, リアルマイスタｰ,---,小牧太, 2.0, 38, -41,   5, 4, 19.3, ⑤⑤, 5, 5,Ｈマイネルイグアス, 63,高倉稜, 0.5, 71,*  6,  10, 6, 30.1,③②②, 5, 1,Ｃアｰネストリｰ, 89,佐藤哲, 0.7, 89,  -5,  29, 3,  4.2,⑧⑩⑩
 6,11,Ｄコマノガレオス, 61,佐藤哲, 1.0, 57,  -8,   2, 6, 18.6, ⑨⑩, 6, 6, シゲルオヒツジザ,---,川須栄, 2.2, 38, -43,   8, 5, 29.5, ⑦⑦, 6, 2,Ｉクｰガｰストリｰト, 62,和田竜, 0.5, 74,*  6,  11, 9, 62.0,②③④, 6, 5,Ｇアドマイヤメジャｰ, 81,ウィリ, 1.0, 78,*  0,  17, 8, 55.8,⑤③③
 7,15,Ｇキンショｰダイシ, 55,吉田豊, 1.1, 57,  -2,  -4,11, 70.9, ⑤⑤, 7, 7, ゴｰイングビｰト,---,菱田裕, 2.2, 33, -41,   2, 7, 72.0, ⑥⑥, 7, 4,Ｃテｰオｰダンシング, 76,国分恭, 1.1, 65,*  6,   1, 4, 11.3,⑥④③, 7, 7,Ｊイケトップガン, 77,川田将, 1.0, 78,* -1,  13,10,216.0,①①①
 8, 7,Ｊモンハピネス, 44,渡辺薫, 1.7, 56,  -6,  -4,13,105.2, ⑩⑦,,,,,,,,,,,,, 8, 3,Ｇノｰブリｰ, 65,藤岡佑, 1.3, 69,   2,  13, 7, 55.1,⑧⑧⑧, 8, 4,Ｅスマｰトギア, 84,松山弘, 1.0, 81,  -5,  24, 6, 26.7,④⑥⑧
 9, 8,Ｈシャトｰエルシド, 53,菱田裕, 1.7, 52,  -6,  -6,15,255.8, ⑧⑧,,,,,,,,,,,,, 9, 8,Ｅマｰリンシチｰ, 75,菱田裕, 1.8, 66,  -1,  14, 8, 61.8,⑨⑨⑨, 9, 9,Ｆダンツホウテイ, 82,吉田豊, 1.1, 76,  -2,  16, 7, 40.1,⑦⑤⑤
10, 9, エｰシンエムホｰプ,---,川須栄, 1.9, 51, -17,   3, 9, 46.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,10, 2,Ｉロｰドニュｰスタｰ, 78,和田竜, 1.2, 83,  -5,  24, 9,164.3,⑩⑨⑨
11,13,Ｌベンザイテンイモン, 42,川島信, 2.5, 45,*  1, -20, 8, 38.5, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14, エルドｰル,---,藤懸貴, 2.7, 42, -36,* 13,10, 59.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, 4, メイショウユキハナ,---,高倉稜, 2.8, 43, -20,  -3,14,168.0, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,16,Ｋアストゥリアス, 43,国分恭, 3.2, 40,  -4, -19,16,283.2, ⑥⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｉフェリスタス, 51,福永祐, 3.3, 40,  -1, -24, 7, 33.5, ④④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 5, ミキノバラライカ,---,藤岡康, 3.8, 34, -12, -19,12, 94.7, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+17 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,
単勝:400円 複勝:06=140円 12=130円 02=320円 枠連:430円,,,,,,,,,,,,単勝:160円 複勝:01=110円 04=210円 枠連:0円,,,,,,,,,,,,単勝:900円 複勝:07=210円 01=110円 06=310円 枠連:520円,,,,,,,,,,,,単勝:380円 複勝:10=150円 08=130円 06=210円 枠連:520円,,,,,,,,,,,
馬連:480円 ワイド:06-12=240円 02-06=720円 02-12=820円,,,,,,,,,,,,馬連:540円 ワイド:01-04=140円 01-05=110円 04-05=160円,,,,,,,,,,,,"馬連:530円 ワイド:01-07=270円 06-07=1,340円 01-06=430円",,,,,,,,,,,,馬連:590円 ワイド:08-10=250円 06-10=550円 06-08=400円,,,,,,,,,,,
"馬単:1,070円 3連複:2,000円 3連単:7,710円",,,,,,,,,,,,"馬単:700円 3連複:210円 3連単:1,120円",,,,,,,,,,,,"馬単:2,040円 3連複:1,970円 3連単:15,760円",,,,,,,,,,,,"馬単:1,180円 3連複:1,650円 3連単:6,900円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,鶴橋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄチキリリキオｰ, 62,幸英明,, 61,  -4,* 10, 6, 10.0,⑮⑫⑩, 1,16,Ｆメイショウコウボウ, 59,藤岡康,, 76,   3,*  4, 2,  3.5, ⑤④, 1, 6,Ｂハｰキュリｰズ, 75,川田将,, 83,   0,  17, 1,  2.7, ⑤⑤, 1, 8,Ｂポップアイコン, 77,浜中俊,, 73,   1,* 12, 1,  2.9,⑤⑤④
 2, 2,Ｇマイネルボンド, 59,ウィリ, 0.0, 60,*  0,   3, 2,  4.2,②②②, 2, 9,Ｅビキニブロンド, 59,ウィリ, 0.2, 74,*  4,*  1, 1,  2.9, ③③, 2, 2,Ａコアレスドラｰド, 77,武豊  , 0.1, 84,  -3,* 21, 2,  2.8, ⑧⑧, 2,10,Ｅレッドデセｰオ, 72,小牧太, 0.4, 69,*  2,   5, 2,  3.2,①①①
 3,12,Ｆリｰノレオン, 61,川島信, 0.2, 60,  -4,* 10, 7, 15.6,⑪⑬⑬, 3, 6,Ｂウインドグラス, 63,松山弘, 0.8, 66,*  7, -10, 7, 20.4, ①①, 3, 1,Ｃマイネマオ, 72,和田竜, 0.1, 81,   0,  13, 3,  5.0, ④④, 3,11,Ａタガノリベラノ, 79,和田竜, 0.5, 69,   0,*  9, 5,  8.0,⑦⑥⑤
 4, 8,Ｋセンシズバイオ, 55,岩田康, 0.4, 56,* -1,   0, 4,  8.2,④③③, 4, 4,Ｃテストマッチ, 61,池添謙, 0.8, 64,   0,  -4, 3,  6.1, ⑧⑧, 4, 8,Ｈロｰズリパブリック, 67,岩田康, 0.3, 75,*  3,   6, 7, 28.2, ①①, 4,13,Ｋシェイクラブハｰト, 65,高倉稜, 0.8, 67,*  2,   3,10, 54.5,②②②
 5,15,Ｅベストウィッシュ, 62,小牧太, 0.4, 57,  -2,   2, 1,  2.8,⑤⑥⑤, 5, 3,Ａグレｰトサミット, 64,花田大, 0.9, 63,   1,  -6, 5, 16.1, ⑦⑦, 5, 3,Ｅトニｰポケット, 70,藤岡佑, 0.7, 77,  -4,  15, 5, 14.6, ⑨⑨, 5, 3,Ｍマコトラピスラズリ, 61,福永祐, 1.0, 68,  -2,   8, 3,  6.4,⑩⑩⑨
 6, 7,Ａドリｰムプログラム, 66,松山弘, 0.5, 56,  -4,   6, 3,  7.7,⑫⑪⑪, 6, 2,Ｊタマモギャラクシｰ, 51,国分恭, 1.1, 60,  -2,  -5,12,105.9, ⑪⑫, 6, 4,Ｇヒカリトリトン, 69,太宰啓, 0.7, 70,  -2,   8, 9,152.7, ⑥⑥, 6, 9,Ｃラヴフェアリｰ, 77,菱田裕, 1.1, 66,  -2,   8, 4,  7.8,⑨⑪⑪
 7, 9,Ｊワイルドガンズ, 55,浜中俊, 0.7, 57,  -3,   3,10, 39.8,⑧⑩⑫, 7, 1,Ｍヤマニンネレイス, 44,国分優, 1.2, 59,  -3,  -6,14,159.9, ⑬⑪, 7, 5,Ｆギリギリヒｰロｰ, 69,ウィリ, 0.9, 70,  -1,   5, 6, 17.5, ⑦⑦, 7, 4,Ｌシルクシンフォニｰ, 62,北村友, 1.1, 65,*  1,   1, 7, 29.7,③③③
 8,10,Ｃタガノボックス, 63,藤懸貴, 0.7, 52,  -3,   1,11, 64.5,⑨⑦⑧, 8,13,Ｋジョｰハヤテ, 50,吉田豊, 1.3, 56,   0, -10,10, 72.5, ⑩⑩, 8, 7,Ｄスマｰトリバティｰ, 71,武幸四, 1.1, 66,*  2,  -2, 4,  7.8, ②③, 8, 6,Ｊアランロド, 68,国分恭, 1.4, 64,  -1,   4,11, 83.1,⑪⑨⑩
 9, 1,Ｂカラヤン, 65,藤岡康, 0.9, 53,*  0,  -6, 5,  9.6,①①①, 9, 7,Ｄエリモヴィエント, 60,太宰啓, 1.3, 55,  -5,  -5, 9, 25.1, ⑮⑮, 9, 9,Ｉミエノスペシャル, 47,福永祐, 1.3, 64,*  1,  -5, 8, 55.0, ③②, 9, 7,Ｇコｰリングオブラブ, 71,吉田豊, 1.5, 63,  -3,   7,14,201.6,⑫⑫⑫
10, 4,Ｎカシノアラシ, 38,野元昭, 1.1, 52,* -1,  -5,16,486.4,③④④,10,11,Ｌイッセキニチョウ, 47,幸英明, 1.5, 55,  -2, -10,13,142.1, ⑫⑬,,,,,,,,,,,,,10, 2,Ｈシゲルサクランボ, 71,国分優, 1.7, 60,   0,   0,12,151.4,⑧⑧⑦
11,11,Ｈユウキタカラオｰ, 58,秋山真, 1.2, 51,  -3,  -3, 8, 26.1,⑩⑨⑨,11, 8,Ｈシャイニｰタキオン, 57,小牧太, 1.9, 49,  -7, -12, 4,  7.4, ⑯⑯,,,,,,,,,,,,,11, 1,Ｄアドマイヤインディ, 74,岩田康, 1.7, 60,   0,   0, 6, 14.4,⑥⑦⑥
12,14,Ｐトシツバサ, 29,北村友, 1.2, 55,  -5,   3,13,142.8,⑬⑮⑮,12,10,Ｉボストンストロング, 51,和田竜, 2.2, 52,*  6, -27, 8, 20.6, ②②,,,,,,,,,,,,,12,14,Ｉプリムｰル, 71,幸英明, 1.9, 62,  -5,   7, 8, 40.7,⑭⑭⑬
13,16,Ｍアラタマライト, 39,鮫島良, 1.5, 54,  -5,   0,15,445.6,⑯⑭⑭,13,15,Ｇツルマルサンチャン, 59,川田将, 2.2, 47,   3, -25, 6, 16.7, ⑥⑥,,,,,,,,,,,,,13, 5,Ｎディンプル, 38,川島信, 2.5, 57,  -4,   1,13,200.0,⑬⑬⑭
14, 6,Ｌマルサンブライアン, 50,太宰啓, 1.8, 47,  -3,  -8,14,211.5,⑦⑧⑦,14,14,Ｏタイセイタイクｰン, 39,北村友, 2.4, 43,  -3, -20,11,104.0, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
15, 5,Ｉジョビジョバ, 57,和田竜, 1.9, 47,* -1, -12, 9, 28.6,⑥⑤⑥,15, 5,Ｐミキノサンドバギｰ, 38,酒井学, 2.5, 42,   0, -26,16,242.2, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,
16, 3,Ｏビコｰクラウン, 32,芹沢純, 2.2, 47,  -7,  -2,12,137.5,⑭⑯⑯,16,12,Ｎクレバｰリバティｰ, 43,高倉稜, 2.6, 43,*  4, -31,15,171.1, ④⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,000円 複勝:13=380円 02=170円 12=450円 枠連:2,010円",,,,,,,,,,,,単勝:350円 複勝:16=150円 09=140円 06=510円 枠連:450円,,,,,,,,,,,,単勝:270円 複勝:06=120円 02=110円 01=140円 枠連:310円,,,,,,,,,,,,単勝:290円 複勝:08=130円 10=140円 11=200円 枠連:370円,,,,,,,,,,,
"馬連:2,870円 ワイド:02-13=930円 12-13=1,450円 02-12=940円",,,,,,,,,,,,"馬連:610円 ワイド:09-16=310円 06-16=1,420円 06-09=1,370円",,,,,,,,,,,,馬連:350円 ワイド:02-06=150円 01-06=220円 01-02=200円,,,,,,,,,,,,馬連:480円 ワイド:08-10=210円 08-11=520円 10-11=450円,,,,,,,,,,,
"馬単:6,580円 3連複:8,920円 3連単:58,490円",,,,,,,,,,,,"馬単:1,310円 3連複:5,000円 3連単:22,080円",,,,,,,,,,,,"馬単:750円 3連複:390円 3連単:1,540円",,,,,,,,,,,,"馬単:870円 3連複:1,330円 3連単:4,360円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
