12年 6月23日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 6月23日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:1),,,,,,,,,,,
単勝:820円 複勝:09=220円 12=140円 16=380円 枠連:640円,,,,,,,,,,,,"単勝:310円 複勝:08=160円 09=310円 07=720円 枠連:1,570円",,,,,,,,,,,,"単勝:370円 複勝:08=180円 04=1,150円 05=690円 枠連:7,000円",,,,,,,,,,,,単勝:730円 複勝:07=230円 05=180円 03=480円 枠連:540円,,,,,,,,,,,
"馬連:830円 ワイド:09-12=420円 09-16=1,220円 12-16=650円",,,,,,,,,,,,"馬連:1,630円 ワイド:08-09=620円 07-08=1,450円 07-09=2,840円",,,,,,,,,,,,"馬連:11,490円 ワイド:04-08=2,310円 05-08=2,110円 04-05=11,110円",,,,,,,,,,,,"馬連:1,170円 ワイド:05-07=540円 03-07=1,990円 03-05=1,410円",,,,,,,,,,,
"馬単:1,900円 3連複:2,790円 3連単:14,030円",,,,,,,,,,,,"馬単:2,620円 3連複:12,370円 3連単:40,730円",,,,,,,,,,,,"馬単:19,240円 3連複:67,570円 3連単:278,910円",,,,,,,,,,,,"馬単:3,000円 3連複:8,660円 3連単:41,550円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  ダ1700m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,安達太良ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａエンドレスノット, 62,蛯名正,, 56,*  3,  -8, 1,  1.3, ①①, 1, 2, マイネルホウオウ,---,柴田大,, 57, -16,   4, 4,  7.4,⑤⑤④, 1, 1,Ｍミッキｰナチュラル, 52,横山典,, 70,   0,* 13, 2,  4.2,⑬⑪⑧, 1, 2,Ｅセイリオス, 88,田中勝,, 85,  16,   7, 1,  3.2,④③③
 2, 1,Ｃフリｰダムシチｰ, 53,二本柳, 0.0, 57,  -2,  -2, 2,  6.6, ⑤⑤, 2,10, ポップアップハｰト,---,田中勝, 0.0, 56, -17,*  8, 9, 31.2,⑭⑨⑦, 2,13,Ｇサｰノ, 70,中谷雄, 0.1, 75,   2,* 11, 7, 25.4,⑨⑧④, 2,14,Ｎヤマニンシャスｰル, 77,田中健, 0.2, 85,  12,* 11,14, 92.0,⑬⑩⑨
 3, 5,Ｉユウミプリンセス, 42,嘉藤貴, 0.2, 53,  -9,*  1,13, 85.1, ⑨⑨, 3, 5, ザラストロ,---,柴田善, 0.2, 55, -19,*  8, 2,  6.0,⑬⑪⑪, 3,10,Ｅデュアルサクセス, 72,嶋田純, 0.3, 70,   2,   8, 5, 11.2,⑧⑥⑥, 3, 9,Ｂエアウルフ, 89,松岡正, 0.3, 84,* 18,   1, 2,  3.4,②①①
 4,15,Ｄクイｰンパワｰ, 51,柴田善, 0.2, 54, -12,*  4, 9, 59.2, ⑬⑫, 4,11, クレバｰユニバｰス,---,内田博, 0.5, 52, -20,*  5, 5, 14.4,⑫⑬⑩, 4,12,Ｃチャンピオンハｰレ, 72,松岡正, 0.5, 69,  -1,* 11, 4,  9.4,⑫⑫⑩, 4, 3,Ｆサイモントルナｰレ, 87,柴田善, 0.9, 83,   8,* 13, 3,  9.1,⑮⑮⑮
 5,13,Ｍショウナンマジック, 35,杉原誠, 0.4, 50,*  1, -12,11, 64.2, ②②, 5, 3, タイセイプリンス,---,吉田豊, 0.5, 47, -16,  -2, 3,  6.8,③④③, 5, 3,Ａベストフェット, 74,田辺裕, 0.6, 67,   0,   8, 6, 17.7,⑦⑨⑨, 5,10,Ｋエイシンナナツボシ, 82,大庭和, 1.1, 82,  10,*  9,13, 92.0,⑭⑭⑬
 6, 2,Ｎギフテッドスマイル, 34,西田雄, 0.5, 49,  -5,  -7, 6, 38.6, ⑦⑥, 6,12, オリバｰバロｰズ,---,江田照, 0.6, 43,*-15,  -7,11, 61.3,②②②, 6, 8,Ｊヤマニンクラバット, 65,柴田大, 0.9, 66,  -3,* 12,12,164.0,⑭⑬⑬, 6, 8,Ｍブルｰソックス, 78,田辺裕, 1.1, 78,  14,   1, 7, 14.8,⑦⑥⑤
 7,11,Ｋトキノポイント, 41,石神深, 0.5, 50, -14,*  3,15,173.5, ⑭⑬, 7,13, ベルウッドテラス,---,蛯名正, 0.7, 44, -16,  -6, 1,  1.9,⑥⑥⑤, 7,15,Ｆウマテック, 71,西村太, 1.2, 62,   0,   3,10,136.6,⑩⑩⑫, 7,13,Ｌトウカイライフ, 82,柴田大, 1.2, 77,  14,   0,15,188.6,⑩⑧⑥
 8,14,Ｅロマンチカ, 51,嶋田純, 0.5, 49,  -7,  -5, 3, 20.8, ⑧⑧, 8,15, リリｰエンゼル,---,田辺裕, 0.9, 44, -17,  -6, 8, 28.7,⑩⑦⑧, 8,11,Ｂロｰレンルｰナ, 73,蛯名正, 1.2, 63,*  3,  -2, 1,  2.1,①①①, 8, 5,Ａテｰプカット, 89,北村宏, 1.3, 77,  11,   5,10, 22.8,⑫⑪⑩
 9, 9,Ｂグッドラスベガス, 54,田辺裕, 0.8, 46, -11,  -5, 8, 58.3, ⑫⑪, 9, 9, トウカイフェスタ,---,杉原誠, 1.1, 37,*-13, -16,12, 93.5,①①①, 9, 5,Ｌラリエット, 61,吉田豊, 1.7, 59,   1,  -3, 8, 46.3,④④⑤, 9,11,Ｏビッグロマンス, 73,武士沢, 1.6, 77,  11,   2,11, 71.7,⑨⑬⑭
10, 8,Ｆイイジャン, 49,吉田豊, 0.8, 45,  -1, -14, 5, 23.9, ⑥⑦,10, 6, ディｰエスコマンド,---,大庭和, 1.4, 39, -19,  -9,15,250.6,⑦⑩⑨,10, 4,Ｏアグネスグロｰリｰ, 50,武士沢, 1.7, 63,  -4,   6,14,355.0,⑮⑭⑭,10,15,Ｈモエレジュンキン, 85,横山典, 1.6, 73,* 18, -10, 5, 12.2,③②②
11, 3,Ｌノムラクインワルツ, 37,西村太, 0.9, 44,  -3, -14, 7, 50.6, ④④,11, 4, ナムライチバンボシ,---,石橋脩, 2.3, 29, -20, -20,10, 45.4,⑨⑫⑬,11, 6,Ｄトウショウブｰム, 72,中舘英, 2.1, 55,*  3,  -9, 3,  5.4,③③②,11, 1,Ｇストロングバサラ, 86,内田博, 1.7, 74,  13,  -3, 8, 15.0,⑧⑨⑧
12, 4,Ｏアポロズスピアｰ, -9,山崎亮, 1.0, 42, -21,*  2,16,259.8, ⑮⑮,12,16, マイネルガブリエル,---,松岡正, 2.4, 26,*-15, -31, 6, 20.4,④③⑥,12, 9,Ｎオクシペタルム, 52,北村宏, 2.5, 53,   2, -10,11,138.2,⑥⑦⑦,12,12,Ｉカラフルデイズ, 84,石橋脩, 1.9, 74,  16,  -8, 9, 19.5,⑥⑤④
13, 7,Ｊサムライクイｰン, 42,中舘英, 1.2, 41,  -9, -12,10, 60.3, ⑩⑩,13, 7, ミヤコボルト,---,中舘英, 3.1, 20, -21, -27,14,159.4,⑮⑭⑭,13,14,Ｈシャイニｰベスト, 68,西田雄, 2.7, 53,*  3, -13, 9, 99.6,②②③,13, 4,Ｄゴッドエンブレム, 88,吉田豊, 2.0, 72,  11,  -2,12, 82.1,⑪⑫⑫
14,16,Ｇマヤステッラ, 49,柴田大, 1.2, 42,*  1, -22, 4, 22.5, ③③,14, 1, エッフェル,---,北村宏, 3.2, 19, -24, -24, 7, 27.8,⑪⑮⑮,14, 7,Ｋスマｰトスペンサｰ, 64,山崎亮, 3.5, 47,   1, -18,13,234.9,⑤⑤⑪,14, 6,Ｃシャルルマｰニュ, 88,蛯名正, 2.0, 73,  15,  -7, 4,  9.8,⑤⑦⑦
15,10, テンエイヒｰロｰ,---,中谷雄, 2.8, 21, -34,  -7,14, 95.0, ⑯⑯,15,14, トｰセンボンバｰ,---,西田雄, 3.9, 13, -17, -47,13,121.2,⑧⑧⑫,15, 2,Ｉライヴドリｰムス, 65,杉原誠, 4.0, 45,  -4, -12,15,428.9,⑪⑮⑮,15, 7,Ｊタケショウカヅチ, 83,中舘英, 3.5, 60,  16, -22, 6, 14.7,①④⑪
16,12,Ｈダイワマｰクアップ, 43,武士沢, 3.1, 15, -10, -37,12, 81.0, ⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:2),,,,,,,,,,,
単勝:130円 複勝:06=110円 01=150円 05=720円 枠連:280円,,,,,,,,,,,,"単勝:740円 複勝:02=240円 10=620円 05=220円 枠連:4,550円",,,,,,,,,,,,"単勝:420円 複勝:01=210円 13=410円 10=240円 枠連:1,550円",,,,,,,,,,,,"単勝:320円 複勝:02=150円 14=1,110円 09=140円 枠連:1,560円",,,,,,,,,,,
"馬連:310円 ワイド:01-06=170円 05-06=920円 01-05=2,240円",,,,,,,,,,,,"馬連:7,270円 ワイド:02-10=1,940円 02-05=590円 05-10=1,880円",,,,,,,,,,,,"馬連:6,100円 ワイド:01-13=2,190円 01-10=990円 10-13=1,540円",,,,,,,,,,,,"馬連:20,100円 ワイド:02-14=4,210円 02-09=220円 09-14=3,160円",,,,,,,,,,,
"馬単:400円 3連複:3,950円 3連単:8,980円",,,,,,,,,,,,"馬単:12,960円 3連複:9,690円 3連単:82,860円",,,,,,,,,,,,"馬単:8,780円 3連複:15,180円 3連単:76,170円",,,,,,,,,,,,"馬単:32,830円 3連複:13,920円 3連単:128,120円",,,,,,,,,,,
■ 3R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,種市特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｋマイネエミリｰ, 50,柴田大,, 64,*  1,*  2, 5, 14.1,⑥⑤③, 1, 7, ニｰマルジョイ,---,中舘英,, 63,*  0,*  0, 1,  2.3, ②②, 1, 1,Ｅクリｰンエコロジｰ, 72,蛯名正,, 81,  12,*  5, 1,  2.4, ③②, 1,11,Ｃフレイムコｰド, 71,蛯名正,, 73,* 12,  -9, 4,  5.3,④③①
 2,14,Ｆラクリモｰサ, 56,内田博, 0.3, 57,*  2,  -5, 4,  6.6,②②②, 2, 6, グランデタマ,---,横山典, 0.2, 63,*  3,* -2, 2,  4.4, ①①, 2,14,Ａミヤジエムジェイ, 77,柴田善, 0.5, 74,  10,   0, 2,  3.8, ⑥⑥, 2, 4,Ｂマイネジャンヌ, 72,松岡正, 0.0, 77,   8,*  0, 2,  3.6,⑨⑦②
 3,13,Ｅイブニングスカイ, 59,石橋脩, 0.3, 58,*  2,  -6, 8, 39.5,①①①, 3, 5, カラダエｰピｰ,---,武士沢, 1.9, 43,  -6, -12, 4,  6.8, ③④, 3,11,Ｄメイショウツガル, 74,江田照, 0.7, 73,* 13,  -5, 5, 10.7, ④⑤, 3, 9,Ａブリッジクライム, 75,柴田善, 0.2, 73,   8,* -2, 1,  3.0,⑩⑩③
 4, 1, クッキｰチャン,---,江田照, 0.4, 54,  -1,* -1, 7, 22.3,⑩⑧⑥, 4, 8, キセキノナルシスト,---,嶋田純, 2.2, 38,  -6, -15, 3,  4.7, ④③, 4, 5,Ｆドレッドノｰト, 71,石橋脩, 0.8, 72,  11,  -4, 4, 10.1, ⑤④, 4,10,Ｇアンスポｰクン, 66,北村宏, 0.4, 70,   9,  -9, 5,  7.4,⑤⑤⑨
 5,10,Ｃガンセ, 63,吉田豊, 0.5, 54,  -1,* -1, 3,  6.6,⑬⑪⑫, 5, 4, クラウンプルｰトゥ,---,鈴来直, 2.3, 35, -16, -10, 6, 15.7, ⑧⑧, 5, 7,Ｃダノンエレガント, 74,中舘英, 0.9, 73,* 16, -10, 3,  5.5, ①①, 5, 3,Ｄロックフェアレディ, 67,石橋脩, 0.6, 72,   5,* -1, 7, 33.3,⑪⑪⑩
 6, 3,Ｄスリリングレディ, 60,田中博, 0.7, 54,  -2,* -1, 6, 15.8,⑭⑭⑭, 6, 9, プリティｰキャロル,---,杉原誠, 2.5, 36,  -6, -18, 5, 10.0, ⑤⑤, 6, 4,Ｂビットスタｰダム, 76,中谷雄, 1.0, 66,   4,   0, 7, 26.4, ⑩⑩, 6,13,Ｆメジロソフィア, 67,杉原誠, 1.0, 65,   8, -13,13,157.4,⑦⑧⑧
 7, 6,Ｂチャｰドリｰ, 65,蛯名正, 0.7, 52,*  1,  -9, 1,  2.9,④③④, 7, 1, ダイメイホｰム,---,中谷雄, 2.6, 34, -14, -14,10, 69.0, ⑦⑥, 7,12,Ｊピルケンハンマｰ, 68,内田博, 1.0, 66,   6,  -3, 6, 20.3, ⑨⑨, 7, 6,Ｏメイショウモｰレン, 53,小島太, 1.2, 63,   2,  -6,11,114.6,⑬⑬⑪
 8,16,Ｉコスモオアシス, 52,中谷雄, 0.8, 52,*  1,  -9,10, 56.5,⑤⑥⑤, 8, 3, スパイクラベンダｰ,---,江田照, 2.7, 32, -16, -12, 7, 41.3, ⑩⑦, 8, 8,Ｌツｰオブアス, 63,田中勝, 1.0, 70,* 14, -11,15,189.0, ②③, 8, 7,Ｉダッシュアキチャン, 64,吉田豊, 1.3, 60,   4, -10,12,150.4,⑫⑫⑫
 9, 8,Ｎプロヴォカｰレ, 36,北村宏, 1.0, 50,  -1,  -9,14,251.5,⑦⑨⑦, 9, 2, ミキノロココ,---,西田雄, 3.4, 25, -17, -19, 8, 49.3, ⑨⑩, 9, 9,Ｈクレムリンシチｰ, 71,武士沢, 1.0, 63,  -2,*  5,10, 61.2, ⑮⑯, 9,12,Ｎブｰケドロゼブルｰ, 56,武士沢, 1.3, 61,   2,  -7,10,102.9,⑭⑭⑭
10,12,Ｈアロｰサンベリｰナ, 53,西村太, 1.0, 51,   0,  -8,13,107.2,⑧⑩⑪,10,10, ドヴァラパｰラ,---,嘉藤貴, 4.0, 19, -13, -26, 9, 50.7, ⑥⑨,10,13,Ｍダイワカリエンテ, 62,北村宏, 1.2, 63,   4,  -3,11, 80.8, ⑪⑪,10,15,Ｋホワイトミｰナ, 62,西田雄, 2.0, 54,   9, -31, 8, 67.1,⑥⑥⑦
11, 2,Ｏビットバイビット, 35,松岡正, 1.0, 54,  -5,* -1, 9, 44.4,⑯⑮⑮,,,,,,,,,,,,,11, 6,Ｎエｰシンエムディｰ, 59,松岡正, 1.3, 61,   0,   0, 9, 45.6, ⑯⑬,11, 2,Ｅケイティｰズジェム, 67,横山典, 2.3, 50,* 12, -39, 3,  5.0,③④⑥
12, 7,Ｊウインブランシュ, 51,柴田善, 1.1, 49,  -2,  -8,11, 58.0,⑪⑫⑩,,,,,,,,,,,,,12,15,Ｉバンダムクラウス, 70,田辺裕, 1.5, 59,   3,  -5,13,160.3, ⑬⑭,12, 8,Ｊアマレット, 63,山崎亮, 2.4, 52,  -2, -13,15,326.7,⑮⑮⑮
13,15,Ａチャペルプリンセス, 68,田辺裕, 1.1, 49,*  1, -13, 2,  3.3,⑨⑦⑧,,,,,,,,,,,,,13,10,Ｇマウントビスティｰ, 71,吉田豊, 1.7, 56,   7, -12, 8, 30.5, ⑧⑧,13,14,Ｍルクｰルロゼ, 60,田中博, 2.7, 48,   8, -37,14,264.7,⑧⑨⑬
14, 9,Ｇジャングルヤマト, 55,原田和, 1.2, 48,  -2,  -9,15,263.3,⑫⑬⑬,,,,,,,,,,,,,14,16,Ｋアユミチャン, 67,嘉藤貴, 1.8, 55,   3,  -9,14,188.4, ⑭⑫,14, 5,Ｈコンプリｰト, 65,西村太, 3.5, 42,* 14, -62, 9, 76.1,②②⑤
