12年 9月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,勝浦特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14,14,Ｋティアサンシャイン, 33,江田照, 3.5, 19,* -4, -59, 9, 36.0,②②④,14, 5, アルデオ,---,吉田隼, 2.2,  9, -46, -14,12, 64.9,⑫⑬⑯,14, 1,Ｉクｰルスタｰ, 63,荻野琢, 5.1, 49,   1, -18,13,227.6,⑧⑫⑫,14, 8,Ｌスプリングサンダｰ, 78,四位洋, 1.0, 78,   3,   7,10, 32.4, ⑮⑭
,,,,,,,,,,,,15, 2, ウエスタンサムソン,---,武豊  , 2.3,  3, -42, -23, 7, 17.7,⑤⑧⑨,15,10,Ｊビｰム, 58,大野拓, 7.5, 34,   2, -40,11,177.3,⑤⑩⑮,15,12, キャプテンオブヴィ,---,チャベ, 1.1, 76,  11,  -3,14,106.0, ⑥⑦
,,,,,,,,,,,,16,16, キョウワアストル,---,嶋田純, 2.5,  3, -48, -18,14,184.0,⑯⑮⑮,16,16,Ｍファミリｰクラフト, 50,黛弘人,10.7,  9,  -2, -60,16,475.7,⑮⑯⑯,16,13,Ｈダッシャｰゴｰゴｰ, 85,横山典, 1.4, 71,* 13, -10, 6, 12.9, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-23 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:95 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,980円 複勝:12=500円 03=460円 09=1,590円 枠連:10,290円",,,,,,,,,,,,"単勝:710円 複勝:01=250円 10=250円 12=200円 枠連:1,150円",,,,,,,,,,,,単勝:300円 複勝:06=120円 03=110円 14=210円 枠連:200円,,,,,,,,,,,,単勝:440円 複勝:16=140円 14=120円 03=520円 枠連:330円,,,,,,,,,,,
"馬連:13,920円 ワイド:03-12=3,050円 09-12=8,120円 03-09=6,680円",,,,,,,,,,,,"馬連:2,340円 ワイド:01-10=810円 01-12=950円 10-12=970円",,,,,,,,,,,,馬連:210円 ワイド:03-06=140円 06-14=540円 03-14=330円,,,,,,,,,,,,"馬連:510円 ワイド:14-16=230円 03-16=1,600円 03-14=1,170円",,,,,,,,,,,
"馬単:31,680円 3連複:144,870円 3連単:759,810円",,,,,,,,,,,,"馬単:4,900円 3連複:6,370円 3連単:33,730円",,,,,,,,,,,,"馬単:500円 3連複:710円 3連単:2,660円",,,,,,,,,,,,"馬単:1,170円 3連複:4,300円 3連単:17,540円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1600m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芙蓉ｽﾃｰｸｽ,,,,,,,,,,,,内房ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａコスモリボン, 68,丹内祐,, 69,   3,*  4, 2,  3.1,⑤⑤②, 1, 1,Ｂウエスタンレビュｰ, 74,柴田善,, 75,*  3,   9, 3,  6.8, ①①, 1, 7,Ａサンブルエミュｰズ, 67,岩田康,, 71, -13,* 16, 1,  2.9,⑪⑩⑨, 1,12,Ｂキョウエイカルラ, 85,田中勝,, 82,   1,* 18,10, 69.2, ⑥⑥
 2,15,Ｋアポロズスピアｰ, 49,伊藤工, 0.8, 65,  -2,*  7,11, 89.4,⑫⑫⑧, 2, 8,Ｉロｰドナイト, 67,田辺裕, 0.2, 73,*  2,   9, 6, 18.7, ②②, 2,10,Ｄフラムドグロワｰル, 55,横山典, 0.2, 66, -11,  10, 2,  3.3,⑩⑧⑧, 2,11,Ｇカフェシュプリｰム, 81,柴田善, 0.1, 82,*  2,  15, 1,  2.6, ②②
 3, 3,Ｍアンタイトルド, 47,長岡禎, 0.9, 63,   0,   1, 8, 42.5,⑦⑧⑦, 3, 2,Ｅアンジュヴォレ, 71,岩田康, 0.2, 74,   0,  10, 5, 14.6, ③③, 3, 9,Ｃエデンロック, 64,三浦皇, 0.3, 65,  -9,   6, 3,  4.2,④⑥⑥, 3, 3,Ｉケイアイダイオウ, 81,吉田隼, 0.4, 78,  -2,* 17, 8, 29.8, ⑦⑦
 4, 8,Ｇライズアゲイン, 57,蛯名正, 1.0, 63,   2,  -3, 4, 10.9,③⑥⑤, 4,11,Ｄフランスギャル, 72,吉田豊, 0.4, 72, -10,* 17, 4,  8.0, ⑯⑯, 4, 3,Ｇアポロカｰネル, 52,勝浦正, 0.3, 67, -14,  12,10, 60.7,⑨⑨⑩, 4, 2,Ｊハッピｰカオル, 78,蛯名正, 0.4, 80,   1,  15, 7, 13.8, ⑤⑤
 5, 5,Ｈスネガエクスプレス, 57,吉田豊, 1.0, 63,  -3,*  6,10, 84.5,⑭⑬⑬, 5,13,Ｇデプロマトウショウ, 68,蛯名正, 0.6, 70,  -4,  10, 2,  4.0, ⑨⑨, 5, 2,Ｌプリフォンテイン, 36,松岡正, 0.7, 59,  -9,  -2, 4,  6.5,③④④, 5, 9,Ｃダンシングマオ, 84,北村宏, 0.4, 79,  -2,* 17, 3,  9.1, ⑨⑧
 6,12,Ｅタカオキセキ, 59,岩田康, 1.3, 60,*  3,  -9, 7, 14.3,④③①, 6, 4,Ｈアユミチャン, 67,丸田恭, 0.7, 69,  -7,* 12,10, 62.7, ⑪⑩, 6, 8,Ｂニｰマルジョイ, 65,北村宏, 0.9, 54,* -7,  -7, 9, 44.8,②②②, 6, 6,Ａケｰジｰハヤブサ, 88,福永祐, 0.5, 78,   2,  13, 2,  3.0, ④④
 7, 1,Ｃストロングシャリオ, 63,杉原誠, 2.0, 57,  -4,   0, 5, 12.0,⑨⑮⑫, 7,15,Ｆデリケｰトアｰチ, 69,三浦皇, 1.0, 67,  -2,   5, 9, 30.8, ⑥⑦, 7, 6,Ｅジェイケイホｰム, 54,丸田恭, 1.0, 52,* -6,  -9, 8, 41.3,①①①, 7, 5,Ｆチャンピオンラブ, 82,大野拓, 0.8, 76,  -4,  16,11,108.6, ⑩⑩
