12年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月 5日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂシゲルリンゴ, 66,北村友,, 72,*  9,* -1, 1,  2.6,⑫②②, 1, 3, カラフルブラッサム,---,松山弘,, 48, -21,*  3, 2,  5.6,⑨⑨⑧, 1, 5,Ｃコウエイチャンス, 78,松山弘,, 78,   9,*  9, 5, 12.4,⑯⑦④, 1,10,Ｋエクスペディション, 78,浜中俊,, 92,  12,* 14, 3,  7.9,⑦⑥⑤
 2, 4,Ａエｰシンルミナス, 73,武豊  , 0.0, 71,*  9,* -2, 2,  3.3,①①①, 2, 7, ヘミングウェイ,---,浜中俊, 0.2, 43, -18,* -7, 1,  1.3,⑧⑦⑦, 2,12,Ｅコウセイコタロウ, 73,武豊  , 0.3, 76,* 13,   0, 3,  6.6,①①①, 2, 5,Ｆトｰセンラｰ, 83,川田将, 0.4, 89,  12,  10, 1,  2.7,⑧⑦⑥
 3, 6,Ｃブライトポジｰ, 64,国分恭, 1.2, 63,   7,  -7, 3,  5.6,⑤⑤③, 3, 4, バロンミノル,---,国分恭, 0.6, 35, -15, -17, 6, 34.3,④④④, 3, 8,Ｈゴリラ, 71,浜中俊, 0.3, 77,* 12,   2, 2,  3.0,④②②, 3,11,Ｄナリタクリスタル, 85,武豊  , 0.5, 88,   9,* 14, 9, 24.6,⑫⑫⑫
 4,12,Ｈタニノアペトゥラ, 52,川田将, 2.7, 53,   5, -18, 4, 13.3,⑦⑥⑥, 4, 2, ピンポン,---,中井裕, 0.7, 35, -18, -14, 3, 11.4,⑦⑥⑥, 4,10,Ａエｰシンリボルバｰ, 82,川須栄, 1.2, 70,  11,  -5, 1,  2.6,⑤④③, 4, 4,Ｂダノンバラｰド, 86,小牧太, 0.7, 86,  11,   9, 2,  3.0,⑩⑨⑦
 5, 5,Ｍサイレンスドリｰム, 46,高倉稜, 3.0, 52,  -2,  -8,13,109.5,⑬⑮⑬, 5,10, テイエムイナズマ,---,小牧太, 1.0, 30,*-14, -28, 4, 12.9,②②②, 5, 1,Ｌネオファッショ, 61,北村友, 1.5, 71,   6,*  3,13,190.9,⑪⑬⑫, 5,12,Ｊゲシュタルト, 79,中井裕, 0.8, 83,   9,   8, 8, 20.3,⑨⑪⑪
 6, 9,Ｅカワカミリバティｰ, 59,太宰啓, 3.0, 51,   7, -24,11, 36.4,④④⑤, 6, 1, ダイショウザｰ,---,太宰啓, 1.2, 25,*-14, -30,10,107.0,①①①, 6, 3,Ｉスペシャルザダイヤ, 67,川田将, 1.6, 68,  10,  -7, 8, 24.5,⑥⑥⑥, 6, 6,Ｇアスカクリチャン, 83,田辺裕, 0.8, 83,  11,   6, 7, 18.0,⑥⑧⑨
 7,16,Ｊアグネスプリキュア, 50,中井裕, 3.1, 50,   3, -19, 9, 32.4,⑧⑧⑦, 7, 5, サンマルホｰム,---,佐藤哲, 1.5, 32, -23, -13, 8, 45.9,⑩⑩⑩, 7,15,Ｆアルスマルカｰト, 73,国分恭, 1.6, 67,* 12,  -9,10,116.4,②③⑤, 7, 3,Ｈミキノバンジョｰ, 82,太宰啓, 0.8, 80,* 15,  -3, 4, 13.1,①①①
 8,15,Ｄタニノユニヴァｰス, 62,花田大, 3.3, 50,   3, -18, 7, 21.1,⑪⑪⑨, 8,11, タガノギャラクシｰ,---,田辺裕, 1.6, 23,*-14, -35, 9, 79.2,③③③, 8,14,Ｂシャイニｰダンディ, 79,国分優, 1.7, 68,   7,  -2, 7, 23.5,⑭⑪⑨, 8, 7,Ｌニシノメイゲツ, 78,高倉稜, 0.9, 83,   9,   7,10, 30.9,⑪⑩⑩
 9, 1,Ｇホッコｰピｰチ, 54,飯田祐, 3.9, 45,   0, -20,10, 36.0,⑭⑬⑫, 9, 9, ダノングラッド,---,川田将, 1.8, 23, -16, -33, 5, 21.5,⑤⑤⑤, 9, 6,Ｄケイワイツヨシ, 77,田辺裕, 2.5, 60,   8, -11, 4, 11.2,⑧⑧⑦, 9, 8,Ｅエｰシンジｰライン, 84,川須栄, 1.3, 76,* 13,  -9,11, 34.1,②②②
10,13,Ｉトシザジュエル, 51,鮫島良, 4.2, 45,   2, -25, 8, 28.9,⑩⑫⑪,10, 6, メイキングドラマ,---,北村友, 1.8, 28, -26, -13,11,193.5,⑪⑪⑪,10,11,Ｊアンジェロフォｰグ, 65,小牧太, 2.6, 62,   7,  -8,14,206.5,⑬⑩⑩,10, 2,Ａワルキュｰレ, 87,松山弘, 1.4, 74,* 13,  -9, 5, 13.7,④③③
11,14,Ｎオレンジビキニ, 39,酒井学, 4.2, 44,   4, -29, 6, 18.5,⑥⑦⑩,11,12, ホッコｰナナツボシ,---,高倉稜, 2.5, 16, -18, -39, 7, 42.1,⑥⑧⑨,11,16,Ｐメイショウシレトコ, 49,渡辺薫, 2.7, 64,   8, -11,12,185.8,⑫⑨⑪,11, 9,Ｃタムロスカイ, 86,佐藤哲, 1.5, 76,* 13,  -9, 6, 16.6,⑤⑤④
12, 2,Ｏテイエムオオヒ, 35,野元昭, 4.4, 43,  -7, -10,14,231.1,⑯⑯⑯,12, 8, ジョウショｰクロス,---,国分優, 3.9,  6, -32, -30,12,247.4,⑫⑫⑫,12, 9,Ｋシンハヤブサ, 63,太宰啓, 2.9, 59,  11, -20,16,250.5,③⑤⑧,12, 1,Ｉセイカアレグロ, 80,藤懸貴, 1.8, 72,* 13, -13,12,118.7,③④⑧
13, 7,Ｆラブリｰリタ, 54,水口優, 4.5, 41,*  8, -38,16,354.6,②③④,,,,,,,,,,,,,13, 7,Ｇエｰシンハクレイ, 72,酒井学, 3.6, 56,   6, -16, 6, 16.6,⑨⑫⑬,,,,,,,,,,,,
14,11, ワイルドゲッツ,---,藤懸貴, 4.7, 39,   3, -32,12, 73.4,⑨⑩⑧,,,,,,,,,,,,,14,13,Ｍゼロワンシンジロｰ, 60,高倉稜, 3.7, 54,   5, -15, 9, 35.8,⑩⑭⑭,,,,,,,,,,,,
15, 3,Ｌツルマルサンチャン, 49,浜中俊, 5.5, 36,   3, -38, 5, 17.4,③⑨⑭,,,,,,,,,,,,,15, 2,Ｎメイショウヘイハチ, 52,武幸四, 5.0, 49,   3, -24,11,151.1,⑮⑮⑮,,,,,,,,,,,,
16,10,Ｋメイショウナナクサ, 49,森一馬, 5.6, 35,   0, -33,15,319.7,⑮⑭⑮,,,,,,,,,,,,,16, 4,Ｏトウケイオリオン, 49,飯田祐, 5.5, 43,   3, -27,15,214.1,⑦⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-4),,,,,,,,,,,
単勝:260円 複勝:08=120円 04=130円 06=130円 枠連:420円,,,,,,,,,,,,単勝:560円 複勝:03=140円 07=110円 04=340円 枠連:370円,,,,,,,,,,,,"単勝:1,240円 複勝:05=230円 12=210円 08=160円 枠連:1,090円",,,,,,,,,,,,単勝:790円 複勝:10=250円 05=140円 11=560円 枠連:790円,,,,,,,,,,,
馬連:540円 ワイド:04-08=230円 06-08=250円 04-06=400円,,,,,,,,,,,,馬連:350円 ワイド:03-07=170円 03-04=900円 04-07=570円,,,,,,,,,,,,"馬連:2,530円 ワイド:05-12=630円 05-08=620円 08-12=360円",,,,,,,,,,,,"馬連:1,440円 ワイド:05-10=610円 10-11=2,950円 05-11=1,760円",,,,,,,,,,,
"馬単:1,070円 3連複:760円 3連単:3,340円",,,,,,,,,,,,"馬単:1,180円 3連複:1,580円 3連単:9,000円",,,,,,,,,,,,"馬単:6,390円 3連複:2,930円 3連単:28,980円",,,,,,,,,,,,"馬単:3,520円 3連複:12,030円 3連単:66,670円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,足立山特別,,,,,,,,,,,,小郡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂナリタプリムロｰズ, 60,太宰啓,, 66,   5,* -6, 2,  4.9,⑧⑦④, 1, 3, スイｰトドｰナッツ,---,松山弘,, 41,*-19,  -6, 3,  4.3, ②②, 1,12,Ｂスペシャルピｰス, 72,酒井学,, 68,  -6,  14, 6, 26.2,⑥⑥⑤, 1,12,Ｐアンバルブライベン, 52,田中健,, 81,* 18,  -6,14,237.3, ①①
 2, 7,Ａメイショウインロウ, 65,国分恭, 0.1, 64,   7, -13, 4,  5.8,④④②, 2, 2, サンセットスカイ,---,佐藤哲, 0.2, 40, -23,  -5, 2,  4.0, ④③, 2,10,Ｇツインテｰル, 63,鮫島良, 0.1, 72,  -8,* 19, 9, 74.3,⑪⑪⑪, 2, 1,Ａミヤジエムジェイ, 75,太宰啓, 0.2, 75,  12,  -3, 1,  2.3, ⑤③
 3, 2,Ｅカシノチャｰム, 54,小坂忠, 0.4, 62,   6, -13, 9, 23.3,⑤⑤⑥, 3, 8, プリムラブルガリス,---,浜中俊, 0.4, 36, -23,  -7, 1,  2.7, ⑥⑥, 3, 1,Ｆテｰオｰレジェンド, 67,浜中俊, 0.1, 64,* -4,   7, 3,  5.2,①①①, 3,10,Ｂケンブリッジヒｰロ, 73,佐藤哲, 0.5, 68,  -1,*  6,11, 54.5, ⑬⑫
 4,11,Ｇプレザントライフ, 53,浜中俊, 1.3, 52,* 11, -39, 1,  3.2,①①①, 4, 9, シギル,---,川須栄, 0.5, 35,*-18, -14, 6, 10.0, ①①, 4, 3,Ｊウインマクレガｰ, 58,松山弘, 0.1, 67,  -7,* 16,11,143.9,⑦⑧⑧, 4, 4,Ｈバコパ, 66,武豊  , 0.7, 65,   0,   2, 5, 15.3, ⑫⑬
 5, 3,Ｄカシノデュｰク, 54,北村友, 1.4, 54,  -7,* -2, 7, 13.7,⑭⑮⑫, 5, 6, テイエムミサイル,---,田中健, 0.8, 32,*-19, -16, 8, 61.0, ③⑤, 5,13,Ｉドラゴネッティ, 60,川須栄, 0.2, 67,  -7,  14, 4,  8.3,⑨⑨⑨, 5,13,Ｃアイビｰフォｰルド, 73,松山弘, 0.7, 66,   6,  -3, 7, 23.1, ⑩⑧
 6, 9,Ｊマスタｰズキング, 47,花田大, 1.4, 52,   2, -20,13,122.5,⑪⑨⑧, 6, 5, ランドボイジャｰ,---,田辺裕, 0.9, 30, -23, -14, 7, 31.4, ⑤④, 6, 2,Ａスマッシュスマイル, 75,中井裕, 0.4, 63,* -5,   7, 1,  2.0,④④③, 6, 9,Ｊアルベルトバロｰズ, 64,高倉稜, 0.8, 64,   4,  -3,10, 48.0, ⑪⑨
 7,13,Ｈシゲルヒメリンゴ, 50,松山弘, 1.4, 52,  -2, -10, 8, 20.6,⑮⑫⑩, 7, 1, タガノバスタｰ,---,武豊  , 1.8, 23, -49,* -1, 5,  8.8, ⑨⑨, 7, 6,Ｅレッドシェリフ, 67,小牧太, 0.4, 64,* -5,   7, 2,  4.3,⑤⑤⑥, 7, 3,Ｋクラウンエンビｰ, 63,酒井学, 0.8, 66,   8,  -7, 9, 41.5, ⑦⑥
 8, 1,Ｆアラタマユニバｰス, 54,小牧太, 1.6, 52,   5, -27, 5, 11.7,⑦⑧⑦, 8, 4, ウォｰタｰパｰク,---,北村友, 2.0, 16, -37, -15, 4,  7.1, ⑦⑦, 8, 5,Ｃパントクラトｰル, 71,北村友, 0.4, 66,  -8,  14, 5,  9.2,⑩⑩⑩, 8,15,Ｅシャドウエミネンス, 70,浜中俊, 0.8, 63,  -8,*  9, 4,  8.2, ⑰⑰
 9, 6,Ｃユウウイン, 56,藤懸貴, 1.9, 46,* 10, -44,10, 52.5,②②③, 9, 7, シゲルサンカクザ,---,国分恭, 2.6, 10, -40, -19, 9,124.2, ⑧⑧, 9, 8,Ｄタイガｰシｰド, 68,熊沢重, 0.7, 60,  -6,   6, 7, 69.5,⑧⑦⑦, 9, 6,Ｌディザイラブル, 62,北村友, 1.0, 60,  -5,*  3, 8, 36.3, ⑮⑮
10, 4, ヤマカツマｰフィ,---,高倉稜, 2.4, 43,*  9, -48, 3,  5.4,③③⑤,,,,,,,,,,,,,10, 4,Ｈラミアプリマベｰラ, 60,藤懸貴, 1.3, 50,* -3,  -9,10,110.9,②②②,10, 2,Ｆエｰティｰランボｰ, 70,国分優, 1.1, 61,   5,  -8, 6, 18.6, ⑨⑩
11,14,Ｉアクティブポイント, 49,武幸四, 2.6, 41,   5, -43,12,116.7,⑨⑥⑨,,,,,,,,,,,,,11,11,Ｌパンドラクラウン, 55,高倉稜, 1.4, 56, -10,   4,12,270.0,⑫⑬⑫,11,14,Ｑサマｰビｰチ, 48,花田大, 1.2, 60,   7, -11,17,427.8, ⑧⑪
12,10,Ｋトウカイプライド, 47,酒井学, 2.7, 40,   2, -37, 6, 12.6,⑩⑪⑪,,,,,,,,,,,,,12, 7,Ｋイイデジャパン, 56,田辺裕, 2.0, 41,* -5, -17, 8, 71.1,③③④,12, 8,Ｍリッカスウィｰプ, 56,田辺裕, 1.3, 63,* 15, -20,13, 94.2, ②②
13,12,Ｍスズカアイキュｰ, 39,中井裕, 2.9, 38,  -7, -25,14,164.2,⑫⑬⑭,,,,,,,,,,,,,13, 9,Ｍワンダｰストｰリリ, 43,田村太, 2.2, 47,  -9,  -5,13,381.6,⑬⑫⑬,13, 5,Ｄアｰスツリｰ, 72,小牧太, 1.5, 55,  -5,  -3, 3,  5.5, ⑭⑭
14, 8,Ｎポｰトポケット, 38,水口優, 2.9, 39,  -7, -23,15,194.4,⑬⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,14,17,Ｉエｰシンフルマｰク, 64,川須栄, 1.5, 58,  11, -19, 2,  4.6, ⑥⑦
15,16,Ｌボレｰシュｰト, 45,国分優, 4.8, 11,   2, -69,11,107.3,⑥⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｇサチノポピｰ, 67,中井裕, 1.7, 56,  13, -24,12, 77.4, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｏビップセンノセン, 53,国分恭, 1.9, 50,  -5,  -9,15,294.5, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｎヒノクニリョジョウ, 53,中村将, 3.8, 29,* 15, -54,16,323.9, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,
"単勝:490円 複勝:05=210円 07=200円 02=520円 枠連:1,170円",,,,,,,,,,,,単勝:430円 複勝:03=140円 02=140円 08=120円 枠連:840円,,,,,,,,,,,,"単勝:2,620円 複勝:12=540円 10=1,080円 01=220円 枠連:7,170円",,,,,,,,,,,,"単勝:23,730円 複勝:12=2,830円 01=140円 10=560円 枠連:7,100円",,,,,,,,,,,
"馬連:1,310円 ワイド:05-07=550円 02-05=1,100円 02-07=1,590円",,,,,,,,,,,,馬連:860円 ワイド:02-03=310円 03-08=230円 02-08=230円,,,,,,,,,,,,"馬連:30,690円 ワイド:10-12=5,910円 01-12=1,480円 01-10=2,560円",,,,,,,,,,,,"馬連:20,770円 ワイド:01-12=6,620円 10-12=32,660円 01-10=1,500円",,,,,,,,,,,
