12年 9月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 9月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
 9, 7,Ｉマイネルゲイナｰ, 43,内田博, 1.5, 44, -12,  -3, 8, 32.5, ⑮⑭, 9, 2, シゲルメロン,,田村太,209.3,,,, 8, 28.4,⑨⑧⑨, 9, 6,Ｊマルカファイン, 66,武豊  , 1.2, 66,* 10, -15, 2,  6.9, ①①, 9, 7,Ｉビｰチパｰティｰ, 69,和田竜, 1.1, 68,*  7, -11,11,197.9, ⑤④
10,13,Ｏミラクルルｰマｰ, 18,松山弘, 1.5, 43,  -8, -10,14,172.4, ⑨⑬,,,,,,,,,,,,,10, 3,Ｋアンクルスパｰト, 65,福永祐, 1.2, 66,   6,  -9,12,115.6, ⑨⑧,10, 5,Ｇフェアリｰレイ, 75,秋山真, 1.1, 67,*  7, -11, 8, 33.2, ⑦⑤
11, 2,Ｋディルムッド, 36,福永祐, 2.2, 39,  -6, -16,11, 54.6, ⑩⑨,,,,,,,,,,,,,11, 1,Ｄデンコウデア, 70,中井裕, 1.3, 63,  -8,*  7, 7, 25.7, ⑱⑱,11, 6,Ｍスエヒロジュピタｰ, 59,国分優, 1.2, 70,  -2,   5,13,382.7, ⑬⑬
12, 1,Ｌワイズマン, 34,渡辺薫, 2.2, 42,   0, -24, 9, 41.1, ④⑤,,,,,,,,,,,,,12,14,Ｎテイエムタイホｰ, 61,菱田裕, 1.5, 61,  -1,  -5,13,135.2, ⑫⑬,12,11,Ｋアイムヒアｰ, 67,飯田祐, 1.4, 63,*  8, -19,10,126.6, ②②
13, 5,Ｎフェブアクティヴ, 28,高倉稜, 2.6, 36,  -8, -19,15,332.4, ⑪⑩,,,,,,,,,,,,,13, 5,Ｆロマンスリップ, 69,松山弘, 1.5, 60,  -4,  -1,11, 49.7, ⑯⑮,13, 3,Ｌテｰオｰルネサンス, 63,武豊  , 2.0, 57,*  8, -29, 9, 83.1, ①①
14,15,Ｊエンブレムゴｰル, 41,小坂忠, 3.3, 31,  -2, -32,12,101.3, ⑥⑦,,,,,,,,,,,,,14,12,Ｑハロｰエフェクト, 56,高倉稜, 1.5, 63,   3, -10,18,374.1, ⑩⑨,,,,,,,,,,,,
15, 4,Ｈキュｰトヴァリュｰ, 44,川島信, 3.9, 27, -10, -26,13,155.9, ⑬⑮,,,,,,,,,,,,,15,13,Ｒアドマイヤドミノ, 50,川田将, 1.5, 62,  -3,   0,15,160.1, ⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｅタガノルミナｰレ, 69,池添謙, 1.5, 62,*  8, -16, 5, 14.1, ③④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｐブルｰアンブロシア, 58,松田大, 1.8, 59,  -2,  -7,17,358.3, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 4,Ｏタガノバベル, 60,幸英明, 2.2, 56,*  8, -25, 8, 34.0, ④③,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,
単勝:260円 複勝:10=120円 06=290円 03=780円 枠連:640円,,,,,,,,,,,,単勝:260円 複勝:10=130円 03=120円 07=170円 枠連:390円,,,,,,,,,,,,単勝:160円 複勝:18=110円 10=310円 15=260円 枠連:510円,,,,,,,,,,,,単勝:290円 複勝:09=130円 12=150円 13=330円 枠連:310円,,,,,,,,,,,
"馬連:1,750円 ワイド:06-10=580円 03-10=1,120円 03-06=3,280円",,,,,,,,,,,,馬連:440円 ワイド:03-10=210円 07-10=330円 03-07=390円,,,,,,,,,,,,"馬連:1,530円 ワイド:10-18=530円 15-18=420円 10-15=2,120円",,,,,,,,,,,,馬連:480円 ワイド:09-12=230円 09-13=850円 12-13=970円,,,,,,,,,,,
"馬単:2,720円 3連複:12,130円 3連単:40,740円",,,,,,,,,,,,"馬単:720円 3連複:830円 3連単:2,370円",,,,,,,,,,,,"馬単:1,860円 3連複:4,020円 3連単:14,530円",,,,,,,,,,,,"馬単:870円 3連複:2,770円 3連単:8,300円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,大阪ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｎネオウィズダム, 37,内田博,, 54,*  2, -17, 1,  1.6, ①①, 1, 3, エイユｰモモチャン,---,佐藤哲,, 58, -21,*  6, 2,  4.1, ⑦⑥, 1,10,Ｇコスモアケルナル, 72,幸英明,, 76,   8,*  4, 1,  3.2,⑤⑥⑥, 1, 5,Ａガンジス, 85,内田博,, 84,   9,* 13, 2,  3.6, ④⑥
 2,10,Ａテイエムレンジャｰ, 53,太宰啓, 0.1, 54,  -3,* -7, 3,  7.2, ⑧⑩, 2, 9, アジャストメント,---,和田竜, 0.2, 54, -18,   0, 6, 26.4, ⑤④, 2, 3,Ｊフォントルロイ, 70,佐藤哲, 0.0, 76,   7,*  5, 3,  6.2,⑭⑨⑨, 2, 8,Ｃアルゴリズム, 84,福永祐, 0.2, 82,   9,* 10, 1,  3.1, ③③
 3, 8,Ｋシゲルオヒツジザ, 42,中井裕, 0.1, 55,   0,*-11,12, 87.4, ⑩⑧, 3, 7, ロｰドクロサイト,---,武豊  , 0.3, 52,*-15,  -4, 1,  1.6, ②②, 3,11,Ａシンボリカンヌ, 75,内田博, 0.3, 72,   8,  -1,12, 53.4,⑮③③, 3, 7,Ｂナムラジュエル, 85,和田竜, 0.3, 82,* 10,   9, 4,  6.7, ②②
 4, 9,Ｌゴｰルデンヒｰロｰ, 41,幸英明, 0.3, 53,*  1, -19, 5, 17.8, ②③, 4, 1, エｰシンタヒチ,---,川須栄, 0.8, 47, -24,  -1, 4, 13.9, ⑧⑨, 4, 7,Ｐファイヤｰ, 58,太宰啓, 0.7, 72,   5,   3, 7, 17.1,⑦⑫⑪, 4,10,Ｄセイカプリコｰン, 84,岩田康, 0.7, 78,   7,   9, 5,  7.9, ⑥⑦
 5,11,Ｂマイネルオｰドビｰ, 52,松山弘, 0.4, 51,  -1, -14, 8, 33.6, ⑪⑨, 5, 8, トシファイブスタｰ,---,国分恭, 0.8, 48, -29,*  3, 8, 78.4, ⑫⑫, 5, 2,Ｋケイワイツヨシ, 70,池添謙, 0.8, 70,   6,  -1, 6, 10.9,⑪⑩⑩, 5, 6,Ｇムスタングリｰダｰ, 78,浜中俊, 1.0, 77,   4,* 11, 9, 47.9, ⑫⑪
 6, 4,Ｍバロンミノル, 38,和田竜, 0.6, 50,  -3, -14,10, 37.9, ⑨⑪, 6,11, イニシャルダブル,---,川田将, 0.9, 46, -22,  -5, 3,  6.8, ⑨⑧, 6, 4,Ｉアズマリュウセイ, 71,国分優, 0.8, 71,   5,   2, 8, 19.6,⑫⑬⑫, 6,12,Ｌルグランヴォヤｰジ, 54,川田将, 1.1, 75,   8,   4, 6, 17.3, ⑦⑤
 7, 6,Ｉオムニバス, 45,岩田康, 0.7, 48,   0, -20, 9, 36.5, ⑤⑦, 7, 5, アイリｰンバロｰズ,---,幸英明, 1.1, 42, -18, -11, 5, 16.5, ④③, 7,12,Ｄシルクコスモス, 73,川田将, 0.9, 72,   5,   3,13, 76.2,⑯⑭⑮, 7, 9,Ｅアイアムルビｰ, 82,秋山真, 1.4, 73,   9,   2, 7, 18.7, ⑤④
 8,13,Ｇマリンルック, 46,菱田裕, 0.7, 48,*  1, -23,11, 63.3, ⑥⑥, 8, 4, ムジョウノカゼ,---,竹之下, 1.3, 41, -28,  -3,11,173.0, ⑪⑪, 8,14,Ｃテｰオｰゼウス, 74,藤岡佑, 1.0, 70,   8,  -5, 4,  8.4,⑥⑦⑦, 8, 3,Ｋタｰルタン, 69,池添謙, 1.7, 70,   6,   2,10,118.7, ⑨⑨
 9, 7,Ｆサンライズネオ, 48,浜中俊, 0.8, 47,*  1, -25, 2,  6.7, ⑦⑤, 9,10, シゲルリュウコツザ,---,高倉稜, 1.3, 40, -27,  -5, 7, 27.7, ⑩⑩, 9,15,Ｎメイショウブシドウ, 65,武幸四, 1.4, 72,   7,  -6, 9, 25.8,⑧⑧⑧, 9, 1,Ｆキクノストｰム, 81,幸英明, 1.8, 69,   7,  -1, 3,  5.2, ⑧⑧
10, 5,Ｄナオミノエガオ, 48,藤岡佑, 1.0, 47,  -3, -20, 4, 11.9, ⑬⑬,10, 2, アウェｰキンザｰル,---,森一馬, 1.5, 34, -18, -17, 9, 98.6, ③⑤,10, 5,Ｆゴｰルドルｰスタｰ, 73,和田竜, 1.4, 69,   5,  -1, 5, 10.0,⑬⑮⑬,10, 4,Ｈハイロｰラｰ, 78,国分恭, 1.8, 69,   5,   2,12,310.8, ⑩⑩
11, 3,Ｊスピｰディシャｰプ, 42,小林徹, 1.1, 46,  -2, -19,14,253.0, ⑫⑫,11,12, テイエムウカゼ,---,渡辺薫, 1.8, 30, -21, -18,10,162.4, ⑥⑦,11,16,Ｂグッドスピｰド, 74,中井裕, 1.5, 65,   8, -10,10, 27.4,①④⑤,11,11,Ｊイｰグルドライヴ, 73,ピンナ, 1.9, 71,   3,   2, 8, 26.7, ⑪⑫
12,14,Ｈシゲルコンパスザ, 45,国分恭, 1.1, 45,  -4, -18,13,157.8, ⑭⑭,12, 6, サニｰサイドヒル,---,松山弘, 2.4, 22,*-14, -33,12,202.2, ①①,12, 6,Ｅアルスマルカｰト, 73,小牧太, 1.7, 64,*  9, -14, 2,  4.9,③②②,12, 2,Ｉアヤナルベルス, 77,熊沢重, 4.0, 53,* 11, -25,11,132.5, ①①
13, 2,Ｃシゲルラシンバンザ, 50,田中健, 1.3, 42,*  3, -35, 6, 24.1, ③②,,,,,,,,,,,,,13, 8,Ｍスズカキングダム, 69,松田大, 2.3, 59,   8, -17,11, 27.6,④⑤④,,,,,,,,,,,,
14,12,Ｅペプチドウインド, 48,酒井学, 1.3, 42,*  1, -33, 7, 31.7, ④④,,,,,,,,,,,,,14,13,Ｏフェアｰフェイム, 60,国分恭, 3.3, 56,   2, -12,16,238.2,⑩⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｌハクユウサンサン, 70,菱田裕, 3.7, 52,* 10, -33,14, 79.3,②①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｈウインスカイハイ, 72,高倉稜, 4.0, 52,   6, -25,15,202.2,⑨⑪⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:160円 複勝:01=110円 10=210円 08=1,250円 枠連:500円",,,,,,,,,,,,"単勝:410円 複勝:03=130円 09=390円 07=110円 枠連:2,200円",,,,,,,,,,,,単勝:320円 複勝:10=150円 03=240円 11=930円 枠連:780円,,,,,,,,,,,,単勝:360円 複勝:05=130円 08=120円 07=180円 枠連:370円,,,,,,,,,,,
"馬連:610円 ワイド:01-10=350円 01-08=2,110円 08-10=4,880円",,,,,,,,,,,,"馬連:4,800円 ワイド:03-09=1,050円 03-07=180円 07-09=570円",,,,,,,,,,,,"馬連:1,190円 ワイド:03-10=510円 10-11=2,340円 03-11=5,260円",,,,,,,,,,,,馬連:520円 ワイド:05-08=230円 05-07=440円 07-08=380円,,,,,,,,,,,
"馬単:960円 3連複:15,280円 3連単:40,510円",,,,,,,,,,,,"馬単:10,380円 3連複:2,220円 3連単:23,370円",,,,,,,,,,,,"馬単:1,840円 3連複:18,780円 3連単:67,060円",,,,,,,,,,,,"馬単:1,100円 3連複:1,170円 3連単:5,190円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:17,,,,,■ 6R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1400m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■12R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,ききょうｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｄワキノネクサス, 65,酒井学,, 73,   5,   4, 4,  7.7, ④⑥, 1, 4, アルムダプタ,---,幸英明,, 65,*  0,*  2, 4,  9.4,③③②, 1, 4,Ａプリンセスジャック, 60,福永祐,, 68, -10,*  8, 5,  6.9, ⑤⑤, 1, 9,Ｅフクラムサイフ, 68,浜中俊,, 75,* 22, -26, 9, 19.1,③①①
 2, 6,Ｂヒラボクダッシュ, 67,幸英明, 0.1, 70,   0,*  8, 2,  4.9, ⑭⑬, 2, 2, ワイルドアンセム,---,武豊  , 0.2, 63,*  1,  -2, 1,  1.8,①①①, 2, 3,Ｄロｰガンサファイア, 58,佐藤哲, 0.0, 69,  -8,   7, 3,  5.1, ③②, 2,11,Ｉダイワデッセｰ, 66,福永祐, 0.1, 78,  11,* -2, 4,  7.7,④④④
 3,14,Ｆワンダｰカサドｰル, 61,川須栄, 0.5, 70,*  8,  -3, 8, 20.1, ③③, 3, 1, ヴァルティカル,---,岩田康, 0.9, 61,  -4,*  3, 3,  5.4,⑧⑧⑦, 3, 5,Ｅドリｰムマｰクス, 56,国分優, 0.2, 67, -11,*  8, 6, 16.8, ⑦⑥, 3, 8,Ｍマイネルアイザック, 64,和田竜, 0.4, 76,  10,  -3, 5,  9.1,⑦⑦⑥
 4, 3,Ｈロｰドエストレｰラ, 61,岩田康, 0.5, 65,   0,   3, 9, 21.8, ⑬⑭, 4, 6, メイショウマンヨウ,---,国分恭, 1.5, 55,  -1, -10, 6, 13.1,④④④, 4, 1,Ｉジェネクラｰジュ, 52,武豊  , 0.3, 66, -11,   7, 7, 27.1, ⑨⑧, 4, 2,Ｈマイネルイグアス, 66,高倉稜, 0.4, 76,   9,* -2,10, 30.1,⑭⑫⑩
 5,13,Ｍテストマッチ, 51,川田将, 0.5, 67,   5,  -1, 6, 14.2, ⑦⑦, 5, 7, カリスマサンタイム,---,高倉稜, 1.7, 54,  -1,  -9, 8, 84.1,⑦⑥⑤, 5, 2,Ｂプリムラブルガリス, 59,浜中俊, 0.3, 64,* -7,   2, 2,  4.9, ②④, 5,10,Ｂライジングサン, 72,松山弘, 0.6, 72,   8,  -3, 7, 15.4,⑧⑨⑨
 6, 1,Ｅシゲルミカン, 64,国分恭, 0.6, 65,   3,   0,14, 42.9, ⑨⑨, 6, 3, キリノトップラン,---,和田竜, 3.3, 43,*  0, -27, 7, 30.3,②②③, 6, 8,Ｆタマモコンパス, 55,松山弘, 0.6, 60, -10,   1, 8, 48.3, ⑥⑦, 6, 3,Ｄゲットハッピｰ, 69,太宰啓, 0.6, 73,   8,  -3,12, 54.6,⑨⑧⑧
 7, 8,Ｎウェルトレインド, 50,松山弘, 0.6, 63,  -6,*  9,13, 41.8, ⑮⑮, 7, 5, ファｰマブライド,---,小牧太, 4.6, 36,  -2, -33, 2,  4.8,⑥⑦⑥, 7, 9,Ｈアウトシャイン, 53,池添謙, 0.8, 57,  -9,  -3, 4,  6.1, ④③, 7,16,Ｃダイシンハンタｰ, 70,川田将, 0.8, 72,   8,  -6, 2,  4.3,⑩⑩⑪
 8, 4,Ｃウインオｰラム, 65,福永祐, 1.0, 63,   6,  -6, 1,  4.0, ⑤④, 8, 8, ハロｰヘイロｰ,---,菱田裕, 4.9, 34,  -2, -35, 5, 11.6,⑤⑤⑧, 8,10,Ｃワキノブレイブ, 58,岩田康, 0.8, 56,* -6,  -6, 1,  2.4, ①①, 8, 4,Ｏシゲルシャチョウ, 58,国分恭, 0.9, 72,   5,*  1,14,215.3,⑮⑮⑮
 9,15,Ｌジュエルトウショウ, 56,池添謙, 1.2, 61,   3,  -5,12, 37.9, ⑧⑧,,,,,,,,,,,,, 9, 7, タンスチョキン,---,国分恭, 0.9, 58, -13,   1,10,157.3, ⑩⑨, 9, 6,Ｋグインネヴィア, 65,秋山真, 0.9, 69,   9, -12, 8, 18.3,⑤⑤⑤
10, 2,Ｊニホンピロナンシｰ, 59,水口優, 1.4, 58,   3,  -7,15, 61.7, ⑩⑫,,,,,,,,,,,,,10, 6,Ｇマルシゲサムライ, 54,水口優, 1.0, 56, -11,  -2, 9,133.0, ⑧⑩,10,13,Ｇモｰレツ, 67,内田博, 1.1, 67,   9, -15,11, 47.6,⑥⑥⑦
11, 7,Ｏビコｰミハイル, 47,芹沢純, 1.4, 58,   2,  -6, 7, 17.7, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,,11, 1,Ｎメイショウヤギュウ, 64,菱田裕, 1.6, 63,   6, -15,13, 96.1,⑪⑬⑫
12,10,Ｇマコトアルカディア, 61,内田博, 1.5, 61,*  8, -12,11, 27.6, ②②,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｆメイショウタマカゼ, 67,武豊  , 2.0, 61,   7, -19, 6, 10.8,⑬⑭⑭
13,11,Ｋサトノラミア, 58,浜中俊, 1.9, 55,   6, -14, 3,  5.1, ⑥⑤,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｌアルアラビアン, 64,上村洋, 2.0, 59,   7, -20,15,243.5,⑫⑪⑬
14, 5,Ｉパレディウム, 60,高倉稜, 1.9, 54,   2, -11,10, 22.1, ⑫⑩,,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｐロングバｰス, 52,中井裕, 2.2, 59,   2, -13,16,319.9,⑯⑯⑯
15, 9,Ａキクノラフィカ, 68,小牧太, 2.5, 51,*  8, -22, 5, 13.1, ①①,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ａサンライズトゥルｰ, 80,池添謙, 2.4, 55,  12, -39, 1,  3.7,①②②
16,12, ミスズフルマｰク,---,国分優,12.0,-72, -72, -29,16,233.8, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｊロノ, 65,ピンナ, 2.5, 56,  12, -39, 3,  6.5,②③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:66 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-5),,,,,,,,,,,
"単勝:770円 複勝:16=290円 06=190円 14=390円 枠連:1,870円",,,,,,,,,,,,単勝:940円 複勝:04=190円 02=110円 01=170円 枠連:0円,,,,,,,,,,,,"単勝:690円 複勝:04=250円 03=210円 05=370円 枠連:1,960円",,,,,,,,,,,,"単勝:1,910円 複勝:09=530円 11=290円 08=320円 枠連:3,130円",,,,,,,,,,,
"馬連:2,260円 ワイド:06-16=680円 14-16=1,980円 06-14=1,330円",,,,,,,,,,,,馬連:710円 ワイド:02-04=320円 01-04=640円 01-02=240円,,,,,,,,,,,,"馬連:1,820円 ワイド:03-04=680円 04-05=1,330円 03-05=1,200円",,,,,,,,,,,,"馬連:6,350円 ワイド:09-11=1,970円 08-09=2,060円 08-11=1,500円",,,,,,,,,,,
"馬単:5,640円 3連複:7,580円 3連単:52,130円",,,,,,,,,,,,"馬単:2,220円 3連複:1,170円 3連単:9,420円",,,,,,,,,,,,"馬単:4,070円 3連複:8,360円 3連単:40,660円",,,,,,,,,,,,"馬単:16,020円 3連複:17,410円 3連単:142,010円",,,,,,,,,,,
