12年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年10月27日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1900m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,西陣ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:820円 3連複:480円 3連単:1,830円",,,,,,,,,,,,"馬単:4,040円 3連複:3,840円 3連単:27,520円",,,,,,,,,,,,"馬単:20,450円 3連複:25,690円 3連単:183,610円",,,,,,,,,,,,"馬単:8,820円 3連複:6,250円 3連単:53,330円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,毎日放送賞ｽﾜﾝｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａフミノファルコン, 60,福永祐,, 56,*  5, -13, 4,  7.3,①①①, 1, 1, テイエムダイパワｰ,---,太宰啓,, 50,*-15,  -6, 5, 12.6,①①①, 1, 1,Ｅピクシｰプリンセス, 72,デムｰ,, 82,* 12,*  6, 1,  2.4,④③④, 1,15,Ｃグランプリボス, 91,内田博,, 94,   4,* 17, 3,  7.5, ⑪⑪
 2, 6,Ｊバｰドバｰニング, 40,国分恭, 0.7, 55,  -2,* -2,10,159.2,⑩⑪⑩, 2, 3, ライジングゴｰルド,---,川田将, 0.0, 54,*-16,* -2, 1,  1.7,④③③, 2, 3,Ｄリベルタス, 73,オドノ, 0.7, 75,   9,   3, 3,  5.8,⑦⑧⑦, 2,12,Ｋテイエムオオタカ, 84,藤田伸, 0.2, 89,* 10,   7, 6, 12.4, ①①
 3, 1,Ｆアルペジオ, 48,幸英明, 0.7, 54,  -2,* -3, 8, 43.1,⑨⑩⑨, 3, 7, ヒルノドンカルロ,---,藤田伸, 0.1, 50,*-15,  -6, 2,  6.0,②②②, 3, 2,Ｂエｰシングングン, 77,福永祐, 0.7, 75,   7,*  6, 2,  3.3,⑨⑨⑧, 3,13,Ｇアドマイヤセプタｰ, 88,福永祐, 0.2, 89,* 10,   7, 7, 13.1, ②②
 4, 7,Ｄエイシンラムダ, 56,内田博, 0.9, 52,   2, -13, 3,  6.8,⑪⑦⑥, 4, 5, レコンダイト,---,福永祐, 0.7, 45, -19,  -7, 3,  8.6,⑨⑨⑧, 4, 8,Ｈマイネルシュトルム, 68,和田竜, 0.9, 72,* 11, -10, 7, 26.4,②②②, 4, 8,Ｂダノンシャｰク, 93,浜中俊, 0.2, 91,   7,  12, 2,  4.9, ⑧⑦
 5,12,Ｃハｰデス, 57,藤岡佑, 1.1, 51,   3, -17, 1,  1.8,⑤④④, 5, 8, フィｰルドジャパン,---,秋山真, 0.7, 47, -19,* -4, 4, 12.0,⑩⑩⑩, 5,10,Ｃカネトシパサｰジュ, 75,川田将, 1.0, 74,  10,  -4, 6, 11.9,⑧⑦⑤, 5, 7,Ｍオリｰビン, 83,川田将, 0.2, 90,   8,   9, 5, 11.5, ⑤⑤
 6, 4,Ｋシゲルウミヘビザ, 39,国分優, 1.6, 47,  -1, -15,12,304.4,⑧⑧⑦, 6,10, プロミネントロｰル,---,メンデ, 0.8, 42, -18, -12, 8, 20.4,③④⑤, 6, 4,Ａシルヴァｰノ, 77,幸英明, 1.2, 73,   6,*  6, 5, 11.7,⑪⑪⑩, 6,11,Ｅショウリュウムｰン, 89,小牧太, 0.3, 91,   3,  15,15, 46.7, ⑭⑫
 7, 5,Ｂヴｰドゥｰフェスト, 57,小牧太, 2.0, 43,*  4, -29, 2,  4.8,③②②, 7, 2, スタｰリｰワンダｰ,---,幸英明, 1.0, 42, -18, -13,11, 80.0,⑥⑥⑦, 7,11,Ｇマキハタテノｰル, 69,小牧太, 1.2, 70,* 13, -16, 4, 10.7,①①①, 7,14,Ｈカネトシディオス, 87,和田竜, 0.4, 91,   0,* 18,11, 28.4, ⑯⑮
 8,10,Ｌアウレオｰラ, 28,吉田豊, 2.2, 42,   1, -23, 7, 38.2,②⑥⑧, 8, 6, エｰシンヴィガｰ,---,内田博, 1.0, 43, -20,  -7, 9, 43.4,⑪⑫⑨, 8, 7,Ｆカリスマミッキｰ, 70,吉田豊, 1.4, 68,  10, -11, 8, 52.1,⑥⑥③, 8,10,Ｉサンカルロ, 87,吉田豊, 0.4, 89,   3,  15, 4,  9.1, ⑬⑭
 9,11,Ｉタッチシタイ, 41,和田竜, 2.4, 42,*  4, -30, 9, 69.8,④③③, 9, 4, ブルｰグランツ,---,国分優, 1.2, 39, -18, -16, 7, 19.0,⑦⑦⑥, 9, 5,Ｉスズカゲイル, 67,岩田康, 1.6, 69,   7,  -2, 9, 53.8,⑩⑩⑨, 9, 9,Ａレオアクティブ, 93,横山典, 0.5, 89,  -1,* 17, 1,  3.3, ⑮⑯
10, 3,Ｈマキシムリンカｰン, 42,高倉稜, 2.6, 43,  -4, -15,11,209.5,⑫⑫⑫,10, 9, ポラｰルリヒト,---,酒井学, 1.4, 38, -19, -15, 6, 16.0,⑫⑪⑫,10, 6,Ｊシンボリニｰス, 62,国分優, 2.2, 62,  10, -23,10, 70.1,⑤⑤⑥,10, 2,Ｆエｰシンホワイティ, 88,松山弘, 0.6, 85,   4,   9, 8, 18.3, ⑩⑩
11, 8,Ｇヒシダイヤ, 47,浜中俊, 3.1, 37,   3, -35, 6, 20.4,⑥⑤⑤,11,11, シャルパンテ,---,岩田康, 1.7, 30,*-16, -26,10, 68.8,⑤⑤④,11, 9,Ｋジュウワンブライト, 53,田中健, 6.2, 18,   8, -72,11,217.5,③④⑪,11,16,Ｏスプリングサンダｰ, 79,四位洋, 0.7, 83,   7,   4,13, 45.4, ⑨⑧
12, 2,Ｅカシュクｰル, 50,武豊  , 3.1, 38,  -1, -25, 5, 13.5,⑦⑨⑪,12,13, テイエムブレイク,---,松山弘, 2.1, 30, -21, -19,13,185.5,⑬⑬⑬,,,,,,,,,,,,,12, 3,Ｌレッドデイヴィス, 84,メンデ, 0.8, 81,   8,   1, 9, 22.3, ③④
,,,,,,,,,,,,13,12, ロングピアチェｰレ,---,和田竜, 4.0,  2, -17, -57,12,109.4,⑧⑧⑪,,,,,,,,,,,,,13, 5,Ｊアプリコットフィズ, 87,デムｰ, 0.8, 82,   7,   4,14, 46.5, ⑥⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 6,Ｄエイシンアポロン, 89,池添謙, 0.9, 79,*  9,  -1,10, 26.9, ④③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｐゼロス, 78,幸英明, 1.0, 80,   6,   1,12, 42.2, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｎウインドジャズ, 82,渡辺薫, 1.0, 81,   1,   8,16,219.3, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,
"単勝:730円 複勝:09=280円 06=3,920円 01=1,060円 枠連:1,730円",,,,,,,,,,,,"単勝:1,260円 複勝:01=200円 03=110円 07=150円 枠連:1,100円",,,,,,,,,,,,単勝:240円 複勝:01=120円 03=180円 02=130円 枠連:730円,,,,,,,,,,,,"単勝:750円 複勝:15=310円 12=400円 13=440円 枠連:3,910円",,,,,,,,,,,
"馬連:22,360円 ワイド:06-09=4,870円 01-09=1,570円 01-06=14,360円",,,,,,,,,,,,"馬連:1,000円 ワイド:01-03=400円 01-07=720円 03-07=250円",,,,,,,,,,,,馬連:680円 ワイド:01-03=310円 01-02=180円 02-03=420円,,,,,,,,,,,,"馬連:5,750円 ワイド:12-15=1,910円 13-15=1,980円 12-13=2,170円",,,,,,,,,,,
"馬単:42,920円 3連複:110,360円 3連単:640,610円",,,,,,,,,,,,"馬単:2,590円 3連複:1,380円 3連単:12,340円",,,,,,,,,,,,"馬単:1,100円 3連複:780円 3連単:3,200円",,,,,,,,,,,,"馬単:10,870円 3連複:22,110円 3連単:123,950円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,萩ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂアｰマｰクラッド, 62,秋山真,, 58,*-13,  -1, 4,  7.5, ①①, 1, 2,Ｂユウキマリアッチ, 76,幸英明,, 76,  10,   1, 4, 10.9, ④④, 1, 1,Ｃインパラトｰル, 60,川田将,, 68,  -7,*  7, 5,  9.3, ⑦⑦, 1, 5,Ｅビナスイｰト, 79,岩田康,, 82,*  9,  13, 1,  2.7, ①①
