12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年12月23日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,810円 3連複:620円 3連単:4,850円",,,,,,,,,,,,"馬単:3,510円 3連複:8,740円 3連単:35,850円",,,,,,,,,,,,"馬単:49,850円 3連複:42,570円 3連単:372,750円",,,,,,,,,,,,"馬単:5,200円 3連複:4,020円 3連単:24,250円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1600m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,,,ﾉｴﾙ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａポップジェムズ, 64,スミヨ,, 61,  -8,*  5, 1,  2.1,⑦⑦⑥, 1, 2,Ｅフォルテリコルド, 70,武士沢,, 71,   0,*  9, 5, 11.3, ⑭⑬, 1,12,Ｃマイネルメダリスト, 83,蛯名正,, 81,  10,   6, 2,  5.3,⑧④③, 1, 5,Ｄフラワｰロック, 79,岩田康,, 76,*  2,   4, 2,  5.8,①①①
 2,12,Ｈサトノマｰキュリｰ, 50,北村宏, 0.2, 56,* -7,  -2, 6, 20.2,②②②, 2,12,Ｉファンデルワｰルス, 61,嘉藤貴, 0.2, 71,*  7,   1,12, 53.3, ②②, 2, 7,Ｂシャドウパｰティｰ, 83,ムｰア, 0.0, 81,  10,   7, 1,  3.1,④⑥⑥, 2, 1,Ａウインクリアビュｰ, 84,ムｰア, 0.0, 82,  -6,* 19, 1,  3.0,⑩⑩⑩
 3, 3,Ｂヒカルエリントン, 63,福永祐, 0.4, 57,  -9,*  1, 2,  4.2,⑥⑧⑧, 3,16,Ｄリバティｰアゲイン, 71,田辺裕, 0.3, 69,   3,   4, 3,  5.0, ⑩⑩, 3, 9,Ｊタガノレイヨネ, 76,中舘英, 0.2, 78,* 11,  -3, 6, 14.4,②②②, 3, 3,Ｉプレノタｰト, 73,蛯名正, 0.1, 87, -15,* 32,10, 34.8,⑯⑯⑭
 4, 4,Ｉケイアイリｰラ, 48,嶋田純, 0.7, 52,  -8,  -6,14,181.5,③④④, 4, 4,Ａヒカルソラフネ, 77,吉田隼, 0.4, 69,*  6,   0, 1,  3.2, ③③, 4,13,Ａクリｰルカイザｰ, 83,吉田豊, 0.2, 80,   9,*  9, 3,  5.7,⑦⑨⑧, 4,11,Ｂクラックシｰド, 82,大野拓, 0.2, 79,  -5,  14, 5,  7.6,⑬⑫⑪
 5, 8,Ｆヤマチョウボス, 52,岩田康, 0.9, 51, -11,  -4, 5, 14.3,⑨⑪⑩, 5,14,Ｌスフィンクス, 60,丸山元, 0.5, 66,  -2,*  7,11, 40.3, ⑮⑮, 5,15,Ｇキンセイポラリス, 79,ウィリ, 0.2, 79,  11,   5,10, 23.0,⑤⑤⑦, 5,16,Ｈゴｰルデンムｰン, 75,ルメｰ, 0.3, 77,  -3,  10, 3,  6.7,⑦⑨⑨
 6,16,Ｃワイハｰノカゼ, 55,松岡正, 1.0, 55, -13,*  2, 8, 33.8,⑮⑯⑯, 6,13,Ｇロｰドエストレｰラ, 65,北村宏, 0.5, 67,   4,   1, 6, 17.4, ⑨⑨, 6,10,Ｉレオプログレス, 77,スミヨ, 0.3, 79,  10,   4, 5, 11.3,⑩⑧④, 6,15,Ｇハイタッチクイｰン, 76,丸山元, 0.3, 73,*  1,   3, 9, 33.4,②③③
