12年 8月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,12年 8月12日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
"馬連:1,360円 ワイド:07-08=440円 03-07=1,010円 03-08=150円",,,,,,,,,,,,"馬連:1,110円 ワイド:10-11=490円 02-10=720円 02-11=360円",,,,,,,,,,,,"馬連:6,550円 ワイド:01-18=1,940円 03-18=590円 01-03=1,730円",,,,,,,,,,,,"馬連:690円 ワイド:02-05=320円 05-06=340円 02-06=1,020円",,,,,,,,,,,
"馬単:5,080円 3連複:1,600円 3連単:22,380円",,,,,,,,,,,,"馬単:2,860円 3連複:2,050円 3連単:14,150円",,,,,,,,,,,,"馬単:11,270円 3連複:10,480円 3連単:63,180円",,,,,,,,,,,,"馬単:890円 3連複:1,710円 3連単:4,980円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 5R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂジプシｰマイラブ, 66,浜中俊,, 68,*  3,*  3, 1,  1.8, ①①, 1, 8, スマｰトアレンジ,---,松山弘,, 63,   0,*  1, 3,  5.2, ②②, 1, 6,Ａコウセイコタロウ, 80,松山弘,, 71,   9,*  0, 1,  2.6,⑤⑤⑥, 1, 9,Ｉグレｰプブランデｰ, 78,浜中俊,, 75,   7,* 17, 2,  3.1,④④③
 2,12,Ａワキノネクサス, 69,酒井学, 0.5, 63,  -3,*  2, 3,  6.5, ⑥⑤, 2, 2, クリノコトノオｰ,---,国分恭, 0.7, 55, -10,*  1, 5, 20.3, ④④, 2,16,Ｂラガｰトモヒｰロ, 77,太宰啓, 0.2, 71,   9,  -2, 2,  4.8,⑬⑦④, 2, 5,Ｄスエズ, 86,川田将, 0.3, 73,   6,  16, 1,  2.9,⑧⑦⑤
 3, 5,Ｆシゲルミカン, 58,花田大, 0.6, 60,  -3,   1, 5, 15.1, ⑤③, 3, 6, ゼンノビッグワン,---,幸英明, 0.9, 54,*  1,  -8, 1,  2.2, ①①, 3, 1,Ｇサイキョウイシヤマ, 70,幸英明, 0.2, 70,   9,  -2, 8, 22.0,⑧⑥③, 3, 8,Ｃインバルコ, 87,酒井学, 0.3, 75,   5,* 19, 4,  6.8,⑨⑨⑨
 4, 8,Ｃウエスタンムサシ, 62,高倉稜, 0.6, 60,  -7,*  4, 2,  5.7, ⑧⑧, 4, 3, メイショウアルファ,---,酒井学, 1.2, 52,  -3,  -8, 2,  2.7, ③③, 4, 8,Ｃアルディエス, 73,川田将, 0.3, 70,   8,  -1, 3,  5.6,⑫⑧⑦, 4, 6,Ｆダノンエリモトップ, 86,小牧太, 0.5, 72,   5,  16, 7, 27.1,⑤⑧⑥
 5,11,Ｇコンアニマ, 57,北村友, 1.0, 57,*  2,  -5, 8, 32.9, ②②, 5, 5, リッシンロケット,---,川須栄, 2.6, 35, -15, -12, 4,  9.9, ⑤⑤, 5, 9,Ｆサンライズスマｰト, 70,北村友, 0.3, 70,   7,*  0, 5, 12.3,⑨⑨⑨, 5, 3,Ｈキクノキセキ, 81,北村友, 0.6, 71,   7,  13, 3,  5.1,③③④
 6, 7,Ｄハリスキャスケｰド, 60,国分恭, 1.3, 52, -13,   1, 7, 16.4, ⑩⑩, 6, 4, シゲルウサギザ,---,国分優, 3.8, 23, -22, -18, 8, 84.9, ⑦⑥, 6,15,Ｄメイショウカルロ, 70,武幸四, 0.8, 71,* 10,  -8, 4,  7.1,⑦④①, 6, 2,Ｇブルロック, 82,松山弘, 0.8, 68,*  8,   9, 6, 14.8,②②①
 7, 4,Ｎナデシコクリチャン, -2,藤懸貴, 1.7, 47,  -9,  -5, 9, 72.9, ⑨⑦, 7, 7, ベンテンオリュウ,---,野元昭, 4.6, 13, -18, -30, 6, 24.9, ⑥⑦, 7, 2,Ｅホｰマンベルウィン, 70,酒井学, 1.0, 65,* 11, -12,12, 69.8,②②②, 7, 4,Ｅタマモクリエイト, 86,川須栄, 0.8, 70,   6,  13, 5, 10.2,⑦⑤⑦
 8,10,Ｋスリｰファンタスト, 31,太宰啓, 2.0, 45, -13,  -5,13,330.7, ⑪⑪, 8, 1, シンゼンプロフィア,---,飯田祐, 6.2, -8, -42, -30, 7, 33.8, ⑧⑧, 8, 7,Ｐチュウワミラクル, 37,藤懸貴, 1.0, 64,   6,  -4,15,246.9,⑭⑫⑩, 8, 1,Ｂマッシヴエンペラｰ, 89,芹沢純, 1.1, 66,*  8,   6, 9, 49.9,①①②
 9, 1,Ｊレオネッサ, 36,国分優, 2.1, 44,  -4, -12,12,198.0, ⑦⑨,,,,,,,,,,,,, 9, 5,Ｈメイショウカイオウ, 67,佐藤哲, 2.3, 57,  -3,*  1,11, 66.1,⑮⑮⑮, 9, 7,Ａワンダｰポデリオ, 89,幸英明, 2.2, 58,   6,   0, 8, 38.1,⑥⑥⑧
10, 3,Ｉテイエムクｰガｰ, 38,松山弘, 2.2, 40, -26,   1,11,134.7, ⑬⑬,,,,,,,,,,,,,10, 4,Ｏトロピカルジュエル, 50,真島正, 2.4, 55,   5, -15,16,387.1,⑩⑭⑫,,,,,,,,,,,,
11,14,Ｅジツリキネオ, 59,幸英明, 2.2, 44,   0, -15, 6, 15.8, ④④,,,,,,,,,,,,,11,10,Ｋエｰシンデュｰク, 62,浜中俊, 2.5, 54,* 10, -26, 7, 18.6,⑪③⑤,,,,,,,,,,,,
12,13,Ｍアサヒ, 25,川田将, 2.6, 37, -18,  -8,10, 79.8, ⑫⑫,,,,,,,,,,,,,12,14,Ｎカシノチョッパｰ, 59,高倉稜, 3.2, 49,   7, -25,13,142.9,⑥⑪⑪,,,,,,,,,,,,
13, 9,Ｈシゲルデコポン, 55,小牧太, 3.2, 34,  -1, -24, 4, 11.0, ③⑥,,,,,,,,,,,,,13,11,Ｍワンダｰストラ, 61,水口優, 3.4, 48,   5, -23,14,206.7,④⑬⑭,,,,,,,,,,,,
14, 2,Ｌカシノオニキス, 29,野元昭, 4.4, 18, -30, -16,14,361.6, ⑭⑭,,,,,,,,,,,,,14,13,Ｊワイワイガヤガヤ, 63,藤岡康, 4.7, 40,* 10, -44, 9, 31.0,①①⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｉダイヤモンドアロｰ, 65,小牧太, 5.4, 37,   7, -45, 6, 14.0,③⑩⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-11),,,,,,,,,,,
単勝:180円 複勝:06=110円 12=170円 05=280円 枠連:370円,,,,,,,,,,,,単勝:520円 複勝:08=160円 02=310円 06=110円 枠連:0円,,,,,,,,,,,,単勝:260円 複勝:06=130円 16=160円 01=340円 枠連:380円,,,,,,,,,,,,単勝:310円 複勝:09=140円 05=120円 08=160円 枠連:280円,,,,,,,,,,,
馬連:480円 ワイド:06-12=210円 05-06=410円 05-12=880円,,,,,,,,,,,,"馬連:3,450円 ワイド:02-08=830円 06-08=220円 02-06=650円",,,,,,,,,,,,馬連:720円 ワイド:06-16=310円 01-06=570円 01-16=930円,,,,,,,,,,,,馬連:530円 ワイド:05-09=240円 08-09=370円 05-08=290円,,,,,,,,,,,
"馬単:620円 3連複:1,490円 3連単:4,400円",,,,,,,,,,,,"馬単:6,790円 3連複:2,030円 3連単:19,620円",,,,,,,,,,,,"馬単:1,180円 3連複:2,720円 3連単:9,820円",,,,,,,,,,,,"馬単:940円 3連複:750円 3連単:2,720円",,,,,,,,,,,
■ 3R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,青島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａカレンシェリｰメイ, 62,佐藤哲,, 67,  -1,*  7, 2,  3.3, ⑨⑥, 1, 4,Ｈクランドｰルゲラン, 58,幸英明,, 67,*  6, -10, 5, 11.4,⑤⑤⑤, 1, 5,Ｂアルティシムス, 76,国分優,, 80,   7,*  6, 2,  3.8,⑦⑧④, 1, 1,Ｂヒラボクビクトリｰ, 75,浜中俊,, 77,   4,  12, 1,  2.4,⑧⑥⑤
 2,16,Ｇテｰオｰアパタイト, 58,藤懸貴, 0.3, 61,*  3,  -2, 8, 35.8, ③③, 2, 6,Ｆヒデノビクトリア, 59,北村友, 0.0, 67,   3,* -2, 3,  5.5,⑨⑨⑥, 2,12,Ｉグロｰリアスロｰズ, 67,小牧太, 0.4, 76,   5,*  4, 4,  5.5,⑨⑨⑧, 2, 3,Ｅフェｰタルロｰズ, 67,藤岡康, 0.1, 74,*  5,   7, 3,  5.0,②②①
 3,13,Ｉサトノラミア, 55,浜中俊, 0.5, 59,*  4,  -6, 4,  9.7, ②②, 3, 9,Ｌアルズ, 47,水口優, 0.2, 62,*  6, -14,11, 36.1,⑪③②, 3, 2,Ｄゴｰゲッタｰ, 72,川田将, 0.5, 72,  10,  -9, 3,  5.1,⑤③⑥, 3,10,Ｃコウユｰタイセイ, 72,川田将, 0.2, 76,   3,* 13, 5, 13.2,⑩⑩⑨
 4,18,Ｅボックスクレバｰ, 60,川田将, 0.6, 57,   1,  -5, 1,  3.1, ⑥④, 4, 5,Ｄホッコｰキンツル, 61,飯田祐, 0.3, 65,  -2,*  2, 8, 20.4,⑭⑭⑬, 4,14,Ｃティボリペガサス, 74,高倉稜, 0.5, 73,   9,  -6, 5,  8.4,⑥⑥⑦, 4, 2,Ｉトｰホウストロング, 65,幸英明, 0.4, 74,   4,   9, 2,  3.5,⑦⑧⑦
 5, 9,Ｈクラウンザショパン, 57,藤岡康, 0.6, 58,*  5,  -8,13, 88.1, ①①, 5, 2,Ｉエスケイヒｰロｰ, 57,国分恭, 0.3, 62,*  6, -14, 9, 22.2,③④③, 5,11,Ｇヴァリアシオン, 69,酒井学, 0.6, 70,  10, -11, 7, 35.9,③④②, 5, 5,Ｋクリビツテンギョ, 64,小牧太, 0.4, 76,   0,* 17, 4, 10.4,⑫⑫⑫
 6,11,Ｍシｰマリア, 49,中井裕, 0.7, 56,  -8,*  4,12, 81.5, ⑭⑭, 6,15,Ｇトｰコｰレガｰロ, 58,川田将, 0.3, 64,   3,  -8, 1,  3.8,⑥⑧⑧, 6, 4,Ｅダンスラナキラ, 71,北村友, 0.8, 70,   3,   1, 9, 39.7,⑩⑩⑩, 6,11,Ｄトｰアディアマンテ, 68,国分優, 0.8, 67,*  6,  -2, 6, 17.8,③③②
 7,15,Ｋスペシャルリリｰ, 52,横山義, 0.7, 56,  -5,   1,17,267.7, ⑬⑪, 7, 7,Ｂコンドッティエｰレ, 62,川須栄, 0.4, 63,   1,* -4, 2,  4.1,⑫⑫⑦, 7, 6,Ｆサカジロオｰ, 70,浜中俊, 0.8, 70,   8,  -7, 1,  3.4,⑧⑦③, 7, 9,Ｈコスモディセント, 65,中井裕, 0.8, 69,   2,   8, 8, 37.9,⑪⑪⑪
 8, 2,Ｂマｰブルメｰカｰ, 62,松山弘, 0.7, 56,  -2,  -1, 5, 12.6, ⑦⑨, 8,10,Ｅコパノウェルス, 60,藤懸貴, 0.7, 57,*  7, -23, 6, 12.1,②②④, 8,10,Ａクリスマスマｰベル, 77,松山弘, 1.4, 62,   2,  -6, 6, 15.9,⑫⑫⑪, 8, 8,Ａメイショウシャイン, 77,小坂忠, 0.9, 67,   4,   2,11, 75.6,⑨⑨⑩
 9, 3,Ｄカシノペンダント, 62,水口優, 0.8, 54,  -7,   1, 7, 14.6, ⑩⑫, 9, 8,Ｃカシノチャｰム, 61,小坂忠, 0.7, 58,   2, -13, 7, 19.8,⑧⑩⑨, 9, 7,Ｈトップシャイン, 68,幸英明, 1.4, 65,  -1,  -2, 8, 39.7,⑬⑬⑫, 9, 6,Ｊモｰレツ, 64,藤懸貴, 1.1, 63,*  5,  -6,10, 68.1,①①③
10, 8,Ｃヤマトサクラコ, 62,酒井学, 0.9, 53,   1,  -8, 3,  5.4, ⑤⑤,10, 1,Ａサイキセキ, 62,浜中俊, 0.8, 57,*  8, -25, 4,  6.3,①①①,10, 9,Ｊディｰプタッチ, 64,太宰啓, 1.6, 58,* 12, -28,10, 46.8,②②①,10, 4,Ｌシゲルシャチョウ, 63,国分恭, 1.4, 60,   4,  -8,12, 76.0,⑥⑦⑥
11,10,Ｑヴァンブラン, 37,渡辺薫, 1.0, 52,  -1,  -7,11, 67.8, ⑧⑧,11,11,Ｊマルｰチ, 56,佐藤哲, 1.0, 56,   1, -14,10, 26.7,⑩⑪⑫,11, 8,Ｌスズカブリザｰド, 56,藤懸貴, 2.0, 55,* 13, -35,14,221.0,①①⑤,11, 7,Ｆフェニックスソｰド, 66,川須栄, 1.4, 60,   4,  -8, 9, 38.6,④④④
12, 6,Ｆムツラボシ, 59,北村友, 1.1, 51,   2, -11, 6, 13.4, ④⑦,12, 3,Ｋハギノロｰザ, 52,太宰啓, 2.0, 45,   4, -32,12,113.7,⑦⑦⑩,12, 1, レコパン,---,石川慎, 2.1, 54,   9, -29,12,162.9,④⑤⑨,12,12,Ｇグリｰンイレブン, 66,高倉稜, 1.5, 60,   4, -10, 7, 30.1,⑤⑤⑧
13, 1, ウイングオブソング,---,小牧太, 1.1, 51, -16,*  6,10, 52.4, ⑱⑱,13,13,Ｎサマｰパッション, 45,真島正, 2.5, 42,  -9, -16,15,249.9,⑮⑯⑯,13, 3,Ｋスイｰトスズラン, 63,藤岡康, 2.5, 52,   2, -22,11, 53.2,⑪⑪⑬,13,13,Ｍモカビｰン, 34,太宰啓, 4.6, 32,  -4, -34,13,179.7,⑬⑬⑬
14,17,Ｊハｰトオブグリｰン, 54,幸英明, 1.1, 51, -10,   0, 9, 52.4, ⑮⑮,14,12,Ｐオセアニアアタック, 26,藤岡康, 3.0, 37,*  6, -53,14,179.9,④⑥⑪,,,,,,,,,,,,,,,,,,,,,,,,
15, 7,Ｎシゲルカボス, 47,国分恭, 1.3, 48,  -5,  -7,15,237.3, ⑪⑬, 0,14,Ｍリッカタテヤマ, 46,松山弘, 3.4, 32,  -1, -44,13,136.5,⑬⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,
16, 5,Ｏシルフィｰド, 45,川須栄, 1.8, 41,  -6, -14,16,267.2, ⑫⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12,Ｐコｰリンデヴァタｰ, 44,鮫島良, 1.8, 43, -12,  -7,18,416.8, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 4,Ｌクリスタルシチｰ, 52,花田大, 2.6, 31, -11, -19,14,196.0, ⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,
単勝:330円 複勝:14=170円 16=670円 13=290円 枠連:360円,,,,,,,,,,,,"単勝:1,140円 複勝:04=410円 06=210円 09=960円 枠連:2,690円",,,,,,,,,,,,単勝:380円 複勝:05=150円 12=170円 02=160円 枠連:490円,,,,,,,,,,,,単勝:240円 複勝:01=130円 03=160円 10=280円 枠連:570円,,,,,,,,,,,
"馬連:5,830円 ワイド:14-16=1,820円 13-14=910円 13-16=4,240円",,,,,,,,,,,,"馬連:3,480円 ワイド:04-06=1,270円 04-09=5,250円 06-09=2,700円",,,,,,,,,,,,"馬連:1,080円 ワイド:05-12=370円 02-05=320円 02-12=480円",,,,,,,,,,,,"馬連:550円 ワイド:01-03=270円 01-10=650円 03-10=1,100円",,,,,,,,,,,
"馬単:8,350円 3連複:15,350円 3連単:84,640円",,,,,,,,,,,,"馬単:8,880円 3連複:33,880円 3連単:181,670円",,,,,,,,,,,,"馬単:1,940円 3連複:1,410円 3連単:7,930円",,,,,,,,,,,,"馬単:890円 3連複:2,780円 3連単:8,000円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
